學年別,學期別,等級別,新增辦理休學人數總計計,新增辦理休學人數總計男,新增辦理休學人數總計女,新增辦理休學人數國立計,新增辦理休學人數國立男,新增辦理休學人數國立女,新增辦理休學人數直轄市立計,新增辦理休學人數直轄市立男,新增辦理休學人數直轄市立女,新增辦理休學人數私立計,新增辦理休學人數私立男,新增辦理休學人數私立女,至學期底總休學人數總計計,至學期底總休學人數總計男,至學期底總休學人數總計女,至學期底總休學人數國立計,至學期底總休學人數國立男,至學期底總休學人數國立女,至學期底總休學人數直轄市立計,至學期底總休學人數直轄市立男,至學期底總休學人數直轄市立女,至學期底總休學人數私立計,至學期底總休學人數私立男,至學期底總休學人數私立女
105學年,第1學期,總計,50133,28274,21859,20078,11352,8726,396,161,235,29659,16761,12898,106936,62397,44539,36988,21104,15884,719,305,414,69229,40988,28241
105學年,第1學期,五專,1971,751,1220,178,58,120,-,-,-,1793,693,1100,3979,1675,2304,365,130,235,-,-,-,3614,1545,2069
105學年,第1學期,二專,266,120,146,57,15,42,-,-,-,209,105,104,788,435,353,154,67,87,-,-,-,634,368,266
105學年,第1學期,學士班,29403,17388,12015,6912,4172,2740,147,86,61,22344,13130,9214,63898,39231,24667,11281,6950,4331,254,157,97,52363,32124,20239
105學年,第1學期,碩士班,14825,7666,7159,9978,5181,4797,216,61,155,4631,2424,2207,30655,16080,14575,19199,9959,9240,395,123,272,11061,5998,5063
105學年,第1學期,博士班,3668,2349,1319,2953,1926,1027,33,14,19,682,409,273,7616,4976,2640,5989,3998,1991,70,25,45,1557,953,604
105學年,第2學期,總計,30123,17090,13033,12241,7091,5150,211,95,116,17671,9904,7767,104800,60824,43976,36608,20904,15704,714,319,395,67478,39601,27877
105學年,第2學期,五專,1066,444,622,85,30,55,-,-,-,981,414,567,3678,1627,2051,377,138,239,-,-,-,3301,1489,1812
105學年,第2學期,二專,165,91,74,31,13,18,-,-,-,134,78,56,728,422,306,140,61,79,-,-,-,588,361,227
105學年,第2學期,學士班,16084,9558,6526,3370,2181,1189,80,51,29,12634,7326,5308,62704,38081,24623,11354,6999,4355,254,159,95,51096,30923,20173
105學年,第2學期,碩士班,9691,4952,4739,6172,3161,3011,110,39,71,3409,1752,1657,30069,15689,14380,18712,9695,9017,391,137,254,10966,5857,5109
105學年,第2學期,博士班,3117,2045,1072,2583,1706,877,21,5,16,513,334,179,7621,5005,2616,6025,4011,2014,69,23,46,1527,971,556
