學年別,縣市別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,博士計小計,博士計男,博士計女,博士國立小計,博士國立男,博士國立女,博士直轄市立小計,博士直轄市立男,博士直轄市立女,博士私立小計,博士私立男,博士私立女,碩士計小計,碩士計男,碩士計女,碩士國立小計,碩士國立男,碩士國立女,碩士直轄市立小計,碩士直轄市立男,碩士直轄市立女,碩士私立小計,碩士私立男,碩士私立女,學士計小計,學士計男,學士計女,學士國立小計,學士國立男,學士國立女,學士直轄市立小計,學士直轄市立男,學士直轄市立女,學士私立小計,學士私立男,學士私立女,專科計小計,專科計男,專科計女,專科國立小計,專科國立男,專科國立女,專科直轄市立小計,專科直轄市立男,專科直轄市立女,專科私立小計,專科私立男,專科私立女,其他計小計,其他計男,其他計女,其他國立小計,其他國立男,其他國立女,其他直轄市立小計,其他直轄市立男,其他直轄市立女,其他私立小計,其他私立男,其他私立女
106學年,總計,47412,30342,17070,19192,13300,5892,331,180,151,27889,16862,11027,36152,24480,11672,16886,12018,4868,228,115,113,19038,12347,6691,9359,4724,4635,1831,998,833,96,58,38,7432,3668,3764,1671,951,720,427,249,178,7,7,-,1237,695,542,111,96,15,14,14,-,-,-,-,97,82,15,119,91,28,34,21,13,-,-,-,85,70,15
106學年,新北市,4844,2982,1862,542,329,213,-,-,-,4302,2653,1649,3446,2223,1223,436,266,170,-,-,-,3010,1957,1053,1243,654,589,90,53,37,-,-,-,1153,601,552,123,76,47,10,4,6,-,-,-,113,72,41,18,16,2,1,1,-,-,-,-,17,15,2,14,13,1,5,5,-,-,-,-,9,8,1
106學年,臺北市,10654,6710,3944,5718,3711,2007,331,180,151,4605,2819,1786,8568,5552,3016,5054,3371,1683,228,115,113,3286,2066,1220,1682,893,789,481,233,248,96,58,38,1105,602,503,366,238,128,167,96,71,7,7,-,192,135,57,10,8,2,3,3,-,-,-,-,7,5,2,28,19,9,13,8,5,-,-,-,15,11,4
106學年,桃園市,3891,2501,1390,754,588,166,-,-,-,3137,1913,1224,2899,2025,874,671,546,125,-,-,-,2228,1479,749,766,347,419,73,40,33,-,-,-,693,307,386,209,113,96,10,2,8,-,-,-,199,111,88,6,5,1,-,-,-,-,-,-,6,5,1,11,11,-,-,-,-,-,-,-,11,11,-
106學年,臺中市,6286,4066,2220,1762,1177,585,-,-,-,4524,2889,1635,4935,3325,1610,1422,1009,413,-,-,-,3513,2316,1197,1166,618,548,302,148,154,-,-,-,864,470,394,164,106,58,37,19,18,-,-,-,127,87,40,13,12,1,1,1,-,-,-,-,12,11,1,8,5,3,-,-,-,-,-,-,8,5,3
106學年,臺南市,4752,3012,1740,1753,1203,550,-,-,-,2999,1809,1190,3399,2315,1084,1495,1057,438,-,-,-,1904,1258,646,1056,509,547,139,67,72,-,-,-,917,442,475,261,163,98,102,70,32,-,-,-,159,93,66,12,11,1,3,3,-,-,-,-,9,8,1,24,14,10,14,6,8,-,-,-,10,8,2
106學年,高雄市,5233,3351,1882,2033,1479,554,-,-,-,3200,1872,1328,3834,2651,1183,1808,1337,471,-,-,-,2026,1314,712,1137,560,577,177,113,64,-,-,-,960,447,513,239,120,119,44,25,19,-,-,-,195,95,100,14,12,2,4,4,-,-,-,-,10,8,2,9,8,1,-,-,-,-,-,-,9,8,1
106學年,宜蘭縣,604,388,216,233,180,53,-,-,-,371,208,163,395,294,101,186,154,32,-,-,-,209,140,69,178,77,101,45,25,20,-,-,-,133,52,81,24,10,14,2,1,1,-,-,-,22,9,13,6,6,-,-,-,-,-,-,-,6,6,-,1,1,-,-,-,-,-,-,-,1,1,-
106學年,新竹縣,482,314,168,-,-,-,-,-,-,482,314,168,297,203,94,-,-,-,-,-,-,297,203,94,167,99,68,-,-,-,-,-,-,167,99,68,16,11,5,-,-,-,-,-,-,16,11,5,1,-,1,-,-,-,-,-,-,1,-,1,1,1,-,-,-,-,-,-,-,1,1,-
106學年,苗栗縣,677,391,286,288,217,71,-,-,-,389,174,215,381,265,116,223,178,45,-,-,-,158,87,71,242,106,136,59,35,24,-,-,-,183,71,112,44,12,32,6,4,2,-,-,-,38,8,30,8,6,2,-,-,-,-,-,-,8,6,2,2,2,-,-,-,-,-,-,-,2,2,-
