學年別,學歷別,總計計小計,總計計男,總計計女,總計教授小計,總計教授男,總計教授女,總計副教授小計,總計副教授男,總計副教授女,總計助理教授小計,總計助理教授男,總計助理教授女,總計講師小計,總計講師男,總計講師女,總計其他小計,總計其他男,總計其他女,總計助教小計,總計助教男,總計助教女,專科學校計小計,專科學校計男,專科學校計女,專科學校教授小計,專科學校教授男,專科學校教授女,專科學校副教授小計,專科學校副教授男,專科學校副教授女,專科學校助理教授小計,專科學校助理教授男,專科學校助理教授女,專科學校講師小計,專科學校講師男,專科學校講師女,專科學校其他小計,專科學校其他男,專科學校其他女,專科學校助教小計,專科學校助教男,專科學校助教女,獨立學院計小計,獨立學院計男,獨立學院計女,獨立學院教授小計,獨立學院教授男,獨立學院教授女,獨立學院副教授小計,獨立學院副教授男,獨立學院副教授女,獨立學院助理教授小計,獨立學院助理教授男,獨立學院助理教授女,獨立學院講師小計,獨立學院講師男,獨立學院講師女,獨立學院其他小計,獨立學院其他男,獨立學院其他女,獨立學院助教小計,獨立學院助教男,獨立學院助教女,大學計小計,大學計男,大學計女,大學教授小計,大學教授男,大學教授女,大學副教授小計,大學副教授男,大學副教授女,大學助理教授小計,大學助理教授男,大學助理教授女,大學講師小計,大學講師男,大學講師女,大學其他小計,大學其他男,大學其他女,大學助教小計,大學助教男,大學助教女
106學年,總計,47412,30342,17070,12731,9973,2758,15154,9989,5165,12950,7708,5242,4916,2146,2770,1438,485,953,223,41,182,1730,493,1237,28,25,3,84,56,28,362,172,190,863,182,681,393,58,335,-,-,-,1270,788,482,82,71,11,333,229,104,483,313,170,323,156,167,49,19,30,-,-,-,44412,29061,15351,12621,9877,2744,14737,9704,5033,12105,7223,4882,3730,1808,1922,996,408,588,223,41,182
106學年,博士,36152,24480,11672,11931,9337,2594,13544,8917,4627,10472,6150,4322,190,70,120,10,5,5,5,1,4,457,230,227,26,23,3,79,52,27,311,139,172,41,16,25,-,-,-,-,-,-,669,450,219,67,59,8,268,180,88,327,211,116,7,-,7,-,-,-,-,-,-,35026,23800,11226,11838,9255,2583,13197,8685,4512,9834,5800,4034,142,54,88,10,5,5,5,1,4
106學年,碩士,9359,4724,4635,531,403,128,1297,827,470,2101,1261,840,4473,1902,2571,847,303,544,110,28,82,968,215,753,1,1,-,5,4,1,40,23,17,808,157,651,114,30,84,-,-,-,483,253,230,10,8,2,46,32,14,116,72,44,273,127,146,38,14,24,-,-,-,7908,4256,3652,520,394,126,1246,791,455,1945,1166,779,3392,1618,1774,695,259,436,110,28,82
106學年,學士,1671,951,720,238,208,30,268,210,58,274,211,63,211,141,70,573,170,403,107,11,96,292,36,256,1,1,-,-,-,-,6,5,1,10,5,5,275,25,250,-,-,-,80,52,28,2,1,1,12,10,2,22,14,8,33,22,11,11,5,6,-,-,-,1299,863,436,235,206,29,256,200,56,246,192,54,168,114,54,287,140,147,107,11,96
106學年,專科,111,96,15,14,12,2,17,14,3,51,45,6,22,19,3,6,5,1,1,1,-,10,9,1,-,-,-,-,-,-,3,3,-,4,4,-,3,2,1,-,-,-,17,15,2,1,1,-,2,2,-,9,8,1,5,4,1,-,-,-,-,-,-,84,72,12,13,11,2,15,12,3,39,34,5,13,11,2,3,3,-,1,1,-
106學年,其他,119,91,28,17,13,4,28,21,7,52,41,11,20,14,6,2,2,-,-,-,-,3,3,-,-,-,-,-,-,-,2,2,-,-,-,-,1,1,-,-,-,-,21,18,3,2,2,-,5,5,-,9,8,1,5,3,2,-,-,-,-,-,-,95,70,25,15,11,4,23,16,7,41,31,10,15,11,4,1,1,-,-,-,-
105學年,總計,48096,30958,17138,12222,9607,2615,15007,9980,5027,11909,7097,4812,4828,2103,2725,3882,2122,1760,248,49,199,1716,491,1225,25,22,3,82,54,28,332,151,181,842,176,666,435,88,347,-,-,-,1963,1229,734,91,85,6,451,314,137,566,348,218,476,227,249,379,255,124,-,-,-,44417,29238,15179,12106,9500,2606,14474,9612,4862,11011,6598,4413,3510,1700,1810,3068,1779,1289,248,49,199
105學年,博士,36342,24777,11565,11521,9059,2462,13560,9030,4530,10199,6033,4166,185,83,102,871,571,300,6,1,5,450,228,222,24,21,3,78,51,27,306,136,170,40,18,22,2,2,-,-,-,-,1013,676,337,79,74,5,391,272,119,484,291,193,12,3,9,47,36,11,-,-,-,34879,23873,11006,11418,8964,2454,13091,8707,4384,9409,5606,3803,133,62,71,822,533,289,6,1,5
105學年,碩士,9732,4978,4754,471,356,115,1198,760,438,1508,905,603,4476,1904,2572,1956,1018,938,123,35,88,950,214,736,-,-,-,4,3,1,24,13,11,799,155,644,123,43,80,-,-,-,787,436,351,10,9,1,50,34,16,78,55,23,448,210,238,201,128,73,-,-,-,7995,4328,3667,461,347,114,1144,723,421,1406,837,569,3229,1539,1690,1632,847,785,123,35,88
105學年,學士,1787,1011,776,219,187,32,238,185,53,191,155,36,162,112,50,859,360,499,118,12,106,302,36,266,1,1,-,-,-,-,2,2,-,3,3,-,296,30,266,-,-,-,109,69,40,2,2,-,10,8,2,4,2,2,13,11,2,80,46,34,-,-,-,1376,906,470,216,184,32,228,177,51,185,151,34,146,98,48,483,284,199,118,12,106
