學年別,年齡別,總計計小計,總計計男,總計計女,總計教授小計,總計教授男,總計教授女,總計副教授小計,總計副教授男,總計副教授女,總計助理教授小計,總計助理教授男,總計助理教授女,總計講師小計,總計講師男,總計講師女,總計其他小計,總計其他男,總計其他女,總計助教小計,總計助教男,總計助教女,專科學校計小計,專科學校計男,專科學校計女,專科學校教授小計,專科學校教授男,專科學校教授女,專科學校副教授小計,專科學校副教授男,專科學校副教授女,專科學校助理教授小計,專科學校助理教授男,專科學校助理教授女,專科學校講師小計,專科學校講師男,專科學校講師女,專科學校其他小計,專科學校其他男,專科學校其他女,專科學校助教小計,專科學校助教男,專科學校助教女,獨立學院計小計,獨立學院計男,獨立學院計女,獨立學院教授小計,獨立學院教授男,獨立學院教授女,獨立學院副教授小計,獨立學院副教授男,獨立學院副教授女,獨立學院助理教授小計,獨立學院助理教授男,獨立學院助理教授女,獨立學院講師小計,獨立學院講師男,獨立學院講師女,獨立學院其他小計,獨立學院其他男,獨立學院其他女,獨立學院助教小計,獨立學院助教男,獨立學院助教女,大學計小計,大學計男,大學計女,大學教授小計,大學教授男,大學教授女,大學副教授小計,大學副教授男,大學副教授女,大學助理教授小計,大學助理教授男,大學助理教授女,大學講師小計,大學講師男,大學講師女,大學其他小計,大學其他男,大學其他女,大學助教小計,大學助教男,大學助教女
106學年,總計,47412,30342,17070,12731,9973,2758,15154,9989,5165,12950,7708,5242,4916,2146,2770,1438,485,953,223,41,182,1730,493,1237,28,25,3,84,56,28,362,172,190,863,182,681,393,58,335,-,-,-,1270,788,482,82,71,11,333,229,104,483,313,170,323,156,167,49,19,30,-,-,-,44412,29061,15351,12621,9877,2744,14737,9704,5033,12105,7223,4882,3730,1808,1922,996,408,588,223,41,182
106學年,未滿25歲,2,1,1,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-
106學年,25歲至未滿30歲,131,44,87,-,-,-,-,-,-,12,5,7,98,39,59,21,-,21,-,-,-,33,5,28,-,-,-,-,-,-,-,-,-,20,5,15,13,-,13,-,-,-,10,3,7,-,-,-,-,-,-,-,-,-,9,3,6,1,-,1,-,-,-,88,36,52,-,-,-,-,-,-,12,5,7,69,31,38,7,-,7,-,-,-
106學年,30歲至未滿35歲,1028,483,545,1,1,-,34,18,16,631,356,275,252,101,151,110,7,103,-,-,-,137,18,119,-,-,-,-,-,-,9,5,4,64,11,53,64,2,62,-,-,-,32,17,15,-,-,-,-,-,-,14,11,3,14,6,8,4,-,4,-,-,-,859,448,411,1,1,-,34,18,16,608,340,268,174,84,90,42,5,37,-,-,-
106學年,35歲至未滿40歲,3780,2090,1690,106,77,29,786,514,272,2184,1274,910,446,172,274,258,53,205,-,-,-,305,63,242,-,-,-,1,1,-,48,20,28,147,29,118,109,13,96,-,-,-,87,51,36,-,-,-,5,4,1,47,31,16,24,12,12,11,4,7,-,-,-,3388,1976,1412,106,77,29,780,509,271,2089,1223,866,275,131,144,138,36,102,-,-,-
106學年,40歲至未滿45歲,6977,4074,2903,749,584,165,2197,1422,775,2909,1616,1293,590,218,372,526,232,294,6,2,4,421,112,309,-,-,-,11,8,3,85,33,52,207,42,165,118,29,89,-,-,-,164,78,86,1,1,-,24,14,10,92,47,45,35,9,26,12,7,5,-,-,-,6392,3884,2508,748,583,165,2162,1400,762,2732,1536,1196,348,167,181,396,196,200,6,2,4
106學年,45歲至未滿50歲,9695,5550,4145,1861,1344,517,3251,1919,1332,3121,1768,1353,986,348,638,378,159,219,98,12,86,440,136,304,2,1,1,22,16,6,106,50,56,249,56,193,61,13,48,-,-,-,297,178,119,10,8,2,49,26,23,146,96,50,77,41,36,15,7,8,-,-,-,8958,5236,3722,1849,1335,514,3180,1877,1303,2869,1622,1247,660,251,409,302,139,163,98,12,86
106學年,50歲至未滿55歲,11059,7009,4050,3346,2506,840,3965,2490,1475,2394,1492,902,1153,470,683,112,30,82,89,21,68,249,78,171,8,7,1,31,18,13,69,34,35,118,18,100,23,1,22,-,-,-,326,195,131,19,17,2,101,68,33,120,75,45,82,34,48,4,1,3,-,-,-,10484,6736,3748,3319,2482,837,3833,2404,1429,2205,1383,822,953,418,535,85,28,57,89,21,68
106學年,55歲至未滿60歲,8515,6127,2388,3376,2672,704,3014,2137,877,1211,839,372,858,469,389,27,4,23,29,6,23,83,44,39,7,7,-,10,7,3,29,19,10,34,11,23,3,-,3,-,-,-,227,167,60,24,22,2,96,70,26,51,44,7,55,31,24,1,-,1,-,-,-,8205,5916,2289,3345,2643,702,2908,2060,848,1131,776,355,769,427,342,23,4,19,29,6,23
106學年,60歲至未滿65歲,5327,4200,1127,2593,2166,427,1790,1399,391,450,329,121,490,306,184,4,-,4,-,-,-,54,33,21,7,7,-,8,6,2,15,10,5,24,10,14,-,-,-,-,-,-,113,89,24,21,18,3,54,45,9,11,7,4,26,19,7,1,-,1,-,-,-,5160,4078,1082,2565,2141,424,1728,1348,380,424,312,112,440,277,163,3,-,3,-,-,-
