學年別,學門別,總計計,總計男,總計女,教授計,教授男,教授女,副教授計,副教授男,副教授女,助理教授計,助理教授男,助理教授女,講師計,講師男,講師女,其他計,其他男,其他女,助教計,助教男,助教女
105學年,總計,48096,30958,17138,12222,9607,2615,15007,9980,5027,11909,7097,4812,4828,2103,2725,3882,2122,1760,248,49,199
105學年,教育學門,1538,746,792,600,345,255,534,241,293,311,118,193,48,23,25,45,19,26,-,-,-
105學年,藝術學門,1181,603,578,320,162,158,348,156,192,260,123,137,86,43,43,167,119,48,-,-,-
105學年,人文學門,4073,1757,2316,794,420,374,1422,572,850,1210,503,707,427,146,281,220,116,104,-,-,-
105學年,設計學門,1777,1226,551,158,134,24,443,336,107,573,361,212,312,188,124,291,207,84,-,-,-
105學年,社會及行為科學學門,1796,1154,642,612,421,191,677,449,228,448,251,197,17,9,8,42,24,18,-,-,-
105學年,傳播學門,687,408,279,138,75,63,232,124,108,191,117,74,51,32,19,75,60,15,-,-,-
105學年,商業及管理學門,5810,3603,2207,1197,929,268,2133,1308,825,1749,1009,740,537,234,303,194,123,71,-,-,-
105學年,法律學門,593,425,168,208,166,42,209,144,65,131,79,52,10,7,3,35,29,6,-,-,-
105學年,生命科學學門,1182,815,367,467,344,123,391,260,131,282,179,103,14,7,7,28,25,3,-,-,-
105學年,自然科學學門,1294,1089,205,663,593,70,386,309,77,208,164,44,14,5,9,23,18,5,-,-,-
105學年,數學及統計學門,744,578,166,302,240,62,279,210,69,139,108,31,12,11,1,12,9,3,-,-,-
105學年,電算機學門,1843,1468,375,328,275,53,665,546,119,589,464,125,215,147,68,46,36,10,-,-,-
105學年,工程學門,8862,8160,702,3683,3489,194,3106,2830,276,1544,1370,174,419,369,50,110,102,8,-,-,-
105學年,建築及都市規劃學門,509,394,115,85,77,8,181,146,35,173,120,53,38,26,12,32,25,7,-,-,-
105學年,農業科學學門,908,665,243,350,276,74,289,204,85,211,149,62,39,20,19,19,16,3,-,-,-
105學年,獸醫學門,124,99,25,60,51,9,39,32,7,25,16,9,-,-,-,-,-,-,-,-,-
105學年,醫藥衛生學門,6130,2848,3282,1373,957,416,1466,828,638,1562,745,817,984,202,782,745,116,629,-,-,-
105學年,社會服務學門,873,298,575,104,53,51,224,84,140,355,112,243,164,37,127,26,12,14,-,-,-
105學年,民生學門,3655,2149,1506,374,301,73,984,614,370,1106,629,477,633,235,398,558,370,188,-,-,-
105學年,運輸服務學門,272,214,58,66,60,6,108,86,22,69,51,18,18,9,9,11,8,3,-,-,-
105學年,環境保護學門,88,62,26,27,22,5,37,25,12,19,13,6,2,1,1,3,1,2,-,-,-
105學年,軍警國防安全學門,24,23,1,2,2,-,9,9,-,8,8,-,4,3,1,1,1,-,-,-,-
105學年,其他學門,4133,2174,1959,311,215,96,845,467,378,746,408,338,784,349,435,1199,686,513,248,49,199
104學年,總計,48696,31428,17268,12116,9599,2517,14993,10105,4888,12900,7737,5163,5352,2391,2961,3046,1531,1515,289,65,224
104學年,教育學門,1593,759,834,601,349,252,540,246,294,361,129,232,55,28,27,29,7,22,7,-,7
104學年,藝術學門,1175,587,588,315,162,153,358,169,189,305,145,160,96,43,53,91,68,23,10,-,10
104學年,人文學門,4228,1824,2404,815,450,365,1388,571,817,1352,556,796,508,182,326,140,61,79,25,4,21
104學年,設計學門,1775,1209,566,157,132,25,444,336,108,640,401,239,338,200,138,195,139,56,1,1,-
104學年,社會及行為科學學門,1849,1185,664,621,438,183,685,455,230,478,268,210,25,11,14,19,12,7,21,1,20
104學年,傳播學門,705,417,288,136,72,64,233,129,104,226,141,85,58,35,23,48,40,8,4,-,4
104學年,商業及管理學門,5846,3613,2233,1173,924,249,2077,1287,790,1884,1089,795,574,242,332,118,69,49,20,2,18
104學年,法律學門,582,421,161,200,160,40,208,146,62,144,89,55,12,9,3,18,17,1,-,-,-
104學年,生命科學學門,1169,798,371,455,327,128,369,253,116,313,201,112,12,4,8,11,9,2,9,4,5
104學年,自然科學學門,1326,1108,218,661,594,67,370,300,70,239,185,54,15,7,8,14,12,2,27,10,17
104學年,數學及統計學門,755,583,172,300,242,58,285,213,72,143,108,35,13,12,1,8,6,2,6,2,4
