學年別,學校級別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,教授計小計,教授計男,教授計女,教授國立小計,教授國立男,教授國立女,教授直轄市立小計,教授直轄市立男,教授直轄市立女,教授私立小計,教授私立男,教授私立女,副教授計小計,副教授計男,副教授計女,副教授國立小計,副教授國立男,副教授國立女,副教授直轄市立小計,副教授直轄市立男,副教授直轄市立女,副教授私立小計,副教授私立男,副教授私立女,助理教授計小計,助理教授計男,助理教授計女,助理教授國立小計,助理教授國立男,助理教授國立女,助理教授直轄市立小計,助理教授直轄市立男,助理教授直轄市立女,助理教授私立小計,助理教授私立男,助理教授私立女,講師計小計,講師計男,講師計女,講師國立小計,講師國立男,講師國立女,講師直轄市立小計,講師直轄市立男,講師直轄市立女,講師私立小計,講師私立男,講師私立女,其他計小計,其他計男,其他計女,其他國立小計,其他國立男,其他國立女,其他直轄市立小計,其他直轄市立男,其他直轄市立女,其他私立小計,其他私立男,其他私立女,助教計小計,助教計男,助教計女,助教國立小計,助教國立男,助教國立女,助教直轄市立小計,助教直轄市立男,助教直轄市立女,助教私立小計,助教私立男,助教私立女
106學年,總計,47412,30342,17070,19192,13300,5892,331,180,151,27889,16862,11027,12731,9973,2758,8158,6370,1788,99,54,45,4474,3549,925,15154,9989,5165,6079,4026,2053,127,79,48,8948,5884,3064,12950,7708,5242,3766,2392,1374,71,28,43,9113,5288,3825,4916,2146,2770,727,358,369,17,9,8,4172,1779,2393,1438,485,953,277,117,160,16,10,6,1145,358,787,223,41,182,185,37,148,1,-,1,37,4,33
106學年,專科學校,1730,493,1237,149,63,86,-,-,-,1581,430,1151,28,25,3,12,10,2,-,-,-,16,15,1,84,56,28,25,15,10,-,-,-,59,41,18,362,172,190,52,30,22,-,-,-,310,142,168,863,182,681,31,7,24,-,-,-,832,175,657,393,58,335,29,1,28,-,-,-,364,57,307,-,-,-,-,-,-,-,-,-,-,-,-
106學年,獨立學院,1270,788,482,34,17,17,-,-,-,1236,771,465,82,71,11,3,2,1,-,-,-,79,69,10,333,229,104,11,5,6,-,-,-,322,224,98,483,313,170,11,5,6,-,-,-,472,308,164,323,156,167,7,4,3,-,-,-,316,152,164,49,19,30,2,1,1,-,-,-,47,18,29,-,-,-,-,-,-,-,-,-,-,-,-
106學年,大學,44412,29061,15351,19009,13220,5789,331,180,151,25072,15661,9411,12621,9877,2744,8143,6358,1785,99,54,45,4379,3465,914,14737,9704,5033,6043,4006,2037,127,79,48,8567,5619,2948,12105,7223,4882,3703,2357,1346,71,28,43,8331,4838,3493,3730,1808,1922,689,347,342,17,9,8,3024,1452,1572,996,408,588,246,115,131,16,10,6,734,283,451,223,41,182,185,37,148,1,-,1,37,4,33
105學年,總計,48096,30958,17138,19228,13362,5866,329,178,151,28539,17418,11121,12222,9607,2615,7888,6182,1706,99,55,44,4235,3370,865,15007,9980,5027,6095,4071,2024,120,70,50,8792,5839,2953,11909,7097,4812,3472,2199,1273,71,31,40,8366,4867,3499,4828,2103,2725,626,314,312,18,10,8,4184,1779,2405,3882,2122,1760,939,551,388,20,12,8,2923,1559,1364,248,49,199,208,45,163,1,-,1,39,4,35
105學年,專科學校,1716,491,1225,151,63,88,-,-,-,1565,428,1137,25,22,3,12,10,2,-,-,-,13,12,1,82,54,28,25,15,10,-,-,-,57,39,18,332,151,181,47,24,23,-,-,-,285,127,158,842,176,666,34,10,24,-,-,-,808,166,642,435,88,347,33,4,29,-,-,-,402,84,318,-,-,-,-,-,-,-,-,-,-,-,-
105學年,獨立學院,1963,1229,734,34,19,15,-,-,-,1929,1210,719,91,85,6,2,2,-,-,-,-,89,83,6,451,314,137,6,3,3,-,-,-,445,311,134,566,348,218,9,2,7,-,-,-,557,346,211,476,227,249,5,5,-,-,-,-,471,222,249,379,255,124,12,7,5,-,-,-,367,248,119,-,-,-,-,-,-,-,-,-,-,-,-
105學年,大學,44417,29238,15179,19043,13280,5763,329,178,151,25045,15780,9265,12106,9500,2606,7874,6170,1704,99,55,44,4133,3275,858,14474,9612,4862,6064,4053,2011,120,70,50,8290,5489,2801,11011,6598,4413,3416,2173,1243,71,31,40,7524,4394,3130,3510,1700,1810,587,299,288,18,10,8,2905,1391,1514,3068,1779,1289,894,540,354,20,12,8,2154,1227,927,248,49,199,208,45,163,1,-,1,39,4,35
104學年,總計,48696,31428,17268,19362,13499,5863,337,178,159,28997,17751,11246,12116,9599,2517,7806,6161,1645,93,51,42,4217,3387,830,14993,10105,4888,6105,4141,1964,112,65,47,8776,5899,2877,12900,7737,5163,3814,2393,1421,90,39,51,8996,5305,3691,5352,2391,2961,766,390,376,18,9,9,4568,1992,2576,3046,1531,1515,638,360,278,23,14,9,2385,1157,1228,289,65,224,233,54,179,1,-,1,55,11,44
104學年,專科學校,1638,494,1144,123,68,55,-,-,-,1515,426,1089,27,24,3,12,10,2,-,-,-,15,14,1,75,49,26,25,15,10,-,-,-,50,34,16,318,148,170,42,20,22,-,-,-,276,128,148,828,184,644,31,11,20,-,-,-,797,173,624,390,89,301,13,12,1,-,-,-,377,77,300,-,-,-,-,-,-,-,-,-,-,-,-
104學年,獨立學院,2029,1266,763,34,18,16,-,-,-,1995,1248,747,90,83,7,2,2,-,-,-,-,88,81,7,494,349,145,11,6,5,-,-,-,483,343,140,637,407,230,11,4,7,-,-,-,626,403,223,548,271,277,8,5,3,-,-,-,540,266,274,260,156,104,2,1,1,-,-,-,258,155,103,-,-,-,-,-,-,-,-,-,-,-,-
104學年,大學,45029,29668,15361,19205,13413,5792,337,178,159,25487,16077,9410,11999,9492,2507,7792,6149,1643,93,51,42,4114,3292,822,14424,9707,4717,6069,4120,1949,112,65,47,8243,5522,2721,11945,7182,4763,3761,2369,1392,90,39,51,8094,4774,3320,3976,1936,2040,727,374,353,18,9,9,3231,1553,1678,2396,1286,1110,623,347,276,23,14,9,1750,925,825,289,65,224,233,54,179,1,-,1,55,11,44
103學年,總計,49357,31978,17379,19447,13576,5871,336,180,156,29574,18222,11352,11776,9405,2371,7570,6017,1553,89,53,36,4117,3335,782,15078,10255,4823,6135,4188,1947,111,58,53,8832,6009,2823,13297,8097,5200,3971,2520,1451,97,47,50,9229,5530,3699,6000,2709,3291,891,447,444,19,9,10,5090,2253,2837,2886,1441,1445,624,345,279,19,13,6,2243,1083,1160,320,71,249,256,59,197,1,-,1,63,12,51
103學年,專科學校,1765,551,1214,121,61,60,-,-,-,1644,490,1154,32,26,6,12,10,2,-,-,-,20,16,4,88,56,32,24,14,10,-,-,-,64,42,22,332,167,165,39,17,22,-,-,-,293,150,143,927,215,712,34,11,23,-,-,-,893,204,689,386,87,299,12,9,3,-,-,-,374,78,296,-,-,-,-,-,-,-,-,-,-,-,-
103學年,獨立學院,2535,1518,1017,34,18,16,-,-,-,2501,1500,1001,117,105,12,2,1,1,-,-,-,115,104,11,643,434,209,5,2,3,-,-,-,638,432,206,762,477,285,9,3,6,-,-,-,753,474,279,761,356,405,6,4,2,-,-,-,755,352,403,251,146,105,12,8,4,-,-,-,239,138,101,1,-,1,-,-,-,-,-,-,1,-,1
