學年別,學校級別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,五專計小計,五專計男,五專計女,五專國立小計,五專國立男,五專國立女,五專直轄市立小計,五專直轄市立男,五專直轄市立女,五專私立小計,五專私立男,五專私立女,二專計小計,二專計男,二專計女,二專國立小計,二專國立男,二專國立女,二專直轄市立小計,二專直轄市立男,二專直轄市立女,二專私立小計,二專私立男,二專私立女,學士班計小計,學士班計男,學士班計女,學士班國立小計,學士班國立男,學士班國立女,學士班直轄市立小計,學士班直轄市立男,學士班直轄市立女,學士班私立小計,學士班私立男,學士班私立女,碩士班計小計,碩士班計男,碩士班計女,碩士班國立小計,碩士班國立男,碩士班國立女,碩士班直轄市立小計,碩士班直轄市立男,碩士班直轄市立女,碩士班私立小計,碩士班私立男,碩士班私立女,博士班計小計,博士班計男,博士班計女,博士班國立小計,博士班國立男,博士班國立女,博士班直轄市立小計,博士班直轄市立男,博士班直轄市立女,博士班私立小計,博士班私立男,博士班私立女
106學年,總計,606394,293023,313371,131072,73022,58050,-,-,-,475322,220001,255321,81643,19712,61931,8536,2104,6432,-,-,-,73107,17608,55499,5700,3135,2565,1047,554,493,-,-,-,4653,2581,2072,480536,245690,234846,97225,54050,43175,-,-,-,383311,191640,191671,35085,21916,13169,21144,13973,7171,-,-,-,13941,7943,5998,3430,2570,860,3120,2341,779,-,-,-,310,229,81
106學年,專科學校,51150,9594,41556,3199,887,2312,-,-,-,47951,8707,39244,48416,8173,40243,2384,395,1989,-,-,-,46032,7778,38254,2734,1421,1313,815,492,323,-,-,-,1919,929,990,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,獨立學院,25830,13829,12001,614,218,396,-,-,-,25216,13611,11605,3665,1790,1875,-,-,-,-,-,-,3665,1790,1875,937,545,392,-,-,-,-,-,-,937,545,392,20853,11280,9573,614,218,396,-,-,-,20239,11062,9177,375,214,161,-,-,-,-,-,-,375,214,161,-,-,-,-,-,-,-,-,-,-,-,-
106學年,大學,529414,269600,259814,127259,71917,55342,-,-,-,402155,197683,204472,29562,9749,19813,6152,1709,4443,-,-,-,23410,8040,15370,2029,1169,860,232,62,170,-,-,-,1797,1107,690,459683,234410,225273,96611,53832,42779,-,-,-,363072,180578,182494,34710,21702,13008,21144,13973,7171,-,-,-,13566,7729,5837,3430,2570,860,3120,2341,779,-,-,-,310,229,81
105學年,總計,631446,304299,327147,130795,72383,58412,-,-,-,500651,231916,268735,85233,21112,64121,8794,2176,6618,-,-,-,76439,18936,57503,6883,3677,3206,1296,575,721,-,-,-,5587,3102,2485,500592,254828,245764,96354,53259,43095,-,-,-,404238,201569,202669,35395,22183,13212,21305,14104,7201,-,-,-,14090,8079,6011,3343,2499,844,3046,2269,777,-,-,-,297,230,67
105學年,專科學校,52392,9939,42453,3207,861,2346,-,-,-,49185,9078,40107,49480,8445,41035,2397,415,1982,-,-,-,47083,8030,39053,2912,1494,1418,810,446,364,-,-,-,2102,1048,1054,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,獨立學院,49753,27010,22743,627,231,396,-,-,-,49126,26779,22347,9473,4958,4515,-,-,-,-,-,-,9473,4958,4515,2014,1234,780,-,-,-,-,-,-,2014,1234,780,37600,20447,17153,627,231,396,-,-,-,36973,20216,16757,642,358,284,-,-,-,-,-,-,642,358,284,24,13,11,-,-,-,-,-,-,24,13,11
105學年,大學,529301,267350,261951,126961,71291,55670,-,-,-,402340,196059,206281,26280,7709,18571,6397,1761,4636,-,-,-,19883,5948,13935,1957,949,1008,486,129,357,-,-,-,1471,820,651,462992,234381,228611,95727,53028,42699,-,-,-,367265,181353,185912,34753,21825,12928,21305,14104,7201,-,-,-,13448,7721,5727,3319,2486,833,3046,2269,777,-,-,-,273,217,56
104學年,總計,648225,312662,335563,130138,71670,58468,-,-,-,518087,240992,277095,85991,21044,64947,8945,2202,6743,-,-,-,77046,18842,58204,7918,4157,3761,1533,598,935,-,-,-,6385,3559,2826,515342,262512,252830,95170,52335,42835,-,-,-,420172,210177,209995,35680,22434,13246,21463,14239,7224,-,-,-,14217,8195,6022,3294,2515,779,3027,2296,731,-,-,-,267,219,48
104學年,專科學校,52156,9908,42248,3209,842,2367,-,-,-,48947,9066,39881,49125,8383,40742,2423,443,1980,-,-,-,46702,7940,38762,3031,1525,1506,786,399,387,-,-,-,2245,1126,1119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,獨立學院,53022,29008,24014,575,201,374,-,-,-,52447,28807,23640,9712,5055,4657,-,-,-,-,-,-,9712,5055,4657,2082,1263,819,-,-,-,-,-,-,2082,1263,819,40627,22348,18279,575,201,374,-,-,-,40052,22147,17905,587,333,254,-,-,-,-,-,-,587,333,254,14,9,5,-,-,-,-,-,-,14,9,5
104學年,大學,543047,273746,269301,126354,70627,55727,-,-,-,416693,203119,213574,27154,7606,19548,6522,1759,4763,-,-,-,20632,5847,14785,2805,1369,1436,747,199,548,-,-,-,2058,1170,888,474715,240164,234551,94595,52134,42461,-,-,-,380120,188030,192090,35093,22101,12992,21463,14239,7224,-,-,-,13630,7862,5768,3280,2506,774,3027,2296,731,-,-,-,253,210,43
103學年,總計,659001,318152,340849,129176,71072,58104,-,-,-,529825,247080,282745,89235,21360,67875,8889,2118,6771,-,-,-,80346,19242,61104,9786,4846,4940,2076,828,1248,-,-,-,7710,4018,3692,521062,266705,254357,93832,51548,42284,-,-,-,427230,215157,212073,35637,22709,12928,21337,14245,7092,-,-,-,14300,8464,5836,3281,2532,749,3042,2333,709,-,-,-,239,199,40
103學年,專科學校,54874,10133,44741,3159,805,2354,-,-,-,51715,9328,42387,51444,8630,42814,2371,409,1962,-,-,-,49073,8221,40852,3430,1503,1927,788,396,392,-,-,-,2642,1107,1535,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,獨立學院,69750,34663,35087,528,187,341,-,-,-,69222,34476,34746,12756,5624,7132,-,-,-,-,-,-,12756,5624,7132,2577,1508,1069,-,-,-,-,-,-,2577,1508,1069,53859,27229,26630,528,187,341,-,-,-,53331,27042,26289,555,300,255,-,-,-,-,-,-,555,300,255,3,2,1,-,-,-,-,-,-,3,2,1
103學年,大學,534377,273356,261021,125489,70080,55409,-,-,-,408888,203276,205612,25035,7106,17929,6518,1709,4809,-,-,-,18517,5397,13120,3779,1835,1944,1288,432,856,-,-,-,2491,1403,1088,467203,239476,227727,93304,51361,41943,-,-,-,373899,188115,185784,35082,22409,12673,21337,14245,7092,-,-,-,13745,8164,5581,3278,2530,748,3042,2333,709,-,-,-,236,197,39
102學年,總計,668212,324602,343610,132652,72263,60389,-,-,-,535560,252339,283221,90157,21819,68338,8798,2040,6758,-,-,-,81359,19779,61580,11261,5528,5733,2387,936,1451,-,-,-,8874,4592,4282,526725,270761,255964,96098,51933,44165,-,-,-,430627,218828,211799,36840,23974,12866,22334,15001,7333,-,-,-,14506,8973,5533,3229,2520,709,3035,2353,682,-,-,-,194,167,27
102學年,專科學校,54177,9903,44274,3057,744,2313,-,-,-,51120,9159,41961,50733,8474,42259,2280,366,1914,-,-,-,48453,8108,40345,3444,1429,2015,777,378,399,-,-,-,2667,1051,1616,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,獨立學院,90579,44928,45651,11427,3546,7881,-,-,-,79152,41382,37770,15510,6780,8730,2021,464,1557,-,-,-,13489,6316,7173,4099,2217,1882,592,243,349,-,-,-,3507,1974,1533,70003,35384,34619,8381,2623,5758,-,-,-,61622,32761,28861,967,547,420,433,216,217,-,-,-,534,331,203,-,-,-,-,-,-,-,-,-,-,-,-
102學年,大學,523456,269771,253685,118168,67973,50195,-,-,-,405288,201798,203490,23914,6565,17349,4497,1210,3287,-,-,-,19417,5355,14062,3718,1882,1836,1018,315,703,-,-,-,2700,1567,1133,456722,235377,221345,87717,49310,38407,-,-,-,369005,186067,182938,35873,23427,12446,21901,14785,7116,-,-,-,13972,8642,5330,3229,2520,709,3035,2353,682,-,-,-,194,167,27
101學年,總計,672503,329661,342842,130789,71361,59428,-,-,-,541714,258300,283414,88815,21620,67195,8606,1961,6645,-,-,-,80209,19659,60550,12364,6088,6276,1926,720,1206,-,-,-,10438,5368,5070,530274,274441,255833,94728,51020,43708,-,-,-,435546,223421,212125,37849,24979,12870,22508,15282,7226,-,-,-,15341,9697,5644,3201,2533,668,3021,2378,643,-,-,-,180,155,25
101學年,專科學校,52081,9417,42664,2951,698,2253,-,-,-,49130,8719,40411,47992,7840,40152,2127,291,1836,-,-,-,45865,7549,38316,4089,1577,2512,824,407,417,-,-,-,3265,1170,2095,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,獨立學院,106026,51730,54296,11158,3384,7774,-,-,-,94868,48346,46522,17337,7379,9958,2038,457,1581,-,-,-,15299,6922,8377,4541,2506,2035,419,134,285,-,-,-,4122,2372,1750,83048,41232,41816,8243,2543,5700,-,-,-,74805,38689,36116,1100,613,487,458,250,208,-,-,-,642,363,279,-,-,-,-,-,-,-,-,-,-,-,-
101學年,大學,514396,268514,245882,116680,67279,49401,-,-,-,397716,201235,196481,23486,6401,17085,4441,1213,3228,-,-,-,19045,5188,13857,3734,2005,1729,683,179,504,-,-,-,3051,1826,1225,447226,233209,214017,86485,48477,38008,-,-,-,360741,184732,176009,36749,24366,12383,22050,15032,7018,-,-,-,14699,9334,5365,3201,2533,668,3021,2378,643,-,-,-,180,155,25
100學年,總計,668831,329488,339343,129268,70655,58613,-,-,-,539563,258833,280730,87823,21566,66257,8359,1838,6521,-,-,-,79464,19728,59736,13229,6376,6853,2092,839,1253,-,-,-,11137,5537,5600,527300,274283,253017,93762,50646,43116,-,-,-,433538,223637,209901,37303,24757,12546,22043,14967,7076,-,-,-,15260,9790,5470,3176,2506,670,3012,2365,647,-,-,-,164,141,23
100學年,專科學校,50278,8924,41354,4294,726,3568,-,-,-,45984,8198,37786,45027,7207,37820,2957,262,2695,-,-,-,42070,6945,35125,5251,1717,3534,1337,464,873,-,-,-,3914,1253,2661,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,獨立學院,141647,69951,71696,21928,6293,15635,-,-,-,119719,63658,56061,24175,10467,13708,4671,1096,3575,-,-,-,19504,9371,10133,4830,2706,2124,462,131,331,-,-,-,4368,2575,1793,110891,55792,55099,15830,4579,11251,-,-,-,95061,51213,43848,1751,986,765,965,487,478,-,-,-,786,499,287,-,-,-,-,-,-,-,-,-,-,-,-
100學年,大學,476906,250613,226293,103046,63636,39410,-,-,-,373860,186977,186883,18621,3892,14729,731,480,251,-,-,-,17890,3412,14478,3148,1953,1195,293,244,49,-,-,-,2855,1709,1146,416409,218491,197918,77932,46067,31865,-,-,-,338477,172424,166053,35552,23771,11781,21078,14480,6598,-,-,-,14474,9291,5183,3176,2506,670,3012,2365,647,-,-,-,164,141,23
99學年,總計,655492,323620,331872,127192,69755,57437,-,-,-,528300,253865,274435,86728,21892,64836,8024,1683,6341,-,-,-,78704,20209,58495,15818,7580,8238,2864,1160,1704,-,-,-,12954,6420,6534,513752,267535,246217,92179,50106,42073,-,-,-,421573,217429,204144,36307,24334,11973,21382,14652,6730,-,-,-,14925,9682,5243,2887,2279,608,2743,2154,589,-,-,-,144,125,19
99學年,專科學校,46506,8410,38096,4102,650,3452,-,-,-,42404,7760,34644,40543,6495,34048,2704,153,2551,-,-,-,37839,6342,31497,5963,1915,4048,1398,497,901,-,-,-,4565,1418,3147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,獨立學院,161350,79161,82189,21491,6101,15390,-,-,-,139859,73060,66799,27497,10797,16700,4580,1045,3535,-,-,-,22917,9752,13165,5789,3240,2549,832,225,607,-,-,-,4957,3015,1942,126268,64062,62206,15205,4377,10828,-,-,-,111063,59685,51378,1796,1062,734,874,454,420,-,-,-,922,608,314,-,-,-,-,-,-,-,-,-,-,-,-
99學年,大學,447636,236049,211587,101599,63004,38595,-,-,-,346037,173045,172992,18688,4600,14088,740,485,255,-,-,-,17948,4115,13833,4066,2425,1641,634,438,196,-,-,-,3432,1987,1445,387484,203473,184011,76974,45729,31245,-,-,-,310510,157744,152766,34511,23272,11239,20508,14198,6310,-,-,-,14003,9074,4929,2887,2279,608,2743,2154,589,-,-,-,144,125,19
98學年,總計,651073,322839,328234,127246,70003,57243,-,-,-,523827,252836,270991,85381,22232,63149,7753,1593,6160,-,-,-,77628,20639,56989,22941,11490,11451,3713,1432,2281,-,-,-,19228,10058,9170,505198,263379,241819,92495,50660,41835,-,-,-,412703,212719,199984,34767,23533,11234,20610,14207,6403,-,-,-,14157,9326,4831,2786,2205,581,2675,2111,564,-,-,-,111,94,17
98學年,專科學校,42542,7872,34670,3706,511,3195,-,-,-,38836,7361,31475,35661,5718,29943,2409,73,2336,-,-,-,33252,5645,27607,6881,2154,4727,1297,438,859,-,-,-,5584,1716,3868,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,獨立學院,195153,94220,100933,32523,9261,23262,-,-,-,162630,84959,77671,30433,11432,19001,4863,1150,3713,-,-,-,25570,10282,15288,11380,6475,4905,1781,522,1259,-,-,-,9599,5953,3646,150411,74958,75453,24048,6965,17083,-,-,-,126363,67993,58370,2886,1355,1531,1788,624,1164,-,-,-,1098,731,367,43,-,43,43,-,43,-,-,-,-,-,-
98學年,大學,413378,220747,192631,91017,60231,30786,-,-,-,322361,160516,161845,19287,5082,14205,481,370,111,-,-,-,18806,4712,14094,4680,2861,1819,635,472,163,-,-,-,4045,2389,1656,354787,188421,166366,68447,43695,24752,-,-,-,286340,144726,141614,31881,22178,9703,18822,13583,5239,-,-,-,13059,8595,4464,2743,2205,538,2632,2111,521,-,-,-,111,94,17
