學年別,學門別,總計計,總計男,總計女,五專(含七年)計,五專(含七年)男,五專(含七年)女,二專計,二專男,二專女,學士後學士學位計,學士後學士學位男,學士後學士學位女,大學二年制(含二技)計,大學二年制(含二技)男,大學二年制(含二技)女,大學四年制(含四技)計,大學四年制(含四技)男,大學四年制(含四技)女,碩士班計,碩士班男,碩士班女,博士班計,博士班男,博士班女
105學年,總計,631446,304299,327147,85233,21112,64121,6883,3677,3206,228,144,84,34314,8865,25449,466050,245819,220231,35395,22183,13212,3343,2499,844
105學年,教育學門,1770,333,1437,-,-,-,-,-,-,-,-,-,60,2,58,1048,123,925,527,144,383,135,64,71
105學年,藝術學門,6648,2338,4310,1665,450,1215,-,-,-,31,7,24,481,106,375,4274,1709,2565,197,66,131,-,-,-
105學年,人文學門,34484,9061,25423,6326,1293,5033,20,10,10,-,-,-,1587,383,1204,25565,7082,18483,986,293,693,-,-,-
105學年,設計學門,49502,19694,29808,2642,1236,1406,145,85,60,1,-,1,969,344,625,43492,17024,26468,2007,880,1127,246,125,121
105學年,社會及行為科學學門,609,174,435,-,-,-,-,-,-,-,-,-,-,-,-,417,113,304,192,61,131,-,-,-
105學年,傳播學門,4633,1802,2831,-,-,-,-,-,-,-,-,-,20,14,6,4567,1762,2805,46,26,20,-,-,-
105學年,商業及管理學門,113415,44590,68825,5681,1468,4213,1246,731,515,9,4,5,5998,2039,3959,91821,35915,55906,8086,4052,4034,574,381,193
105學年,法律學門,1051,516,535,-,-,-,-,-,-,-,-,-,-,-,-,610,265,345,441,251,190,-,-,-
105學年,生命科學學門,3171,1783,1388,70,18,52,19,3,16,-,-,-,86,29,57,2526,1490,1036,439,220,219,31,23,8
105學年,自然科學學門,951,629,322,-,-,-,-,-,-,-,-,-,-,-,-,701,457,244,139,88,51,111,84,27
105學年,數學及統計學門,195,74,121,-,-,-,-,-,-,-,-,-,-,-,-,195,74,121,-,-,-,-,-,-
105學年,電算機學門,39290,27432,11858,2283,1416,867,583,383,200,-,-,-,1131,652,479,33372,23650,9722,1810,1246,564,111,85,26
105學年,工程學門,133987,120552,13435,4525,4187,338,862,762,100,3,3,-,2993,2471,522,108965,98966,9999,14907,12642,2265,1732,1521,211
105學年,建築及都市規劃學門,4571,2594,1977,167,126,41,145,89,56,-,-,-,115,66,49,3566,1957,1609,501,300,201,77,56,21
105學年,農業科學學門,10680,5316,5364,254,127,127,180,103,77,-,-,-,5,1,4,9306,4595,4711,778,395,383,157,95,62
105學年,獸醫學門,628,292,336,-,-,-,-,-,-,-,-,-,-,-,-,520,226,294,81,47,34,27,19,8
105學年,醫藥衛生學門,78718,15274,63444,42256,5940,36316,1200,731,469,22,8,14,13576,1238,12338,20158,7025,13133,1417,313,1104,89,19,70
105學年,社會服務學門,21673,2593,19080,3813,309,3504,841,125,716,-,-,-,3358,367,2991,13137,1694,11443,524,98,426,-,-,-
105學年,民生學門,119166,45725,73441,15083,4238,10845,1556,577,979,42,14,28,3729,1062,2667,96799,38975,57824,1932,845,1087,25,14,11
105學年,運輸服務學門,4026,1806,2220,468,304,164,86,78,8,103,96,7,206,91,115,3011,1145,1866,152,92,60,-,-,-
105學年,環境保護學門,831,600,231,-,-,-,-,-,-,-,-,-,-,-,-,757,548,209,74,52,22,-,-,-
105學年,軍警國防安全學門,923,840,83,-,-,-,-,-,-,17,12,5,-,-,-,871,798,73,35,30,5,-,-,-
105學年,其他學門,524,281,243,-,-,-,-,-,-,-,-,-,-,-,-,372,226,146,124,42,82,28,13,15
104學年,總計,648225,312662,335563,85991,21044,64947,7918,4157,3761,155,118,37,34108,8892,25216,481079,253502,227577,35680,22434,13246,3294,2515,779
104學年,教育學門,1841,318,1523,-,-,-,-,-,-,-,-,-,48,-,48,1104,113,991,575,149,426,114,56,58
104學年,藝術學門,6091,2078,4013,1713,461,1252,-,-,-,-,-,-,478,111,367,3680,1431,2249,220,75,145,-,-,-
104學年,人文學門,35973,9102,26871,6542,1265,5277,4,-,4,-,-,-,1643,378,1265,26787,7163,19624,997,296,701,-,-,-
104學年,設計學門,50210,20061,30149,2791,1326,1465,201,115,86,1,-,1,905,314,591,44121,17275,26846,1955,905,1050,236,126,110
104學年,社會及行為科學學門,593,189,404,-,-,-,-,-,-,-,-,-,-,-,-,410,118,292,183,71,112,-,-,-
104學年,傳播學門,4915,1924,2991,-,-,-,-,-,-,3,2,1,18,12,6,4841,1879,2962,53,31,22,-,-,-
104學年,商業及管理學門,118558,45636,72922,6021,1545,4476,1505,783,722,5,3,2,5872,1988,3884,96477,36987,59490,8108,3944,4164,570,386,184
104學年,法律學門,1070,526,544,-,-,-,-,-,-,-,-,-,-,-,-,673,285,388,397,241,156,-,-,-
104學年,生命科學學門,3405,1915,1490,38,9,29,-,-,-,-,-,-,116,36,80,2779,1609,1170,441,238,203,31,23,8
104學年,自然科學學門,949,619,330,-,-,-,-,-,-,-,-,-,-,-,-,724,467,257,128,83,45,97,69,28
104學年,數學及統計學門,210,82,128,-,-,-,-,-,-,-,-,-,-,-,-,210,82,128,-,-,-,-,-,-
104學年,電算機學門,43908,30653,13255,2492,1559,933,646,409,237,-,-,-,1286,748,538,37520,26598,10922,1856,1256,600,108,83,25
104學年,工程學門,137992,124269,13723,4528,4214,314,924,819,105,23,21,2,2928,2445,483,112555,102211,10344,15264,12991,2273,1770,1568,202
104學年,建築及都市規劃學門,4850,2729,2121,161,119,42,143,88,55,-,-,-,112,62,50,3843,2100,1743,519,308,211,72,52,20
104學年,農業科學學門,10858,5319,5539,257,126,131,185,105,80,-,-,-,1,1,-,9470,4565,4905,798,431,367,147,91,56
104學年,獸醫學門,609,285,324,-,-,-,-,-,-,-,-,-,-,-,-,520,225,295,70,46,24,19,14,5
