學年別,等級別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計4年級小計,總計4年級男,總計4年級女,總計5年級小計,總計5年級男,總計5年級女,總計6年級小計,總計6年級男,總計6年級女,總計7年級小計,總計7年級男,總計7年級女,總計延修生小計,總計延修生男,總計延修生女,國立計小計,國立計男,國立計女,國立1年級小計,國立1年級男,國立1年級女,國立2年級小計,國立2年級男,國立2年級女,國立3年級小計,國立3年級男,國立3年級女,國立4年級小計,國立4年級男,國立4年級女,國立5年級小計,國立5年級男,國立5年級女,國立6年級小計,國立6年級男,國立6年級女,國立7年級小計,國立7年級男,國立7年級女,國立延修生小計,國立延修生男,國立延修生女,直轄市立計小計,直轄市立計男,直轄市立計女,直轄市立1年級小計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級小計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級小計,直轄市立3年級男,直轄市立3年級女,直轄市立4年級小計,直轄市立4年級男,直轄市立4年級女,直轄市立5年級小計,直轄市立5年級男,直轄市立5年級女,直轄市立6年級小計,直轄市立6年級男,直轄市立6年級女,直轄市立7年級小計,直轄市立7年級男,直轄市立7年級女,直轄市立延修生小計,直轄市立延修生男,直轄市立延修生女,私立計小計,私立計男,私立計女,私立1年級小計,私立1年級男,私立1年級女,私立2年級小計,私立2年級男,私立2年級女,私立3年級小計,私立3年級男,私立3年級女,私立4年級小計,私立4年級男,私立4年級女,私立5年級小計,私立5年級男,私立5年級女,私立6年級小計,私立6年級男,私立6年級女,私立7年級小計,私立7年級男,私立7年級女,私立延修生小計,私立延修生男,私立延修生女
106學年,總計,606394,293023,313371,141071,72128,68943,137599,69769,67830,147041,68688,78353,139306,63787,75519,17244,4086,13158,366,290,76,320,253,67,23447,14022,9425,131072,73022,58050,34904,20682,14222,33209,19588,13621,29147,15297,13850,26996,13789,13207,2538,816,1722,306,241,65,306,242,64,3666,2367,1299,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,475322,220001,255321,106167,51446,54721,104390,50181,54209,117894,53391,64503,112310,49998,62312,14706,3270,11436,60,49,11,14,11,3,19781,11655,8126
106學年,五專(含七年),81643,19712,61931,15554,3593,11961,17126,4373,12753,17076,4397,12679,14651,3274,11377,15139,3357,11782,-,-,-,-,-,-,2097,718,1379,8536,2104,6432,1627,414,1213,1635,399,1236,1739,432,1307,1719,430,1289,1665,366,1299,-,-,-,-,-,-,151,63,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73107,17608,55499,13927,3179,10748,15491,3974,11517,15337,3965,11372,12932,2844,10088,13474,2991,10483,-,-,-,-,-,-,1946,655,1291
106學年,二專,5700,3135,2565,2629,1462,1167,2698,1463,1235,72,44,28,33,22,11,-,-,-,-,-,-,-,-,-,268,144,124,1047,554,493,413,254,159,562,273,289,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,70,25,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4653,2581,2072,2216,1208,1008,2136,1190,946,70,42,28,33,22,11,-,-,-,-,-,-,-,-,-,198,119,79
106學年,學士後學士學位,198,115,83,134,76,58,60,36,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,1,82,50,32,69,43,26,9,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,116,65,51,65,33,32,51,32,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,大學二年制(含二技),33167,8767,24400,-,-,-,-,-,-,16098,4395,11703,14925,3890,11035,1092,110,982,-,-,-,-,-,-,1052,372,680,7391,2065,5326,-,-,-,-,-,-,3297,926,2371,3421,967,2454,238,19,219,-,-,-,-,-,-,435,153,282,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25776,6702,19074,-,-,-,-,-,-,12801,3469,9332,11504,2923,8581,854,91,763,-,-,-,-,-,-,617,219,398
106學年,大學四年制(含四技),447171,236808,210363,106867,57082,49785,103652,54901,48751,108806,56701,52105,107465,55197,52268,355,142,213,-,-,-,-,-,-,20026,12785,7241,89752,51935,37817,23058,13517,9541,21980,12843,9137,21135,11925,9210,20472,11488,8984,101,39,62,-,-,-,-,-,-,3006,2123,883,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,357419,184873,172546,83809,43565,40244,81672,42058,39614,87671,44776,42895,86993,43709,43284,254,103,151,-,-,-,-,-,-,17020,10662,6358
106學年,碩士班,35085,21916,13169,15155,9368,5787,13388,8507,4881,4414,2708,1706,1751,1053,698,288,207,81,89,73,16,-,-,-,-,-,-,21144,13973,7171,9084,5963,3121,8417,5629,2788,2454,1607,847,953,592,361,190,143,47,46,39,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13941,7943,5998,6071,3405,2666,4971,2878,2093,1960,1101,859,798,461,337,98,64,34,43,34,9,-,-,-,-,-,-
106學年,博士班,3430,2570,860,732,547,185,675,489,186,575,443,132,481,351,130,370,270,100,277,217,60,320,253,67,-,-,-,3120,2341,779,653,491,162,606,440,166,520,405,115,431,312,119,344,249,95,260,202,58,306,242,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,310,229,81,79,56,23,69,49,20,55,38,17,50,39,11,26,21,5,17,15,2,14,11,3,-,-,-
105學年,總計,631446,304299,327147,151098,77285,73813,148034,74426,73608,148913,69167,79746,141539,64651,76888,18379,4442,13937,362,277,85,265,208,57,22856,13843,9013,130795,72383,58412,35055,20814,14241,33096,19097,13999,29276,15251,14025,26973,13796,13177,2521,843,1678,316,240,76,246,190,56,3312,2152,1160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500651,231916,268735,116043,56471,59572,114938,55329,59609,119637,53916,65721,114566,50855,63711,15858,3599,12259,46,37,9,19,18,1,19544,11691,7853
105學年,五專(含七年),85233,21112,64121,17595,4544,13051,17729,4673,13056,15788,3688,12100,16168,3808,12360,16004,3731,12273,-,-,-,-,-,-,1949,668,1281,8794,2176,6618,1674,415,1259,1770,448,1322,1789,448,1341,1722,382,1340,1681,418,1263,-,-,-,-,-,-,158,65,93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76439,18936,57503,15921,4129,11792,15959,4225,11734,13999,3240,10759,14446,3426,11020,14323,3313,11010,-,-,-,-,-,-,1791,603,1188
105學年,二專,6883,3677,3206,3435,1921,1514,3003,1493,1510,59,40,19,27,15,12,-,-,-,-,-,-,-,-,-,359,208,151,1296,575,721,626,299,327,566,227,339,7,4,3,-,-,-,-,-,-,-,-,-,-,-,-,97,45,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5587,3102,2485,2809,1622,1187,2437,1266,1171,52,36,16,27,15,12,-,-,-,-,-,-,-,-,-,262,163,99
105學年,學士後學士學位,228,144,84,154,92,62,31,13,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,39,4,108,60,48,80,48,32,23,8,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,120,84,36,74,44,30,8,5,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,35,3
105學年,大學二年制(含二技),34314,8865,25449,-,-,-,-,-,-,16529,4527,12002,15210,3808,11402,1386,121,1265,-,-,-,-,-,-,1189,409,780,7892,2264,5628,-,-,-,-,-,-,3636,1047,2589,3583,1033,2550,259,20,239,-,-,-,-,-,-,414,164,250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26422,6601,19821,-,-,-,-,-,-,12893,3480,9413,11627,2775,8852,1127,101,1026,-,-,-,-,-,-,775,245,530
105學年,大學四年制(含四技),466050,245819,220231,113746,60538,53208,113171,59281,53890,111636,57826,53810,107797,55509,52288,384,146,238,-,-,-,-,-,-,19316,12519,6797,88354,50935,37419,22734,13406,9328,21792,12416,9376,20874,11780,9094,20218,11419,8799,98,40,58,-,-,-,-,-,-,2638,1874,764,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,377696,194884,182812,91012,47132,43880,91379,46865,44514,90762,46046,44716,87579,44090,43489,286,106,180,-,-,-,-,-,-,16678,10645,6033
105學年,碩士班,35395,22183,13212,15445,9664,5781,13441,8471,4970,4339,2672,1667,1875,1165,710,230,163,67,65,48,17,-,-,-,-,-,-,21305,14104,7201,9291,6170,3121,8347,5546,2801,2469,1606,863,1022,646,376,135,106,29,41,30,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14090,8079,6011,6154,3494,2660,5094,2925,2169,1870,1066,804,853,519,334,95,57,38,24,18,6,-,-,-,-,-,-
105學年,博士班,3343,2499,844,723,526,197,659,495,164,562,414,148,462,346,116,375,281,94,297,229,68,265,208,57,-,-,-,3046,2269,777,650,476,174,598,452,146,501,366,135,428,316,112,348,259,89,275,210,65,246,190,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,297,230,67,73,50,23,61,43,18,61,48,13,34,30,4,27,22,5,22,19,3,19,18,1,-,-,-
104學年,總計,648225,312662,335563,160448,81330,79118,150387,75347,75040,149989,69792,80197,145015,66989,78026,18141,4132,14009,304,240,64,215,171,44,23726,14661,9065,130138,71670,58468,34806,20171,14635,33105,19046,14059,29342,15324,14018,26529,13706,12823,2552,811,1741,259,206,53,204,160,44,3341,2246,1095,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,518087,240992,277095,125642,61159,64483,117282,56301,60981,120647,54468,66179,118486,53283,65203,15589,3321,12268,45,34,11,11,11,-,20385,12415,7970
104學年,五專(含七年),85991,21044,64947,18090,4763,13327,16429,3913,12516,17171,4201,12970,17017,4145,12872,15652,3436,12216,-,-,-,-,-,-,1632,586,1046,8945,2202,6743,1799,463,1336,1818,461,1357,1779,407,1372,1724,428,1296,1708,386,1322,-,-,-,-,-,-,117,57,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77046,18842,58204,16291,4300,11991,14611,3452,11159,15392,3794,11598,15293,3717,11576,13944,3050,10894,-,-,-,-,-,-,1515,529,986
104學年,二專,7918,4157,3761,3759,2015,1744,3626,1835,1791,74,40,34,38,29,9,-,-,-,-,-,-,-,-,-,421,238,183,1533,598,935,605,237,368,791,302,489,34,18,16,-,-,-,-,-,-,-,-,-,-,-,-,103,41,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6385,3559,2826,3154,1778,1376,2835,1533,1302,40,22,18,38,29,9,-,-,-,-,-,-,-,-,-,318,197,121
104學年,學士後學士學位,155,118,37,110,82,28,35,30,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,6,4,57,34,23,47,28,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,6,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98,84,14,63,54,9,35,30,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,大學二年制(含二技),34108,8892,25216,-,-,-,-,-,-,16378,4383,11995,15320,3997,11323,1555,174,1381,-,-,-,-,-,-,855,338,517,7984,2442,5542,-,-,-,-,-,-,3823,1137,2686,3549,1114,2435,290,55,235,-,-,-,-,-,-,322,136,186,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26124,6450,19674,-,-,-,-,-,-,12555,3246,9309,11771,2883,8888,1265,119,1146,-,-,-,-,-,-,533,202,331
104學年,大學四年制(含四技),481079,253502,227577,122340,64348,57992,116028,60459,55569,112091,58312,53779,110658,57458,53200,459,164,295,-,-,-,-,-,-,19503,12761,6742,87129,49859,37270,22481,12829,9652,21377,12139,9238,20629,11712,8917,19849,11218,8631,136,57,79,-,-,-,-,-,-,2657,1904,753,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,393950,203643,190307,99859,51519,48340,94651,48320,46331,91462,46600,44862,90809,46240,44569,323,107,216,-,-,-,-,-,-,16846,10857,5989
