學年別,縣市別,總計計,總計國立,總計直轄市立,總計私立,專科學校計,專科學校國立,專科學校直轄市立,專科學校私立,獨立學院計,獨立學院國立,獨立學院直轄市立,獨立學院私立,大學計,大學國立,大學直轄市立,大學私立
106學年,總計,157,49,1,107,13,2,-,11,15,1,-,14,129,46,1,82
106學年,新北市,20,2,-,18,1,-,-,1,4,-,-,4,15,2,-,13
106學年,臺北市,25,11,1,13,1,-,-,1,1,1,-,-,23,10,1,12
106學年,桃園市,12,2,-,10,1,-,-,1,1,-,-,1,10,2,-,8
106學年,臺中市,17,5,-,12,-,-,-,-,-,-,-,-,17,5,-,12
106學年,臺南市,15,4,-,11,2,1,-,1,1,-,-,1,12,3,-,9
106學年,高雄市,19,7,-,12,3,-,-,3,1,-,-,1,15,7,-,8
106學年,宜蘭縣,4,1,-,3,1,-,-,1,1,-,-,1,2,1,-,1
106學年,新竹縣,2,-,-,2,-,-,-,-,-,-,-,-,2,-,-,2
106學年,苗栗縣,4,1,-,3,1,-,-,1,1,-,-,1,2,1,-,1
106學年,彰化縣,5,1,-,4,-,-,-,-,-,-,-,-,5,1,-,4
106學年,南投縣,2,1,-,1,-,-,-,-,-,-,-,-,2,1,-,1
106學年,雲林縣,3,2,-,1,-,-,-,-,-,-,-,-,3,2,-,1
106學年,嘉義縣,4,1,-,3,-,-,-,-,1,-,-,1,3,1,-,2
106學年,屏東縣,5,2,-,3,1,-,-,1,-,-,-,-,4,2,-,2
106學年,臺東縣,2,2,-,-,1,1,-,-,-,-,-,-,1,1,-,-
106學年,花蓮縣,5,1,-,4,-,-,-,-,2,-,-,2,3,1,-,2
106學年,澎湖縣,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-
106學年,基隆市,3,1,-,2,-,-,-,-,1,-,-,1,2,1,-,1
106學年,新竹市,5,2,-,3,-,-,-,-,-,-,-,-,5,2,-,3
106學年,嘉義市,3,1,-,2,1,-,-,1,1,-,-,1,1,1,-,-
106學年,金門縣,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-
106學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,158,50,1,107,13,2,-,11,19,1,-,18,126,47,1,78
105學年,新北市,20,2,-,18,1,-,-,1,6,-,-,6,13,2,-,11
105學年,臺北市,25,11,1,13,1,-,-,1,1,1,-,-,23,10,1,12
105學年,桃園市,12,2,-,10,1,-,-,1,1,-,-,1,10,2,-,8
105學年,臺中市,17,5,-,12,-,-,-,-,-,-,-,-,17,5,-,12
105學年,臺南市,15,4,-,11,2,1,-,1,1,-,-,1,12,3,-,9
105學年,高雄市,19,7,-,12,3,-,-,3,2,-,-,2,14,7,-,7
105學年,宜蘭縣,4,1,-,3,1,-,-,1,1,-,-,1,2,1,-,1
105學年,新竹縣,2,-,-,2,-,-,-,-,-,-,-,-,2,-,-,2
105學年,苗栗縣,4,1,-,3,1,-,-,1,1,-,-,1,2,1,-,1
105學年,彰化縣,5,1,-,4,-,-,-,-,-,-,-,-,5,1,-,4
105學年,南投縣,2,1,-,1,-,-,-,-,-,-,-,-,2,1,-,1
105學年,雲林縣,3,2,-,1,-,-,-,-,-,-,-,-,3,2,-,1
105學年,嘉義縣,4,1,-,3,-,-,-,-,1,-,-,1,3,1,-,2
105學年,屏東縣,5,2,-,3,1,-,-,1,-,-,-,-,4,2,-,2
105學年,臺東縣,2,2,-,-,1,1,-,-,-,-,-,-,1,1,-,-
105學年,花蓮縣,5,1,-,4,-,-,-,-,2,-,-,2,3,1,-,2
105學年,澎湖縣,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-
105學年,基隆市,3,1,-,2,-,-,-,-,2,-,-,2,1,1,-,-
105學年,新竹市,6,3,-,3,-,-,-,-,-,-,-,-,6,3,-,3
105學年,嘉義市,3,1,-,2,1,-,-,1,1,-,-,1,1,1,-,-
105學年,金門縣,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,158,50,1,107,13,2,-,11,19,1,-,18,126,47,1,78
104學年,新北市,20,2,-,18,1,-,-,1,6,-,-,6,13,2,-,11
104學年,臺北市,25,11,1,13,1,-,-,1,1,1,-,-,23,10,1,12
104學年,桃園市,12,2,-,10,1,-,-,1,1,-,-,1,10,2,-,8
104學年,臺中市,17,5,-,12,-,-,-,-,-,-,-,-,17,5,-,12
104學年,臺南市,15,4,-,11,2,1,-,1,1,-,-,1,12,3,-,9
104學年,高雄市,19,7,-,12,3,-,-,3,2,-,-,2,14,7,-,7
104學年,宜蘭縣,4,1,-,3,1,-,-,1,1,-,-,1,2,1,-,1
104學年,新竹縣,2,-,-,2,-,-,-,-,-,-,-,-,2,-,-,2
104學年,苗栗縣,4,1,-,3,1,-,-,1,1,-,-,1,2,1,-,1
104學年,彰化縣,5,1,-,4,-,-,-,-,-,-,-,-,5,1,-,4
104學年,南投縣,2,1,-,1,-,-,-,-,-,-,-,-,2,1,-,1
104學年,雲林縣,3,2,-,1,-,-,-,-,-,-,-,-,3,2,-,1
104學年,嘉義縣,4,1,-,3,-,-,-,-,1,-,-,1,3,1,-,2
104學年,屏東縣,5,2,-,3,1,-,-,1,-,-,-,-,4,2,-,2
104學年,臺東縣,2,2,-,-,1,1,-,-,-,-,-,-,1,1,-,-
104學年,花蓮縣,5,1,-,4,-,-,-,-,2,-,-,2,3,1,-,2
104學年,澎湖縣,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-
104學年,基隆市,3,1,-,2,-,-,-,-,2,-,-,2,1,1,-,-
104學年,新竹市,6,3,-,3,-,-,-,-,-,-,-,-,6,3,-,3
104學年,嘉義市,3,1,-,2,1,-,-,1,1,-,-,1,1,1,-,-
104學年,金門縣,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-
104學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,159,50,1,108,14,2,-,12,21,1,-,20,124,47,1,76
103學年,新北市,19,2,-,17,1,-,-,1,6,-,-,6,12,2,-,10
103學年,臺北市,26,11,1,14,2,-,-,2,2,1,-,1,22,10,1,11
103學年,臺中市,17,5,-,12,-,-,-,-,-,-,-,-,17,5,-,12
103學年,臺南市,16,4,-,12,2,1,-,1,1,-,-,1,13,3,-,10
103學年,高雄市,19,7,-,12,3,-,-,3,2,-,-,2,14,7,-,7
103學年,宜蘭縣,4,1,-,3,1,-,-,1,1,-,-,1,2,1,-,1
103學年,桃園縣,12,2,-,10,1,-,-,1,1,-,-,1,10,2,-,8
103學年,新竹縣,2,-,-,2,-,-,-,-,-,-,-,-,2,-,-,2
103學年,苗栗縣,4,1,-,3,1,-,-,1,1,-,-,1,2,1,-,1
103學年,彰化縣,5,1,-,4,-,-,-,-,-,-,-,-,5,1,-,4
103學年,南投縣,2,1,-,1,-,-,-,-,-,-,-,-,2,1,-,1
103學年,雲林縣,3,2,-,1,-,-,-,-,-,-,-,-,3,2,-,1
103學年,嘉義縣,4,1,-,3,-,-,-,-,1,-,-,1,3,1,-,2
103學年,屏東縣,5,2,-,3,1,-,-,1,-,-,-,-,4,2,-,2
103學年,臺東縣,2,2,-,-,1,1,-,-,-,-,-,-,1,1,-,-
103學年,花蓮縣,5,1,-,4,-,-,-,-,3,-,-,3,2,1,-,1
103學年,澎湖縣,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-
103學年,基隆市,3,1,-,2,-,-,-,-,2,-,-,2,1,1,-,-
103學年,新竹市,6,3,-,3,-,-,-,-,-,-,-,-,6,3,-,3
103學年,嘉義市,3,1,-,2,1,-,-,1,1,-,-,1,1,1,-,-
103學年,金門縣,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-
103學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,161,51,1,109,14,2,-,12,25,3,-,22,122,46,1,75
102學年,新北市,18,2,-,16,1,-,-,1,6,-,-,6,11,2,-,9
102學年,臺北市,26,11,1,14,2,-,-,2,3,2,-,1,21,9,1,11
102學年,臺中市,17,5,-,12,-,-,-,-,-,-,-,-,17,5,-,12
102學年,臺南市,16,4,-,12,2,1,-,1,1,-,-,1,13,3,-,10
102學年,高雄市,19,7,-,12,3,-,-,3,2,-,-,2,14,7,-,7
102學年,宜蘭縣,4,1,-,3,1,-,-,1,1,-,-,1,2,1,-,1
102學年,桃園縣,12,2,-,10,1,-,-,1,1,-,-,1,10,2,-,8
102學年,新竹縣,2,-,-,2,-,-,-,-,-,-,-,-,2,-,-,2
102學年,苗栗縣,4,1,-,3,1,-,-,1,1,-,-,1,2,1,-,1
102學年,彰化縣,5,1,-,4,-,-,-,-,-,-,-,-,5,1,-,4
102學年,南投縣,2,1,-,1,-,-,-,-,-,-,-,-,2,1,-,1
102學年,雲林縣,3,2,-,1,-,-,-,-,-,-,-,-,3,2,-,1
102學年,嘉義縣,4,1,-,3,-,-,-,-,1,-,-,1,3,1,-,2
102學年,屏東縣,8,3,-,5,1,-,-,1,3,1,-,2,4,2,-,2
102學年,臺東縣,2,2,-,-,1,1,-,-,-,-,-,-,1,1,-,-
102學年,花蓮縣,5,1,-,4,-,-,-,-,3,-,-,3,2,1,-,1
102學年,澎湖縣,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-
102學年,基隆市,3,1,-,2,-,-,-,-,2,-,-,2,1,1,-,-
102學年,新竹市,6,3,-,3,-,-,-,-,-,-,-,-,6,3,-,3
102學年,嘉義市,3,1,-,2,1,-,-,1,1,-,-,1,1,1,-,-
102學年,金門縣,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,162,51,2,109,14,2,-,12,28,3,1,24,120,46,1,73
101學年,新北市,18,2,-,16,1,-,-,1,6,-,-,6,11,2,-,9
101學年,臺北市,27,11,2,14,2,-,-,2,4,2,1,1,21,9,1,11
101學年,臺中市,17,5,-,12,-,-,-,-,-,-,-,-,17,5,-,12
101學年,臺南市,16,4,-,12,2,1,-,1,2,-,-,2,12,3,-,9
101學年,高雄市,19,7,-,12,3,-,-,3,3,-,-,3,13,7,-,6
101學年,宜蘭縣,4,1,-,3,1,-,-,1,1,-,-,1,2,1,-,1
101學年,桃園縣,12,2,-,10,1,-,-,1,1,-,-,1,10,2,-,8
101學年,新竹縣,2,-,-,2,-,-,-,-,-,-,-,-,2,-,-,2
101學年,苗栗縣,4,1,-,3,1,-,-,1,1,-,-,1,2,1,-,1
101學年,彰化縣,5,1,-,4,-,-,-,-,-,-,-,-,5,1,-,4
101學年,南投縣,2,1,-,1,-,-,-,-,-,-,-,-,2,1,-,1
101學年,雲林縣,3,2,-,1,-,-,-,-,-,-,-,-,3,2,-,1
101學年,嘉義縣,4,1,-,3,-,-,-,-,1,-,-,1,3,1,-,2
101學年,屏東縣,8,3,-,5,1,-,-,1,3,1,-,2,4,2,-,2
101學年,臺東縣,2,2,-,-,1,1,-,-,-,-,-,-,1,1,-,-
101學年,花蓮縣,5,1,-,4,-,-,-,-,3,-,-,3,2,1,-,1
101學年,澎湖縣,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-
101學年,基隆市,3,1,-,2,-,-,-,-,2,-,-,2,1,1,-,-
101學年,新竹市,6,3,-,3,-,-,-,-,-,-,-,-,6,3,-,3
101學年,嘉義市,3,1,-,2,1,-,-,1,1,-,-,1,1,1,-,-
101學年,金門縣,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,163,52,2,109,15,3,-,12,32,4,1,27,116,45,1,70
