學年別,縣市別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,副學士(五專)計小計,副學士(五專)計男,副學士(五專)計女,副學士(五專)國立小計,副學士(五專)國立男,副學士(五專)國立女,副學士(五專)直轄市立小計,副學士(五專)直轄市立男,副學士(五專)直轄市立女,副學士(五專)私立小計,副學士(五專)私立男,副學士(五專)私立女,副學士(二專)計小計,副學士(二專)計男,副學士(二專)計女,副學士(二專)國立小計,副學士(二專)國立男,副學士(二專)國立女,副學士(二專)直轄市立小計,副學士(二專)直轄市立男,副學士(二專)直轄市立女,副學士(二專)私立小計,副學士(二專)私立男,副學士(二專)私立女,學士計小計,學士計男,學士計女,學士國立小計,學士國立男,學士國立女,學士直轄市立小計,學士直轄市立男,學士直轄市立女,學士私立小計,學士私立男,學士私立女,碩士計小計,碩士計男,碩士計女,碩士國立小計,碩士國立男,碩士國立女,碩士直轄市立小計,碩士直轄市立男,碩士直轄市立女,碩士私立小計,碩士私立男,碩士私立女,博士計小計,博士計男,博士計女,博士國立小計,博士國立男,博士國立女,博士直轄市立小計,博士直轄市立男,博士直轄市立女,博士私立小計,博士私立男,博士私立女
105學年,總計,304649,145424,159225,105355,56615,48740,1638,645,993,197656,88164,109492,14152,2659,11493,1522,337,1185,-,-,-,12630,2322,10308,3251,1560,1691,536,203,333,-,-,-,2715,1357,1358,228793,107933,120860,64154,32934,31220,1072,450,622,163567,74549,89018,54941,30857,24084,36376,21208,15168,543,181,362,18022,9468,8554,3512,2415,1097,2767,1933,834,23,14,9,722,468,254
105學年,新北市,35252,16416,18836,3470,1338,2132,-,-,-,31782,15078,16704,1878,514,1364,-,-,-,-,-,-,1878,514,1364,498,246,252,-,-,-,-,-,-,498,246,252,29059,13693,15366,2609,958,1651,-,-,-,26450,12735,13715,3672,1872,1800,823,356,467,-,-,-,2849,1516,1333,145,91,54,38,24,14,-,-,-,107,67,40
105學年,臺北市,61061,27774,33287,27531,13873,13658,1638,645,993,31892,13256,18636,1631,300,1331,324,68,256,-,-,-,1307,232,1075,392,149,243,24,14,10,-,-,-,368,135,233,42574,18369,24205,14523,6612,7911,1072,450,622,26979,11307,15672,15194,8102,7092,11538,6414,5124,543,181,362,3113,1507,1606,1270,854,416,1122,765,357,23,14,9,125,75,50
105學年,桃園市,25836,13040,12796,3834,2442,1392,-,-,-,22002,10598,11404,1278,98,1180,-,-,-,-,-,-,1278,98,1180,60,26,34,-,-,-,-,-,-,60,26,34,19467,9704,9763,1757,1086,671,-,-,-,17710,8618,9092,4718,2984,1734,1919,1241,678,-,-,-,2799,1743,1056,313,228,85,158,115,43,-,-,-,155,113,42
105學年,臺中市,44511,19733,24778,11684,5735,5949,-,-,-,32827,13998,18829,745,137,608,688,129,559,-,-,-,57,8,49,200,62,138,73,8,65,-,-,-,127,54,73,36771,15871,20900,7980,3925,4055,-,-,-,28791,11946,16845,6462,3440,3022,2782,1560,1222,-,-,-,3680,1880,1800,333,223,110,161,113,48,-,-,-,172,110,62
105學年,臺南市,29532,13931,15601,7686,4342,3344,-,-,-,21846,9589,12257,1396,145,1251,325,13,312,-,-,-,1071,132,939,223,77,146,82,4,78,-,-,-,141,73,68,22983,10767,12216,3629,2062,1567,-,-,-,19354,8705,10649,4614,2716,1898,3355,2053,1302,-,-,-,1259,663,596,316,226,90,295,210,85,-,-,-,21,16,5
105學年,高雄市,35025,16827,18198,13621,7536,6085,-,-,-,21404,9291,12113,2782,554,2228,108,86,22,-,-,-,2674,468,2206,751,486,265,128,39,89,-,-,-,623,447,176,25818,12425,13393,9176,4852,4324,-,-,-,16642,7573,9069,5394,3183,2211,3996,2416,1580,-,-,-,1398,767,631,280,179,101,213,143,70,-,-,-,67,36,31
105學年,宜蘭縣,3097,1508,1589,1269,816,453,-,-,-,1828,692,1136,673,146,527,-,-,-,-,-,-,673,146,527,1,1,-,-,-,-,-,-,-,1,1,-,1978,1104,874,1061,663,398,-,-,-,917,441,476,440,253,187,206,151,55,-,-,-,234,102,132,5,4,1,2,2,-,-,-,-,3,2,1
105學年,新竹縣,3932,2319,1613,-,-,-,-,-,-,3932,2319,1613,149,69,80,-,-,-,-,-,-,149,69,80,135,103,32,-,-,-,-,-,-,135,103,32,3474,2014,1460,-,-,-,-,-,-,3474,2014,1460,174,133,41,-,-,-,-,-,-,174,133,41,-,-,-,-,-,-,-,-,-,-,-,-
105學年,苗栗縣,4709,2112,2597,1806,1208,598,-,-,-,2903,904,1999,956,179,777,-,-,-,-,-,-,956,179,777,335,91,244,-,-,-,-,-,-,335,91,244,3170,1681,1489,1645,1091,554,-,-,-,1525,590,935,248,161,87,161,117,44,-,-,-,87,44,43,-,-,-,-,-,-,-,-,-,-,-,-
105學年,彰化縣,9175,5093,4082,2013,1002,1011,-,-,-,7162,4091,3071,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7537,4297,3240,1146,578,568,-,-,-,6391,3719,2672,1551,740,811,806,388,418,-,-,-,745,352,393,87,56,31,61,36,25,-,-,-,26,20,6
105學年,南投縣,2753,1539,1214,1434,714,720,-,-,-,1319,825,494,157,105,52,-,-,-,-,-,-,157,105,52,-,-,-,-,-,-,-,-,-,-,-,-,2039,1116,923,954,435,519,-,-,-,1085,681,404,520,300,220,443,261,182,-,-,-,77,39,38,37,18,19,37,18,19,-,-,-,-,-,-
105學年,雲林縣,6282,3891,2391,4998,3300,1698,-,-,-,1284,591,693,-,-,-,-,-,-,-,-,-,-,-,-,155,68,87,-,-,-,-,-,-,155,68,87,4633,2852,1781,3567,2366,1201,-,-,-,1066,486,580,1458,947,511,1395,910,485,-,-,-,63,37,26,36,24,12,36,24,12,-,-,-,-,-,-
105學年,嘉義縣,5875,3216,2659,2977,1660,1317,-,-,-,2898,1556,1342,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3940,2148,1792,1506,779,727,-,-,-,2434,1369,1065,1871,1022,849,1408,836,572,-,-,-,463,186,277,64,46,18,63,45,18,-,-,-,1,1,-
105學年,屏東縣,9555,3658,5897,4683,2175,2508,-,-,-,4872,1483,3389,1264,226,1038,-,-,-,-,-,-,1264,226,1038,150,55,95,-,-,-,-,-,-,150,55,95,6949,2787,4162,3690,1657,2033,-,-,-,3259,1130,2129,1156,566,590,957,494,463,-,-,-,199,72,127,36,24,12,36,24,12,-,-,-,-,-,-
105學年,臺東縣,1430,670,760,1430,670,760,-,-,-,-,-,-,77,41,36,77,41,36,-,-,-,-,-,-,229,138,91,229,138,91,-,-,-,-,-,-,846,402,444,846,402,444,-,-,-,-,-,-,271,87,184,271,87,184,-,-,-,-,-,-,7,2,5,7,2,5,-,-,-,-,-,-
105學年,花蓮縣,4287,1829,2458,2265,1080,1185,-,-,-,2022,749,1273,232,21,211,-,-,-,-,-,-,232,21,211,109,52,57,-,-,-,-,-,-,109,52,57,3171,1362,1809,1632,750,882,-,-,-,1539,612,927,722,365,357,596,310,286,-,-,-,126,55,71,53,29,24,37,20,17,-,-,-,16,9,7
105學年,澎湖縣,669,352,317,669,352,317,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,630,332,298,630,332,298,-,-,-,-,-,-,39,20,19,39,20,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,基隆市,3566,1915,1651,2251,1521,730,-,-,-,1315,394,921,285,43,242,-,-,-,-,-,-,285,43,242,-,-,-,-,-,-,-,-,-,-,-,-,2447,1331,1116,1472,1000,472,-,-,-,975,331,644,800,514,286,745,494,251,-,-,-,55,20,35,34,27,7,34,27,7,-,-,-,-,-,-
105學年,新竹市,12956,7438,5518,7846,4996,2850,-,-,-,5110,2442,2668,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7678,4033,3645,3298,1962,1336,-,-,-,4380,2071,2309,4810,3032,1778,4109,2680,1429,-,-,-,701,352,349,468,373,95,439,354,85,-,-,-,29,19,10
105學年,嘉義市,4281,1774,2507,3023,1466,1557,-,-,-,1258,308,950,649,81,568,-,-,-,-,-,-,649,81,568,13,6,7,-,-,-,-,-,-,13,6,7,2818,1294,1524,2222,1073,1149,-,-,-,596,221,375,773,382,391,773,382,391,-,-,-,-,-,-,28,11,17,28,11,17,-,-,-,-,-,-
105學年,金門縣,865,389,476,865,389,476,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,811,351,460,811,351,460,-,-,-,-,-,-,54,38,16,54,38,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,309277,148881,160396,105564,57260,48304,1600,593,1007,202113,91028,111085,13728,2491,11237,1501,305,1196,-,-,-,12227,2186,10041,3757,1895,1862,675,234,441,-,-,-,3082,1661,1421,232417,110738,121679,64074,33315,30759,995,411,584,167348,77012,90336,55752,31282,24470,36432,21406,15026,589,177,412,18731,9699,9032,3623,2475,1148,2882,2000,882,16,5,11,725,470,255
104學年,新北市,35672,16820,18852,3558,1349,2209,-,-,-,32114,15471,16643,1623,469,1154,-,-,-,-,-,-,1623,469,1154,752,418,334,-,-,-,-,-,-,752,418,334,29564,14000,15564,2715,991,1724,-,-,-,26849,13009,13840,3593,1849,1744,820,348,472,-,-,-,2773,1501,1272,140,84,56,23,10,13,-,-,-,117,74,43
104學年,臺北市,61481,27996,33485,27413,13960,13453,1600,593,1007,32468,13443,19025,1528,273,1255,287,49,238,-,-,-,1241,224,1017,618,212,406,145,52,93,-,-,-,473,160,313,42840,18633,24207,14376,6739,7637,995,411,584,27469,11483,15986,15206,8071,7135,11469,6387,5082,589,177,412,3148,1507,1641,1289,807,482,1136,733,403,16,5,11,137,69,68
104學年,桃園市,26947,13783,13164,3813,2529,1284,-,-,-,23134,11254,11880,1443,93,1350,-,-,-,-,-,-,1443,93,1350,186,105,81,-,-,-,-,-,-,186,105,81,20206,10345,9861,1766,1149,617,-,-,-,18440,9196,9244,4816,3018,1798,1874,1253,621,-,-,-,2942,1765,1177,296,222,74,173,127,46,-,-,-,123,95,28
104學年,臺中市,45230,20137,25093,11653,5720,5933,-,-,-,33577,14417,19160,853,151,702,668,114,554,-,-,-,185,37,148,313,103,210,132,9,123,-,-,-,181,94,87,37265,16209,21056,7981,3911,4070,-,-,-,29284,12298,16986,6442,3432,3010,2717,1580,1137,-,-,-,3725,1852,1873,357,242,115,155,106,49,-,-,-,202,136,66
104學年,臺南市,30562,14719,15843,7867,4390,3477,-,-,-,22695,10329,12366,1372,138,1234,331,10,321,-,-,-,1041,128,913,244,92,152,81,4,77,-,-,-,163,88,75,23775,11404,12371,3635,2039,1596,-,-,-,20140,9365,10775,4849,2852,1997,3507,2112,1395,-,-,-,1342,740,602,322,233,89,313,225,88,-,-,-,9,8,1
104學年,高雄市,34785,16817,17968,13612,7675,5937,-,-,-,21173,9142,12031,2754,496,2258,130,83,47,-,-,-,2624,413,2211,485,297,188,97,32,65,-,-,-,388,265,123,25629,12529,13100,9035,4891,4144,-,-,-,16594,7638,8956,5600,3279,2321,4111,2501,1610,-,-,-,1489,778,711,317,216,101,239,168,71,-,-,-,78,48,30
104學年,宜蘭縣,3048,1538,1510,1350,877,473,-,-,-,1698,661,1037,638,149,489,-,-,-,-,-,-,638,149,489,-,-,-,-,-,-,-,-,-,-,-,-,1906,1106,800,1108,716,392,-,-,-,798,390,408,497,278,219,240,160,80,-,-,-,257,118,139,7,5,2,2,1,1,-,-,-,5,4,1
104學年,新竹縣,4164,2408,1756,-,-,-,-,-,-,4164,2408,1756,132,60,72,-,-,-,-,-,-,132,60,72,271,196,75,-,-,-,-,-,-,271,196,75,3580,2028,1552,-,-,-,-,-,-,3580,2028,1552,181,124,57,-,-,-,-,-,-,181,124,57,-,-,-,-,-,-,-,-,-,-,-,-
104學年,苗栗縣,4742,2238,2504,1759,1186,573,-,-,-,2983,1052,1931,902,145,757,-,-,-,-,-,-,902,145,757,220,129,91,-,-,-,-,-,-,220,129,91,3312,1790,1522,1585,1069,516,-,-,-,1727,721,1006,307,174,133,173,117,56,-,-,-,134,57,77,1,-,1,1,-,1,-,-,-,-,-,-
104學年,彰化縣,9550,5243,4307,1999,1023,976,-,-,-,7551,4220,3331,-,-,-,-,-,-,-,-,-,-,-,-,12,11,1,-,-,-,-,-,-,12,11,1,7723,4331,3392,1134,571,563,-,-,-,6589,3760,2829,1735,851,884,811,420,391,-,-,-,924,431,493,80,50,30,54,32,22,-,-,-,26,18,8
104學年,南投縣,2713,1538,1175,1390,673,717,-,-,-,1323,865,458,164,113,51,-,-,-,-,-,-,164,113,51,5,4,1,-,-,-,-,-,-,5,4,1,2013,1149,864,951,433,518,-,-,-,1062,716,346,511,260,251,419,228,191,-,-,-,92,32,60,20,12,8,20,12,8,-,-,-,-,-,-
104學年,雲林縣,6595,4039,2556,5080,3359,1721,-,-,-,1515,680,835,-,-,-,-,-,-,-,-,-,-,-,-,134,76,58,-,-,-,-,-,-,134,76,58,4955,2956,1999,3639,2386,1253,-,-,-,1316,570,746,1466,976,490,1401,942,459,-,-,-,65,34,31,40,31,9,40,31,9,-,-,-,-,-,-
104學年,嘉義縣,6149,3267,2882,3029,1681,1348,-,-,-,3120,1586,1534,-,-,-,-,-,-,-,-,-,-,-,-,3,1,2,-,-,-,-,-,-,3,1,2,4195,2199,1996,1569,812,757,-,-,-,2626,1387,1239,1876,1022,854,1387,825,562,-,-,-,489,197,292,75,45,30,73,44,29,-,-,-,2,1,1
104學年,屏東縣,9751,3735,6016,4787,2135,2652,-,-,-,4964,1600,3364,1200,232,968,-,-,-,-,-,-,1200,232,968,144,54,90,-,-,-,-,-,-,144,54,90,7192,2835,4357,3800,1646,2154,-,-,-,3392,1189,2203,1186,593,593,958,468,490,-,-,-,228,125,103,29,21,8,29,21,8,-,-,-,-,-,-
104學年,臺東縣,1402,688,714,1402,688,714,-,-,-,-,-,-,85,49,36,85,49,36,-,-,-,-,-,-,220,137,83,220,137,83,-,-,-,-,-,-,816,400,416,816,400,416,-,-,-,-,-,-,276,102,174,276,102,174,-,-,-,-,-,-,5,-,5,5,-,5,-,-,-,-,-,-
104學年,花蓮縣,4303,1946,2357,2250,1135,1115,-,-,-,2053,811,1242,204,8,196,-,-,-,-,-,-,204,8,196,124,57,67,-,-,-,-,-,-,124,57,67,3151,1428,1723,1584,760,824,-,-,-,1567,668,899,765,416,349,618,344,274,-,-,-,147,72,75,59,37,22,48,31,17,-,-,-,11,6,5
104學年,澎湖縣,731,370,361,731,370,361,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,690,348,342,690,348,342,-,-,-,-,-,-,41,22,19,41,22,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,基隆市,3570,1892,1678,2258,1533,725,-,-,-,1312,359,953,267,47,220,-,-,-,-,-,-,267,47,220,-,-,-,-,-,-,-,-,-,-,-,-,2433,1278,1155,1441,979,462,-,-,-,992,299,693,819,531,288,766,518,248,-,-,-,53,13,40,51,36,15,51,36,15,-,-,-,-,-,-
