學年別,學門別,總計計,總計男,總計女,副學士(五專)計,副學士(五專)男,副學士(五專)女,副學士(二專)計,副學士(二專)男,副學士(二專)女,學士後學士學位計,學士後學士學位男,學士後學士學位女,二年制學士(含二技)計,二年制學士(含二技)男,二年制學士(含二技)女,四年制學士(含四技)計,四年制學士(含四技)男,四年制學士(含四技)女,碩士計,碩士男,碩士女,博士計,博士男,博士女
104學年,總計,309277,148881,160396,13728,2491,11237,3757,1895,1862,167,118,49,15988,4173,11815,216262,106447,109815,55752,31282,24470,3623,2475,1148
104學年,教育學門,8838,2625,6213,-,-,-,-,-,-,-,-,-,45,1,44,4888,1492,3396,3620,1004,2616,285,128,157
104學年,藝術學門,5917,1568,4349,105,26,79,-,-,-,11,5,6,264,46,218,3986,1100,2886,1505,370,1135,46,21,25
104學年,人文學門,23456,6289,17167,1085,139,946,3,-,3,-,-,-,745,168,577,19253,5214,14039,2145,659,1486,225,109,116
104學年,設計學門,13704,4937,8767,305,134,171,83,42,41,-,-,-,409,131,278,11795,4146,7649,1066,456,610,46,28,18
104學年,社會及行為科學學門,11282,4665,6617,-,-,-,-,-,-,-,-,-,3,-,3,7862,3171,4691,3229,1374,1855,188,120,68
104學年,傳播學門,6022,2053,3969,-,-,-,-,-,-,3,2,1,34,12,22,5238,1783,3455,732,252,480,15,4,11
104學年,商業及管理學門,59210,23310,35900,1086,218,868,767,381,386,5,4,1,2833,978,1855,42174,15808,26366,12026,5737,6289,319,184,135
104學年,法律學門,4132,1910,2222,-,-,-,-,-,-,-,-,-,45,27,18,3078,1354,1724,990,513,477,19,16,3
104學年,生命科學學門,5012,2684,2328,-,-,-,-,-,-,-,-,-,80,20,60,3264,1759,1505,1394,731,663,274,174,100
104學年,自然科學學門,5685,4103,1582,-,-,-,-,-,-,-,-,-,-,-,-,3522,2577,945,1908,1320,588,255,206,49
104學年,數學及統計學門,3467,2244,1223,-,-,-,-,-,-,-,-,-,-,-,-,2746,1742,1004,694,479,215,27,23,4
104學年,電算機學門,15954,10337,5617,489,252,237,301,187,114,-,-,-,632,385,247,12327,8159,4168,2154,1318,836,51,36,15
104學年,工程學門,65001,55579,9422,559,511,48,449,397,52,48,45,3,1314,1114,200,44025,38159,5866,17362,14267,3095,1244,1086,158
104學年,建築及都市規劃學門,3057,1512,1545,15,11,4,47,25,22,-,-,-,19,8,11,2285,1113,1172,671,341,330,20,14,6
104學年,農業科學學門,6077,2890,3187,35,14,21,72,43,29,-,-,-,-,-,-,4681,2180,2501,1200,604,596,89,49,40
104學年,獸醫學門,368,173,195,-,-,-,-,-,-,-,-,-,-,-,-,268,127,141,88,41,47,12,5,7
104學年,醫藥衛生學門,28057,7015,21042,7631,740,6891,638,401,237,36,15,21,5982,475,5507,11059,4330,6729,2238,800,1438,473,254,219
104學年,社會服務學門,7826,1038,6788,445,19,426,451,48,403,-,-,-,1613,181,1432,4862,724,4138,444,62,382,11,4,7
104學年,民生學門,33301,12435,20866,1898,377,1521,887,322,565,16,6,10,1895,600,1295,26808,10430,16378,1791,696,1095,6,4,2
104學年,運輸服務學門,2323,1142,1181,75,50,25,59,49,10,48,41,7,75,27,48,1688,764,924,370,205,165,8,6,2
104學年,環境保護學門,392,221,171,-,-,-,-,-,-,-,-,-,-,-,-,305,184,121,78,33,45,9,4,5
104學年,軍警國防安全學門,166,148,18,-,-,-,-,-,-,-,-,-,-,-,-,148,131,17,18,17,1,-,-,-
104學年,其他學門,30,3,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,3,26,1,-,1
103學年,總計,309849,148826,161023,14414,2612,11802,4428,2028,2400,240,185,55,16849,4531,12318,212457,104564,107893,57461,32102,25359,4000,2804,1196
103學年,教育學門,8966,2746,6220,-,-,-,-,-,-,-,-,-,17,1,16,4822,1521,3301,3815,1055,2760,312,169,143
103學年,藝術學門,5879,1504,4375,129,31,98,2,2,-,13,5,8,289,54,235,3916,1027,2889,1507,375,1132,23,10,13
103學年,人文學門,23354,5929,17425,1090,144,946,10,6,4,-,-,-,684,132,552,18938,4834,14104,2363,694,1669,269,119,150
103學年,設計學門,13024,4739,8285,297,129,168,63,35,28,7,4,3,398,134,264,11148,3948,7200,1075,467,608,36,22,14
103學年,社會及行為科學學門,11046,4374,6672,-,-,-,-,-,-,-,-,-,9,1,8,7397,2831,4566,3433,1422,2011,207,120,87
103學年,傳播學門,5774,1897,3877,-,-,-,-,-,-,-,-,-,59,15,44,4915,1610,3305,787,265,522,13,7,6
103學年,商業及管理學門,59322,22901,36421,1206,242,964,894,451,443,28,17,11,2943,1083,1860,41863,15272,26591,12050,5639,6411,338,197,141
103學年,法律學門,3993,1816,2177,-,-,-,-,-,-,-,-,-,85,44,41,2831,1213,1618,1058,543,515,19,16,3
