學年別,領域別,總計計,總計男,總計女,副學士(五專)計,副學士(五專)男,副學士(五專)女,副學士(二專)計,副學士(二專)男,副學士(二專)女,學士後學士學位計,學士後學士學位男,學士後學士學位女,二年制學士(含二技)計,二年制學士(含二技)男,二年制學士(含二技)女,四年制學士(含四技)計,四年制學士(含四技)男,四年制學士(含四技)女,碩士計,碩士男,碩士女,博士計,博士男,博士女
104學年,總計,309277,148881,160396,13728,2491,11237,3757,1895,1862,167,118,49,15988,4173,11815,216262,106447,109815,55752,31282,24470,3623,2475,1148
104學年,教育,8838,2625,6213,-,-,-,-,-,-,-,-,-,45,1,44,4888,1492,3396,3620,1004,2616,285,128,157
104學年,人文及藝術,43077,12794,30283,1495,299,1196,86,42,44,11,5,6,1418,345,1073,35034,10460,24574,4716,1485,3231,317,158,159
104學年,社會科學、商業及法律,80646,31938,48708,1086,218,868,767,381,386,8,6,2,2915,1017,1898,58352,22116,36236,16977,7876,9101,541,324,217
104學年,科學,30118,19368,10750,489,252,237,301,187,114,-,-,-,712,405,307,21859,14237,7622,6150,3848,2302,607,439,168
104學年,工程、製造及營造,68058,57091,10967,574,522,52,496,422,74,48,45,3,1333,1122,211,46310,39272,7038,18033,14608,3425,1264,1100,164
104學年,農學,6445,3063,3382,35,14,21,72,43,29,-,-,-,-,-,-,4949,2307,2642,1288,645,643,101,54,47
104學年,醫藥衛生及社福,35883,8053,27830,8076,759,7317,1089,449,640,36,15,21,7595,656,6939,15921,5054,10867,2682,862,1820,484,258,226
104學年,服務,36182,13946,22236,1973,427,1546,946,371,575,64,47,17,1970,627,1343,28949,11509,17440,2257,951,1306,23,14,9
104學年,其他,30,3,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,3,26,1,-,1
103學年,總計,309849,148826,161023,14414,2612,11802,4428,2028,2400,240,185,55,16849,4531,12318,212457,104564,107893,57461,32102,25359,4000,2804,1196
103學年,教育,8966,2746,6220,-,-,-,-,-,-,-,-,-,17,1,16,4822,1521,3301,3815,1055,2760,312,169,143
103學年,人文及藝術,42257,12172,30085,1516,304,1212,75,43,32,20,9,11,1371,320,1051,34002,9809,24193,4945,1536,3409,328,151,177
103學年,社會科學、商業及法律,80135,30988,49147,1206,242,964,894,451,443,28,17,11,3096,1143,1953,57006,20926,36080,17328,7869,9459,577,340,237
103學年,科學,30907,19688,11219,670,354,316,349,178,171,-,-,-,790,458,332,22173,14303,7870,6269,3917,2352,656,478,178
103學年,工程、製造及營造,70221,59045,11176,636,574,62,425,382,43,53,50,3,1479,1251,228,47740,40491,7249,18404,15008,3396,1484,1289,195
103學年,農學,6394,3003,3391,22,3,19,84,50,34,-,-,-,-,-,-,4723,2137,2586,1444,734,710,121,79,42
103學年,醫藥衛生及社福,36547,8017,28530,8535,765,7770,1227,376,851,35,19,16,8159,704,7455,15234,4954,10280,2872,929,1943,485,270,215
103學年,服務,34360,13134,21226,1829,370,1459,1374,548,826,104,90,14,1937,654,1283,26733,10401,16332,2348,1043,1305,35,28,7
103學年,其他,62,33,29,-,-,-,-,-,-,-,-,-,-,-,-,24,22,2,36,11,25,2,-,2
102學年,總計,311041,151424,159617,13340,2412,10928,4900,2168,2732,247,173,74,18550,5123,13427,209965,104194,105771,59991,34484,25507,4048,2870,1178
102學年,教育,9185,2860,6325,-,-,-,-,-,-,-,-,-,26,3,23,4776,1512,3264,4088,1198,2890,295,147,148
102學年,人文及藝術,40914,11597,29317,1379,240,1139,117,71,46,17,7,10,1538,341,1197,32552,9187,23365,4956,1601,3355,355,150,205
102學年,社會科學、商業及法律,80628,31452,49176,1134,228,906,877,412,465,56,31,25,3652,1344,2308,56538,20718,35820,17799,8371,9428,572,348,224
102學年,科學,31394,20048,11346,613,328,285,377,164,213,-,-,-,959,580,379,22143,14218,7925,6626,4249,2377,676,509,167
102學年,工程、製造及營造,72742,61675,11067,598,545,53,486,439,47,73,62,11,1707,1449,258,48532,41485,7047,19806,16325,3481,1540,1370,170
102學年,農學,6638,3207,3431,-,-,-,57,33,24,-,-,-,-,-,-,5006,2375,2631,1458,727,731,117,72,45
102學年,醫藥衛生及社福,36779,7827,28952,8075,731,7344,1340,364,976,35,17,18,8487,624,7863,15473,4897,10576,2896,931,1965,473,263,210
102學年,服務,32703,12733,19970,1541,340,1201,1646,685,961,66,56,10,2181,782,1399,24928,9788,15140,2321,1071,1250,20,11,9
102學年,其他,58,25,33,-,-,-,-,-,-,-,-,-,-,-,-,17,14,3,41,11,30,-,-,-
101學年,總計,309333,151921,157412,12733,2453,10280,5342,2313,3029,154,90,64,19732,5951,13781,206913,103401,103512,60218,34706,25512,4241,3007,1234
101學年,教育,9627,3318,6309,-,-,-,-,-,-,-,-,-,39,-,39,4870,1666,3204,4390,1492,2898,328,160,168
101學年,人文及藝術,41313,11549,29764,1329,207,1122,183,96,87,33,13,20,1821,392,1429,32418,8983,23435,5187,1692,3495,342,166,176
101學年,社會科學、商業及法律,79441,31255,48186,1096,220,876,791,380,411,24,14,10,3531,1363,2168,55959,20694,35265,17489,8238,9251,551,346,205
101學年,科學,32513,20644,11869,623,314,309,395,225,170,-,-,-,1390,865,525,22376,14262,8114,6966,4436,2530,763,542,221
101學年,工程、製造及營造,73580,62532,11048,788,729,59,738,632,106,40,29,11,2231,1897,334,48450,41652,6798,19667,16136,3531,1666,1457,209
101學年,農學,6653,3233,3420,-,-,-,82,41,41,-,-,-,3,3,-,4999,2422,2577,1453,697,756,116,70,46
101學年,醫藥衛生及社福,36314,7605,28709,7676,706,6970,1515,328,1187,9,3,6,8448,557,7891,15376,4830,10546,2840,934,1906,450,247,203
101學年,服務,29833,11756,18077,1221,277,944,1638,611,1027,48,31,17,2269,874,1395,22442,8873,13569,2190,1071,1119,25,19,6
