學年別,日間/進修別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,副學士(五專)計小計,副學士(五專)計男,副學士(五專)計女,副學士(五專)國立小計,副學士(五專)國立男,副學士(五專)國立女,副學士(五專)直轄市立小計,副學士(五專)直轄市立男,副學士(五專)直轄市立女,副學士(五專)私立小計,副學士(五專)私立男,副學士(五專)私立女,副學士(二專)計小計,副學士(二專)計男,副學士(二專)計女,副學士(二專)國立小計,副學士(二專)國立男,副學士(二專)國立女,副學士(二專)直轄市立小計,副學士(二專)直轄市立男,副學士(二專)直轄市立女,副學士(二專)私立小計,副學士(二專)私立男,副學士(二專)私立女,學士計小計,學士計男,學士計女,學士國立小計,學士國立男,學士國立女,學士直轄市立小計,學士直轄市立男,學士直轄市立女,學士私立小計,學士私立男,學士私立女,碩士計小計,碩士計男,碩士計女,碩士國立小計,碩士國立男,碩士國立女,碩士直轄市立小計,碩士直轄市立男,碩士直轄市立女,碩士私立小計,碩士私立男,碩士私立女,博士計小計,博士計男,博士計女,博士國立小計,博士國立男,博士國立女,博士直轄市立小計,博士直轄市立男,博士直轄市立女,博士私立小計,博士私立男,博士私立女
105學年,總計,304649,145424,159225,105355,56615,48740,1638,645,993,197656,88164,109492,14152,2659,11493,1522,337,1185,-,-,-,12630,2322,10308,3251,1560,1691,536,203,333,-,-,-,2715,1357,1358,228793,107933,120860,64154,32934,31220,1072,450,622,163567,74549,89018,54941,30857,24084,36376,21208,15168,543,181,362,18022,9468,8554,3512,2415,1097,2767,1933,834,23,14,9,722,468,254
105學年,日間部,249780,119932,129848,89595,48892,40703,1377,560,817,158808,70480,88328,14152,2659,11493,1522,337,1185,-,-,-,12630,2322,10308,459,228,231,242,120,122,-,-,-,217,108,109,192499,91646,100853,57468,29798,27670,1072,450,622,133959,61398,72561,39161,22986,16175,27599,16706,10893,282,96,186,11280,6184,5096,3509,2413,1096,2764,1931,833,23,14,9,722,468,254
105學年,進修部,54869,25492,29377,15760,7723,8037,261,85,176,38848,17684,21164,-,-,-,-,-,-,-,-,-,-,-,-,2792,1332,1460,294,83,211,-,-,-,2498,1249,1249,36294,16287,20007,6686,3136,3550,-,-,-,29608,13151,16457,15780,7871,7909,8777,4502,4275,261,85,176,6742,3284,3458,3,2,1,3,2,1,-,-,-,-,-,-
104學年,總計,309277,148881,160396,105564,57260,48304,1600,593,1007,202113,91028,111085,13728,2491,11237,1501,305,1196,-,-,-,12227,2186,10041,3757,1895,1862,675,234,441,-,-,-,3082,1661,1421,232417,110738,121679,64074,33315,30759,995,411,584,167348,77012,90336,55752,31282,24470,36432,21406,15026,589,177,412,18731,9699,9032,3623,2475,1148,2882,2000,882,16,5,11,725,470,255
104學年,日間部,252027,122502,129525,89785,49591,40194,1297,508,789,160945,72403,88542,13728,2491,11237,1501,305,1196,-,-,-,12227,2186,10041,1004,537,467,284,124,160,-,-,-,720,413,307,194032,93601,100431,57272,30167,27105,995,411,584,135765,63023,72742,39646,23402,16244,27852,16999,10853,286,92,194,11508,6311,5197,3617,2471,1146,2876,1996,880,16,5,11,725,470,255
104學年,進修部,57250,26379,30871,15779,7669,8110,303,85,218,41168,18625,22543,-,-,-,-,-,-,-,-,-,-,-,-,2753,1358,1395,391,110,281,-,-,-,2362,1248,1114,38385,17137,21248,6802,3148,3654,-,-,-,31583,13989,17594,16106,7880,8226,8580,4407,4173,303,85,218,7223,3388,3835,6,4,2,6,4,2,-,-,-,-,-,-
103學年,總計,309849,148826,161023,105935,56529,49406,1578,603,975,202336,91694,110642,14414,2612,11802,1594,295,1299,-,-,-,12820,2317,10503,4428,2028,2400,949,353,596,-,-,-,3479,1675,1804,229546,109280,120266,63035,31929,31106,1004,428,576,165507,76923,88584,57461,32102,25359,37097,21618,15479,556,165,391,19808,10319,9489,4000,2804,1196,3260,2334,926,18,10,8,722,460,262
103學年,日間部,249243,120847,128396,89466,48553,40913,1292,517,775,158485,71777,86708,14414,2612,11802,1594,295,1299,-,-,-,12820,2317,10503,1434,779,655,360,127,233,-,-,-,1074,652,422,188844,90722,98122,56158,28755,27403,1004,428,576,131682,61539,70143,40561,23939,16622,28104,17051,11053,270,79,191,12187,6809,5378,3990,2795,1195,3250,2325,925,18,10,8,722,460,262
103學年,進修部,60606,27979,32627,16469,7976,8493,286,86,200,43851,19917,23934,-,-,-,-,-,-,-,-,-,-,-,-,2994,1249,1745,589,226,363,-,-,-,2405,1023,1382,40702,18558,22144,6877,3174,3703,-,-,-,33825,15384,18441,16900,8163,8737,8993,4567,4426,286,86,200,7621,3510,4111,10,9,1,10,9,1,-,-,-,-,-,-
102學年,總計,311041,151424,159617,107980,58617,49363,1568,613,955,201493,92194,109299,13340,2412,10928,1332,240,1092,-,-,-,12008,2172,9836,4900,2168,2732,848,271,577,-,-,-,4052,1897,2155,228762,109490,119272,63425,32647,30778,1018,421,597,164319,76422,87897,59991,34484,25507,39025,23051,15974,536,186,350,20430,11247,9183,4048,2870,1178,3350,2408,942,14,6,8,684,456,228
