學年別,三分類,五專(含七年)總計,五專(含七年)國立,五專(含七年)直轄市立,五專(含七年)私立,二專總計,二專國立,二專直轄市立,二專私立,學士後學士學位總計,學士後學士學位國立,學士後學士學位直轄市立,學士後學士學位私立,大學二年制(含二技)總計,大學二年制(含二技)國立,大學二年制(含二技)直轄市立,大學二年制(含二技)私立,大學四年制(含四技)總計,大學四年制(含四技)國立,大學四年制(含四技)直轄市立,大學四年制(含四技)私立,碩士班總計,碩士班國立,碩士班直轄市立,碩士班私立,博士班總計,博士班國立,博士班直轄市立,博士班私立
105學年,總計,251,30,-,221,112,17,-,95,19,10,-,9,484,135,-,349,3761,1151,27,2583,3426,1853,47,1526,880,655,5,220
105學年,人文類,58,8,-,50,6,-,-,6,6,3,-,3,81,24,-,57,818,292,11,515,780,497,26,257,157,126,3,28
105學年,社會類,98,13,-,85,63,8,-,55,6,3,-,3,222,56,-,166,1496,323,10,1163,1120,529,13,578,172,126,2,44
105學年,科技類,95,9,-,86,43,9,-,34,7,4,-,3,181,55,-,126,1447,536,6,905,1526,827,8,691,551,403,-,148
104學年,總計,253,30,-,223,141,22,-,119,11,6,-,5,435,103,-,332,3749,1130,27,2592,3378,1841,46,1491,858,646,5,207
104學年,人文類,60,8,-,52,6,-,-,6,3,2,-,1,66,18,-,48,817,287,11,519,785,508,25,252,159,128,3,28
104學年,社會類,100,13,-,87,86,14,-,72,2,1,-,1,207,47,-,160,1489,319,10,1160,1101,518,13,570,172,126,2,44
104學年,科技類,93,9,-,84,49,8,-,41,6,3,-,3,162,38,-,124,1443,524,6,913,1492,815,8,669,527,392,-,135
103學年,總計,236,31,-,205,162,25,-,137,12,7,-,5,482,97,-,385,3797,1123,24,2650,3334,1819,48,1467,851,638,5,208
103學年,人文類,54,8,-,46,8,-,-,8,1,-,-,1,72,17,-,55,822,285,11,526,776,507,27,242,156,125,3,28
103學年,社會類,96,13,-,83,102,15,-,87,2,1,-,1,241,47,-,194,1497,315,9,1173,1078,509,13,556,170,124,2,44
103學年,科技類,86,10,-,76,52,10,-,42,9,6,-,3,169,33,-,136,1478,523,4,951,1480,803,8,669,525,389,-,136
102學年,總計,253,30,-,223,195,27,-,168,15,8,-,7,500,105,-,395,3848,1114,24,2710,3312,1809,47,1456,839,626,5,208
102學年,人文類,58,8,-,50,7,-,-,7,3,1,-,2,73,17,-,56,824,286,11,527,775,506,27,242,152,122,3,27
102學年,社會類,98,12,-,86,126,15,-,111,5,3,-,2,241,45,-,196,1502,305,9,1188,1049,501,12,536,167,122,2,43
102學年,科技類,97,10,-,87,62,12,-,50,7,4,-,3,186,43,-,143,1522,523,4,995,1488,802,8,678,520,382,-,138
101學年,總計,257,30,-,227,206,25,-,181,16,9,-,7,500,107,-,393,3858,1099,24,2735,3289,1823,46,1420,822,615,5,202
101學年,人文類,60,8,-,52,10,1,-,9,2,1,-,1,70,17,-,53,815,286,12,517,776,513,26,237,149,121,3,25
101學年,社會類,97,12,-,85,124,12,-,112,7,4,-,3,226,47,-,179,1494,296,8,1190,1031,503,12,516,161,118,2,41
101學年,科技類,100,10,-,90,72,12,-,60,7,4,-,3,204,43,-,161,1549,517,4,1028,1482,807,8,667,512,376,-,136
100學年,總計,273,29,-,244,219,25,-,194,25,11,-,14,514,112,-,402,3826,1082,24,2720,3264,1820,48,1396,809,605,5,199
100學年,人文類,54,7,-,47,10,1,-,9,3,2,-,1,74,20,-,54,797,284,12,501,769,515,27,227,147,120,3,24
100學年,社會類,103,12,-,91,127,12,-,115,12,4,-,8,222,45,-,177,1473,287,8,1178,1013,493,13,507,161,118,2,41
100學年,科技類,116,10,-,106,82,12,-,70,10,5,-,5,218,47,-,171,1556,511,4,1041,1482,812,8,662,501,367,-,134
99學年,總計,275,31,-,244,253,34,-,219,25,9,-,16,643,133,-,510,3809,1084,22,2703,3302,1870,48,1384,801,607,4,190
99學年,人文類,53,8,-,45,12,1,-,11,4,2,-,2,81,20,-,61,770,284,13,473,793,540,33,220,148,121,4,23
99學年,社會類,103,13,-,90,138,17,-,121,11,2,-,9,275,52,-,223,1452,287,8,1157,1016,505,13,498,156,116,-,40
99學年,科技類,119,10,-,109,103,16,-,87,10,5,-,5,287,61,-,226,1587,513,1,1073,1493,825,2,666,497,370,-,127
98學年,總計,264,25,-,239,307,43,-,264,-,-,-,-,750,145,-,605,3730,1080,22,2628,3303,1860,48,1395,794,598,4,192
98學年,人文類,47,7,-,40,19,4,-,15,-,-,-,-,90,19,-,71,742,285,13,444,810,545,34,231,146,118,4,24
98學年,社會類,100,12,-,88,158,22,-,136,-,-,-,-,307,54,-,253,1414,283,8,1123,1002,491,12,499,158,115,-,43
98學年,科技類,117,6,-,111,130,17,-,113,-,-,-,-,353,72,-,281,1574,512,1,1061,1491,824,2,665,490,365,-,125
97學年,總計,257,24,-,233,389,44,-,345,-,-,-,-,982,178,-,804,3697,1078,22,2597,3232,1831,47,1354,769,580,4,185
97學年,人文類,45,7,-,38,27,4,-,23,-,-,-,-,115,24,-,91,731,282,13,436,796,543,34,219,143,116,4,23
97學年,社會類,94,11,-,83,183,19,-,164,-,-,-,-,395,62,-,333,1389,285,8,1096,987,485,12,490,154,114,-,40
97學年,科技類,118,6,-,112,179,21,-,158,-,-,-,-,472,92,-,380,1577,511,1,1065,1449,803,1,645,472,350,-,122
""
