學年別,五專(含七年)總計,五專(含七年)日間部,五專(含七年)進修部,二專總計,二專日間部,二專進修部,學士後學士學位總計,學士後學士學位日間部,學士後學士學位進修部,大學二年制(含二技)總計,大學二年制(含二技)日間部,大學二年制(含二技)進修部,大學四年制(含四技)總計,大學四年制(含四技)日間部,大學四年制(含四技)進修部,碩士班總計,碩士班日間部,碩士班進修部,博士班總計,博士班日間部,博士班進修部
106學年,255,255,-,112,17,95,18,12,6,477,233,244,3772,2849,923,3478,2449,1029,910,910,-
105學年,251,251,-,112,16,96,19,12,7,484,241,243,3761,2840,921,3426,2410,1016,880,880,-
104學年,253,253,-,141,45,96,11,7,4,435,194,241,3749,2813,936,3378,2354,1024,858,858,-
103學年,236,236,-,162,63,99,12,9,3,482,204,278,3797,2814,983,3334,2326,1008,851,851,-
102學年,253,253,-,195,82,113,15,8,7,500,203,297,3848,2836,1012,3312,2310,1002,839,839,-
101學年,257,257,-,206,84,122,16,7,9,500,184,316,3858,2810,1048,3289,2274,1015,822,820,2
100學年,273,273,-,219,93,126,25,11,14,514,183,331,3826,2774,1052,3264,2261,1003,809,808,1
99學年,275,275,-,253,109,144,25,14,11,643,231,412,3809,2759,1050,3302,2308,994,801,797,4
98學年,264,264,-,307,129,178,-,-,-,750,291,459,3730,2717,1013,3303,2295,1008,794,790,4
97學年,257,257,-,389,168,221,-,-,-,982,379,603,3697,2712,985,3232,2254,978,769,765,4
""
