學年別,學校級別,設立別,警衛總計,警衛男,警衛女,工友(含技工)總計,工友(含技工)男,工友(含技工)女
106學年,總計,計,508,504,4,3043,1691,1352
106學年,總計,國立,323,319,4,1878,1023,855
106學年,總計,直轄市立,4,4,-,34,15,19
106學年,總計,私立,181,181,-,1131,653,478
106學年,專科學校,計,14,14,-,60,44,16
106學年,專科學校,國立,-,-,-,10,5,5
106學年,專科學校,直轄市立,-,-,-,-,-,-
106學年,專科學校,私立,14,14,-,50,39,11
106學年,獨立學院,計,7,7,-,56,33,23
106學年,獨立學院,國立,3,3,-,17,10,7
106學年,獨立學院,直轄市立,-,-,-,-,-,-
106學年,獨立學院,私立,4,4,-,39,23,16
106學年,大學,計,487,483,4,2927,1614,1313
106學年,大學,國立,320,316,4,1851,1008,843
106學年,大學,直轄市立,4,4,-,34,15,19
106學年,大學,私立,163,163,-,1042,591,451
105學年,總計,計,527,521,6,3236,1817,1419
105學年,總計,國立,342,338,4,2000,1096,904
105學年,總計,直轄市立,4,4,-,34,15,19
105學年,總計,私立,181,179,2,1202,706,496
105學年,專科學校,計,6,6,-,67,49,18
105學年,專科學校,國立,-,-,-,11,6,5
105學年,專科學校,直轄市立,-,-,-,-,-,-
105學年,專科學校,私立,6,6,-,56,43,13
105學年,獨立學院,計,16,16,-,104,64,40
105學年,獨立學院,國立,3,3,-,18,10,8
105學年,獨立學院,直轄市立,-,-,-,-,-,-
105學年,獨立學院,私立,13,13,-,86,54,32
105學年,大學,計,505,499,6,3065,1704,1361
105學年,大學,國立,339,335,4,1971,1080,891
105學年,大學,直轄市立,4,4,-,34,15,19
105學年,大學,私立,162,160,2,1060,609,451
104學年,總計,計,548,542,6,3466,1938,1528
104學年,總計,國立,358,354,4,2171,1187,984
104學年,總計,直轄市立,4,4,-,35,15,20
104學年,總計,私立,186,184,2,1260,736,524
104學年,專科學校,計,4,4,-,65,50,15
104學年,專科學校,國立,-,-,-,14,7,7
104學年,專科學校,直轄市立,-,-,-,-,-,-
104學年,專科學校,私立,4,4,-,51,43,8
104學年,獨立學院,計,16,16,-,100,60,40
104學年,獨立學院,國立,3,3,-,18,10,8
104學年,獨立學院,直轄市立,-,-,-,-,-,-
104學年,獨立學院,私立,13,13,-,82,50,32
104學年,大學,計,528,522,6,3301,1828,1473
104學年,大學,國立,355,351,4,2139,1170,969
104學年,大學,直轄市立,4,4,-,35,15,20
104學年,大學,私立,169,167,2,1127,643,484
103學年,總計,計,588,581,7,3660,2044,1616
103學年,總計,國立,390,386,4,2304,1267,1037
103學年,總計,直轄市立,4,4,-,35,15,20
103學年,總計,私立,194,191,3,1321,762,559
103學年,專科學校,計,4,3,1,82,61,21
103學年,專科學校,國立,-,-,-,15,7,8
103學年,專科學校,直轄市立,-,-,-,-,-,-
