學年別,縣市別,二專總計計,二專總計男,二專總計女,二專國立計,二專國立男,二專國立女,二專私立計,二專私立男,二專私立女,二技總計計,二技總計男,二技總計女,二技國立計,二技國立男,二技國立女,二技私立計,二技私立男,二技私立女
106學年,總計,12750,5839,6911,3229,1231,1998,9521,4608,4913,10157,4704,5453,2631,1265,1366,7526,3439,4087
106學年,新北市,926,482,444,-,-,-,926,482,444,878,350,528,-,-,-,878,350,528
106學年,臺北市,2958,1228,1730,1505,487,1018,1453,741,712,1360,758,602,56,47,9,1304,711,593
106學年,桃園市,468,192,276,-,-,-,468,192,276,667,242,425,-,-,-,667,242,425
106學年,臺中市,1938,876,1062,1724,744,980,214,132,82,1947,909,1038,1662,681,981,285,228,57
106學年,臺南市,326,185,141,-,-,-,326,185,141,206,125,81,-,-,-,206,125,81
106學年,高雄市,2937,1474,1463,-,-,-,2937,1474,1463,1548,859,689,750,429,321,798,430,368
106學年,宜蘭縣,157,92,65,-,-,-,157,92,65,212,142,70,-,-,-,212,142,70
106學年,新竹縣,152,72,80,-,-,-,152,72,80,212,111,101,-,-,-,212,111,101
106學年,苗栗縣,62,39,23,-,-,-,62,39,23,149,82,67,-,-,-,149,82,67
106學年,彰化縣,551,265,286,-,-,-,551,265,286,100,71,29,-,-,-,100,71,29
106學年,南投縣,164,85,79,-,-,-,164,85,79,141,72,69,-,-,-,141,72,69
106學年,雲林縣,317,85,232,-,-,-,317,85,232,420,181,239,163,108,55,257,73,184
106學年,嘉義縣,204,101,103,-,-,-,204,101,103,592,286,306,-,-,-,592,286,306
106學年,屏東縣,549,248,301,-,-,-,549,248,301,515,189,326,-,-,-,515,189,326
106學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,花蓮縣,-,-,-,-,-,-,-,-,-,56,3,53,-,-,-,56,3,53
106學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,基隆市,771,300,471,-,-,-,771,300,471,1154,324,830,-,-,-,1154,324,830
106學年,新竹市,144,74,70,-,-,-,144,74,70,-,-,-,-,-,-,-,-,-
106學年,嘉義市,126,41,85,-,-,-,126,41,85,-,-,-,-,-,-,-,-,-
106學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,14975,6997,7978,3313,1278,2035,11662,5719,5943,9927,4696,5231,2845,1368,1477,7082,3328,3754
105學年,新北市,1194,558,636,-,-,-,1194,558,636,587,250,337,-,-,-,587,250,337
105學年,臺北市,3316,1450,1866,1632,573,1059,1684,877,807,1477,816,661,197,143,54,1280,673,607
105學年,桃園市,584,231,353,-,-,-,584,231,353,557,234,323,-,-,-,557,234,323
105學年,臺中市,2160,1011,1149,1681,705,976,479,306,173,1968,896,1072,1692,684,1008,276,212,64
105學年,臺南市,400,241,159,-,-,-,400,241,159,233,140,93,-,-,-,233,140,93
105學年,高雄市,3489,1735,1754,-,-,-,3489,1735,1754,1688,896,792,820,453,367,868,443,425
105學年,宜蘭縣,246,155,91,-,-,-,246,155,91,210,136,74,-,-,-,210,136,74
105學年,新竹縣,193,87,106,-,-,-,193,87,106,233,136,97,-,-,-,233,136,97
105學年,苗栗縣,218,118,100,-,-,-,218,118,100,296,182,114,-,-,-,296,182,114
105學年,彰化縣,649,327,322,-,-,-,649,327,322,113,77,36,-,-,-,113,77,36
105學年,南投縣,189,86,103,-,-,-,189,86,103,141,72,69,-,-,-,141,72,69
105學年,雲林縣,390,146,244,-,-,-,390,146,244,419,191,228,136,88,48,283,103,180
105學年,嘉義縣,350,191,159,-,-,-,350,191,159,429,216,213,-,-,-,429,216,213
105學年,屏東縣,568,259,309,-,-,-,568,259,309,454,166,288,-,-,-,454,166,288
105學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,花蓮縣,-,-,-,-,-,-,-,-,-,60,5,55,-,-,-,60,5,55
105學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,基隆市,737,280,457,-,-,-,737,280,457,1062,283,779,-,-,-,1062,283,779
105學年,新竹市,154,94,60,-,-,-,154,94,60,-,-,-,-,-,-,-,-,-
105學年,嘉義市,138,28,110,-,-,-,138,28,110,-,-,-,-,-,-,-,-,-
105學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,16802,8280,8522,3451,1401,2050,13351,6879,6472,9829,4855,4974,3316,1672,1644,6513,3183,3330
104學年,新北市,1326,660,666,-,-,-,1326,660,666,399,158,241,-,-,-,399,158,241
104學年,臺北市,3567,1689,1878,1590,609,981,1977,1080,897,1636,935,701,417,284,133,1219,651,568
104學年,桃園市,589,258,331,-,-,-,589,258,331,459,192,267,-,-,-,459,192,267
104學年,臺中市,2502,1216,1286,1861,792,1069,641,424,217,2044,938,1106,1779,739,1040,265,199,66
104學年,臺南市,514,303,211,-,-,-,514,303,211,291,189,102,-,-,-,291,189,102
104學年,高雄市,4008,2105,1903,-,-,-,4008,2105,1903,1917,1080,837,973,545,428,944,535,409
104學年,宜蘭縣,224,147,77,-,-,-,224,147,77,129,81,48,-,-,-,129,81,48
104學年,新竹縣,252,130,122,-,-,-,252,130,122,223,124,99,-,-,-,223,124,99
104學年,苗栗縣,431,254,177,-,-,-,431,254,177,260,166,94,-,-,-,260,166,94
104學年,彰化縣,770,391,379,-,-,-,770,391,379,120,76,44,-,-,-,120,76,44
104學年,南投縣,203,96,107,-,-,-,203,96,107,153,73,80,-,-,-,153,73,80
104學年,雲林縣,431,182,249,-,-,-,431,182,249,416,209,207,147,104,43,269,105,164
104學年,嘉義縣,410,215,195,-,-,-,410,215,195,398,217,181,-,-,-,398,217,181
104學年,屏東縣,497,223,274,-,-,-,497,223,274,417,153,264,-,-,-,417,153,264
104學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,花蓮縣,-,-,-,-,-,-,-,-,-,72,-,72,-,-,-,72,-,72
