學年別,年齡別,二專總計,二專男,二專女,二技總計,二技男,二技女
106學年,總計,12750,5839,6911,10157,4704,5453
106學年,未滿16歲,-,-,-,-,-,-
106學年,16至未滿17歲,86,50,36,-,-,-
106學年,17至未滿18歲,30,15,15,-,-,-
106學年,18至未滿19歲,1888,860,1028,-,-,-
106學年,19至未滿20歲,2295,1014,1281,1,-,1
106學年,20至未滿21歲,1499,741,758,761,289,472
106學年,21至未滿22歲,968,479,489,1207,515,692
106學年,22至未滿23歲,667,351,316,724,376,348
106學年,23至未滿24歲,463,230,233,478,274,204
106學年,24至未滿25歲,332,181,151,381,224,157
106學年,25至未滿26歲,291,146,145,336,194,142
106學年,26至未滿27歲,276,166,110,323,196,127
106學年,27至未滿28歲,221,129,92,278,165,113
106學年,28至未滿29歲,235,123,112,220,121,99
106學年,29至未滿30歲,194,102,92,218,123,95
106學年,30歲以上,3305,1252,2053,5230,2227,3003
105學年,總計,14975,6997,7978,9927,4696,5231
105學年,未滿16歲,-,-,-,-,-,-
105學年,16至未滿17歲,-,-,-,-,-,-
105學年,17至未滿18歲,2,1,1,-,-,-
105學年,18至未滿19歲,1981,842,1139,-,-,-
105學年,19至未滿20歲,2951,1393,1558,2,1,1
105學年,20至未滿21歲,1610,771,839,838,324,514
105學年,21至未滿22歲,995,509,486,1109,509,600
105學年,22至未滿23歲,673,351,322,676,321,355
105學年,23至未滿24歲,528,286,242,479,262,217
105學年,24至未滿25歲,407,229,178,388,213,175
105學年,25至未滿26歲,408,228,180,368,220,148
105學年,26至未滿27歲,336,198,138,324,179,145
105學年,27至未滿28歲,332,190,142,262,154,108
105學年,28至未滿29歲,287,162,125,237,148,89
105學年,29至未滿30歲,234,147,87,229,130,99
105學年,30歲以上,4231,1690,2541,5015,2235,2780
104學年,總計,16802,8280,8522,9829,4855,4974
104學年,未滿16歲,-,-,-,-,-,-
104學年,16至未滿17歲,-,-,-,-,-,-
104學年,17至未滿18歲,4,2,2,-,-,-
104學年,18至未滿19歲,2402,1128,1274,-,-,-
104學年,19至未滿20歲,2914,1337,1577,9,2,7
104學年,20至未滿21歲,1726,836,890,654,304,350
104學年,21至未滿22歲,1061,583,478,912,414,498
104學年,22至未滿23歲,786,438,348,602,294,308
104學年,23至未滿24歲,573,318,255,467,252,215
