學年別,縣市別,副學士總計計,副學士總計男,副學士總計女,副學士國立計,副學士國立男,副學士國立女,副學士私立計,副學士私立男,副學士私立女,二年制學士總計計,二年制學士總計男,二年制學士總計女,二年制學士國立計,二年制學士國立男,二年制學士國立女,二年制學士私立計,二年制學士私立男,二年制學士私立女
105學年,總計,5332,2420,2912,816,307,509,4516,2113,2403,4280,1938,2342,1315,633,682,2965,1305,1660
105學年,新北市,375,142,233,-,-,-,375,142,233,217,88,129,-,-,-,217,88,129
105學年,臺北市,911,409,502,320,119,201,591,290,301,675,362,313,128,88,40,547,274,273
105學年,桃園市,203,73,130,-,-,-,203,73,130,194,64,130,-,-,-,194,64,130
105學年,臺中市,675,297,378,496,188,308,179,109,70,877,383,494,763,305,458,114,78,36
105學年,臺南市,231,136,95,-,-,-,231,136,95,110,70,40,-,-,-,110,70,40
105學年,高雄市,1358,631,727,-,-,-,1358,631,727,730,359,371,370,201,169,360,158,202
105學年,宜蘭縣,85,56,29,-,-,-,85,56,29,59,35,24,-,-,-,59,35,24
105學年,新竹縣,91,43,48,-,-,-,91,43,48,128,80,48,-,-,-,128,80,48
105學年,苗栗縣,109,48,61,-,-,-,109,48,61,125,87,38,-,-,-,125,87,38
105學年,彰化縣,278,161,117,-,-,-,278,161,117,48,28,20,-,-,-,48,28,20
105學年,南投縣,83,34,49,-,-,-,83,34,49,53,25,28,-,-,-,53,25,28
105學年,雲林縣,109,35,74,-,-,-,109,35,74,142,69,73,54,39,15,88,30,58
105學年,嘉義縣,174,102,72,-,-,-,174,102,72,177,92,85,-,-,-,177,92,85
105學年,屏東縣,170,65,105,-,-,-,170,65,105,186,68,118,-,-,-,186,68,118
105學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,花蓮縣,-,-,-,-,-,-,-,-,-,21,-,21,-,-,-,21,-,21
105學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,基隆市,281,93,188,-,-,-,281,93,188,538,128,410,-,-,-,538,128,410
105學年,新竹市,135,82,53,-,-,-,135,82,53,-,-,-,-,-,-,-,-,-
105學年,嘉義市,64,13,51,-,-,-,64,13,51,-,-,-,-,-,-,-,-,-
105學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,6170,2979,3191,901,347,554,5269,2632,2637,4427,2134,2293,1445,718,727,2982,1416,1566
104學年,新北市,475,230,245,-,-,-,475,230,245,193,73,120,-,-,-,193,73,120
104學年,臺北市,1030,495,535,297,95,202,733,400,333,707,371,336,196,119,77,511,252,259
104學年,桃園市,182,78,104,-,-,-,182,78,104,201,84,117,-,-,-,201,84,117
104學年,臺中市,816,381,435,604,252,352,212,129,83,779,338,441,689,273,416,90,65,25
104學年,臺南市,234,134,100,-,-,-,234,134,100,151,98,53,-,-,-,151,98,53
104學年,高雄市,1595,847,748,-,-,-,1595,847,748,952,578,374,485,276,209,467,302,165
104學年,宜蘭縣,83,55,28,-,-,-,83,55,28,49,32,17,-,-,-,49,32,17
104學年,新竹縣,105,57,48,-,-,-,105,57,48,65,26,39,-,-,-,65,26,39
104學年,苗栗縣,186,107,79,-,-,-,186,107,79,119,68,51,-,-,-,119,68,51
104學年,彰化縣,394,186,208,-,-,-,394,186,208,68,44,24,-,-,-,68,44,24
104學年,南投縣,118,55,63,-,-,-,118,55,63,88,45,43,-,-,-,88,45,43
104學年,雲林縣,96,23,73,-,-,-,96,23,73,172,86,86,75,50,25,97,36,61
104學年,嘉義縣,173,78,95,-,-,-,173,78,95,194,105,89,-,-,-,194,105,89
104學年,屏東縣,167,71,96,-,-,-,167,71,96,197,62,135,-,-,-,197,62,135
104學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
