學年別,等級別,學生數總計計,學生數總計男,學生數總計女,1年級計,1年級男,1年級女,2年級計,2年級男,2年級女,3年級計,3年級男,3年級女,4年級計,4年級男,4年級女,5年級計,5年級男,5年級女,6年級計,6年級男,6年級女,7年級計,7年級男,7年級女,延修生計,延修生男,延修生女,上學年畢業生數總計計,上學年畢業生數總計男,上學年畢業生數總計女
106學年,總計,297,132,165,129,53,76,88,41,47,44,19,25,26,13,13,-,-,-,-,-,-,-,-,-,10,6,4,41,13,28
106學年,博士班,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,碩士班,141,64,77,68,27,41,53,29,24,17,7,10,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,13,5,8
106學年,學士班,156,68,88,61,26,35,35,12,23,27,12,15,23,12,11,-,-,-,-,-,-,-,-,-,10,6,4,28,8,20
105學年,總計,229,98,131,102,46,56,50,19,31,40,17,23,26,11,15,-,-,-,-,-,-,-,-,-,11,5,6,48,19,29
105學年,博士班,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,碩士班,93,45,48,59,31,28,20,7,13,10,5,5,4,2,2,-,-,-,-,-,-,-,-,-,-,-,-,19,11,8
105學年,學士班,136,53,83,43,15,28,30,12,18,30,12,18,22,9,13,-,-,-,-,-,-,-,-,-,11,5,6,29,8,21
104學年,總計,192,78,114,58,23,35,49,21,28,50,23,27,33,10,23,-,-,-,-,-,-,-,-,-,2,1,1,13,5,8
104學年,博士班,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,碩士班,54,25,29,21,7,14,10,5,5,21,12,9,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,13,5,8
104學年,學士班,138,53,85,37,16,21,39,16,23,29,11,18,33,10,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,163,66,97,56,24,32,56,26,30,50,15,35,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,13,7,6
103學年,博士班,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,碩士班,47,23,24,10,5,5,21,12,9,15,5,10,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,13,7,6
103學年,學士班,116,43,73,46,19,27,35,14,21,35,10,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,248,87,161,88,37,51,87,26,61,36,13,23,31,6,25,-,-,-,-,-,-,-,-,-,6,5,1,30,9,21
102學年,博士班,6,1,5,3,1,2,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,碩士班,122,49,73,38,17,21,34,13,21,24,10,14,21,5,16,-,-,-,-,-,-,-,-,-,5,4,1,16,6,10
102學年,學士班,120,37,83,47,19,28,50,13,37,12,3,9,10,1,9,-,-,-,-,-,-,-,-,-,1,1,-,14,3,11
101學年,總計,200,64,136,94,29,65,38,15,23,41,14,27,26,6,20,-,-,-,-,-,-,-,-,-,1,-,1,16,5,11
101學年,博士班,3,-,3,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,碩士班,102,39,63,34,12,22,26,12,14,30,13,17,12,2,10,-,-,-,-,-,-,-,-,-,-,-,-,7,3,4
101學年,學士班,95,25,70,57,17,40,12,3,9,11,1,10,14,4,10,-,-,-,-,-,-,-,-,-,1,-,1,9,2,7
100學年,總計,141,45,96,45,16,29,43,14,29,16,5,11,10,2,8,-,-,-,-,-,-,-,-,-,27,8,19,10,1,9
100學年,博士班,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,碩士班,91,34,57,32,13,19,32,13,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,8,19,10,1,9
100學年,學士班,50,11,39,13,3,10,11,1,10,16,5,11,10,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,120,34,86,53,17,36,34,8,26,11,2,9,-,-,-,-,-,-,-,-,-,-,-,-,22,7,15,5,-,5
99學年,博士班,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,碩士班,74,25,49,35,15,20,17,3,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,7,15,5,-,5
99學年,學士班,46,9,37,18,2,16,17,5,12,11,2,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
