學年別,服務單位別,總計,男,女
106學年,總計,96,31,65
106學年,秘書,13,1,12
106學年,教務,16,4,12
106學年,學務,9,4,5
106學年,總務,12,7,5
106學年,會計,9,1,8
106學年,人事,6,3,3
106學年,圖書管理,11,2,9
106學年,體育衛生,-,-,-
106學年,產學合作(含育成),1,-,1
106學年,國際交流,-,-,-
106學年,資訊,6,4,2
106學年,環境安全,-,-,-
106學年,86/3/21後助教,2,-,2
106學年,其他,11,5,6
105學年,總計,81,24,57
105學年,秘書,10,1,9
105學年,教務,13,2,11
105學年,學務,7,3,4
105學年,總務,12,7,5
105學年,會計,6,-,6
105學年,人事,5,3,2
105學年,圖書管理,12,2,10
105學年,體育衛生,-,-,-
105學年,產學合作(含育成),1,-,1
105學年,國際交流,3,1,2
105學年,資訊,6,4,2
105學年,環境安全,-,-,-
105學年,86/3/21後助教,1,-,1
105學年,其他,5,1,4
104學年,總計,48,12,36
104學年,秘書,7,-,7
104學年,教務,5,1,4
104學年,學務,4,2,2
104學年,總務,7,4,3
104學年,會計,4,-,4
104學年,人事,2,1,1
104學年,圖書管理,7,1,6
104學年,體育衛生,-,-,-
104學年,產學合作(含育成),-,-,-
104學年,國際交流,-,-,-
104學年,資訊,4,2,2
104學年,環境安全,-,-,-
104學年,86/3/21後助教,-,-,-
104學年,其他,8,1,7
103學年,總計,40,7,33
103學年,秘書,8,-,8
103學年,教務,4,1,3
103學年,學務,4,1,3
103學年,總務,5,1,4
103學年,會計,4,-,4
103學年,人事,2,1,1
103學年,圖書管理,5,-,5
103學年,體育衛生,-,-,-
103學年,產學合作(含育成),-,-,-
103學年,國際交流,2,1,1
103學年,資訊,3,1,2
103學年,環境安全,-,-,-
103學年,86/3/21後助教,-,-,-
103學年,其他,3,1,2
102學年,總計,72,22,50
102學年,秘書,10,-,10
102學年,教務,6,1,5
102學年,學務,6,2,4
102學年,總務,12,6,6
102學年,會計,5,1,4
102學年,人事,4,1,3
102學年,圖書管理,10,3,7
102學年,體育衛生,-,-,-
102學年,產學合作(含育成),3,1,2
102學年,國際交流,-,-,-
102學年,資訊,5,4,1
102學年,環境安全,-,-,-
102學年,86/3/21後助教,3,1,2
102學年,其他,8,2,6
101學年,總計,69,19,50
101學年,秘書,9,-,9
101學年,教務,5,2,3
101學年,學務,6,2,4
101學年,總務,12,5,7
101學年,會計,5,1,4
101學年,人事,4,1,3
101學年,圖書管理,10,3,7
101學年,體育衛生,1,-,1
101學年,產學合作(含育成),-,-,-
101學年,國際交流,1,-,1
101學年,資訊,4,2,2
101學年,環境安全,-,-,-
101學年,86/3/21後助教,4,-,4
101學年,其他,8,3,5
100學年,總計,55,18,37
100學年,秘書,7,-,7
100學年,教務,3,1,2
100學年,學務,3,1,2
100學年,總務,9,5,4
100學年,會計,4,1,3
100學年,人事,3,-,3
100學年,圖書管理,8,3,5
100學年,體育衛生,-,-,-
100學年,產學合作(含育成),-,-,-
100學年,國際交流,1,-,1
100學年,資訊,9,5,4
100學年,環境安全,-,-,-
100學年,86/3/21後助教,2,-,2
100學年,其他,6,2,4
""
