學年別,學科類別,總計學生數計,總計學生數男,總計學生數女,總計1年級計,總計1年級男,總計1年級女,總計2年級計,總計2年級男,總計2年級女,總計3年級計,總計3年級男,總計3年級女,總計延修生計,總計延修生男,總計延修生女,總計上學年畢業生數計,總計上學年畢業生數男,總計上學年畢業生數女,國立學生數計,國立學生數男,國立學生數女,國立1年級計,國立1年級男,國立1年級女,國立2年級計,國立2年級男,國立2年級女,國立3年級計,國立3年級男,國立3年級女,國立延修生計,國立延修生男,國立延修生女,國立上學年畢業生數計,國立上學年畢業生數男,國立上學年畢業生數女,直轄市立學生數計,直轄市立學生數男,直轄市立學生數女,直轄市立1年級計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級計,直轄市立3年級男,直轄市立3年級女,直轄市立延修生計,直轄市立延修生男,直轄市立延修生女,直轄市立上學年畢業生數計,直轄市立上學年畢業生數男,直轄市立上學年畢業生數女,縣市立學生數計,縣市立學生數男,縣市立學生數女,縣市立1年級計,縣市立1年級男,縣市立1年級女,縣市立2年級計,縣市立2年級男,縣市立2年級女,縣市立3年級計,縣市立3年級男,縣市立3年級女,縣市立延修生計,縣市立延修生男,縣市立延修生女,縣市立上學年畢業生數計,縣市立上學年畢業生數男,縣市立上學年畢業生數女,私立學生數計,私立學生數男,私立學生數女,私立1年級計,私立1年級男,私立1年級女,私立2年級計,私立2年級男,私立2年級女,私立3年級計,私立3年級男,私立3年級女,私立延修生計,私立延修生男,私立延修生女,私立上學年畢業生數計,私立上學年畢業生數男,私立上學年畢業生數女
102學年,總計,40530,23165,17365,13531,7922,5609,13647,7798,5849,13286,7396,5890,66,49,17,14160,7776,6384,11659,6899,4760,4043,2432,1611,3835,2265,1570,3752,2183,1569,29,19,10,3704,2102,1602,1347,842,505,425,268,157,485,304,181,430,264,166,7,6,1,417,226,191,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27524,15424,12100,9063,5222,3841,9327,5229,4098,9104,4949,4155,30,24,6,10039,5448,4591
102學年,農業,2319,1069,1250,898,434,464,782,362,420,636,273,363,3,-,3,683,289,394,1500,677,823,562,279,283,443,186,257,492,212,280,3,-,3,524,225,299,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,819,392,427,336,155,181,339,176,163,144,61,83,-,-,-,159,64,95
102學年,工業,12023,10851,1172,4015,3710,305,3948,3563,385,4024,3545,479,36,33,3,4323,3924,399,5246,4354,892,1709,1462,247,1750,1458,292,1768,1418,350,19,16,3,1668,1374,294,705,617,88,226,202,24,261,229,32,218,186,32,-,-,-,182,155,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6072,5880,192,2080,2046,34,1937,1876,61,2038,1941,97,17,17,-,2473,2395,78
102學年,商業,20389,10215,10174,6774,3466,3308,6909,3487,3422,6682,3248,3434,24,14,10,6808,3257,3551,4039,1533,2506,1440,582,858,1365,501,864,1227,447,780,7,3,4,1207,426,781,522,212,310,156,62,94,185,72,113,174,72,102,7,6,1,195,68,127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15828,8470,7358,5178,2822,2356,5359,2914,2445,5281,2729,2552,10,5,5,5406,2763,2643
102學年,家事,5504,754,4750,1751,224,1527,1906,290,1616,1844,238,1606,3,2,1,2278,250,2028,579,59,520,239,21,218,175,24,151,165,14,151,-,-,-,237,21,216,120,13,107,43,4,39,39,3,36,38,6,32,-,-,-,40,3,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4805,682,4123,1469,199,1270,1692,263,1429,1641,218,1423,3,2,1,2001,226,1775
102學年,海事,295,276,19,93,88,5,102,96,6,100,92,8,-,-,-,68,56,12,295,276,19,93,88,5,102,96,6,100,92,8,-,-,-,68,56,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,44301,25057,19244,15300,8895,6405,14046,7885,6161,14884,8234,6650,71,43,28,15435,8559,6876,12949,7707,5242,4592,2808,1784,4175,2493,1682,4134,2376,1758,48,30,18,4146,2326,1820,942,478,464,358,192,166,288,141,147,278,136,142,18,9,9,242,140,102,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30410,16872,13538,10350,5895,4455,9583,5251,4332,10472,5722,4750,5,4,1,11047,6093,4954
101學年,農業,2231,1009,1222,838,393,445,672,302,370,716,310,406,5,4,1,648,283,365,1549,682,867,477,207,270,520,232,288,547,239,308,5,4,1,501,203,298,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,682,327,355,361,186,175,152,70,82,169,71,98,-,-,-,147,80,67
101學年,工業,13268,11922,1346,4479,4058,421,4229,3728,501,4538,4116,422,22,20,2,4873,4422,451,6068,5039,1029,2185,1855,330,1978,1607,371,1886,1560,326,19,17,2,2000,1630,370,365,295,70,136,111,25,123,97,26,106,87,19,-,-,-,111,93,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6835,6588,247,2158,2092,66,2128,2024,104,2546,2469,77,3,3,-,2762,2699,63
101學年,商業,21982,10953,11029,7657,3965,3692,7081,3492,3589,7210,3480,3730,34,16,18,7457,3527,3930,4402,1658,2744,1608,613,995,1395,540,855,1384,498,886,15,7,8,1298,445,853,444,170,274,180,78,102,115,37,78,131,46,85,18,9,9,129,47,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17136,9125,8011,5869,3274,2595,5571,2915,2656,5695,2936,2759,1,-,1,6030,3035,2995
