學年別,年齡別,總計計,總計男,總計女,1年級計,1年級男,1年級女,2年級計,2年級男,2年級女,3年級計,3年級男,3年級女,延修生計,延修生男,延修生女
106學年,總計,33038,19852,13186,10750,6595,4155,11355,6812,4543,10892,6410,4482,41,35,6
106學年,未滿14歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,14至未滿15歲,43,29,14,43,29,14,-,-,-,-,-,-,-,-,-
106學年,15至未滿16歲,9656,5857,3799,9625,5838,3787,31,19,12,-,-,-,-,-,-
106學年,16至未滿17歲,11041,6624,4417,695,469,226,10297,6129,4168,49,26,23,-,-,-
106學年,17至未滿18歲,10746,6359,4387,179,132,47,694,467,227,9873,5760,4113,-,-,-
106學年,18至未滿19歲,918,620,298,67,47,20,151,93,58,678,461,217,22,19,3
106學年,19至未滿20歲,229,140,89,27,16,11,52,28,24,136,85,51,14,11,3
106學年,20至未滿21歲,99,63,36,24,19,5,27,18,9,45,23,22,3,3,-
106學年,21至未滿22歲,52,39,13,8,6,2,23,17,6,21,16,5,-,-,-
106學年,22歲以上,254,121,133,82,39,43,80,41,39,90,39,51,2,2,-
105學年,總計,34794,20494,14300,12526,7616,4910,11528,6824,4704,10643,5990,4653,97,64,33
105學年,未滿14歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,14至未滿15歲,45,29,16,45,29,16,-,-,-,-,-,-,-,-,-
105學年,15至未滿16歲,11380,6845,4535,11326,6817,4509,54,28,26,-,-,-,-,-,-
105學年,16至未滿17歲,11328,6754,4574,734,509,225,10562,6226,4336,32,19,13,-,-,-
105學年,17至未滿18歲,10371,5855,4516,182,121,61,575,372,203,9614,5362,4252,-,-,-
105學年,18至未滿19歲,883,549,334,71,44,27,133,86,47,629,387,242,50,32,18
105學年,19至未滿20歲,315,204,111,44,31,13,66,39,27,170,110,60,35,24,11
105學年,20至未滿21歲,127,83,44,23,14,9,29,21,8,66,43,23,9,5,4
105學年,21至未滿22歲,56,32,24,16,6,10,12,6,6,26,18,8,2,2,-
105學年,22歲以上,289,143,146,85,45,40,97,46,51,106,51,55,1,1,-
104學年,總計,35696,20672,15024,12757,7636,5121,11253,6371,4882,11645,6633,5012,41,32,9
104學年,未滿14歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,14至未滿15歲,63,36,27,63,36,27,-,-,-,-,-,-,-,-,-
104學年,15至未滿16歲,11605,6894,4711,11573,6875,4698,32,19,13,-,-,-,-,-,-
104學年,16至未滿17歲,10762,6097,4665,646,432,214,10078,5643,4435,38,22,16,-,-,-
104學年,17至未滿18歲,11248,6426,4822,194,131,63,698,440,258,10355,5854,4501,1,1,-
104學年,18至未滿19歲,1121,719,402,84,54,30,214,136,78,797,510,287,26,19,7
104學年,19至未滿20歲,332,208,124,43,24,19,81,50,31,198,125,73,10,9,1
104學年,20至未滿21歲,139,82,57,21,14,7,30,18,12,85,48,37,3,2,1
104學年,21至未滿22歲,60,39,21,17,13,4,20,13,7,22,12,10,1,1,-
104學年,22歲以上,366,171,195,116,57,59,100,52,48,150,62,88,-,-,-
103學年,總計,37741,21627,16114,12484,7210,5274,12211,6991,5220,12986,7380,5606,60,46,14
103學年,未滿14歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,14至未滿15歲,37,24,13,37,24,13,-,-,-,-,-,-,-,-,-
103學年,15至未滿16歲,11065,6288,4777,11028,6266,4762,37,22,15,-,-,-,-,-,-
103學年,16至未滿17歲,11456,6586,4870,808,540,268,10624,6033,4591,24,13,11,-,-,-
103學年,17至未滿18歲,12787,7257,5530,304,204,100,1027,637,390,11456,6416,5040,-,-,-
103學年,18至未滿19歲,1346,882,464,97,55,42,245,153,92,962,641,321,42,33,9
103學年,19至未滿20歲,389,252,137,32,24,8,98,64,34,244,154,90,15,10,5
103學年,20至未滿21歲,150,92,58,35,23,12,26,14,12,88,54,34,1,1,-
103學年,21至未滿22歲,95,58,37,27,16,11,23,11,12,44,30,14,1,1,-
103學年,22歲以上,416,188,228,116,58,58,131,57,74,168,72,96,1,1,-
102學年,總計,40530,23165,17365,13531,7922,5609,13647,7798,5849,13286,7396,5890,66,49,17
102學年,未滿14歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,14至未滿15歲,52,37,15,52,37,15,-,-,-,-,-,-,-,-,-
102學年,15至未滿16歲,11737,6798,4939,11699,6776,4923,38,22,16,-,-,-,-,-,-
102學年,16至未滿17歲,13161,7454,5707,1058,680,378,11990,6715,5275,113,59,54,-,-,-
102學年,17至未滿18歲,12993,7394,5599,317,211,106,993,694,299,11683,6489,5194,-,-,-
102學年,18至未滿19歲,1296,811,485,135,94,41,280,179,101,842,509,333,39,29,10
102學年,19至未滿20歲,398,242,156,39,18,21,96,63,33,245,149,96,18,12,6
102學年,20至未滿21歲,196,108,88,45,26,19,51,30,21,96,49,47,4,3,1
102學年,21至未滿22歲,118,64,54,26,9,17,33,19,14,56,33,23,3,3,-
102學年,22歲以上,579,257,322,160,71,89,166,76,90,251,108,143,2,2,-
101學年,總計,44301,25057,19244,15300,8895,6405,14046,7885,6161,14884,8234,6650,71,43,28
101學年,未滿14歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,14至未滿15歲,44,27,17,44,27,17,-,-,-,-,-,-,-,-,-
101學年,15至未滿16歲,13336,7622,5714,13212,7554,5658,124,68,56,-,-,-,-,-,-
101學年,16至未滿17歲,13545,7717,5828,1179,815,364,12201,6815,5386,165,87,78,-,-,-
101學年,17至未滿18歲,14346,8037,6309,379,242,137,959,594,365,13008,7201,5807,-,-,-
101學年,18至未滿19歲,1379,842,537,120,76,44,293,177,116,924,564,360,42,25,17
101學年,19至未滿20歲,512,285,227,62,30,32,125,72,53,309,174,135,16,9,7
101學年,20至未滿21歲,252,138,114,55,29,26,62,39,23,127,65,62,8,5,3
101學年,21至未滿22歲,137,70,67,35,20,15,44,22,22,55,26,29,3,2,1
101學年,22歲以上,750,319,431,214,102,112,238,98,140,296,117,179,2,2,-
100學年,總計,48018,27130,20888,15833,9081,6752,15810,8853,6957,16315,9158,7157,60,38,22
100學年,未滿14歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,14至未滿15歲,125,69,56,125,69,56,-,-,-,-,-,-,-,-,-
100學年,15至未滿16歲,13562,7714,5848,13401,7632,5769,161,82,79,-,-,-,-,-,-
100學年,16至未滿17歲,14624,8275,6349,1228,759,469,13214,7419,5795,182,97,85,-,-,-
100學年,17至未滿18歲,15405,8795,6610,421,256,165,1511,868,643,13473,7671,5802,-,-,-
100學年,18至未滿19歲,2221,1211,1010,179,111,68,328,198,130,1693,886,807,21,16,5
100學年,19至未滿20歲,663,388,275,101,62,39,160,90,70,376,223,153,26,13,13
100學年,20至未滿21歲,338,194,144,73,49,24,75,41,34,183,101,82,7,3,4
100學年,21至未滿22歲,197,96,101,58,32,26,62,30,32,72,29,43,5,5,-
100學年,22歲以上,883,388,495,247,111,136,299,125,174,336,151,185,1,1,-
99學年,總計,51904,29677,22227,18176,10415,7761,17271,9804,7467,16409,9426,6983,48,32,16
99學年,未滿14歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,14至未滿15歲,188,100,88,187,100,87,1,-,1,-,-,-,-,-,-
99學年,15至未滿16歲,15196,8679,6517,15006,8575,6431,190,104,86,-,-,-,-,-,-
99學年,16至未滿17歲,16465,9453,7012,1549,967,582,14668,8346,6322,248,140,108,-,-,-
99學年,17至未滿18歲,15502,8946,6556,509,305,204,1360,799,561,13625,7836,5789,8,6,2
99學年,18至未滿19歲,2058,1275,783,254,158,96,431,263,168,1356,841,515,17,13,4
99學年,19至未滿20歲,763,426,337,110,59,51,188,102,86,454,260,194,11,5,6
99學年,20至未滿21歲,399,190,209,113,53,60,75,30,45,204,103,101,7,4,3
99學年,21至未滿22歲,254,135,119,73,30,43,64,40,24,115,63,52,2,2,-
99學年,22歲以上,1079,473,606,375,168,207,294,120,174,407,183,224,3,2,1
98學年,總計,51166,29803,21363,19339,11234,8105,17373,10079,7294,14244,8324,5920,210,166,44
98學年,未滿14歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,14至未滿15歲,266,161,105,266,161,105,-,-,-,-,-,-,-,-,-
98學年,15至未滿16歲,16437,9523,6914,16120,9348,6772,315,173,142,2,2,-,-,-,-
98學年,16至未滿17歲,16075,9406,6669,1494,902,592,14321,8355,5966,260,149,111,-,-,-
98學年,17至未滿18歲,13482,7948,5534,588,372,216,1383,826,557,11510,6749,4761,1,1,-
98學年,18至未滿19歲,2229,1359,870,253,151,102,536,313,223,1314,791,523,126,104,22
98學年,19至未滿20歲,834,498,336,111,60,51,234,128,106,428,268,160,61,42,19
98學年,20至未滿21歲,416,235,181,77,46,31,114,57,57,210,120,90,15,12,3
98學年,21至未滿22歲,299,150,149,82,38,44,106,56,50,104,49,55,7,7,-
98學年,22歲以上,1128,523,605,348,156,192,364,171,193,416,196,220,-,-,-
97學年,總計,47309,27894,19415,19441,11403,8038,15021,8862,6159,12740,7562,5178,107,67,40
97學年,未滿14歲,2,-,2,2,-,2,-,-,-,-,-,-,-,-,-
97學年,14至未滿15歲,280,160,120,279,159,120,-,-,-,1,1,-,-,-,-
97學年,15至未滿16歲,15984,9419,6565,15707,9245,6462,277,174,103,-,-,-,-,-,-
97學年,16至未滿17歲,13811,8132,5679,1634,991,643,11955,7020,4935,222,121,101,-,-,-
97學年,17至未滿18歲,12466,7489,4977,647,385,262,1440,899,541,10379,6205,4174,-,-,-
97學年,18至未滿19歲,2066,1269,797,342,193,149,494,325,169,1174,719,455,56,32,24
97學年,19至未滿20歲,828,489,339,167,90,77,256,152,104,371,224,147,34,23,11
97學年,20至未滿21歲,455,251,204,130,74,56,126,59,67,185,107,78,14,11,3
97學年,21至未滿22歲,295,147,148,107,59,48,95,45,50,91,43,48,2,-,2
97學年,22歲以上,1122,538,584,426,207,219,378,188,190,317,142,175,1,1,-
""
