學年別,縣市別,總計計,總計1年級,總計2年級,總計3年級,國立計,國立1年級,國立2年級,國立3年級,直轄市立計,直轄市立1年級,直轄市立2年級,直轄市立3年級,縣市立計,縣市立1年級,縣市立2年級,縣市立3年級,私立計,私立1年級,私立2年級,私立3年級
106學年,總計,969,307,333,329,294,95,102,97,95,28,32,35,-,-,-,-,580,184,199,197
106學年,新北市,35,9,10,16,-,-,-,-,15,3,4,8,-,-,-,-,20,6,6,8
106學年,臺北市,16,5,5,6,-,-,-,-,4,1,1,2,-,-,-,-,12,4,4,4
106學年,桃園市,114,36,40,38,3,1,1,1,-,-,-,-,-,-,-,-,111,35,39,37
106學年,臺中市,122,42,41,39,15,5,5,5,61,21,20,20,-,-,-,-,46,16,16,14
106學年,臺南市,125,41,43,41,68,22,24,22,-,-,-,-,-,-,-,-,57,19,19,19
106學年,高雄市,144,45,51,48,9,3,3,3,15,3,7,5,-,-,-,-,120,39,41,40
106學年,宜蘭縣,24,8,8,8,24,8,8,8,-,-,-,-,-,-,-,-,-,-,-,-
106學年,新竹縣,23,8,8,7,-,-,-,-,-,-,-,-,-,-,-,-,23,8,8,7
106學年,苗栗縣,44,12,15,17,7,2,3,2,-,-,-,-,-,-,-,-,37,10,12,15
106學年,彰化縣,80,27,27,26,53,18,18,17,-,-,-,-,-,-,-,-,27,9,9,9
106學年,南投縣,39,13,13,13,21,7,7,7,-,-,-,-,-,-,-,-,18,6,6,6
106學年,雲林縣,40,12,14,14,20,6,7,7,-,-,-,-,-,-,-,-,20,6,7,7
106學年,嘉義縣,40,11,14,15,3,1,1,1,-,-,-,-,-,-,-,-,37,10,13,14
106學年,屏東縣,24,7,9,8,18,6,6,6,-,-,-,-,-,-,-,-,6,1,3,2
106學年,臺東縣,6,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,6,2,2,2
106學年,花蓮縣,3,-,2,1,3,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-
106學年,澎湖縣,3,1,1,1,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
106學年,基隆市,16,5,6,5,6,2,2,2,-,-,-,-,-,-,-,-,10,3,4,3
106學年,新竹市,15,5,5,5,12,4,4,4,-,-,-,-,-,-,-,-,3,1,1,1
