學年別,學科類別,總計計,總計1年級,總計2年級,總計3年級,國立計,國立1年級,國立2年級,國立3年級,直轄市立計,直轄市立1年級,直轄市立2年級,直轄市立3年級,縣市立計,縣市立1年級,縣市立2年級,縣市立3年級,私立計,私立1年級,私立2年級,私立3年級
102學年,總計,1102,348,373,381,361,120,121,120,53,15,19,19,-,-,-,-,688,213,233,242
102學年,農業,64,25,21,18,41,15,12,14,-,-,-,-,-,-,-,-,23,10,9,4
102學年,工業,347,107,117,123,164,51,56,57,28,8,10,10,-,-,-,-,155,48,51,56
102學年,商業,520,165,175,180,128,44,44,40,22,6,8,8,-,-,-,-,370,115,123,132
102學年,家事,162,48,57,57,19,7,6,6,3,1,1,1,-,-,-,-,140,40,50,50
102學年,海事,9,3,3,3,9,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,1182,375,382,425,388,128,127,133,38,13,12,13,-,-,-,-,756,234,243,279
101學年,農業,59,21,18,20,42,12,14,16,-,-,-,-,-,-,-,-,17,9,4,4
101學年,工業,382,117,123,142,185,61,61,63,17,5,6,6,-,-,-,-,180,51,56,73
101學年,商業,553,177,181,195,133,46,43,44,18,7,5,6,-,-,-,-,402,124,133,145
101學年,家事,180,57,57,66,20,6,6,8,3,1,1,1,-,-,-,-,157,50,50,57
101學年,海事,8,3,3,2,8,3,3,2,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,1241,386,425,430,391,127,133,131,40,13,13,14,-,-,-,-,810,246,279,285
100學年,農業,58,18,20,20,46,14,16,16,-,-,-,-,-,-,-,-,12,4,4,4
100學年,工業,410,123,142,145,188,61,63,64,19,6,6,7,-,-,-,-,203,56,73,74
100學年,商業,575,184,195,196,128,43,44,41,19,6,6,7,-,-,-,-,428,135,145,148
100學年,家事,192,58,66,68,23,6,8,9,2,1,1,-,-,-,-,-,167,51,57,59
100學年,海事,6,3,2,1,6,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,1289,432,431,426,404,133,131,140,43,15,14,14,-,-,-,-,842,284,286,272
99學年,農業,58,20,20,18,46,16,16,14,-,-,-,-,-,-,-,-,12,4,4,4
99學年,工業,439,142,146,151,197,63,64,70,21,6,7,8,-,-,-,-,221,73,75,73
99學年,商業,589,200,196,193,131,44,41,46,21,8,7,6,-,-,-,-,437,148,148,141
99學年,家事,199,68,68,63,26,8,9,9,1,1,-,-,-,-,-,-,172,59,59,54
99學年,海事,4,2,1,1,4,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-
98學年,總計,1257,431,427,399,400,131,140,129,45,14,16,15,-,-,-,-,812,286,271,255
98學年,農業,57,20,18,19,47,16,14,17,-,-,-,-,-,-,-,-,10,4,4,2
98學年,工業,447,146,151,150,201,64,70,67,25,7,9,9,-,-,-,-,221,75,72,74
98學年,商業,561,196,194,171,123,41,46,36,20,7,7,6,-,-,-,-,418,148,141,129
98學年,家事,189,68,63,58,26,9,9,8,-,-,-,-,-,-,-,-,163,59,54,50
98學年,海事,3,1,1,1,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,1191,428,402,361,395,140,129,126,45,16,15,14,-,-,-,-,751,272,258,221
97學年,農業,50,16,18,16,47,14,17,16,-,-,-,-,-,-,-,-,3,2,1,-
97學年,工業,453,152,152,149,206,70,67,69,27,9,9,9,-,-,-,-,220,73,76,71
97學年,商業,511,194,172,145,115,46,36,33,18,7,6,5,-,-,-,-,378,141,130,107
97學年,家事,174,65,59,50,24,9,8,7,-,-,-,-,-,-,-,-,150,56,51,43
97學年,海事,3,1,1,1,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
""
