學年別,縣市別,總計學生數計,總計學生數男,總計學生數女,總計1年級計,總計1年級男,總計1年級女,總計2年級計,總計2年級男,總計2年級女,總計3年級計,總計3年級男,總計3年級女,總計4年級計,總計4年級男,總計4年級女,總計延修生計,總計延修生男,總計延修生女,總計上學年畢業生數計,總計上學年畢業生數男,總計上學年畢業生數女,國立學生數計,國立學生數男,國立學生數女,國立1年級計,國立1年級男,國立1年級女,國立2年級計,國立2年級男,國立2年級女,國立3年級計,國立3年級男,國立3年級女,國立4年級計,國立4年級男,國立4年級女,國立延修生計,國立延修生男,國立延修生女,國立上學年畢業生數計,國立上學年畢業生數男,國立上學年畢業生數女,直轄市立學生數計,直轄市立學生數男,直轄市立學生數女,直轄市立1年級計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級計,直轄市立3年級男,直轄市立3年級女,直轄市立4年級計,直轄市立4年級男,直轄市立4年級女,直轄市立延修生計,直轄市立延修生男,直轄市立延修生女,直轄市立上學年畢業生數計,直轄市立上學年畢業生數男,直轄市立上學年畢業生數女,縣市立學生數計,縣市立學生數男,縣市立學生數女,縣市立1年級計,縣市立1年級男,縣市立1年級女,縣市立2年級計,縣市立2年級男,縣市立2年級女,縣市立3年級計,縣市立3年級男,縣市立3年級女,縣市立4年級計,縣市立4年級男,縣市立4年級女,縣市立延修生計,縣市立延修生男,縣市立延修生女,縣市立上學年畢業生數計,縣市立上學年畢業生數男,縣市立上學年畢業生數女,私立學生數計,私立學生數男,私立學生數女,私立1年級計,私立1年級男,私立1年級女,私立2年級計,私立2年級男,私立2年級女,私立3年級計,私立3年級男,私立3年級女,私立4年級計,私立4年級男,私立4年級女,私立延修生計,私立延修生男,私立延修生女,私立上學年畢業生數計,私立上學年畢業生數男,私立上學年畢業生數女
106學年,總計,315649,179493,136156,99272,57300,41972,107404,60579,46825,108071,60936,47135,86,33,53,816,645,171,98425,53792,44633,81007,48266,32741,27453,16654,10799,27222,16044,11178,26107,15379,10728,-,-,-,225,189,36,24553,14146,10407,46634,30834,15800,16300,10822,5478,15246,10032,5214,14917,9826,5091,-,-,-,171,154,17,14041,8991,5050,945,406,539,375,164,211,335,141,194,227,95,132,-,-,-,8,6,2,199,81,118,187063,99987,87076,55144,29660,25484,64601,34362,30239,66820,35636,31184,86,33,53,412,296,116,59632,30574,29058
106學年,新北市,37328,20848,16480,11827,6715,5112,12489,6863,5626,12651,7040,5611,86,33,53,275,197,78,11433,6108,5325,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10112,6845,3267,3598,2465,1133,3298,2195,1103,3145,2116,1029,-,-,-,71,69,2,3013,1988,1025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27216,14003,13213,8229,4250,3979,9191,4668,4523,9506,4924,4582,86,33,53,204,128,76,8420,4120,4300
106學年,臺北市,35058,19941,15117,10468,6080,4388,12166,6825,5341,12264,6901,5363,-,-,-,160,135,25,10933,5866,5067,458,156,302,150,50,100,157,53,104,149,51,98,-,-,-,2,2,-,134,40,94,13421,9568,3853,4503,3239,1264,4423,3138,1285,4434,3134,1300,-,-,-,61,57,4,4158,2770,1388,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21179,10217,10962,5815,2791,3024,7586,3634,3952,7681,3716,3965,-,-,-,97,76,21,6641,3056,3585
106學年,桃園市,35420,19446,15974,11477,6430,5047,12191,6695,5496,11738,6309,5429,-,-,-,14,12,2,11026,5928,5098,5767,3398,2369,1991,1215,776,1909,1112,797,1858,1063,795,-,-,-,9,8,1,1811,1034,777,1104,439,665,384,149,235,360,156,204,357,131,226,-,-,-,3,3,-,332,120,212,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28549,15609,12940,9102,5066,4036,9922,5427,4495,9523,5115,4408,-,-,-,2,1,1,8883,4774,4109
106學年,臺中市,50784,27833,22951,15426,8598,6828,17442,9453,7989,17799,9684,8115,-,-,-,117,98,19,16945,8949,7996,1641,841,800,561,297,264,546,258,288,534,286,248,-,-,-,-,-,-,555,288,267,12381,8131,4250,4255,2812,1443,4108,2691,1417,3988,2605,1383,-,-,-,30,23,7,3933,2559,1374,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36762,18861,17901,10610,5489,5121,12788,6504,6284,13277,6793,6484,-,-,-,87,75,12,12457,6102,6355
106學年,臺南市,22075,12906,9169,6664,3976,2688,7567,4385,3182,7824,4527,3297,-,-,-,20,18,2,7054,3951,3103,11573,7321,4252,3944,2516,1428,3945,2455,1490,3666,2334,1332,-,-,-,18,16,2,3575,2184,1391,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10502,5585,4917,2720,1460,1260,3622,1930,1692,4158,2193,1965,-,-,-,2,2,-,3479,1767,1712
106學年,高雄市,38273,22222,16051,12441,7207,5234,12801,7426,5375,13010,7577,5433,-,-,-,21,12,9,11370,6319,5051,5084,3032,2052,1601,993,608,1740,997,743,1737,1038,699,-,-,-,6,4,2,1596,919,677,9616,5851,3765,3560,2157,1403,3057,1852,1205,2993,1840,1153,-,-,-,6,2,4,2605,1554,1051,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23573,13339,10234,7280,4057,3223,8004,4577,3427,8280,4699,3581,-,-,-,9,6,3,7169,3846,3323
106學年,宜蘭縣,4513,2884,1629,1471,935,536,1551,997,554,1484,948,536,-,-,-,7,4,3,1396,870,526,4513,2884,1629,1471,935,536,1551,997,554,1484,948,536,-,-,-,7,4,3,1396,870,526,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,新竹縣,5436,3247,2189,1754,1054,700,1824,1053,771,1847,1132,715,-,-,-,11,8,3,1619,987,632,776,404,372,259,142,117,260,133,127,257,129,128,-,-,-,-,-,-,258,132,126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,228,96,132,75,31,44,73,30,43,72,29,43,-,-,-,8,6,2,73,28,45,4432,2747,1685,1420,881,539,1491,890,601,1518,974,544,-,-,-,3,2,1,1288,827,461
106學年,苗栗縣,7835,4433,3402,2540,1442,1098,2673,1474,1199,2579,1477,1102,-,-,-,43,40,3,2339,1312,1027,4514,2547,1967,1509,874,635,1485,807,678,1477,826,651,-,-,-,43,40,3,1417,767,650,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,332,143,189,170,79,91,128,50,78,34,14,20,-,-,-,-,-,-,-,-,-,2989,1743,1246,861,489,372,1060,617,443,1068,637,431,-,-,-,-,-,-,922,545,377
