學年別,學科類別,總計學生數計,總計學生數男,總計學生數女,總計1年級計,總計1年級男,總計1年級女,總計2年級計,總計2年級男,總計2年級女,總計3年級計,總計3年級男,總計3年級女,總計4年級計,總計4年級男,總計4年級女,總計延修生計,總計延修生男,總計延修生女,總計上學年畢業生數計,總計上學年畢業生數男,總計上學年畢業生數女,國立學生數計,國立學生數男,國立學生數女,國立1年級計,國立1年級男,國立1年級女,國立2年級計,國立2年級男,國立2年級女,國立3年級計,國立3年級男,國立3年級女,國立4年級計,國立4年級男,國立4年級女,國立延修生計,國立延修生男,國立延修生女,國立上學年畢業生數計,國立上學年畢業生數男,國立上學年畢業生數女,直轄市立學生數計,直轄市立學生數男,直轄市立學生數女,直轄市立1年級計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級計,直轄市立3年級男,直轄市立3年級女,直轄市立4年級計,直轄市立4年級男,直轄市立4年級女,直轄市立延修生計,直轄市立延修生男,直轄市立延修生女,直轄市立上學年畢業生數計,直轄市立上學年畢業生數男,直轄市立上學年畢業生數女,縣市立學生數計,縣市立學生數男,縣市立學生數女,縣市立1年級計,縣市立1年級男,縣市立1年級女,縣市立2年級計,縣市立2年級男,縣市立2年級女,縣市立3年級計,縣市立3年級男,縣市立3年級女,縣市立4年級計,縣市立4年級男,縣市立4年級女,縣市立延修生計,縣市立延修生男,縣市立延修生女,縣市立上學年畢業生數計,縣市立上學年畢業生數男,縣市立上學年畢業生數女,私立學生數計,私立學生數男,私立學生數女,私立1年級計,私立1年級男,私立1年級女,私立2年級計,私立2年級男,私立2年級女,私立3年級計,私立3年級男,私立3年級女,私立4年級計,私立4年級男,私立4年級女,私立延修生計,私立延修生男,私立延修生女,私立上學年畢業生數計,私立上學年畢業生數男,私立上學年畢業生數女
106學年,總計,315649,179493,136156,99272,57300,41972,107404,60579,46825,108071,60936,47135,86,33,53,816,645,171,98425,53792,44633,81007,48266,32741,27453,16654,10799,27222,16044,11178,26107,15379,10728,-,-,-,225,189,36,24553,14146,10407,46634,30834,15800,16300,10822,5478,15246,10032,5214,14917,9826,5091,-,-,-,171,154,17,14041,8991,5050,945,406,539,375,164,211,335,141,194,227,95,132,-,-,-,8,6,2,199,81,118,187063,99987,87076,55144,29660,25484,64601,34362,30239,66820,35636,31184,86,33,53,412,296,116,59632,30574,29058
106學年,農業,10386,5171,5215,3401,1711,1690,3540,1728,1812,3402,1700,1702,-,-,-,43,32,11,3107,1502,1605,8807,4374,4433,2904,1456,1448,2975,1447,1528,2892,1444,1448,-,-,-,36,27,9,2718,1331,1387,1014,502,512,354,186,168,366,170,196,287,141,146,-,-,-,7,5,2,286,134,152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,565,295,270,143,69,74,199,111,88,223,115,108,-,-,-,-,-,-,103,37,66
106學年,工業,112586,102365,10221,36300,32836,3464,37937,34541,3396,38045,34694,3351,-,-,-,304,294,10,33742,30517,3225,35962,31622,4340,12340,10857,1483,12007,10529,1478,11493,10117,1376,-,-,-,122,119,3,10790,9447,1343,28455,25193,3262,9888,8751,1137,9295,8243,1052,9141,8070,1071,-,-,-,131,129,2,8426,7414,1012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48169,45550,2619,14072,13228,844,16635,15769,866,17411,16507,904,-,-,-,51,46,5,14526,13656,870
106學年,商業,98814,36342,62472,30478,11580,18898,33562,12081,21481,34519,12528,21991,86,33,53,169,120,49,32093,11103,20990,26367,8911,17456,8874,3163,5711,8874,2961,5913,8567,2755,5812,-,-,-,52,32,20,8202,2584,5618,15115,4657,10458,5259,1680,3579,4948,1482,3466,4878,1477,3401,-,-,-,30,18,12,4753,1325,3428,867,379,488,340,154,186,296,124,172,223,95,128,-,-,-,8,6,2,197,81,116,56465,22395,34070,16005,6583,9422,19444,7514,11930,20851,8201,12650,86,33,53,79,64,15,18941,7113,11828
106學年,家事,81397,30005,51392,25060,9398,15662,28150,10315,17835,28003,10162,17841,-,-,-,184,130,54,26137,9160,16977,7521,1556,5965,2536,561,1975,2555,494,2061,2421,496,1925,-,-,-,9,5,4,2258,342,1916,1772,355,1417,659,141,518,567,99,468,543,113,430,-,-,-,3,2,1,513,94,419,78,27,51,35,10,25,39,17,22,4,-,4,-,-,-,-,-,-,2,-,2,72026,28067,43959,21830,8686,13144,24989,9705,15284,25035,9553,15482,-,-,-,172,123,49,23364,8724,14640
106學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,海事,2030,1773,257,674,589,85,709,611,98,643,569,74,-,-,-,4,4,-,512,460,52,1892,1647,245,649,567,82,654,560,94,585,516,69,-,-,-,4,4,-,451,402,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,138,126,12,25,22,3,55,51,4,58,53,5,-,-,-,-,-,-,61,58,3
106學年,劇藝,10436,3837,6599,3359,1186,2173,3506,1303,2203,3459,1283,2176,-,-,-,112,65,47,2834,1050,1784,458,156,302,150,50,100,157,53,104,149,51,98,-,-,-,2,2,-,134,40,94,278,127,151,140,64,76,70,38,32,68,25,43,-,-,-,-,-,-,63,24,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9700,3554,6146,3069,1072,1997,3279,1212,2067,3242,1207,2035,-,-,-,110,63,47,2637,986,1651
105學年,總計,332184,188184,144000,114635,65386,49249,111819,63334,48485,104863,58801,46062,133,54,79,734,609,125,103398,56668,46730,93671,56459,37212,32405,19538,12867,30581,18363,12218,30344,18272,12072,-,-,-,341,286,55,30216,17295,12921,34601,22817,11784,11714,7707,4007,11239,7426,3813,11548,7587,3961,-,-,-,100,97,3,10994,6825,4169,796,339,457,358,158,200,234,97,137,200,82,118,-,-,-,4,2,2,192,71,121,203116,108569,94547,70158,37983,32175,69765,37448,32317,62771,32860,29911,133,54,79,289,224,65,61996,32477,29519
105學年,農業,10532,5262,5270,3638,1790,1848,3483,1741,1742,3372,1698,1674,-,-,-,39,33,6,3388,1577,1811,9223,4596,4627,3114,1515,1599,3040,1511,1529,3033,1540,1493,-,-,-,36,30,6,3072,1438,1634,743,376,367,298,146,152,213,110,103,229,117,112,-,-,-,3,3,-,216,80,136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,566,290,276,226,129,97,230,120,110,110,41,69,-,-,-,-,-,-,100,59,41
