學年別,年齡別,總計計,總計男,總計女,1年級計,1年級男,1年級女,2年級計,2年級男,2年級女,3年級計,3年級男,3年級女,4年級計,4年級男,4年級女,延修生計,延修生男,延修生女
106學年,總計,315649,179493,136156,99272,57300,41972,107404,60579,46825,108071,60936,47135,86,33,53,816,645,171
106學年,未滿14歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,14至未滿15歲,276,139,137,276,139,137,-,-,-,-,-,-,-,-,-,-,-,-
106學年,15至未滿16歲,92648,53313,39335,92355,53151,39204,292,161,131,1,1,-,-,-,-,-,-,-
106學年,16至未滿17歲,106282,59962,46320,4400,2751,1649,101506,57004,44502,376,207,169,-,-,-,-,-,-
106學年,17至未滿18歲,108257,60992,47265,1270,711,559,3906,2545,1361,103077,57734,45343,1,-,1,3,2,1
106學年,18至未滿19歲,5594,3614,1980,405,238,167,1051,563,488,3604,2403,1201,56,22,34,478,388,90
106學年,19至未滿20歲,1355,815,540,242,139,103,262,138,124,605,352,253,15,5,10,231,181,50
106學年,20至未滿21歲,600,330,270,160,84,76,160,68,92,175,104,71,8,3,5,97,71,26
106學年,21至未滿22歲,317,171,146,87,50,37,106,45,61,116,71,45,2,2,-,6,3,3
106學年,22歲以上,320,157,163,77,37,40,121,55,66,117,64,53,4,1,3,1,-,1
105學年,總計,332184,188184,144000,114635,65386,49249,111819,63334,48485,104863,58801,46062,133,54,79,734,609,125
105學年,未滿14歲,2,1,1,1,-,1,1,1,-,-,-,-,-,-,-,-,-,-
105學年,14至未滿15歲,346,197,149,345,196,149,1,1,-,-,-,-,-,-,-,-,-,-
105學年,15至未滿16歲,108586,61559,47027,108169,61329,46840,416,230,186,1,-,1,-,-,-,-,-,-
105學年,16至未滿17歲,111023,62824,48199,4548,2972,1576,106120,59650,46470,355,202,153,-,-,-,-,-,-
105學年,17至未滿18歲,104097,58538,45559,821,519,302,4161,2801,1360,99111,55214,43897,-,-,-,4,4,-
105學年,18至未滿19歲,5905,3770,2135,315,168,147,671,410,261,4360,2757,1603,94,40,54,465,395,70
105學年,19至未滿20歲,1329,831,498,195,81,114,194,115,79,686,440,246,24,9,15,230,186,44
