學年別,日夜別,學生數總計計,學生數總計男,學生數總計女,學生數國立計,學生數國立男,學生數國立女,學生數直轄市立計,學生數直轄市立男,學生數直轄市立女,學生數縣市立計,學生數縣市立男,學生數縣市立女,學生數私立計,學生數私立男,學生數私立女,上學年畢業生數總計計,上學年畢業生數總計男,上學年畢業生數總計女,上學年畢業生數國立計,上學年畢業生數國立男,上學年畢業生數國立女,上學年畢業生數直轄市立計,上學年畢業生數直轄市立男,上學年畢業生數直轄市立女,上學年畢業生數縣市立計,上學年畢業生數縣市立男,上學年畢業生數縣市立女,上學年畢業生數私立計,上學年畢業生數私立男,上學年畢業生數私立女
106學年,日間部,315447,179410,136037,81007,48266,32741,46634,30834,15800,945,406,539,186861,99904,86957,98297,53740,44557,24553,14146,10407,14041,8991,5050,199,81,118,59504,30522,28982
106學年,夜間部,202,83,119,-,-,-,-,-,-,-,-,-,202,83,119,128,52,76,-,-,-,-,-,-,-,-,-,128,52,76
105學年,日間部,331819,188030,143789,93671,56459,37212,34601,22817,11784,796,339,457,202751,108415,94336,102828,56402,46426,30216,17295,12921,10568,6621,3947,192,71,121,61852,32415,29437
105學年,夜間部,365,154,211,-,-,-,-,-,-,-,-,-,365,154,211,570,266,304,-,-,-,426,204,222,-,-,-,144,62,82
104學年,日間部,336377,190604,145773,94600,56660,37940,34975,22965,12010,631,261,370,206171,110718,95453,111735,60581,51154,30740,17555,13185,10514,6675,3839,185,72,113,70296,36279,34017
104學年,夜間部,977,454,523,-,-,-,511,256,255,-,-,-,466,198,268,719,332,387,-,-,-,547,268,279,-,-,-,172,64,108
103學年,日間部,344253,193492,150761,96778,57356,39422,34210,22691,11519,1752,692,1060,211513,112753,98760,113037,61284,51753,30637,17529,13108,10060,6494,3566,341,122,219,71999,37139,34860
103學年,夜間部,1684,800,884,-,-,-,1115,565,550,-,-,-,569,235,334,742,365,377,-,-,-,571,299,272,-,-,-,171,66,105
102學年,日間部,357737,199846,157891,98252,57578,40674,33853,22398,11455,1548,595,953,224084,119275,104809,111112,60208,50904,30309,17157,13152,10307,6632,3675,72,36,36,70424,36383,34041
102學年,夜間部,2469,1231,1238,-,-,-,1794,949,845,-,-,-,675,282,393,821,410,411,-,-,-,630,338,292,-,-,-,191,72,119
101學年,日間部,366108,203602,162506,106334,63156,43178,25057,16174,8883,1024,396,628,233693,123876,109817,109078,59100,49978,33043,18970,14073,7703,4856,2847,74,33,41,68258,35241,33017
101學年,夜間部,3328,1690,1638,-,-,-,2589,1389,1200,-,-,-,739,301,438,785,372,413,-,-,-,621,321,300,-,-,-,164,51,113
100學年,日間部,362900,201659,161241,105253,62109,43144,24947,16078,8869,499,198,301,232201,123274,108927,109026,59372,49654,33025,18586,14439,7673,4714,2959,-,-,-,68328,36072,32256
100學年,夜間部,3549,1814,1735,-,-,-,2765,1503,1262,-,-,-,784,311,473,811,421,390,-,-,-,654,346,308,-,-,-,157,75,82
99學年,日間部,358928,199582,159346,104327,60751,43576,22551,14995,7556,2351,848,1503,229699,122988,106711,104150,57474,46676,32472,18567,13905,7021,4511,2510,660,186,474,63997,34210,29787
99學年,夜間部,3586,1842,1744,-,-,-,2833,1535,1298,-,-,-,753,307,446,777,367,410,-,-,-,622,294,328,-,-,-,155,73,82
98學年,日間部,351022,195914,155108,103506,60033,43473,22557,14951,7606,2262,763,1499,222697,120167,102530,102119,56086,46033,31923,18225,13698,6853,4362,2491,668,192,476,62675,33307,29368
98學年,夜間部,3586,1831,1755,-,-,-,2848,1510,1338,-,-,-,738,321,417,945,474,471,-,-,-,614,312,302,-,-,-,331,162,169
97學年,日間部,342767,191893,150874,102292,59181,43111,22406,14665,7741,2177,688,1489,215892,117359,98533,101170,55198,45972,31312,17688,13624,6819,4304,2515,682,200,482,62357,33006,29351
97學年,夜間部,3796,1934,1862,-,-,-,2835,1480,1355,-,-,-,961,454,507,1020,451,569,-,-,-,596,290,306,-,-,-,424,161,263
""
