學年別,學科類別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計延修生小計,總計延修生男,總計延修生女,國立計小計,國立計男,國立計女,國立1年級小計,國立1年級男,國立1年級女,國立2年級小計,國立2年級男,國立2年級女,國立3年級小計,國立3年級男,國立3年級女,國立延修生小計,國立延修生男,國立延修生女,直轄市立計小計,直轄市立計男,直轄市立計女,直轄市立1年級小計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級小計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級小計,直轄市立3年級男,直轄市立3年級女,直轄市立延修生小計,直轄市立延修生男,直轄市立延修生女,縣市立計小計,縣市立計男,縣市立計女,縣市立1年級小計,縣市立1年級男,縣市立1年級女,縣市立2年級小計,縣市立2年級男,縣市立2年級女,縣市立3年級小計,縣市立3年級男,縣市立3年級女,縣市立延修生小計,縣市立延修生男,縣市立延修生女,私立計小計,私立計男,私立計女,私立1年級小計,私立1年級男,私立1年級女,私立2年級小計,私立2年級男,私立2年級女,私立3年級小計,私立3年級男,私立3年級女,私立延修生小計,私立延修生男,私立延修生女
102學年,總計,122511,63041,59470,40423,21511,18912,41628,21197,20431,40294,20196,20098,166,137,29,8278,3860,4418,2957,1398,1559,2755,1279,1476,2566,1183,1383,-,-,-,1135,1002,133,410,350,60,388,333,55,305,289,16,32,30,2,1548,595,953,618,246,372,586,225,361,344,124,220,-,-,-,111550,57584,53966,36438,19517,16921,37899,19360,18539,37079,18600,18479,134,107,27
102學年,農業,533,281,252,155,87,68,198,97,101,180,97,83,-,-,-,533,281,252,155,87,68,198,97,101,180,97,83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,工業,32065,30361,1704,10583,10096,487,10595,10021,574,10803,10162,641,84,82,2,2216,1901,315,843,722,121,716,620,96,657,559,98,-,-,-,980,942,38,330,319,11,313,304,9,305,289,16,32,30,2,131,108,23,81,65,16,50,43,7,-,-,-,-,-,-,28738,27410,1328,9329,8990,339,9516,9054,462,9841,9314,527,52,52,-
102學年,商業,51368,18355,33013,16174,6182,9992,17649,6278,11371,17494,5861,11633,51,34,17,3965,1491,2474,1406,520,886,1324,498,826,1235,473,762,-,-,-,155,60,95,80,31,49,75,29,46,-,-,-,-,-,-,1253,415,838,455,142,313,454,149,305,344,124,220,-,-,-,45995,16389,29606,14233,5489,8744,15796,5602,10194,15915,5264,10651,51,34,17
102學年,家事,35974,12770,23204,12593,4705,7888,12318,4351,7967,11037,3697,7340,26,17,9,1443,103,1340,510,42,468,477,33,444,456,28,428,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34531,12667,21864,12083,4663,7420,11841,4318,7523,10581,3669,6912,26,17,9
102學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,海事,121,84,37,43,27,16,40,31,9,38,26,12,-,-,-,121,84,37,43,27,16,40,31,9,38,26,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,劇藝,2450,1190,1260,875,414,461,828,419,409,742,353,389,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,164,72,92,82,39,43,82,33,49,-,-,-,-,-,-,2286,1118,1168,793,375,418,746,386,360,742,353,389,5,4,1
101學年,總計,124823,63825,60998,44580,23145,21435,41589,21040,20549,38504,19514,18990,150,126,24,8825,4578,4247,3214,1691,1523,2933,1520,1413,2647,1337,1310,31,30,1,78,32,46,78,32,46,-,-,-,-,-,-,-,-,-,1024,396,628,599,229,370,353,131,222,72,36,36,-,-,-,114896,58819,56077,40689,21193,19496,38303,19389,18914,35785,18141,17644,119,96,23
101學年,農業,523,264,259,199,100,99,182,99,83,142,65,77,-,-,-,523,264,259,199,100,99,182,99,83,142,65,77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
