學年別,學科類別,總計計,總計男,總計女,國立計,國立男,國立女,直轄市立計,直轄市立男,直轄市立女,縣市立計,縣市立男,縣市立女,私立計,私立男,私立女
101學年,總計,37714,18891,18823,2292,1004,1288,249,241,8,72,36,36,35101,17610,17491
101學年,農業,141,64,77,141,64,77,-,-,-,-,-,-,-,-,-
101學年,工業,10580,10059,521,596,512,84,249,241,8,-,-,-,9735,9306,429
101學年,商業,16234,5167,11067,1063,372,691,-,-,-,72,36,36,15099,4759,10340
101學年,家事,10166,3321,6845,452,28,424,-,-,-,-,-,-,9714,3293,6421
101學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,海事,40,28,12,40,28,12,-,-,-,-,-,-,-,-,-
101學年,劇藝,553,252,301,-,-,-,-,-,-,-,-,-,553,252,301
100學年,總計,35793,18092,17701,2399,1196,1203,-,-,-,74,33,41,33320,16863,16457
100學年,農業,184,86,98,184,86,98,-,-,-,-,-,-,-,-,-
100學年,工業,10314,9821,493,790,700,90,-,-,-,-,-,-,9524,9121,403
100學年,商業,15303,4936,10367,958,365,593,-,-,-,74,33,41,14271,4538,9733
100學年,家事,9544,3071,6473,428,19,409,-,-,-,-,-,-,9116,3052,6064
100學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,海事,39,26,13,39,26,13,-,-,-,-,-,-,-,-,-
100學年,劇藝,409,152,257,-,-,-,-,-,-,-,-,-,409,152,257
99學年,總計,33898,17382,16516,2125,1004,1121,-,-,-,-,-,-,31773,16378,15395
99學年,農業,194,96,98,194,96,98,-,-,-,-,-,-,-,-,-
99學年,工業,10438,9948,490,743,651,92,-,-,-,-,-,-,9695,9297,398
99學年,商業,14336,4449,9887,757,224,533,-,-,-,-,-,-,13579,4225,9354
99學年,家事,8540,2713,5827,391,12,379,-,-,-,-,-,-,8149,2701,5448
99學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,海事,40,21,19,40,21,19,-,-,-,-,-,-,-,-,-
99學年,劇藝,350,155,195,-,-,-,-,-,-,-,-,-,350,155,195
98學年,總計,30921,16359,14562,2070,991,1079,-,-,-,-,-,-,28851,15368,13483
98學年,農業,142,66,76,142,66,76,-,-,-,-,-,-,-,-,-
98學年,工業,10668,9872,796,742,661,81,-,-,-,-,-,-,9926,9211,715
98學年,商業,16691,5993,10698,854,238,616,-,-,-,-,-,-,15837,5755,10082
98學年,家事,3099,300,2799,293,2,291,-,-,-,-,-,-,2806,298,2508
98學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,海事,39,24,15,39,24,15,-,-,-,-,-,-,-,-,-
98學年,劇藝,282,104,178,-,-,-,-,-,-,-,-,-,282,104,178
97學年,總計,31114,16402,14712,2111,1049,1062,-,-,-,-,-,-,29003,15353,13650
97學年,農業,173,78,95,173,78,95,-,-,-,-,-,-,-,-,-
97學年,工業,10815,9929,886,766,680,86,-,-,-,-,-,-,10049,9249,800
97學年,商業,16331,5936,10395,831,260,571,-,-,-,-,-,-,15500,5676,9824
97學年,家事,3452,308,3144,299,4,295,-,-,-,-,-,-,3153,304,2849
97學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,海事,42,27,15,42,27,15,-,-,-,-,-,-,-,-,-
97學年,劇藝,301,124,177,-,-,-,-,-,-,-,-,-,301,124,177
96學年,總計,30420,15694,14726,2122,1043,1079,-,-,-,-,-,-,28298,14651,13647
96學年,農業,181,84,97,181,84,97,-,-,-,-,-,-,-,-,-
96學年,工業,10837,9967,870,722,645,77,-,-,-,-,-,-,10115,9322,793
96學年,商業,15772,5324,10448,902,281,621,-,-,-,-,-,-,14870,5043,9827
96學年,家事,3346,214,3132,278,5,273,-,-,-,-,-,-,3068,209,2859
96學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96學年,海事,39,28,11,39,28,11,-,-,-,-,-,-,-,-,-
96學年,劇藝,245,77,168,-,-,-,-,-,-,-,-,-,245,77,168
""
