學年別,學科類別,總計計,總計1年級,總計2年級,總計3年級,總計4年級,國立計,國立1年級,國立2年級,國立3年級,國立4年級,直轄市立計,直轄市立1年級,直轄市立2年級,直轄市立3年級,直轄市立4年級,縣市立計,縣市立1年級,縣市立2年級,縣市立3年級,縣市立4年級,私立計,私立1年級,私立2年級,私立3年級,私立4年級
106學年,總計,8605,2761,2899,2942,3,2497,840,838,819,-,1341,463,441,437,-,27,11,10,6,-,4740,1447,1610,1680,3
106學年,農業,304,103,101,100,-,260,88,86,86,-,28,10,10,8,-,-,-,-,-,-,16,5,5,6,-
106學年,工業,3268,1063,1098,1107,-,1150,386,386,378,-,827,281,274,272,-,-,-,-,-,-,1291,396,438,457,-
106學年,商業,2607,833,875,896,3,770,259,259,252,-,428,148,140,140,-,24,9,9,6,-,1385,417,467,498,3
106學年,家事,2083,646,711,726,-,232,79,78,75,-,49,19,15,15,-,3,2,1,-,-,1799,546,617,636,-
106學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,海事,70,23,24,23,-,64,21,22,21,-,-,-,-,-,-,-,-,-,-,-,6,2,2,2,-
106學年,劇藝,273,93,90,90,-,21,7,7,7,-,9,5,2,2,-,-,-,-,-,-,243,81,81,81,-
105學年,總計,8761,2933,2944,2880,4,2813,954,935,924,-,958,325,321,312,-,23,10,7,6,-,4967,1644,1681,1638,4
105學年,農業,300,103,100,97,-,263,88,88,87,-,20,8,6,6,-,-,-,-,-,-,17,7,6,4,-
105學年,工業,3275,1104,1104,1067,-,1375,464,456,455,-,580,196,194,190,-,-,-,-,-,-,1320,444,454,422,-
105學年,商業,2659,878,895,882,4,850,290,283,277,-,322,109,109,104,-,19,8,6,5,-,1468,471,497,496,4
105學年,家事,2185,730,731,724,-,240,83,80,77,-,30,10,10,10,-,4,2,1,1,-,1911,635,640,636,-
