學年別,學科類別,總計計,總計1年級,總計2年級,總計3年級,國立計,國立1年級,國立2年級,國立3年級,直轄市立計,直轄市立1年級,直轄市立2年級,直轄市立3年級,縣市立計,縣市立1年級,縣市立2年級,縣市立3年級,私立計,私立1年級,私立2年級,私立3年級
102學年,總計,2829,924,968,937,238,82,80,76,28,10,10,8,39,15,15,9,2524,817,863,844
102學年,農業,14,4,5,5,14,4,5,5,-,-,-,-,-,-,-,-,-,-,-,-
102學年,工業,767,247,258,262,67,24,22,21,24,8,8,8,4,2,2,-,672,213,226,233
102學年,商業,1165,371,400,394,113,39,38,36,4,2,2,-,31,11,11,9,1017,319,349,349
102學年,家事,821,279,283,259,41,14,14,13,-,-,-,-,-,-,-,-,780,265,269,246
102學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,海事,3,1,1,1,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
102學年,劇藝,59,22,21,16,-,-,-,-,-,-,-,-,4,2,2,-,55,20,19,16
101學年,總計,2812,968,938,906,250,88,84,78,2,2,-,-,26,15,9,2,2534,863,845,826
101學年,農業,14,5,5,4,14,5,5,4,-,-,-,-,-,-,-,-,-,-,-,-
101學年,工業,786,260,262,264,86,30,29,27,-,-,-,-,2,2,-,-,698,228,233,237
101學年,商業,1178,403,394,381,107,38,36,33,2,2,-,-,22,11,9,2,1047,352,349,346
101學年,家事,784,281,260,243,40,14,13,13,-,-,-,-,-,-,-,-,744,267,247,230
101學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,海事,3,1,1,1,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
101學年,劇藝,47,18,16,13,-,-,-,-,-,-,-,-,2,2,-,-,45,16,16,13
100學年,總計,2720,947,909,864,234,84,78,72,-,-,-,-,13,9,2,2,2473,854,829,790
100學年,農業,14,5,4,5,14,5,4,5,-,-,-,-,-,-,-,-,-,-,-,-
100學年,工業,788,265,264,259,81,29,27,25,-,-,-,-,-,-,-,-,707,236,237,234
100學年,商業,1137,398,382,357,97,36,33,28,-,-,-,-,13,9,2,2,1027,353,347,327
100學年,家事,739,262,245,232,39,13,13,13,-,-,-,-,-,-,-,-,700,249,232,219
100學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,海事,3,1,1,1,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
100學年,劇藝,39,16,13,10,-,-,-,-,-,-,-,-,-,-,-,-,39,16,13,10
99學年,總計,2590,920,868,802,215,78,72,65,-,-,-,-,4,2,2,-,2371,840,794,737
99學年,農業,14,4,5,5,14,4,5,5,-,-,-,-,-,-,-,-,-,-,-,-
99學年,工業,828,282,277,269,76,27,25,24,-,-,-,-,-,-,-,-,752,255,252,245
99學年,商業,1442,523,483,436,96,37,32,27,-,-,-,-,4,2,2,-,1342,484,449,409
99學年,家事,271,97,92,82,26,9,9,8,-,-,-,-,-,-,-,-,245,88,83,74
99學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,海事,3,1,1,1,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
99學年,劇藝,32,13,10,9,-,-,-,-,-,-,-,-,-,-,-,-,32,13,10,9
98學年,總計,2427,875,808,744,201,72,65,64,-,-,-,-,2,2,-,-,2224,801,743,680
98學年,農業,14,5,5,4,14,5,5,4,-,-,-,-,-,-,-,-,-,-,-,-
98學年,工業,812,279,274,259,73,25,24,24,-,-,-,-,-,-,-,-,739,254,250,235
98學年,商業,1314,486,437,391,85,32,27,26,-,-,-,-,2,2,-,-,1227,452,410,365
98學年,家事,258,94,82,82,26,9,8,9,-,-,-,-,-,-,-,-,232,85,74,73
98學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,海事,3,1,1,1,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
98學年,劇藝,26,10,9,7,-,-,-,-,-,-,-,-,-,-,-,-,26,10,9,7
97學年,總計,2306,812,746,748,194,65,64,65,-,-,-,-,-,-,-,-,2112,747,682,683
97學年,農業,14,5,4,5,14,5,4,5,-,-,-,-,-,-,-,-,-,-,-,-
97學年,工業,802,276,260,266,72,24,24,24,-,-,-,-,-,-,-,-,730,252,236,242
97學年,商業,1211,439,392,380,79,27,26,26,-,-,-,-,-,-,-,-,1132,412,366,354
97學年,家事,251,82,82,87,26,8,9,9,-,-,-,-,-,-,-,-,225,74,73,78
97學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,海事,3,1,1,1,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
97學年,劇藝,25,9,7,9,-,-,-,-,-,-,-,-,-,-,-,-,25,9,7,9
""
