學年別,設立別,總計,幼兒(稚)園,國民小學,國民中學,高級中等學校,高級中學,職業學校,專科學校,獨立學院,大學,宗教研修學院,特殊教育學校
106學年,總計,15.00,10.63,12.15,10.67,15.93,-,-,28.54,18.33,22.44,5.94,3.60
106學年,公立,12.99,11.10,12.00,10.63,13.11,-,-,20.54,16.32,19.20,-,3.64
106學年,私立,20.07,10.45,18.98,14.40,21.74,-,-,29.30,18.39,24.96,5.94,1.78
105學年,總計,15.27,10.44,12.35,11.01,16.42,-,-,31.66,22.64,23.00,6.54,3.74
105學年,公立,13.17,11.00,12.22,10.97,13.27,-,-,21.21,20.30,19.36,-,3.78
105學年,私立,20.61,10.23,18.59,14.75,22.72,-,-,32.70,22.67,25.87,6.54,2.13
104學年,總計,15.39,10.01,12.47,11.51,16.60,-,-,30.75,22.56,22.58,7.11,3.71
104學年,公立,13.33,10.79,12.35,11.48,13.50,-,-,24.53,15.15,18.92,-,3.74
104學年,私立,20.72,9.71,18.74,15.03,22.75,-,-,31.26,22.68,25.40,7.11,2.53
103學年,總計,15.60,9.80,12.71,12.06,17.05,-,-,29.65,23.41,22.24,8.58,3.80
103學年,公立,13.63,10.59,12.60,12.04,13.96,-,-,24.01,14.24,18.75,-,3.83
103學年,私立,20.76,9.50,18.65,14.27,23.04,-,-,30.07,23.53,24.94,8.58,2.56
102學年,總計,16.03,9.89,13.31,12.50,-,17.83,17.29,29.70,22.15,21.92,7.75,3.98
102學年,公立,14.11,10.59,13.21,12.47,-,15.01,13.26,22.86,22.23,18.63,-,4.01
102學年,私立,20.94,9.63,19.06,14.93,-,22.65,26.76,30.22,22.14,24.40,7.75,2.74
101學年,總計,16.59,10.21,14.09,13.00,-,18.29,17.83,28.34,21.32,21.86,7.69,4.02
101學年,公立,14.67,10.89,14.00,12.95,-,15.26,13.33,18.03,20.52,18.76,-,4.05
101學年,私立,21.43,9.97,19.49,17.41,-,23.41,28.44,29.29,21.44,24.21,7.69,2.90
100學年,總計,17.90,12.72,14.78,13.74,-,18.53,18.29,27.69,21.10,21.52,6.71,4.08
100學年,公立,15.40,11.74,14.71,13.69,-,15.55,13.54,18.60,21.25,18.69,-,4.11
100學年,私立,26.41,13.39,19.08,18.64,-,23.43,29.45,28.94,21.07,23.65,6.71,2.88
99學年,總計,18.18,12.57,15.26,14.31,-,18.58,18.69,26.74,19.81,21.25,4.62,4.16
99學年,公立,15.88,12.42,15.21,14.27,-,15.73,13.75,18.44,21.80,18.76,-,4.19
99學年,私立,25.95,12.67,18.45,18.69,-,23.23,30.04,27.86,19.46,23.12,4.62,2.95
98學年,總計,18.49,10.77,16.07,14.90,-,18.73,19.08,26.13,19.35,21.03,-,4.35
98學年,公立,16.46,12.29,16.03,14.85,-,15.88,13.96,21.36,21.63,18.60,-,4.38
98學年,私立,25.10,9.95,18.80,19.15,-,23.43,31.05,26.67,18.89,22.84,-,3.19
97學年,總計,18.76,10.69,16.74,15.08,-,18.91,19.01,23.65,18.81,20.47,-,4.21
97學年,公立,16.80,12.52,16.70,15.03,-,16.08,13.95,19.73,19.80,17.74,-,4.23
97學年,私立,25.09,9.76,19.12,19.77,-,23.45,30.80,24.10,18.65,22.62,-,3.28
""
