學年別,縣市別,總計,幼兒(稚)園,國民小學,國民中學,高級中等學校,高級中學,職業學校,專科學校,獨立學院,大學,宗教研修學院,特殊教育學校,國小補校,國中補校,高級中等進修學校,空大及大專進修學校
106學年,總計,300.71,174.70,72.66,20.22,14.12,-,-,0.36,0.41,3.56,0.14,0.77,6.22,4.97,-,2.57
106學年,新北市,746.87,526.17,104.26,29.72,30.21,-,-,0.49,1.95,7.31,0.49,0.49,23.39,14.62,-,7.80
106學年,臺北市,3826.35,2534.95,555.56,224.43,253.86,-,-,3.68,3.68,84.62,7.36,14.72,58.87,44.15,-,40.47
106學年,桃園市,708.46,430.81,155.62,47.50,27.85,-,-,0.82,0.82,8.19,-,0.82,15.56,13.92,-,6.55
106學年,臺中市,505.22,304.75,106.10,32.06,22.57,-,-,-,-,7.68,-,1.81,14.90,10.84,-,4.51
106學年,臺南市,413.84,244.56,96.27,26.92,21.44,-,-,0.91,0.46,5.48,-,0.91,9.58,4.56,-,2.74
106學年,高雄市,379.76,227.31,81.98,26.76,18.29,-,-,1.02,0.34,5.08,0.34,1.36,5.08,8.13,-,4.07
106學年,宜蘭縣,111.03,48.98,35.45,11.20,5.60,-,-,0.47,0.47,0.93,-,0.47,4.66,1.87,-,0.93
106學年,新竹縣,248.68,154.11,60.24,20.31,7.01,-,-,-,-,1.40,-,0.70,2.10,1.40,-,1.40
106學年,苗栗縣,195.02,96.14,62.63,16.48,10.44,-,-,0.55,0.55,1.10,-,0.55,4.94,0.55,-,1.10
106學年,彰化縣,537.98,294.12,162.88,33.51,22.34,-,-,-,-,4.65,-,1.86,7.45,8.38,-,2.79
106學年,南投縣,90.35,41.89,33.85,7.79,3.65,-,-,-,-,0.49,0.24,0.24,0.73,0.97,-,0.49
106學年,雲林縣,278.12,97.61,120.08,25.56,16.27,-,-,-,-,2.32,-,0.77,5.42,6.97,-,3.10
106學年,嘉義縣,164.42,74.07,65.14,12.61,5.25,-,-,-,0.53,1.58,-,-,2.10,2.10,-,1.05
106學年,屏東縣,186.99,94.39,60.53,12.61,6.85,-,-,0.36,-,1.44,-,0.36,4.32,4.68,-,1.44
106學年,臺東縣,69.13,33.28,25.03,5.97,2.84,-,-,0.28,-,0.28,-,0.28,0.57,0.57,-,-
106學年,花蓮縣,61.14,27.65,22.25,4.97,2.81,-,-,-,0.43,0.65,-,0.22,0.65,1.08,-,0.43
106學年,澎湖縣,622.71,181.30,291.65,110.35,15.76,-,-,-,-,7.88,-,-,7.88,7.88,-,-
106學年,基隆市,1401.04,768.31,316.36,82.86,90.39,-,-,-,7.53,15.06,-,7.53,45.19,37.66,-,30.13
106學年,新竹市,2217.90,1545.81,316.84,124.82,115.22,-,-,-,-,48.01,-,-,38.41,9.60,-,19.20
106學年,嘉義市,1982.49,1149.51,333.19,133.28,216.57,-,-,16.66,16.66,16.66,-,16.66,16.66,49.98,-,16.66
106學年,金門縣,336.29,158.25,125.28,32.97,13.19,-,-,-,-,6.59,-,-,-,-,-,-
106學年,連江縣,659.72,173.61,277.78,173.61,34.72,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,300.66,174.34,72.66,20.33,13.98,-,-,0.36,0.52,3.48,0.14,0.77,6.38,5.11,-,2.57
105學年,新北市,748.33,527.14,104.26,30.21,29.72,-,-,0.49,2.92,6.33,0.49,0.49,23.87,14.62,-,7.80
105學年,臺北市,3796.91,2509.20,551.88,224.43,253.86,-,-,3.68,3.68,84.62,7.36,14.72,58.87,44.15,-,40.47
105學年,桃園市,706.82,429.17,155.62,48.32,27.03,-,-,0.82,0.82,8.19,-,0.82,15.56,13.92,-,6.55
105學年,臺中市,499.80,299.79,106.10,32.51,21.67,-,-,-,-,7.68,-,1.81,14.90,10.84,-,4.51
105學年,臺南市,410.65,240.00,96.27,27.38,21.44,-,-,0.91,0.46,5.48,-,0.91,10.04,5.02,-,2.74
105學年,高雄市,380.10,226.64,81.98,26.76,17.95,-,-,1.02,0.68,4.74,0.34,1.36,6.10,8.47,-,4.07
105學年,宜蘭縣,111.49,49.45,35.45,11.20,5.60,-,-,0.47,0.47,0.93,-,0.47,4.66,1.87,-,0.93
105學年,新竹縣,247.28,152.71,60.24,20.31,7.01,-,-,-,-,1.40,-,0.70,2.10,1.40,-,1.40
105學年,苗栗縣,193.92,95.04,62.63,16.48,10.44,-,-,0.55,0.55,1.10,-,0.55,4.94,0.55,-,1.10
105學年,彰化縣,544.49,298.77,162.88,33.51,22.34,-,-,-,-,4.65,-,1.86,8.38,9.31,-,2.79
105學年,南投縣,91.08,42.37,34.09,7.79,3.65,-,-,-,-,0.49,0.24,0.24,0.73,0.97,-,0.49
105學年,雲林縣,281.21,99.94,120.08,25.56,16.27,-,-,-,-,2.32,-,0.77,6.20,6.97,-,3.10
105學年,嘉義縣,164.42,74.07,65.14,12.61,5.25,-,-,-,0.53,1.58,-,-,2.10,2.10,-,1.05
105學年,屏東縣,189.87,96.92,60.53,12.61,6.85,-,-,0.36,-,1.44,-,0.36,4.32,5.04,-,1.44
