學年別,總計,幼兒(稚)園,國小,國中,高級中等學校,專科,大學以上,宗教研修學院,特殊教育學校,其他
106學年,50.916,6.034,13.258,7.553,8.619,1.050,13.679,0.003,0.069,0.650
105學年,52.613,5.756,13.711,8.027,9.065,1.118,14.177,0.003,0.072,0.683
104學年,54.506,5.457,14.339,8.829,9.355,1.151,14.582,0.002,0.074,0.717
103學年,56.419,5.302,14.945,9.582,9.769,1.184,14.799,0.002,0.077,0.760
102學年,58.646,5.409,15.654,10.040,10.390,1.227,15.017,0.003,0.081,0.825
101學年,61.166,5.615,16.776,10.321,10.885,1.239,15.316,0.002,0.084,0.927
100學年,60.315,2.355,18.082,10.837,11.159,1.257,15.523,0.002,0.087,1.012
99學年,62.564,2.317,19.148,11.589,11.371,1.295,15.633,0.002,0.088,1.121
98學年,64.900,2.332,20.413,12.152,11.552,1.391,15.733,-,0.092,1.236
97學年,67.476,2.425,21.911,12.435,11.737,1.537,15.933,-,0.090,1.409
""
