學年別,縣市別,總計計,總計國立,總計直轄市立,總計私立,專科學校計,專科學校國立,專科學校直轄市立,專科學校私立,獨立學院計,獨立學院國立,獨立學院直轄市立,獨立學院私立,大學計,大學國立,大學直轄市立,大學私立
106學年,總計,87,17,-,70,13,2,-,11,11,1,-,10,63,14,-,49
106學年,新北市,12,-,-,12,1,-,-,1,2,-,-,2,9,-,-,9
106學年,臺北市,10,5,-,5,1,-,-,1,1,1,-,-,8,4,-,4
106學年,桃園市,6,-,-,6,1,-,-,1,1,-,-,1,4,-,-,4
106學年,臺中市,8,2,-,6,-,-,-,-,-,-,-,-,8,2,-,6
106學年,臺南市,9,1,-,8,2,1,-,1,-,-,-,-,7,-,-,7
106學年,高雄市,14,4,-,10,3,-,-,3,1,-,-,1,10,4,-,6
106學年,宜蘭縣,2,-,-,2,1,-,-,1,1,-,-,1,-,-,-,-
106學年,新竹縣,2,-,-,2,-,-,-,-,-,-,-,-,2,-,-,2
106學年,苗栗縣,3,-,-,3,1,-,-,1,1,-,-,1,1,-,-,1
106學年,彰化縣,2,-,-,2,-,-,-,-,-,-,-,-,2,-,-,2
106學年,南投縣,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
106學年,雲林縣,3,2,-,1,-,-,-,-,-,-,-,-,3,2,-,1
106學年,嘉義縣,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
106學年,屏東縣,4,1,-,3,1,-,-,1,-,-,-,-,3,1,-,2
106學年,臺東縣,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-
106學年,花蓮縣,3,-,-,3,-,-,-,-,2,-,-,2,1,-,-,1
106學年,澎湖縣,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-
106學年,基隆市,2,-,-,2,-,-,-,-,1,-,-,1,1,-,-,1
106學年,新竹市,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1
106學年,嘉義市,2,-,-,2,1,-,-,1,1,-,-,1,-,-,-,-
106學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,87,17,-,70,13,2,-,11,15,1,-,14,59,14,-,45
105學年,新北市,12,-,-,12,1,-,-,1,4,-,-,4,7,-,-,7
105學年,臺北市,10,5,-,5,1,-,-,1,1,1,-,-,8,4,-,4
105學年,桃園市,6,-,-,6,1,-,-,1,1,-,-,1,4,-,-,4
