學年別,縣市別,總計學生數計,總計學生數男,總計學生數女,總計1年級計,總計1年級男,總計1年級女,總計2年級計,總計2年級男,總計2年級女,總計3年級計,總計3年級男,總計3年級女,總計延修生計,總計延修生男,總計延修生女,總計上學年畢業生數計,總計上學年畢業生數男,總計上學年畢業生數女,國立學生數計,國立學生數男,國立學生數女,國立1年級計,國立1年級男,國立1年級女,國立2年級計,國立2年級男,國立2年級女,國立3年級計,國立3年級男,國立3年級女,國立延修生計,國立延修生男,國立延修生女,國立上學年畢業生數計,國立上學年畢業生數男,國立上學年畢業生數女,直轄市立學生數計,直轄市立學生數男,直轄市立學生數女,直轄市立1年級計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級計,直轄市立3年級男,直轄市立3年級女,直轄市立延修生計,直轄市立延修生男,直轄市立延修生女,直轄市立上學年畢業生數計,直轄市立上學年畢業生數男,直轄市立上學年畢業生數女,縣市立學生數計,縣市立學生數男,縣市立學生數女,縣市立1年級計,縣市立1年級男,縣市立1年級女,縣市立2年級計,縣市立2年級男,縣市立2年級女,縣市立3年級計,縣市立3年級男,縣市立3年級女,縣市立延修生計,縣市立延修生男,縣市立延修生女,縣市立上學年畢業生數計,縣市立上學年畢業生數男,縣市立上學年畢業生數女,私立學生數計,私立學生數男,私立學生數女,私立1年級計,私立1年級男,私立1年級女,私立2年級計,私立2年級男,私立2年級女,私立3年級計,私立3年級男,私立3年級女,私立延修生計,私立延修生男,私立延修生女,私立上學年畢業生數計,私立上學年畢業生數男,私立上學年畢業生數女
106學年,總計,310239,155511,154728,100439,50518,49921,104529,52169,52360,105136,52726,52410,135,98,37,94269,46604,47665,89899,45406,44493,29781,15160,14621,30237,15271,14966,29848,14944,14904,33,31,2,27679,13721,13958,129390,63948,65442,43859,21785,22074,42754,20881,21873,42701,21234,21467,76,48,28,38480,18734,19746,13460,6844,6616,4535,2265,2270,4548,2340,2208,4373,2235,2138,4,4,-,3645,1841,1804,77490,39313,38177,22264,11308,10956,26990,13677,13313,28214,14313,13901,22,15,7,24465,12308,12157
106學年,新北市,40999,20528,20471,13072,6572,6500,13786,6845,6941,14086,7081,7005,55,30,25,12039,5746,6293,56,28,28,15,6,9,23,11,12,18,11,7,-,-,-,17,10,7,29549,14857,14692,9919,4987,4932,9823,4930,4893,9752,4910,4842,55,30,25,8128,3858,4270,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11394,5643,5751,3138,1579,1559,3940,1904,2036,4316,2160,2156,-,-,-,3894,1878,2016
106學年,臺北市,58742,29022,29720,19341,9781,9560,19462,9431,10031,19937,9808,10129,2,2,-,18070,8782,9288,3783,2407,1376,1263,813,450,1276,796,480,1244,798,446,-,-,-,1161,714,447,43791,21442,22349,14943,7407,7536,14344,6831,7513,14503,7203,7300,1,1,-,13198,6422,6776,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11168,5173,5995,3135,1561,1574,3842,1804,2038,4190,1807,2383,1,1,-,3711,1646,2065
106學年,桃園市,29822,15129,14693,9921,5099,4822,9991,5042,4949,9909,4987,4922,1,1,-,9033,4488,4545,12699,6603,6096,4248,2254,1994,4225,2178,2047,4226,2171,2055,-,-,-,3755,1868,1887,9650,4630,5020,3404,1662,1742,3149,1502,1647,3097,1466,1631,-,-,-,2924,1390,1534,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7473,3896,3577,2269,1183,1086,2617,1362,1255,2586,1350,1236,1,1,-,2354,1230,1124
106學年,臺中市,37962,18872,19090,12477,6121,6356,12798,6392,6406,12653,6333,6320,34,26,8,11825,5995,5830,2119,1152,967,718,396,322,706,397,309,695,359,336,-,-,-,668,379,289,22276,11051,11225,7608,3745,3863,7393,3659,3734,7259,3633,3626,16,14,2,6765,3445,3320,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13567,6669,6898,4151,1980,2171,4699,2336,2363,4699,2341,2358,18,12,6,4392,2171,2221
106學年,臺南市,25817,13067,12750,8049,4065,3984,8882,4533,4349,8871,4455,4416,15,14,1,7982,4079,3903,13148,6468,6680,4361,2157,2204,4454,2231,2223,4320,2067,2253,13,13,-,4015,2053,1962,1856,923,933,629,323,306,620,306,314,605,293,312,2,1,1,595,280,315,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10813,5676,5137,3059,1585,1474,3808,1996,1812,3946,2095,1851,-,-,-,3372,1746,1626
106學年,高雄市,35657,18116,17541,11452,5864,5588,11965,6017,5948,12238,6233,6005,2,2,-,10730,5368,5362,8074,4350,3724,2687,1472,1215,2698,1432,1266,2689,1446,1243,-,-,-,2470,1293,1177,22268,11045,11223,7356,3661,3695,7425,3653,3772,7485,3729,3756,2,2,-,6870,3339,3531,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5315,2721,2594,1409,731,678,1842,932,910,2064,1058,1006,-,-,-,1390,736,654
106學年,宜蘭縣,6290,3174,3116,2002,1029,973,2113,1030,1083,2172,1113,1059,3,2,1,1990,990,1000,4784,2214,2570,1593,761,832,1587,711,876,1602,741,861,2,1,1,1560,696,864,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147,82,65,50,21,29,51,29,22,46,32,14,-,-,-,41,27,14,1359,878,481,359,247,112,475,290,185,524,340,184,1,1,-,389,267,122
106學年,新竹縣,5351,2832,2519,1720,963,757,1887,960,927,1744,909,835,-,-,-,1326,667,659,3373,1781,1592,1115,626,489,1138,582,556,1120,573,547,-,-,-,1036,501,535,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1206,579,627,423,215,208,410,184,226,373,180,193,-,-,-,140,73,67,772,472,300,182,122,60,339,194,145,251,156,95,-,-,-,150,93,57
106學年,苗栗縣,6216,2926,3290,2056,970,1086,2142,1003,1139,2014,951,1063,4,2,2,1827,813,1014,4509,2039,2470,1497,691,806,1514,675,839,1496,672,824,2,1,1,1357,579,778,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,798,420,378,303,150,153,299,159,140,195,110,85,1,1,-,161,86,75,909,467,442,256,129,127,329,169,160,323,169,154,1,-,1,309,148,161
