學年別,年齡別,總計計,總計男,總計女,1年級計,1年級男,1年級女,2年級計,2年級男,2年級女,3年級計,3年級男,3年級女,延修生計,延修生男,延修生女
106學年,總計,310239,155511,154728,100439,50518,49921,104529,52169,52360,105136,52726,52410,135,98,37
106學年,未滿14歲,4,1,3,4,1,3,-,-,-,-,-,-,-,-,-
106學年,14至未滿15歲,489,241,248,487,240,247,2,1,1,-,-,-,-,-,-
106學年,15至未滿16歲,96664,48423,48241,96213,48197,48016,450,225,225,1,1,-,-,-,-
106學年,16至未滿17歲,105085,52725,52360,3509,1945,1564,100844,50420,50424,732,360,372,-,-,-
106學年,17至未滿18歲,104824,52531,52293,188,109,79,3049,1411,1638,101587,51011,50576,-,-,-
106學年,18至未滿19歲,2900,1424,1476,25,17,8,155,93,62,2625,1245,1380,95,69,26
106學年,19至未滿20歲,204,122,82,10,7,3,16,9,7,144,81,63,34,25,9
106學年,20至未滿21歲,52,33,19,1,1,-,8,6,2,37,22,15,6,4,2
106學年,21至未滿22歲,10,7,3,-,-,-,1,1,-,9,6,3,-,-,-
106學年,22歲以上,7,4,3,2,1,1,4,3,1,1,-,1,-,-,-
105學年,總計,311077,156265,154812,106486,53278,53208,106085,53269,52816,98375,49624,48751,131,94,37
105學年,未滿14歲,2,2,-,2,2,-,-,-,-,-,-,-,-,-,-
105學年,14至未滿15歲,452,235,217,450,234,216,2,1,1,-,-,-,-,-,-
105學年,15至未滿16歲,103545,51912,51633,102755,51524,51231,788,387,401,2,1,1,-,-,-
105學年,16至未滿17歲,106054,53202,52852,3093,1406,1687,102154,51418,50736,807,378,429,-,-,-
105學年,17至未滿18歲,97268,48802,48466,151,91,60,2944,1350,1594,94172,47360,46812,1,1,-
105學年,18至未滿19歲,3395,1876,1519,18,10,8,145,85,60,3120,1705,1415,112,76,36
105學年,19至未滿20歲,274,183,91,6,4,2,35,19,16,220,148,72,13,12,1
105學年,20至未滿21歲,55,33,22,2,1,1,10,4,6,40,25,15,3,3,-
105學年,21至未滿22歲,15,9,6,-,-,-,3,2,1,10,5,5,2,2,-
