學年別,縣市別,總計計,總計1年級,總計2年級,總計3年級,國立計,國立1年級,國立2年級,國立3年級,直轄市立計,直轄市立1年級,直轄市立2年級,直轄市立3年級,縣市立計,縣市立1年級,縣市立2年級,縣市立3年級,私立計,私立1年級,私立2年級,私立3年級
106學年,總計,8352,2747,2796,2809,2491,830,832,829,3561,1207,1180,1174,422,145,142,135,1878,565,642,671
106學年,新北市,1074,347,362,365,3,1,1,1,792,266,265,261,-,-,-,-,279,80,96,103
106學年,臺北市,1606,532,534,540,98,32,33,33,1248,423,413,412,-,-,-,-,260,77,88,95
106學年,桃園市,762,259,251,252,321,107,107,107,259,93,83,83,-,-,-,-,182,59,61,62
106學年,臺中市,950,316,317,317,57,19,19,19,584,199,193,192,-,-,-,-,309,98,105,106
106學年,臺南市,674,214,229,231,365,121,122,122,51,17,17,17,-,-,-,-,258,76,90,92
106學年,高雄市,978,319,328,331,221,73,74,74,627,209,209,209,-,-,-,-,130,37,45,48
106學年,宜蘭縣,171,55,57,59,132,44,44,44,-,-,-,-,6,2,2,2,33,9,11,13
106學年,新竹縣,145,47,50,48,90,30,30,30,-,-,-,-,32,11,11,10,23,6,9,8
106學年,苗栗縣,177,58,61,58,123,41,41,41,-,-,-,-,27,10,10,7,27,7,10,10
106學年,彰化縣,326,109,108,109,194,65,64,65,-,-,-,-,88,31,29,28,44,13,15,16
106學年,南投縣,138,45,46,47,90,30,30,30,-,-,-,-,21,7,7,7,27,8,9,10
106學年,雲林縣,225,73,76,76,105,35,35,35,-,-,-,-,42,14,14,14,78,24,27,27
106學年,嘉義縣,83,29,27,27,33,11,11,11,-,-,-,-,25,9,8,8,25,9,8,8
106學年,屏東縣,266,87,89,90,159,53,53,53,-,-,-,-,66,22,22,22,41,12,14,15
106學年,臺東縣,27,9,9,9,21,7,7,7,-,-,-,-,-,-,-,-,6,2,2,2
106學年,花蓮縣,122,41,40,41,79,27,26,26,-,-,-,-,6,2,2,2,37,12,12,13
106學年,澎湖縣,33,11,11,11,33,11,11,11,-,-,-,-,-,-,-,-,-,-,-,-
106學年,基隆市,156,50,53,53,85,27,29,29,-,-,-,-,47,16,16,15,24,7,8,9
106學年,新竹市,237,80,79,78,133,45,44,44,-,-,-,-,62,21,21,20,42,14,14,14
106學年,嘉義市,172,56,59,57,119,41,41,37,-,-,-,-,-,-,-,-,53,15,18,20
106學年,金門縣,30,10,10,10,30,10,10,10,-,-,-,-,-,-,-,-,-,-,-,-
106學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,8343,2797,2809,2737,2844,948,947,949,3167,1062,1056,1049,404,142,135,127,1928,645,671,612
105學年,新北市,1079,362,365,352,3,1,1,1,780,265,261,254,-,-,-,-,296,96,103,97
105學年,臺北市,1611,535,540,536,98,32,33,33,1238,413,412,413,-,-,-,-,275,90,95,90
105學年,桃園市,752,251,253,248,321,107,107,107,249,83,83,83,-,-,-,-,182,61,63,58
105學年,臺中市,946,317,316,313,411,137,137,137,222,75,74,73,-,-,-,-,313,105,105,103
105學年,臺南市,683,229,232,222,366,122,122,122,51,17,17,17,-,-,-,-,266,90,93,83
105學年,高雄市,974,326,330,318,221,73,74,74,627,209,209,209,-,-,-,-,126,44,47,35
105學年,宜蘭縣,170,57,58,55,131,44,44,43,-,-,-,-,6,2,2,2,33,11,12,10
105學年,新竹縣,138,50,48,40,90,30,30,30,-,-,-,-,25,11,10,4,23,9,8,6
105學年,苗栗縣,175,61,58,56,123,41,41,41,-,-,-,-,23,10,7,6,29,10,10,9
105學年,彰化縣,324,108,109,107,194,64,65,65,-,-,-,-,84,29,28,27,46,15,16,15
105學年,南投縣,138,45,47,46,90,30,30,30,-,-,-,-,21,7,7,7,27,8,10,9
