學年別,縣市別,二專總計計,二專總計男,二專總計女,二專國立計,二專國立男,二專國立女,二專直轄市立計,二專直轄市立男,二專直轄市立女,二技總計計,二技總計男,二技總計女,二技國立計,二技國立男,二技國立女,二技直轄市立計,二技直轄市立男,二技直轄市立女,學士班總計計,學士班總計男,學士班總計女,學士班國立計,學士班國立男,學士班國立女,學士班直轄市立計,學士班直轄市立男,學士班直轄市立女
106學年,總計,3901,1405,2496,3901,1405,2496,-,-,-,2212,852,1360,2212,852,1360,-,-,-,11642,4593,7049,9019,3378,5641,2623,1215,1408
106學年,新北市,1298,398,900,1298,398,900,-,-,-,-,-,-,-,-,-,-,-,-,9019,3378,5641,9019,3378,5641,-,-,-
106學年,臺北市,1043,418,625,1043,418,625,-,-,-,1025,396,629,1025,396,629,-,-,-,-,-,-,-,-,-,-,-,-
106學年,桃園市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,臺中市,1560,589,971,1560,589,971,-,-,-,1187,456,731,1187,456,731,-,-,-,-,-,-,-,-,-,-,-,-
106學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,高雄市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2623,1215,1408,-,-,-,2623,1215,1408
106學年,宜蘭縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,苗栗縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,彰化縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,南投縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,嘉義縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,屏東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,花蓮縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,基隆市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,新竹市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,嘉義市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
