學年別,學習中心,二專總計,二專男,二專女,二技總計,二技男,二技女,學士班總計,學士班男,學士班女
106學年,總計,3901,1405,2496,2212,852,1360,11642,4593,7049
106學年,基隆,24,7,17,-,-,-,250,114,136
106學年,臺北,914,318,596,541,176,365,2931,990,1941
106學年,宜蘭,42,11,31,-,-,-,257,104,153
106學年,桃園,413,173,240,294,127,167,719,241,478
106學年,新竹,142,53,89,93,27,66,417,155,262
106學年,臺中,1401,499,902,817,332,485,1854,707,1147
106學年,彰化,139,58,81,139,50,89,-,-,-
106學年,嘉義,36,11,25,-,-,-,467,267,200
106學年,臺南,166,63,103,62,22,40,567,198,369
106學年,高雄,145,50,95,76,25,51,3263,1425,1838
106學年,花蓮,215,72,143,119,66,53,302,131,171
106學年,臺東,218,70,148,71,27,44,181,65,116
106學年,澎湖,14,1,13,-,-,-,170,55,115
106學年,金門,27,16,11,-,-,-,135,67,68
106學年,連江,5,3,2,-,-,-,129,74,55
105學年,總計,4005,1456,2549,2438,901,1537,11779,4444,7335
105學年,基隆,33,12,21,-,-,-,229,94,135
105學年,臺北,1118,398,720,552,173,379,3133,975,2158
105學年,宜蘭,39,11,28,-,-,-,191,65,126
105學年,桃園,348,124,224,250,93,157,763,252,511
105學年,新竹,146,59,87,97,28,69,464,176,288
105學年,臺中,1470,537,933,923,364,559,1775,657,1118
105學年,彰化,142,57,85,207,70,137,-,-,-
105學年,嘉義,38,9,29,-,-,-,487,267,220
105學年,臺南,168,70,98,94,34,60,591,199,392
105學年,高雄,171,62,109,84,22,62,3228,1358,1870
105學年,花蓮,136,49,87,167,92,75,322,139,183
105學年,臺東,160,52,108,64,25,39,187,56,131
105學年,澎湖,11,2,9,-,-,-,137,56,81
105學年,金門,16,10,6,-,-,-,152,79,73
105學年,連江,9,4,5,-,-,-,120,71,49
104學年,總計,4115,1539,2576,2455,908,1547,11942,4481,7461
104學年,基隆,32,14,18,-,-,-,289,125,164
104學年,臺北,1248,439,809,613,188,425,4153,1376,2777
104學年,宜蘭,74,25,49,17,7,10,212,75,137
104學年,桃園,205,74,131,199,77,122,-,-,-
104學年,新竹,165,57,108,101,39,62,487,172,315
104學年,臺中,1536,607,929,862,345,517,1796,674,1122
104學年,彰化,158,60,98,187,59,128,-,-,-
104學年,嘉義,33,9,24,-,-,-,503,269,234
104學年,臺南,154,67,87,125,43,82,592,190,402
104學年,高雄,156,61,95,91,26,65,3063,1237,1826
104學年,花蓮,149,48,101,194,96,98,344,153,191
104學年,臺東,152,53,99,66,28,38,197,73,124
104學年,澎湖,15,7,8,-,-,-,140,56,84
104學年,金門,27,11,16,-,-,-,166,81,85
104學年,連江,11,7,4,-,-,-,-,-,-
103學年,總計,4915,1854,3061,2919,991,1928,12340,4696,7644
103學年,基隆,42,16,26,-,-,-,282,105,177
103學年,臺北,1341,471,870,661,158,503,4465,1540,2925
103學年,宜蘭,92,37,55,40,15,25,190,62,128
103學年,桃園,176,62,114,197,65,132,9,7,2
103學年,新竹,224,73,151,132,52,80,480,173,307
103學年,臺中,1854,724,1130,1019,387,632,1857,666,1191
103學年,彰化,285,99,186,299,95,204,27,17,10
103學年,嘉義,46,14,32,-,-,-,558,318,240
103學年,臺南,210,90,120,220,74,146,733,275,458
103學年,高雄,217,88,129,114,33,81,2805,1109,1696
103學年,花蓮,226,90,136,160,83,77,368,171,197
103學年,臺東,126,46,80,77,29,48,225,88,137
103學年,澎湖,20,13,7,-,-,-,192,90,102
103學年,金門,40,21,19,-,-,-,149,75,74
103學年,連江,16,10,6,-,-,-,-,-,-
102學年,總計,5206,1961,3245,3328,1115,2213,12539,4416,8123
102學年,基隆,44,16,28,-,-,-,298,97,201
102學年,臺北,1536,568,968,795,201,594,4534,1362,3172
102學年,宜蘭,83,27,56,24,7,17,223,84,139
102學年,桃園,131,34,97,178,51,127,12,9,3
102學年,新竹,210,70,140,121,47,74,520,167,353
102學年,臺中,1891,750,1141,1156,419,737,1877,638,1239
102學年,彰化,290,101,189,338,111,227,35,25,10
102學年,嘉義,54,20,34,-,-,-,510,272,238
102學年,臺南,236,93,143,247,89,158,803,289,514
102學年,高雄,225,79,146,120,36,84,2858,1148,1710
102學年,花蓮,295,118,177,282,133,149,317,106,211
102學年,臺東,144,54,90,67,21,46,197,71,126
102學年,澎湖,25,11,14,-,-,-,206,78,128
102學年,金門,32,18,14,-,-,-,149,70,79
102學年,連江,10,2,8,-,-,-,-,-,-
101學年,總計,5712,2183,3529,3497,1167,2330,13696,4945,8751
101學年,基隆,52,20,32,-,-,-,370,141,229
101學年,臺北,1756,636,1120,960,260,700,5134,1541,3593
101學年,宜蘭,88,27,61,25,8,17,256,84,172
101學年,桃園,172,39,133,178,58,120,-,-,-
101學年,新竹,214,65,149,132,51,81,628,227,401
101學年,臺中,1948,818,1130,1242,451,791,1881,684,1197
101學年,彰化,297,106,191,335,106,229,-,-,-
101學年,嘉義,50,18,32,-,-,-,514,282,232
101學年,臺南,314,136,178,207,72,135,822,276,546
101學年,高雄,253,90,163,139,46,93,3158,1374,1784
101學年,花蓮,269,113,156,216,94,122,363,112,251
101學年,臺東,207,70,137,63,21,42,202,74,128
