學年別,等級別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計4年級小計,總計4年級男,總計4年級女,總計5年級小計,總計5年級男,總計5年級女,總計延修生小計,總計延修生男,總計延修生女,國立計小計,國立計男,國立計女,國立1年級小計,國立1年級男,國立1年級女,國立2年級小計,國立2年級男,國立2年級女,國立3年級小計,國立3年級男,國立3年級女,國立4年級小計,國立4年級男,國立4年級女,國立5年級小計,國立5年級男,國立5年級女,國立延修生小計,國立延修生男,國立延修生女,直轄市立計小計,直轄市立計男,直轄市立計女,直轄市立1年級小計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級小計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級小計,直轄市立3年級男,直轄市立3年級女,直轄市立4年級小計,直轄市立4年級男,直轄市立4年級女,直轄市立5年級小計,直轄市立5年級男,直轄市立5年級女,直轄市立延修生小計,直轄市立延修生男,直轄市立延修生女
106學年,二專,3901,1405,2496,2661,944,1717,1035,380,655,-,-,-,-,-,-,-,-,-,205,81,124,3901,1405,2496,2661,944,1717,1035,380,655,-,-,-,-,-,-,-,-,-,205,81,124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,二技,2212,852,1360,-,-,-,-,-,-,1185,469,716,1002,370,632,-,-,-,25,13,12,2212,852,1360,-,-,-,-,-,-,1185,469,716,1002,370,632,-,-,-,25,13,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,學士班,11642,4593,7049,11642,4593,7049,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9019,3378,5641,9019,3378,5641,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2623,1215,1408,2623,1215,1408,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,二專,4005,1456,2549,1852,699,1153,1461,486,975,151,57,94,-,-,-,-,-,-,541,214,327,4005,1456,2549,1852,699,1153,1461,486,975,151,57,94,-,-,-,-,-,-,541,214,327,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,二技,2438,901,1537,-,-,-,-,-,-,1142,440,702,1270,441,829,-,-,-,26,20,6,2438,901,1537,-,-,-,-,-,-,1142,440,702,1270,441,829,-,-,-,26,20,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,學士班,11779,4444,7335,4746,1994,2752,1797,723,1074,1431,620,811,-,-,-,-,-,-,3805,1107,2698,9198,3284,5914,2165,834,1331,1797,723,1074,1431,620,811,-,-,-,-,-,-,3805,1107,2698,2581,1160,1421,2581,1160,1421,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,二專,4115,1539,2576,1896,684,1212,1373,498,875,226,94,132,-,-,-,-,-,-,620,263,357,4115,1539,2576,1896,684,1212,1373,498,875,226,94,132,-,-,-,-,-,-,620,263,357,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,二技,2455,908,1547,-,-,-,-,-,-,1408,511,897,1006,371,635,-,-,-,41,26,15,2455,908,1547,-,-,-,-,-,-,1408,511,897,1006,371,635,-,-,-,41,26,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,學士班,11942,4481,7461,4585,1920,2665,2019,858,1161,1342,552,790,-,-,-,-,-,-,3996,1151,2845,9572,3457,6115,2215,896,1319,2019,858,1161,1342,552,790,-,-,-,-,-,-,3996,1151,2845,2370,1024,1346,2370,1024,1346,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,二專,4915,1854,3061,1880,732,1148,1381,518,863,1189,412,777,-,-,-,-,-,-,465,192,273,4915,1854,3061,1880,732,1148,1381,518,863,1189,412,777,-,-,-,-,-,-,465,192,273,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,二技,2919,991,1928,-,-,-,-,-,-,1093,399,694,1042,343,699,768,241,527,16,8,8,2919,991,1928,-,-,-,-,-,-,1093,399,694,1042,343,699,768,241,527,16,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,學士班,12340,4696,7644,3120,1383,1737,3626,1564,2062,1526,603,923,984,311,673,3084,835,2249,-,-,-,9886,3583,6303,2416,1074,1342,1876,760,1116,1526,603,923,984,311,673,3084,835,2249,-,-,-,2454,1113,1341,704,309,395,1750,804,946,-,-,-,-,-,-,-,-,-,-,-,-
102學年,二專,5206,1961,3245,1892,730,1162,1549,591,958,1286,442,844,-,-,-,-,-,-,479,198,281,5206,1961,3245,1892,730,1162,1549,591,958,1286,442,844,-,-,-,-,-,-,479,198,281,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,二技,3328,1115,2213,-,-,-,-,-,-,1206,413,793,1002,333,669,1097,358,739,23,11,12,3328,1115,2213,-,-,-,-,-,-,1206,413,793,1002,333,669,1097,358,739,23,11,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
