學年別,年齡別,二專總計,二專男,二專女,二技總計,二技男,二技女,學士班總計,學士班男,學士班女
106學年,總計,3901,1405,2496,2212,852,1360,11642,4593,7049
106學年,未滿16歲,-,-,-,-,-,-,-,-,-
106學年,16至未滿17歲,-,-,-,-,-,-,-,-,-
106學年,17至未滿18歲,-,-,-,1,-,1,-,-,-
106學年,18至未滿19歲,215,47,168,-,-,-,11,5,6
106學年,19至未滿20歲,271,96,175,1,1,-,95,45,50
106學年,20至未滿21歲,229,81,148,66,14,52,200,103,97
106學年,21至未滿22歲,218,87,131,128,42,86,281,164,117
106學年,22至未滿23歲,164,67,97,144,65,79,351,205,146
106學年,23至未滿24歲,153,77,76,130,82,48,337,210,127
106學年,24至未滿25歲,125,67,58,103,66,37,254,167,87
106學年,25至未滿26歲,121,65,56,99,60,39,240,123,117
106學年,26至未滿27歲,111,59,52,91,56,35,227,120,107
106學年,27至未滿28歲,110,64,46,82,44,38,206,105,101
106學年,28至未滿29歲,108,62,46,73,39,34,219,117,102
106學年,29至未滿30歲,94,41,53,59,25,34,180,103,77
106學年,30歲以上,1982,592,1390,1235,358,877,9041,3126,5915
105學年,總計,4005,1456,2549,2438,901,1537,11779,4444,7335
105學年,未滿16歲,-,-,-,-,-,-,-,-,-
105學年,16至未滿17歲,-,-,-,-,-,-,-,-,-
105學年,17至未滿18歲,3,-,3,2,-,2,-,-,-
105學年,18至未滿19歲,228,62,166,-,-,-,-,-,-
105學年,19至未滿20歲,302,78,224,-,-,-,106,37,69
105學年,20至未滿21歲,216,93,123,42,11,31,108,60,48
105學年,21至未滿22歲,218,80,138,101,35,66,216,113,103
105學年,22至未滿23歲,189,94,95,121,61,60,328,200,128
105學年,23至未滿24歲,144,69,75,106,59,47,273,178,95
105學年,24至未滿25歲,164,89,75,130,74,56,239,138,101
105學年,25至未滿26歲,122,62,60,115,70,45,237,115,122
105學年,26至未滿27歲,116,58,58,98,50,48,206,103,103
105學年,27至未滿28歲,123,61,62,80,44,36,239,108,131
105學年,28至未滿29歲,118,55,63,73,27,46,197,108,89
105學年,29至未滿30歲,100,44,56,52,23,29,177,92,85
105學年,30歲以上,1962,611,1351,1518,447,1071,9453,3192,6261
104學年,總計,4115,1539,2576,2455,908,1547,11942,4481,7461
104學年,未滿16歲,-,-,-,-,-,-,-,-,-
104學年,16至未滿17歲,-,-,-,-,-,-,-,-,-
104學年,17至未滿18歲,-,-,-,-,-,-,-,-,-
104學年,18至未滿19歲,236,53,183,1,-,1,3,1,2
104學年,19至未滿20歲,245,85,160,-,-,-,68,26,42
104學年,20至未滿21歲,218,76,142,50,17,33,81,29,52
104學年,21至未滿22歲,216,104,112,74,30,44,222,127,95
104學年,22至未滿23歲,161,87,74,90,42,48,231,143,88
104學年,23至未滿24歲,161,88,73,116,66,50,216,120,96
104學年,24至未滿25歲,152,76,76,126,85,41,224,113,111
104學年,25至未滿26歲,148,76,72,123,70,53,233,111,122
104學年,26至未滿27歲,145,70,75,90,41,49,232,105,127
104學年,27至未滿28歲,146,81,65,53,16,37,214,108,106
104學年,28至未滿29歲,98,46,52,39,13,26,181,95,86
104學年,29至未滿30歲,82,40,42,41,26,15,199,111,88
104學年,30歲以上,2107,657,1450,1652,502,1150,9838,3392,6446
103學年,總計,4915,1854,3061,2919,991,1928,12340,4696,7644
103學年,未滿16歲,-,-,-,-,-,-,-,-,-
103學年,16至未滿17歲,-,-,-,-,-,-,-,-,-
103學年,17至未滿18歲,1,-,1,-,-,-,-,-,-
103學年,18至未滿19歲,179,48,131,-,-,-,-,-,-
103學年,19至未滿20歲,194,68,126,1,-,1,50,24,26
103學年,20至未滿21歲,219,104,115,15,6,9,77,40,37
103學年,21至未滿22歲,207,103,104,57,19,38,176,113,63
103學年,22至未滿23歲,189,97,92,81,45,36,192,109,83
103學年,23至未滿24歲,177,80,97,118,74,44,240,140,100
103學年,24至未滿25歲,202,110,92,129,60,69,259,136,123
103學年,25至未滿26歲,186,96,90,91,32,59,235,101,134
103學年,26至未滿27歲,191,97,94,66,22,44,219,120,99
103學年,27至未滿28歲,116,59,57,51,22,29,186,98,88
103學年,28至未滿29歲,100,51,49,53,29,24,216,129,87
103學年,29至未滿30歲,115,55,60,67,31,36,230,125,105
103學年,30歲以上,2839,886,1953,2190,651,1539,10260,3561,6699
102學年,總計,5206,1961,3245,3328,1115,2213,12539,4416,8123
102學年,未滿16歲,-,-,-,-,-,-,-,-,-
102學年,16至未滿17歲,-,-,-,-,-,-,-,-,-
102學年,17至未滿18歲,-,-,-,-,-,-,-,-,-
102學年,18至未滿19歲,150,42,108,-,-,-,-,-,-
102學年,19至未滿20歲,144,68,76,-,-,-,-,-,-
102學年,20至未滿21歲,181,76,105,23,4,19,55,22,33
102學年,21至未滿22歲,223,111,112,35,16,19,119,47,72
102學年,22至未滿23歲,204,93,111,75,44,31,144,63,81
102學年,23至未滿24歲,217,100,117,100,42,58,177,81,96
102學年,24至未滿25歲,208,110,98,73,29,44,196,95,101
102學年,25至未滿26歲,202,98,104,81,29,52,172,86,86
102學年,26至未滿27歲,135,71,64,64,29,35,181,80,101
102學年,27至未滿28歲,140,65,75,63,31,32,204,106,98
102學年,28至未滿29歲,145,64,81,82,37,45,203,111,92
102學年,29至未滿30歲,172,90,82,92,44,48,209,106,103
102學年,30歲以上,3085,973,2112,2640,810,1830,10879,3619,7260
101學年,總計,5712,2183,3529,3497,1167,2330,13696,4945,8751
101學年,未滿16歲,-,-,-,-,-,-,-,-,-
101學年,16至未滿17歲,-,-,-,-,-,-,-,-,-
101學年,17至未滿18歲,-,-,-,-,-,-,-,-,-
101學年,18至未滿19歲,87,40,47,-,-,-,-,-,-
101學年,19至未滿20歲,156,75,81,-,-,-,-,-,-
101學年,20至未滿21歲,222,123,99,10,6,4,48,13,35
101學年,21至未滿22歲,218,114,104,52,30,22,82,30,52
101學年,22至未滿23歲,235,105,130,83,35,48,147,57,90
101學年,23至未滿24歲,263,125,138,73,24,49,203,95,108
101學年,24至未滿25歲,201,90,111,74,28,46,199,96,103
101學年,25至未滿26歲,164,84,80,76,34,42,191,101,90
101學年,26至未滿27歲,161,84,77,77,38,39,187,88,99
101學年,27至未滿28歲,174,80,94,96,45,51,203,120,83
101學年,28至未滿29歲,198,101,97,100,48,52,212,112,100
101學年,29至未滿30歲,216,107,109,138,62,76,242,130,112
101學年,30歲以上,3417,1055,2362,2718,817,1901,11982,4103,7879
100學年,總計,6333,2365,3968,4048,1338,2710,14988,5623,9365
100學年,未滿16歲,-,-,-,-,-,-,-,-,-
100學年,16至未滿17歲,-,-,-,-,-,-,-,-,-
100學年,17至未滿18歲,-,-,-,-,-,-,-,-,-
100學年,18至未滿19歲,39,14,25,-,-,-,-,-,-
100學年,19至未滿20歲,83,41,42,-,-,-,-,-,-
100學年,20至未滿21歲,110,60,50,2,1,1,53,16,37
100學年,21至未滿22歲,125,42,83,25,8,17,107,41,66
