學年別,縣市別,副學士總計計,副學士總計男,副學士總計女,副學士國立計,副學士國立男,副學士國立女,副學士直轄市立計,副學士直轄市立男,副學士直轄市立女,二年制學士總計計,二年制學士總計男,二年制學士總計女,二年制學士國立計,二年制學士國立男,二年制學士國立女,二年制學士直轄市立計,二年制學士直轄市立男,二年制學士直轄市立女,四年制學士總計計,四年制學士總計男,四年制學士總計女,四年制學士國立計,四年制學士國立男,四年制學士國立女,四年制學士直轄市立計,四年制學士直轄市立男,四年制學士直轄市立女
105學年,總計,1151,377,774,1151,377,774,-,-,-,1175,394,781,1175,394,781,-,-,-,1935,756,1179,1456,527,929,479,229,250
105學年,新北市,253,98,155,253,98,155,-,-,-,-,-,-,-,-,-,-,-,-,1456,527,929,1456,527,929,-,-,-
105學年,臺北市,302,81,221,302,81,221,-,-,-,433,146,287,433,146,287,-,-,-,-,-,-,-,-,-,-,-,-
105學年,桃園市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,臺中市,596,198,398,596,198,398,-,-,-,742,248,494,742,248,494,-,-,-,-,-,-,-,-,-,-,-,-
105學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,高雄市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,479,229,250,-,-,-,479,229,250
105學年,宜蘭縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,苗栗縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,彰化縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,南投縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,嘉義縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,屏東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,花蓮縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,基隆市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,新竹市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,嘉義市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,1208,430,778,1208,430,778,-,-,-,953,341,612,953,341,612,-,-,-,1816,665,1151,1408,470,938,408,195,213
104學年,新北市,269,115,154,269,115,154,-,-,-,-,-,-,-,-,-,-,-,-,1408,470,938,1408,470,938,-,-,-
104學年,臺北市,345,107,238,345,107,238,-,-,-,439,142,297,439,142,297,-,-,-,-,-,-,-,-,-,-,-,-
104學年,桃園市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,臺中市,594,208,386,594,208,386,-,-,-,514,199,315,514,199,315,-,-,-,-,-,-,-,-,-,-,-,-
104學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,高雄市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,408,195,213,-,-,-,408,195,213
104學年,宜蘭縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,新竹縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,苗栗縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,彰化縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,南投縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,雲林縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
