學年別,縣市別,專科進修學校(不含空專)總計,專科進修學校(不含空專)國立,專科進修學校(不含空專)直轄市立,專科進修學校(不含空專)私立,進修學院(不含空院)總計,進修學院(不含空院)國立,進修學院(不含空院)直轄市立,進修學院(不含空院)私立,空中進修專校總計,空中進修專校國立,空中進修專校直轄市立,空中進修專校私立,空中進修學院總計,空中進修學院國立,空中進修學院直轄市立,空中進修學院私立,空中大學總計,空中大學國立,空中大學直轄市立,空中大學私立
106學年,總計,45,4,-,41,44,5,-,39,-,-,-,-,2,2,-,-,2,1,1,-
106學年,新北市,8,-,-,8,7,-,-,7,-,-,-,-,-,-,-,-,1,1,-,-
106學年,臺北市,5,1,-,4,5,1,-,4,-,-,-,-,1,1,-,-,-,-,-,-
106學年,桃園市,4,-,-,4,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
106學年,臺中市,4,2,-,2,5,2,-,3,-,-,-,-,1,1,-,-,-,-,-,-
106學年,臺南市,2,-,-,2,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
106學年,高雄市,6,-,-,6,5,1,-,4,-,-,-,-,-,-,-,-,1,-,1,-
106學年,宜蘭縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
106學年,新竹縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
106學年,苗栗縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
106學年,彰化縣,2,-,-,2,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
106學年,南投縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
106學年,雲林縣,2,1,-,1,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
106學年,嘉義縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
106學年,屏東縣,2,-,-,2,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
106學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,花蓮縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
106學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,基隆市,2,-,-,2,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
106學年,新竹市,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
106學年,嘉義市,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,45,4,-,41,44,5,-,39,-,-,-,-,2,2,-,-,2,1,1,-
105學年,新北市,8,-,-,8,7,-,-,7,-,-,-,-,-,-,-,-,1,1,-,-
105學年,臺北市,5,1,-,4,5,1,-,4,-,-,-,-,1,1,-,-,-,-,-,-
105學年,桃園市,4,-,-,4,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
105學年,臺中市,4,2,-,2,5,2,-,3,-,-,-,-,1,1,-,-,-,-,-,-
105學年,臺南市,2,-,-,2,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
105學年,高雄市,6,-,-,6,5,1,-,4,-,-,-,-,-,-,-,-,1,-,1,-
105學年,宜蘭縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
105學年,新竹縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
105學年,苗栗縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
105學年,彰化縣,2,-,-,2,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
105學年,南投縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
105學年,雲林縣,2,1,-,1,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
105學年,嘉義縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
105學年,屏東縣,2,-,-,2,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
105學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,花蓮縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
105學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,基隆市,2,-,-,2,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
105學年,新竹市,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
105學年,嘉義市,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,45,4,-,41,44,5,-,39,-,-,-,-,2,2,-,-,2,1,1,-
104學年,新北市,8,-,-,8,7,-,-,7,-,-,-,-,-,-,-,-,1,1,-,-
104學年,臺北市,5,1,-,4,5,1,-,4,-,-,-,-,1,1,-,-,-,-,-,-
104學年,桃園市,4,-,-,4,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
104學年,臺中市,4,2,-,2,5,2,-,3,-,-,-,-,1,1,-,-,-,-,-,-
104學年,臺南市,2,-,-,2,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
104學年,高雄市,6,-,-,6,5,1,-,4,-,-,-,-,-,-,-,-,1,-,1,-
104學年,宜蘭縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
104學年,新竹縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
104學年,苗栗縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
104學年,彰化縣,2,-,-,2,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
104學年,南投縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
104學年,雲林縣,2,1,-,1,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
104學年,嘉義縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
104學年,屏東縣,2,-,-,2,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
104學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,花蓮縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
104學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,基隆市,2,-,-,2,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
104學年,新竹市,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
104學年,嘉義市,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,45,4,-,41,44,5,-,39,1,1,-,-,2,2,-,-,2,1,1,-
103學年,新北市,7,-,-,7,6,-,-,6,1,1,-,-,-,-,-,-,1,1,-,-
103學年,臺北市,6,1,-,5,6,1,-,5,-,-,-,-,1,1,-,-,-,-,-,-
103學年,臺中市,4,2,-,2,5,2,-,3,-,-,-,-,1,1,-,-,-,-,-,-
103學年,臺南市,2,-,-,2,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
103學年,高雄市,6,-,-,6,5,1,-,4,-,-,-,-,-,-,-,-,1,-,1,-
103學年,宜蘭縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
103學年,桃園縣,4,-,-,4,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
103學年,新竹縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
103學年,苗栗縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
103學年,彰化縣,2,-,-,2,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
103學年,南投縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
103學年,雲林縣,2,1,-,1,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
103學年,嘉義縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
103學年,屏東縣,2,-,-,2,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
103學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,花蓮縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
103學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,基隆市,2,-,-,2,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
103學年,新竹市,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
103學年,嘉義市,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,46,4,-,42,45,5,-,40,1,1,-,-,2,2,-,-,2,1,1,-
102學年,新北市,7,-,-,7,6,-,-,6,1,1,-,-,-,-,-,-,1,1,-,-
102學年,臺北市,6,1,-,5,6,1,-,5,-,-,-,-,1,1,-,-,-,-,-,-
102學年,臺中市,4,2,-,2,5,2,-,3,-,-,-,-,1,1,-,-,-,-,-,-
102學年,臺南市,2,-,-,2,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
102學年,高雄市,6,-,-,6,5,1,-,4,-,-,-,-,-,-,-,-,1,-,1,-
102學年,宜蘭縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
102學年,桃園縣,4,-,-,4,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
102學年,新竹縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
102學年,苗栗縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
102學年,彰化縣,2,-,-,2,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
102學年,南投縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
102學年,雲林縣,2,1,-,1,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
102學年,嘉義縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
102學年,屏東縣,3,-,-,3,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-
102學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,花蓮縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
102學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,基隆市,2,-,-,2,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
102學年,新竹市,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
102學年,嘉義市,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,46,4,-,42,45,5,-,40,1,1,-,-,2,2,-,-,2,1,1,-
101學年,新北市,7,-,-,7,6,-,-,6,1,1,-,-,-,-,-,-,1,1,-,-
101學年,臺北市,6,1,-,5,6,1,-,5,-,-,-,-,1,1,-,-,-,-,-,-
101學年,臺中市,4,2,-,2,5,2,-,3,-,-,-,-,1,1,-,-,-,-,-,-
101學年,臺南市,2,-,-,2,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
101學年,高雄市,6,-,-,6,5,1,-,4,-,-,-,-,-,-,-,-,1,-,1,-
101學年,宜蘭縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
101學年,桃園縣,4,-,-,4,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
