學年別,縣市別,總計學生數計,總計學生數男,總計學生數女,總計1年級計,總計1年級男,總計1年級女,總計2年級計,總計2年級男,總計2年級女,總計3年級計,總計3年級男,總計3年級女,總計延修生計,總計延修生男,總計延修生女,總計上學年畢業生數計,總計上學年畢業生數男,總計上學年畢業生數女,國立學生數計,國立學生數男,國立學生數女,國立1年級計,國立1年級男,國立1年級女,國立2年級計,國立2年級男,國立2年級女,國立3年級計,國立3年級男,國立3年級女,國立延修生計,國立延修生男,國立延修生女,國立上學年畢業生數計,國立上學年畢業生數男,國立上學年畢業生數女,直轄市立學生數計,直轄市立學生數男,直轄市立學生數女,直轄市立1年級計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級計,直轄市立3年級男,直轄市立3年級女,直轄市立延修生計,直轄市立延修生男,直轄市立延修生女,直轄市立上學年畢業生數計,直轄市立上學年畢業生數男,直轄市立上學年畢業生數女,縣市立學生數計,縣市立學生數男,縣市立學生數女,縣市立1年級計,縣市立1年級男,縣市立1年級女,縣市立2年級計,縣市立2年級男,縣市立2年級女,縣市立3年級計,縣市立3年級男,縣市立3年級女,縣市立延修生計,縣市立延修生男,縣市立延修生女,縣市立上學年畢業生數計,縣市立上學年畢業生數男,縣市立上學年畢業生數女,私立學生數計,私立學生數男,私立學生數女,私立1年級計,私立1年級男,私立1年級女,私立2年級計,私立2年級男,私立2年級女,私立3年級計,私立3年級男,私立3年級女,私立延修生計,私立延修生男,私立延修生女,私立上學年畢業生數計,私立上學年畢業生數男,私立上學年畢業生數女
106學年,總計,44929,21090,23839,12537,5988,6549,15359,7140,8219,16935,7895,9040,98,67,31,16524,7495,9029,19150,8756,10394,5930,2697,3233,6216,2825,3391,6924,3178,3746,80,56,24,6744,2968,3776,9087,4554,4533,2363,1219,1144,3403,1666,1737,3310,1660,1650,11,9,2,3320,1600,1720,1097,490,607,287,131,156,303,118,185,507,241,266,-,-,-,443,175,268,15595,7290,8305,3957,1941,2016,5437,2531,2906,6194,2816,3378,7,2,5,6017,2752,3265
106學年,新北市,5581,2590,2991,1637,803,834,2029,938,1091,1913,847,1066,2,2,-,1647,742,905,1538,674,864,505,216,289,523,231,292,509,226,283,1,1,-,460,195,265,2463,1184,1279,788,404,384,885,419,466,789,360,429,1,1,-,732,332,400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1580,732,848,344,183,161,621,288,333,615,261,354,-,-,-,455,215,240
106學年,臺北市,4072,2036,2036,998,512,486,1489,731,758,1577,786,791,8,7,1,1397,699,698,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3231,1835,1396,813,462,351,1207,657,550,1203,709,494,8,7,1,1089,640,449,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,841,201,640,185,50,135,282,74,208,374,77,297,-,-,-,308,59,249
106學年,桃園市,3032,1596,1436,827,412,415,1024,553,471,1181,631,550,-,-,-,1071,516,555,1819,939,880,595,287,308,611,312,299,613,340,273,-,-,-,540,231,309,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1213,657,556,232,125,107,413,241,172,568,291,277,-,-,-,531,285,246
106學年,臺中市,2020,919,1101,668,304,364,679,310,369,673,305,368,-,-,-,674,294,380,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1417,604,813,466,202,264,481,202,279,470,200,270,-,-,-,475,183,292,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,603,315,288,202,102,100,198,108,90,203,105,98,-,-,-,199,111,88
106學年,臺南市,4418,2040,2378,1189,557,632,1435,642,793,1766,818,948,28,23,5,1970,860,1110,3864,1817,2047,1098,522,576,1234,562,672,1504,710,794,28,23,5,1458,651,807,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,554,223,331,91,35,56,201,80,121,262,108,154,-,-,-,512,209,303
106學年,高雄市,3347,1794,1553,517,328,189,1319,683,636,1509,782,727,2,1,1,1657,806,851,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1976,931,1045,296,151,145,830,388,442,848,391,457,2,1,1,1024,445,579,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1371,863,508,221,177,44,489,295,194,661,391,270,-,-,-,633,361,272
106學年,宜蘭縣,1306,686,620,425,222,203,438,234,204,433,223,210,10,7,3,401,204,197,1172,622,550,371,195,176,399,218,181,392,202,190,10,7,3,378,193,185,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,134,64,70,54,27,27,39,16,23,41,21,20,-,-,-,23,11,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,新竹縣,1431,789,642,385,223,162,452,252,200,594,314,280,-,-,-,723,353,370,438,233,205,147,80,67,150,86,64,141,67,74,-,-,-,156,73,83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,993,556,437,238,143,95,302,166,136,453,247,206,-,-,-,567,280,287
106學年,苗栗縣,1552,730,822,391,199,192,474,197,277,687,334,353,-,-,-,631,277,354,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,910,390,520,211,89,122,246,89,157,453,212,241,-,-,-,414,158,256,642,340,302,180,110,70,228,108,120,234,122,112,-,-,-,217,119,98
