學年別,學程類別,總計學生數計,總計學生數男,總計學生數女,總計1年級計,總計1年級男,總計1年級女,總計2年級計,總計2年級男,總計2年級女,總計3年級計,總計3年級男,總計3年級女,總計延修生計,總計延修生男,總計延修生女,總計上學年畢業生數計,總計上學年畢業生數男,總計上學年畢業生數女,國立學生數計,國立學生數男,國立學生數女,國立1年級計,國立1年級男,國立1年級女,國立2年級計,國立2年級男,國立2年級女,國立3年級計,國立3年級男,國立3年級女,國立延修生計,國立延修生男,國立延修生女,國立上學年畢業生數計,國立上學年畢業生數男,國立上學年畢業生數女,直轄市立學生數計,直轄市立學生數男,直轄市立學生數女,直轄市立1年級計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級計,直轄市立3年級男,直轄市立3年級女,直轄市立延修生計,直轄市立延修生男,直轄市立延修生女,直轄市立上學年畢業生數計,直轄市立上學年畢業生數男,直轄市立上學年畢業生數女,縣市立學生數計,縣市立學生數男,縣市立學生數女,縣市立1年級計,縣市立1年級男,縣市立1年級女,縣市立2年級計,縣市立2年級男,縣市立2年級女,縣市立3年級計,縣市立3年級男,縣市立3年級女,縣市立延修生計,縣市立延修生男,縣市立延修生女,縣市立上學年畢業生數計,縣市立上學年畢業生數男,縣市立上學年畢業生數女,私立學生數計,私立學生數男,私立學生數女,私立1年級計,私立1年級男,私立1年級女,私立2年級計,私立2年級男,私立2年級女,私立3年級計,私立3年級男,私立3年級女,私立延修生計,私立延修生男,私立延修生女,私立上學年畢業生數計,私立上學年畢業生數男,私立上學年畢業生數女
106學年,總計,44929,21090,23839,12537,5988,6549,15359,7140,8219,16935,7895,9040,98,67,31,16524,7495,9029,19150,8756,10394,5930,2697,3233,6216,2825,3391,6924,3178,3746,80,56,24,6744,2968,3776,9087,4554,4533,2363,1219,1144,3403,1666,1737,3310,1660,1650,11,9,2,3320,1600,1720,1097,490,607,287,131,156,303,118,185,507,241,266,-,-,-,443,175,268,15595,7290,8305,3957,1941,2016,5437,2531,2906,6194,2816,3378,7,2,5,6017,2752,3265
106學年,學術學程,28430,13386,15044,12537,5988,6549,7746,3565,4181,8098,3804,4294,49,29,20,7671,3479,4192,14196,6384,7812,5930,2697,3233,4074,1796,2278,4154,1868,2286,38,23,15,3793,1612,2181,6873,3383,3490,2363,1219,1144,2294,1087,1207,2212,1073,1139,4,4,-,2079,961,1118,685,301,384,287,131,156,142,54,88,256,116,140,-,-,-,251,98,153,6676,3318,3358,3957,1941,2016,1236,628,608,1476,747,729,7,2,5,1548,808,740
106學年,專門學程,16499,7704,8795,-,-,-,7613,3575,4038,8837,4091,4746,49,38,11,8853,4016,4837,4954,2372,2582,-,-,-,2142,1029,1113,2770,1310,1460,42,33,9,2951,1356,1595,2214,1171,1043,-,-,-,1109,579,530,1098,587,511,7,5,2,1241,639,602,412,189,223,-,-,-,161,64,97,251,125,126,-,-,-,192,77,115,8919,3972,4947,-,-,-,4201,1903,2298,4718,2069,2649,-,-,-,4469,1944,2525
105學年,總計,50737,23846,26891,15758,7388,8370,17247,8094,9153,17597,8274,9323,135,90,45,20587,9649,10938,22041,10066,11975,6760,3072,3688,7479,3424,4055,7712,3511,4201,90,59,31,8705,3823,4882,9075,4710,4365,2936,1473,1463,2889,1496,1393,3209,1713,1496,41,28,13,3049,1502,1547,1291,556,735,304,115,189,521,250,271,466,191,275,-,-,-,560,267,293,18330,8514,9816,5758,2728,3030,6358,2924,3434,6210,2859,3351,4,3,1,8273,4057,4216
105學年,學術學程,32070,15055,17015,15758,7388,8370,8140,3837,4303,8104,3782,4322,68,48,20,8703,3966,4737,15641,7033,8608,6760,3072,3688,4515,2031,2484,4311,1893,2418,55,37,18,4856,2093,2763,6760,3368,3392,2936,1473,1463,1889,935,954,1922,949,973,13,11,2,1899,909,990,806,327,479,304,115,189,249,112,137,253,100,153,-,-,-,239,94,145,8863,4327,4536,5758,2728,3030,1487,759,728,1618,840,778,-,-,-,1709,870,839
105學年,專門學程,18667,8791,9876,-,-,-,9107,4257,4850,9493,4492,5001,67,42,25,11884,5683,6201,6400,3033,3367,-,-,-,2964,1393,1571,3401,1618,1783,35,22,13,3849,1730,2119,2315,1342,973,-,-,-,1000,561,439,1287,764,523,28,17,11,1150,593,557,485,229,256,-,-,-,272,138,134,213,91,122,-,-,-,321,173,148,9467,4187,5280,-,-,-,4871,2165,2706,4592,2019,2573,4,3,1,6564,3187,3377
104學年,總計,57481,27447,30034,17678,8356,9322,18017,8537,9480,21653,10453,11200,133,101,32,23686,10986,12700,24738,11405,13333,7535,3462,4073,7829,3602,4227,9264,4256,5008,110,85,25,9970,4612,5358,9526,4972,4554,2931,1507,1424,3265,1748,1517,3313,1705,1608,17,12,5,3097,1590,1507,1603,731,872,527,248,279,485,194,291,591,289,302,-,-,-,423,176,247,21614,10339,11275,6685,3139,3546,6438,2993,3445,8485,4203,4282,6,4,2,10196,4608,5588
104學年,學術學程,35049,16522,18527,17678,8356,9322,8183,3820,4363,9120,4296,4824,68,50,18,9909,4679,5230,17003,7694,9309,7535,3462,4073,4334,1906,2428,5068,2278,2790,66,48,18,5762,2648,3114,6936,3499,3437,2931,1507,1424,1971,976,995,2032,1014,1018,2,2,-,1891,936,955,1027,446,581,527,248,279,256,101,155,244,97,147,-,-,-,264,110,154,10083,4883,5200,6685,3139,3546,1622,837,785,1776,907,869,-,-,-,1992,985,1007
104學年,專門學程,22432,10925,11507,-,-,-,9834,4717,5117,12533,6157,6376,65,51,14,13777,6307,7470,7735,3711,4024,-,-,-,3495,1696,1799,4196,1978,2218,44,37,7,4208,1964,2244,2590,1473,1117,-,-,-,1294,772,522,1281,691,590,15,10,5,1206,654,552,576,285,291,-,-,-,229,93,136,347,192,155,-,-,-,159,66,93,11531,5456,6075,-,-,-,4816,2156,2660,6709,3296,3413,6,4,2,8204,3623,4581
103學年,總計,65042,31121,33921,18449,8794,9655,22018,10683,11335,24479,11569,12910,96,75,21,25399,11635,13764,27751,12940,14811,7961,3676,4285,9361,4314,5047,10387,4919,5468,42,31,11,10728,4895,5833,9956,5236,4720,3294,1750,1544,3358,1733,1625,3296,1746,1550,8,7,1,3342,1641,1701,1544,687,857,503,209,294,607,296,311,434,182,252,-,-,-,394,177,217,25791,12258,13533,6691,3159,3532,8692,4340,4352,10362,4722,5640,46,37,9,10935,4922,6013
