學年別,年齡別,總計計,總計男,總計女,1年級計,1年級男,1年級女,2年級計,2年級男,2年級女,3年級計,3年級男,3年級女,延修生計,延修生男,延修生女
106學年,總計,44929,21090,23839,12537,5988,6549,15359,7140,8219,16935,7895,9040,98,67,31
106學年,未滿14歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,14至未滿15歲,44,17,27,44,17,27,-,-,-,-,-,-,-,-,-
106學年,15至未滿16歲,11957,5680,6277,11905,5656,6249,52,24,28,-,-,-,-,-,-
106學年,16至未滿17歲,15195,7023,8172,499,260,239,14634,6733,7901,62,30,32,-,-,-
106學年,17至未滿18歲,16915,7891,9024,64,39,25,587,331,256,16264,7521,8743,-,-,-
106學年,18至未滿19歲,674,397,277,20,13,7,67,40,27,518,292,226,69,52,17
106學年,19至未滿20歲,103,63,40,4,3,1,11,7,4,65,41,24,23,12,11
106學年,20至未滿21歲,27,13,14,-,-,-,5,5,-,17,6,11,5,2,3
106學年,21至未滿22歲,6,5,1,-,-,-,1,-,1,4,4,-,1,1,-
106學年,22歲以上,8,1,7,1,-,1,2,-,2,5,1,4,-,-,-
105學年,總計,50737,23846,26891,15758,7388,8370,17247,8094,9153,17597,8274,9323,135,90,45
105學年,未滿14歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,14至未滿15歲,49,23,26,49,23,26,-,-,-,-,-,-,-,-,-
105學年,15至未滿16歲,14984,6953,8031,14928,6926,8002,56,27,29,-,-,-,-,-,-
105學年,16至未滿17歲,17128,8023,9105,701,391,310,16352,7603,8749,75,29,46,-,-,-
105學年,17至未滿18歲,17370,8111,9259,58,36,22,733,403,330,16579,7672,8907,-,-,-
105學年,18至未滿19歲,1005,616,389,15,10,5,71,45,26,829,499,330,90,62,28
105學年,19至未滿20歲,153,92,61,2,1,1,26,11,15,88,59,29,37,21,16
105學年,20至未滿21歲,31,24,7,1,-,1,5,5,-,17,12,5,8,7,1
105學年,21至未滿22歲,7,3,4,-,-,-,1,-,1,6,3,3,-,-,-
105學年,22歲以上,10,1,9,4,1,3,3,-,3,3,-,3,-,-,-
104學年,總計,57481,27447,30034,17678,8356,9322,18017,8537,9480,21653,10453,11200,133,101,32
104學年,未滿14歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,14至未滿15歲,67,32,35,67,32,35,-,-,-,-,-,-,-,-,-
104學年,15至未滿16歲,16827,7926,8901,16745,7896,8849,81,30,51,1,-,1,-,-,-
104學年,16至未滿17歲,17810,8328,9482,763,370,393,16961,7911,9050,86,47,39,-,-,-
104學年,17至未滿18歲,21044,10094,10950,70,42,28,852,517,335,20111,9529,10582,11,6,5
104學年,18至未滿19歲,1467,895,572,19,7,12,94,63,31,1246,743,503,108,82,26
104學年,19至未滿20歲,207,139,68,7,5,2,18,12,6,168,109,59,14,13,1
104學年,20至未滿21歲,40,24,16,3,2,1,5,3,2,32,19,13,-,-,-
104學年,21至未滿22歲,12,4,8,3,1,2,4,1,3,5,2,3,-,-,-
104學年,22歲以上,7,5,2,1,1,-,2,-,2,4,4,-,-,-,-
103學年,總計,65042,31121,33921,18449,8794,9655,22018,10683,11335,24479,11569,12910,96,75,21
103學年,未滿14歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,14至未滿15歲,86,31,55,85,31,54,1,-,1,-,-,-,-,-,-
103學年,15至未滿16歲,17678,8348,9330,17605,8308,9297,72,40,32,1,-,1,-,-,-
103學年,16至未滿17歲,21380,10250,11130,637,376,261,20615,9816,10799,128,58,70,-,-,-
103學年,17至未滿18歲,24453,11603,12850,81,52,29,1107,685,422,23261,10866,12395,4,-,4
103學年,18至未滿19歲,1201,736,465,23,17,6,172,109,63,929,549,380,77,61,16
103學年,19至未滿20歲,191,123,68,9,8,1,41,26,15,127,76,51,14,13,1
103學年,20至未滿21歲,38,21,17,6,2,4,4,2,2,27,16,11,1,1,-
103學年,21至未滿22歲,12,7,5,2,-,2,4,3,1,6,4,2,-,-,-
103學年,22歲以上,3,2,1,1,-,1,2,2,-,-,-,-,-,-,-
102學年,總計,73891,35238,38653,22590,11037,11553,25099,11976,13123,26160,12192,13968,42,33,9
102學年,未滿14歲,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-
102學年,14至未滿15歲,72,38,34,71,38,33,1,-,1,-,-,-,-,-,-
102學年,15至未滿16歲,21618,10422,11196,21491,10364,11127,127,58,69,-,-,-,-,-,-
102學年,16至未滿17歲,24712,11869,12843,825,507,318,23548,11222,12326,339,140,199,-,-,-
102學年,17至未滿18歲,26133,12092,14041,151,97,54,1240,589,651,24742,11406,13336,-,-,-
102學年,18至未滿19歲,1130,676,454,38,23,15,136,81,55,925,548,377,31,24,7
102學年,19至未滿20歲,181,115,66,7,3,4,42,24,18,124,81,43,8,7,1
102學年,20至未滿21歲,27,17,10,4,3,1,3,2,1,18,11,7,2,1,1
102學年,21至未滿22歲,10,7,3,1,1,-,-,-,-,8,5,3,1,1,-
