學年別,縣市別,總計計,總計1年級,總計2年級,總計3年級,國立計,國立1年級,國立2年級,國立3年級,直轄市立計,直轄市立1年級,直轄市立2年級,直轄市立3年級,縣市立計,縣市立1年級,縣市立2年級,縣市立3年級,私立計,私立1年級,私立2年級,私立3年級
106學年,總計,1255,360,422,473,576,181,185,210,263,71,96,96,36,9,10,17,380,99,131,150
106學年,新北市,162,49,57,56,45,15,15,15,78,26,26,26,-,-,-,-,39,8,16,15
106學年,臺北市,113,29,41,43,-,-,-,-,91,23,34,34,-,-,-,-,22,6,7,9
106學年,桃園市,79,24,26,29,51,17,17,17,-,-,-,-,-,-,-,-,28,7,9,12
106學年,臺中市,51,17,17,17,-,-,-,-,39,13,13,13,-,-,-,-,12,4,4,4
106學年,臺南市,135,38,44,53,119,35,38,46,-,-,-,-,-,-,-,-,16,3,6,7
106學年,高雄市,88,14,34,40,-,-,-,-,55,9,23,23,-,-,-,-,33,5,11,17
106學年,宜蘭縣,42,14,14,14,36,12,12,12,-,-,-,-,6,2,2,2,-,-,-,-
106學年,新竹縣,40,11,12,17,12,4,4,4,-,-,-,-,-,-,-,-,28,7,8,13
106學年,苗栗縣,43,10,13,20,-,-,-,-,-,-,-,-,27,6,7,14,16,4,6,6
106學年,彰化縣,110,34,36,40,85,27,27,31,-,-,-,-,-,-,-,-,25,7,9,9
106學年,南投縣,18,6,6,6,18,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-
106學年,雲林縣,42,12,12,18,18,5,4,9,-,-,-,-,-,-,-,-,24,7,8,9
106學年,嘉義縣,16,5,5,6,-,-,-,-,-,-,-,-,-,-,-,-,16,5,5,6
106學年,屏東縣,34,11,11,12,34,11,11,12,-,-,-,-,-,-,-,-,-,-,-,-
106學年,臺東縣,88,28,29,31,78,25,26,27,-,-,-,-,3,1,1,1,7,2,2,3
106學年,花蓮縣,54,15,18,21,3,-,-,3,-,-,-,-,-,-,-,-,51,15,18,18
106學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,基隆市,12,4,4,4,12,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-
106學年,新竹市,78,24,27,27,24,8,8,8,-,-,-,-,-,-,-,-,54,16,19,19
106學年,嘉義市,37,11,11,15,28,8,8,12,-,-,-,-,-,-,-,-,9,3,3,3
106學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,連江縣,13,4,5,4,13,4,5,4,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,1387,419,474,494,649,197,223,229,259,83,84,92,44,10,17,17,435,129,150,156
105學年,新北市,168,55,57,56,45,15,15,15,80,26,27,27,-,-,-,-,43,14,15,14
105學年,臺北市,127,41,43,43,-,-,-,-,102,34,34,34,-,-,-,-,25,7,9,9
105學年,桃園市,85,26,29,30,51,17,17,17,-,-,-,-,-,-,-,-,34,9,12,13
105學年,臺中市,51,17,17,17,39,13,13,13,-,-,-,-,-,-,-,-,12,4,4,4
105學年,臺南市,156,44,53,59,130,38,46,46,-,-,-,-,-,-,-,-,26,6,7,13
105學年,高雄市,121,34,40,47,-,-,-,-,77,23,23,31,-,-,-,-,44,11,17,16
105學年,宜蘭縣,42,14,14,14,36,12,12,12,-,-,-,-,6,2,2,2,-,-,-,-
105學年,新竹縣,46,12,17,17,12,4,4,4,-,-,-,-,-,-,-,-,34,8,13,13
105學年,苗栗縣,53,13,20,20,-,-,-,-,-,-,-,-,35,7,14,14,18,6,6,6
105學年,彰化縣,116,36,40,40,89,27,31,31,-,-,-,-,-,-,-,-,27,9,9,9
105學年,南投縣,22,6,6,10,22,6,6,10,-,-,-,-,-,-,-,-,-,-,-,-
105學年,雲林縣,47,12,18,17,22,4,9,9,-,-,-,-,-,-,-,-,25,8,9,8
105學年,嘉義縣,17,5,6,6,-,-,-,-,-,-,-,-,-,-,-,-,17,5,6,6
105學年,屏東縣,37,11,12,14,37,11,12,14,-,-,-,-,-,-,-,-,-,-,-,-
105學年,臺東縣,92,29,31,32,80,26,27,27,-,-,-,-,3,1,1,1,9,2,3,4
105學年,花蓮縣,59,18,21,20,6,-,3,3,-,-,-,-,-,-,-,-,53,18,18,17
105學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,基隆市,12,4,4,4,12,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-
105學年,新竹市,84,27,27,30,24,8,8,8,-,-,-,-,-,-,-,-,60,19,19,22
105學年,嘉義市,40,11,15,14,32,8,12,12,-,-,-,-,-,-,-,-,8,3,3,2
105學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,連江縣,12,4,4,4,12,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,1528,473,495,560,705,223,229,253,265,83,92,90,53,18,18,17,505,149,156,200
104學年,新北市,167,55,56,56,45,15,15,15,77,26,27,24,-,-,-,-,45,14,14,17
104學年,臺北市,130,43,43,44,-,-,-,-,102,34,34,34,-,-,-,-,28,9,9,10
104學年,桃園市,104,29,30,45,51,17,17,17,-,-,-,-,-,-,-,-,53,12,13,28
104學年,臺中市,70,17,17,36,39,13,13,13,-,-,-,-,-,-,-,-,31,4,4,23
104學年,臺南市,169,53,59,57,135,46,46,43,-,-,-,-,-,-,-,-,34,7,13,14
104學年,高雄市,137,39,47,51,-,-,-,-,86,23,31,32,-,-,-,-,51,16,16,19
104學年,宜蘭縣,43,14,14,15,37,12,12,13,-,-,-,-,6,2,2,2,-,-,-,-
104學年,新竹縣,66,17,17,32,26,4,4,18,-,-,-,-,-,-,-,-,40,13,13,14
104學年,苗栗縣,61,20,20,21,-,-,-,-,-,-,-,-,42,14,14,14,19,6,6,7
104學年,彰化縣,121,40,40,41,93,31,31,31,-,-,-,-,-,-,-,-,28,9,9,10
104學年,南投縣,26,6,10,10,26,6,10,10,-,-,-,-,-,-,-,-,-,-,-,-
104學年,雲林縣,51,18,17,16,26,9,9,8,-,-,-,-,-,-,-,-,25,9,8,8
104學年,嘉義縣,18,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,18,6,6,6
104學年,屏東縣,45,12,14,19,45,12,14,19,-,-,-,-,-,-,-,-,-,-,-,-
104學年,臺東縣,99,32,32,35,85,27,27,31,-,-,-,-,3,1,1,1,11,4,4,3
104學年,花蓮縣,68,22,21,25,13,3,3,7,-,-,-,-,2,1,1,-,53,18,17,18
104學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,基隆市,12,4,4,4,12,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-
104學年,新竹市,84,27,30,27,24,8,8,8,-,-,-,-,-,-,-,-,60,19,22,19
104學年,嘉義市,45,15,14,16,36,12,12,12,-,-,-,-,-,-,-,-,9,3,2,4
104學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,連江縣,12,4,4,4,12,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,1676,493,562,621,767,229,254,284,268,91,89,88,50,18,18,14,591,155,201,235
103學年,新北市,157,52,56,49,45,15,15,15,66,26,24,16,-,-,-,-,46,11,17,18
103學年,臺北市,143,43,43,57,-,-,-,-,107,34,33,40,-,-,-,-,36,9,10,17
103學年,臺中市,89,17,36,36,39,13,13,13,-,-,-,-,-,-,-,-,50,4,23,23
103學年,臺南市,176,58,57,61,134,46,43,45,-,-,-,-,-,-,-,-,42,12,14,16
103學年,高雄市,164,50,52,62,6,-,-,6,95,31,32,32,-,-,-,-,63,19,20,24
103學年,宜蘭縣,44,14,15,15,38,12,13,13,-,-,-,-,6,2,2,2,-,-,-,-
103學年,桃園縣,128,30,45,53,55,17,17,21,-,-,-,-,-,-,-,-,73,13,28,32
103學年,新竹縣,87,17,32,38,40,4,18,18,-,-,-,-,-,-,-,-,47,13,14,20
103學年,苗栗縣,62,20,21,21,-,-,-,-,-,-,-,-,38,14,14,10,24,6,7,11
103學年,彰化縣,122,40,41,41,93,31,31,31,-,-,-,-,-,-,-,-,29,9,10,10
103學年,南投縣,41,10,10,21,41,10,10,21,-,-,-,-,-,-,-,-,-,-,-,-
103學年,雲林縣,51,17,16,18,26,9,8,9,-,-,-,-,-,-,-,-,25,8,8,9
103學年,嘉義縣,18,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,18,6,6,6
103學年,屏東縣,53,14,19,20,53,14,19,20,-,-,-,-,-,-,-,-,-,-,-,-
103學年,臺東縣,106,32,35,39,92,27,31,34,-,-,-,-,3,1,1,1,11,4,3,4
103學年,花蓮縣,78,21,27,30,21,3,8,10,-,-,-,-,3,1,1,1,54,17,18,19
103學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,基隆市,12,4,4,4,12,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-
103學年,新竹市,86,30,27,29,24,8,8,8,-,-,-,-,-,-,-,-,62,22,19,21
103學年,嘉義市,47,14,16,17,36,12,12,12,-,-,-,-,-,-,-,-,11,2,4,5
103學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,連江縣,12,4,4,4,12,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,1844,563,621,660,842,253,284,305,270,91,87,92,45,18,14,13,687,201,236,250
102學年,新北市,156,55,50,51,45,15,15,15,59,25,17,17,-,-,-,-,52,15,18,19
102學年,臺北市,157,44,55,58,-,-,-,-,110,34,38,38,-,-,-,-,47,10,17,20
102學年,臺中市,114,36,36,42,39,13,13,13,6,-,-,6,-,-,-,-,69,23,23,23
102學年,臺南市,183,57,61,65,134,43,45,46,-,-,-,-,-,-,-,-,49,14,16,19
102學年,高雄市,180,52,62,66,12,-,6,6,95,32,32,31,-,-,-,-,73,20,24,29
102學年,宜蘭縣,45,15,15,15,39,13,13,13,-,-,-,-,6,2,2,2,-,-,-,-
102學年,桃園縣,151,45,53,53,59,17,21,21,-,-,-,-,-,-,-,-,92,28,32,32
102學年,新竹縣,111,33,38,40,54,18,18,18,-,-,-,-,-,-,-,-,57,15,20,22
102學年,苗栗縣,82,22,22,38,17,-,-,17,-,-,-,-,33,14,10,9,32,8,12,12
102學年,彰化縣,123,41,41,41,93,31,31,31,-,-,-,-,-,-,-,-,30,10,10,10
102學年,南投縣,52,10,21,21,52,10,21,21,-,-,-,-,-,-,-,-,-,-,-,-
102學年,雲林縣,52,16,18,18,26,8,9,9,-,-,-,-,-,-,-,-,26,8,9,9
102學年,嘉義縣,17,6,6,5,-,-,-,-,-,-,-,-,-,-,-,-,17,6,6,5
102學年,屏東縣,60,19,20,21,60,19,20,21,-,-,-,-,-,-,-,-,-,-,-,-
102學年,臺東縣,115,35,39,41,101,31,34,36,-,-,-,-,3,1,1,1,11,3,4,4
102學年,花蓮縣,87,26,30,31,27,7,10,10,-,-,-,-,3,1,1,1,57,18,19,20
102學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,基隆市,12,4,4,4,12,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-
