學年別,縣市別,總計校數計,總計校數公立,總計校數私立,總計班級數計,總計班級數公立,總計班級數私立,總計學生數計,總計學生數公立,總計學生數私立,總計上學年畢業生數計,總計上學年畢業生數公立,總計上學年畢業生數私立,國小補校校數計,國小補校校數公立,國小補校校數私立,國小補校班級數計,國小補校班級數公立,國小補校班級數私立,國小補校學生數計,國小補校學生數公立,國小補校學生數私立,國小補校上學年畢業生數計,國小補校上學年畢業生數公立,國小補校上學年畢業生數私立,國中補校校數計,國中補校校數公立,國中補校校數私立,國中補校班級數計,國中補校班級數公立,國中補校班級數私立,國中補校學生數計,國中補校學生數公立,國中補校學生數私立,國中補校上學年畢業生數計,國中補校上學年畢業生數公立,國中補校上學年畢業生數私立
106學年,總計,405,402,3,1023,1014,9,15579,15369,210,2968,2900,68,225,225,-,568,568,-,9785,9785,-,1541,1541,-,180,177,3,455,446,9,5794,5584,210,1427,1359,68
106學年,新北市,78,78,-,238,238,-,4491,4491,-,772,772,-,48,48,-,154,154,-,3118,3118,-,452,452,-,30,30,-,84,84,-,1373,1373,-,320,320,-
106學年,臺北市,28,28,-,106,106,-,1734,1734,-,322,322,-,16,16,-,69,69,-,1215,1215,-,242,242,-,12,12,-,37,37,-,519,519,-,80,80,-
106學年,桃園市,36,35,1,91,88,3,1498,1407,91,342,319,23,19,19,-,46,46,-,901,901,-,157,157,-,17,16,1,45,42,3,597,506,91,185,162,23
106學年,臺中市,57,57,-,179,179,-,2818,2818,-,441,441,-,33,33,-,85,85,-,1488,1488,-,163,163,-,24,24,-,94,94,-,1330,1330,-,278,278,-
106學年,臺南市,31,30,1,70,67,3,865,797,68,169,142,27,21,21,-,46,46,-,640,640,-,95,95,-,10,9,1,24,21,3,225,157,68,74,47,27
106學年,高雄市,39,39,-,67,67,-,1034,1034,-,249,249,-,15,15,-,23,23,-,444,444,-,102,102,-,24,24,-,44,44,-,590,590,-,147,147,-
106學年,宜蘭縣,14,14,-,36,36,-,437,437,-,83,83,-,10,10,-,24,24,-,249,249,-,34,34,-,4,4,-,12,12,-,188,188,-,49,49,-
106學年,新竹縣,5,5,-,14,14,-,197,197,-,26,26,-,3,3,-,8,8,-,157,157,-,23,23,-,2,2,-,6,6,-,40,40,-,3,3,-
106學年,苗栗縣,10,10,-,17,17,-,214,214,-,30,30,-,9,9,-,15,15,-,204,204,-,30,30,-,1,1,-,2,2,-,10,10,-,-,-,-
