學年別,縣市別,校數總計,校數公立,校數私立,教師數總計,教師數公立,教師數私立,職員數總計,職員數公立,職員數私立,班級數總計,班級數公立,班級數私立,學生數總計,學生數公立,學生數私立,上學年畢業生數總計,上學年畢業生數公立,上學年畢業生數私立
106學年,總計,732,719,13,46772,46302,470,6565,6437,128,23761,21600,2161,653273,566532,86741,236042,206503,29539
106學年,新北市,61,61,-,5953,5953,-,616,616,-,3559,3186,373,100608,85338,15270,35375,30200,5175
106學年,臺北市,61,59,2,5069,5017,52,964,943,21,2495,2230,265,66746,55894,10852,23560,20090,3470
106學年,桃園市,58,56,2,5401,5376,25,632,614,18,2411,2238,173,67375,60086,7289,24393,21998,2395
106學年,臺中市,71,70,1,5525,5518,7,674,667,7,2984,2670,314,85244,71297,13947,30952,26094,4858
106學年,臺南市,59,58,1,3385,3329,56,462,453,9,1794,1545,249,50556,40685,9871,18403,14981,3422
106學年,高雄市,79,79,-,5438,5438,-,748,748,-,2654,2545,109,72395,68817,3578,26382,25107,1275
106學年,宜蘭縣,24,24,-,1195,1195,-,181,181,-,545,499,46,14108,12396,1712,5000,4421,579
106學年,新竹縣,29,28,1,1350,1330,20,189,184,5,645,590,55,17398,15245,2153,6153,5376,777
106學年,苗栗縣,30,30,-,1194,1194,-,161,161,-,608,565,43,15835,14128,1707,5887,5340,547
106學年,彰化縣,36,36,-,2528,2528,-,356,356,-,1306,1249,57,37275,34446,2829,13894,12983,911
106學年,南投縣,32,31,1,1275,1246,29,218,199,19,567,528,39,14436,13296,1140,5547,5142,405
106學年,雲林縣,33,30,3,1430,1229,201,257,227,30,746,574,172,21017,15104,5913,7714,5669,2045
106學年,嘉義縣,24,24,-,1013,1013,-,130,130,-,482,451,31,12207,10941,1266,4693,4210,483
106學年,屏東縣,35,34,1,1578,1510,68,226,215,11,842,787,55,22574,20485,2089,8416,7624,792
106學年,臺東縣,21,21,-,656,656,-,133,133,-,280,271,9,6303,6075,228,2251,2183,68
106學年,花蓮縣,23,23,-,885,885,-,159,159,-,394,361,33,9614,8602,1012,3381,3047,334
106學年,澎湖縣,14,14,-,291,291,-,49,49,-,113,113,-,2362,2362,-,839,839,-
106學年,基隆市,11,11,-,652,652,-,108,108,-,353,317,36,9635,7831,1804,3505,2874,631
106學年,新竹市,13,12,1,1010,998,12,130,122,8,549,504,45,15414,13648,1766,5262,4728,534
