學年別,縣市別,校數總計,校數公立,校數私立,教師數總計,教師數公立,教師數私立,職員數總計,職員數公立,職員數私立,班級數總計,班級數公立,班級數私立,學生數總計,學生數公立,學生數私立,上學年畢業生數總計,上學年畢業生數公立,上學年畢業生數私立
106學年,總計,2630,2595,35,94407,92471,1936,9026,8775,251,50311,49191,1120,1146679,1109935,36744,208832,203277,5555
106學年,新北市,214,209,5,14113,13713,400,991,950,41,7606,7383,223,192321,184326,7995,33915,32701,1214
106學年,臺北市,151,142,9,9649,9129,520,1137,1080,57,4480,4202,278,115679,105273,10406,20027,18347,1680
106學年,桃園市,190,186,4,8905,8806,99,673,654,19,4975,4908,67,122590,120627,1963,22070,21866,204
106學年,臺中市,235,230,5,11502,11208,294,1010,977,33,6167,5981,186,150412,144434,5978,26894,26011,883
106學年,臺南市,211,210,1,6949,6854,95,756,747,9,3872,3818,54,87329,85639,1690,15747,15460,287
106學年,高雄市,242,242,-,9526,9429,97,974,960,14,5332,5278,54,125875,124665,1210,23436,23314,122
106學年,宜蘭縣,76,76,-,2052,2032,20,244,241,3,1084,1072,12,21563,21263,300,4145,4104,41
106學年,新竹縣,86,84,2,2841,2760,81,251,246,5,1553,1504,49,35578,34168,1410,5923,5740,183
106學年,苗栗縣,114,114,-,2667,2667,-,285,285,-,1430,1430,-,27602,27602,-,5267,5267,-
106學年,彰化縣,175,175,-,5342,5342,-,449,449,-,2805,2805,-,62830,62830,-,12058,12058,-
106學年,南投縣,139,137,2,2569,2509,60,251,230,21,1390,1344,46,23221,22022,1199,4607,4365,242
106學年,雲林縣,155,153,2,3305,3240,65,347,327,20,1716,1685,31,32410,31512,898,6362,6186,176
106學年,嘉義縣,124,124,-,2409,2409,-,270,270,-,1244,1244,-,19569,19569,-,4136,4136,-
106學年,屏東縣,168,167,1,3531,3519,12,377,373,4,1912,1906,6,35661,35510,151,7196,7196,-
106學年,臺東縣,88,88,-,1487,1477,10,236,236,-,759,753,6,10385,10273,112,1987,1975,12
106學年,花蓮縣,103,102,1,1862,1795,67,268,257,11,964,925,39,15390,14451,939,2927,2756,171
106學年,澎湖縣,37,37,-,585,585,-,25,25,-,291,291,-,3524,3524,-,750,750,-
106學年,基隆市,42,41,1,1375,1324,51,155,146,9,715,685,30,15944,14880,1064,3057,2908,149
106學年,新竹市,33,31,2,2106,2041,65,180,175,5,1162,1123,39,29635,28206,1429,4834,4643,191
106學年,嘉義市,20,20,-,1110,1110,-,77,77,-,607,607,-,15068,15068,-,2819,2819,-
106學年,金門縣,19,19,-,419,419,-,63,63,-,196,196,-,3619,3619,-,611,611,-
106學年,連江縣,8,8,-,103,103,-,7,7,-,51,51,-,474,474,-,64,64,-
105學年,總計,2630,2595,35,95081,93157,1924,8985,8736,249,51097,50015,1082,1173885,1138119,35766,214785,209506,5279
105學年,新北市,214,209,5,14198,13782,416,996,958,38,7679,7461,218,195706,187696,8010,35068,33972,1096
105學年,臺北市,150,141,9,9671,9144,527,1126,1069,57,4537,4259,278,116496,106158,10338,20281,18593,1688
105學年,桃園市,190,186,4,8940,8846,94,661,642,19,5029,4972,57,124604,122860,1744,22459,22301,158
105學年,臺中市,235,230,5,11611,11325,286,1003,971,32,6247,6071,176,153062,147408,5654,27401,26586,815
105學年,臺南市,211,210,1,7109,7009,100,747,738,9,3904,3847,57,89475,87733,1742,16201,15874,327
105學年,高雄市,242,242,-,9618,9539,79,958,946,12,5442,5393,49,129914,128842,1072,23838,23723,115
105學年,宜蘭縣,76,76,-,2076,2056,20,255,251,4,1126,1114,12,22349,22054,295,4290,4250,40
105學年,新竹縣,86,84,2,2797,2717,80,258,255,3,1557,1510,47,35692,34346,1346,6044,5860,184
105學年,苗栗縣,114,114,-,2666,2666,-,287,287,-,1458,1458,-,28579,28579,-,5327,5327,-
105學年,彰化縣,175,175,-,5356,5356,-,459,459,-,2891,2891,-,65423,65423,-,12949,12949,-
105學年,南投縣,140,138,2,2598,2540,58,251,230,21,1411,1368,43,24180,23023,1157,4845,4617,228
105學年,雲林縣,155,153,2,3317,3250,67,344,322,22,1761,1730,31,34012,33072,940,6711,6543,168
105學年,嘉義縣,124,124,-,2432,2432,-,271,271,-,1286,1286,-,20810,20810,-,4408,4408,-
105學年,屏東縣,168,167,1,3570,3564,6,374,368,6,1965,1962,3,37482,37426,56,7501,7501,-
105學年,臺東縣,88,88,-,1498,1488,10,225,225,-,762,756,6,10702,10600,102,2008,2008,-
105學年,花蓮縣,103,102,1,1864,1798,66,265,253,12,973,934,39,15914,14933,981,3076,2920,156
105學年,澎湖縣,37,37,-,586,586,-,24,24,-,294,294,-,3756,3756,-,765,765,-
105學年,基隆市,43,42,1,1440,1389,51,159,150,9,747,717,30,16654,15591,1063,3109,2971,138
105學年,新竹市,32,30,2,2099,2035,64,183,178,5,1161,1125,36,29534,28268,1266,4856,4690,166
105學年,嘉義市,20,20,-,1121,1121,-,75,75,-,622,622,-,15468,15468,-,2940,2940,-
105學年,金門縣,19,19,-,415,415,-,58,58,-,195,195,-,3618,3618,-,652,652,-
105學年,連江縣,8,8,-,99,99,-,6,6,-,50,50,-,455,455,-,56,56,-
104學年,總計,2633,2599,34,97368,95488,1880,8936,8686,250,52404,51343,1061,1214360,1179134,35226,230012,224771,5241
104學年,新北市,213,208,5,14519,14128,391,989,955,34,7858,7646,212,201970,194099,7871,37181,36162,1019
104學年,臺北市,150,141,9,9878,9348,530,1144,1077,67,4622,4344,278,118471,108033,10438,22024,20300,1724
104學年,桃園市,190,186,4,9078,8986,92,615,597,18,5133,5082,51,128444,126897,1547,23883,23726,157
104學年,臺中市,235,230,5,11795,11520,275,1007,974,33,6395,6223,172,157272,151737,5535,29414,28625,789
104學年,臺南市,211,210,1,7236,7134,102,751,742,9,3997,3936,61,92570,90711,1859,17067,16778,289
104學年,高雄市,242,242,-,10266,10187,79,947,935,12,5601,5554,47,134949,133949,1000,25723,25597,126
104學年,宜蘭縣,76,76,-,2144,2126,18,246,243,3,1169,1158,11,23227,22974,253,4551,4520,31
104學年,新竹縣,85,83,2,2831,2753,78,265,259,6,1566,1520,46,36265,34923,1342,6169,6017,152
104學年,苗栗縣,117,117,-,2762,2762,-,290,290,-,1507,1507,-,29940,29940,-,5806,5806,-
104學年,彰化縣,175,175,-,5386,5386,-,454,454,-,2987,2987,-,68920,68920,-,13687,13687,-
104學年,南投縣,140,138,2,2705,2650,55,254,233,21,1466,1426,40,25439,24348,1091,5294,5035,259
104學年,雲林縣,155,153,2,3415,3350,65,354,331,23,1817,1786,31,35903,34932,971,7274,7094,180
104學年,嘉義縣,124,124,-,2476,2476,-,269,269,-,1327,1327,-,22434,22434,-,4868,4868,-
104學年,屏東縣,167,167,-,3668,3668,-,364,364,-,2043,2043,-,39629,39629,-,8240,8240,-
104學年,臺東縣,88,88,-,1520,1511,9,225,225,-,782,777,5,11156,11079,77,2247,2235,12
104學年,花蓮縣,103,102,1,1886,1821,65,261,249,12,992,954,38,16538,15552,986,3250,3084,166
104學年,澎湖縣,40,40,-,585,585,-,29,29,-,315,315,-,3972,3972,-,847,847,-
104學年,基隆市,43,42,1,1469,1413,56,156,147,9,768,738,30,17341,16290,1051,3386,3235,151
104學年,新竹市,32,30,2,2092,2027,65,179,176,3,1168,1129,39,29694,28489,1205,5186,5000,186
104學年,嘉義市,20,20,-,1160,1160,-,75,75,-,644,644,-,16104,16104,-,3153,3153,-
104學年,金門縣,19,19,-,398,398,-,53,53,-,196,196,-,3679,3679,-,662,662,-
104學年,連江縣,8,8,-,99,99,-,9,9,-,51,51,-,443,443,-,100,100,-
103學年,總計,2644,2607,37,98580,96742,1838,8805,8562,243,53541,52500,1041,1252762,1218479,34283,242831,237575,5256
103學年,新北市,214,208,6,14735,14370,365,951,917,34,8002,7797,205,207301,199779,7522,39088,38069,1019
103學年,臺北市,152,142,10,10082,9541,541,1118,1058,60,4756,4478,278,121218,110734,10484,22956,21201,1755
103學年,臺中市,234,229,5,11787,11516,271,976,942,34,6496,6327,169,161710,156404,5306,31198,30420,778
103學年,臺南市,211,210,1,7292,7189,103,753,744,9,4088,4025,63,94529,92620,1909,18227,17888,339
103學年,高雄市,242,242,-,10487,10418,69,929,916,13,5756,5714,42,139731,138855,876,27284,27169,115
103學年,宜蘭縣,77,77,-,2180,2164,16,244,244,-,1196,1186,10,23968,23749,219,4675,4647,28
103學年,桃園縣,190,186,4,9096,9019,77,605,589,16,5177,5132,45,131739,130393,1346,25348,25203,145
103學年,新竹縣,85,83,2,2833,2750,83,250,247,3,1552,1506,46,36365,35094,1271,6531,6374,157
103學年,苗栗縣,117,117,-,2792,2792,-,297,297,-,1542,1542,-,31076,31076,-,6133,6133,-
103學年,彰化縣,175,175,-,5482,5482,-,440,440,-,3083,3083,-,72147,72147,-,14459,14459,-
103學年,南投縣,144,142,2,2761,2702,59,254,229,25,1522,1481,41,26958,25865,1093,5740,5464,276
103學年,雲林縣,156,154,2,3460,3399,61,357,334,23,1871,1840,31,37757,36771,986,7564,7384,180
103學年,嘉義縣,124,124,-,2559,2559,-,272,272,-,1395,1395,-,24196,24196,-,5339,5339,-
103學年,屏東縣,167,167,-,3765,3765,-,365,365,-,2120,2120,-,42042,42042,-,8694,8694,-
103學年,臺東縣,91,90,1,1528,1519,9,232,232,-,797,792,5,11738,11666,72,2407,2388,19
103學年,花蓮縣,103,102,1,1920,1858,62,265,253,12,1011,975,36,17202,16208,994,3415,3269,146
103學年,澎湖縣,40,40,-,586,586,-,21,21,-,323,323,-,4230,4230,-,835,835,-
103學年,基隆市,43,42,1,1489,1432,57,158,149,9,788,758,30,18035,17043,992,3612,3493,119
103學年,新竹市,32,30,2,2095,2030,65,181,176,5,1167,1127,40,29807,28594,1213,5282,5102,180
103學年,嘉義市,20,20,-,1171,1171,-,76,76,-,653,653,-,16845,16845,-,3299,3299,-
103學年,金門縣,19,19,-,381,381,-,55,55,-,195,195,-,3699,3699,-,657,657,-
103學年,連江縣,8,8,-,99,99,-,6,6,-,51,51,-,469,469,-,88,88,-
102學年,總計,2650,2613,37,97436,95703,1733,8621,8341,280,54641,53634,1007,1297120,1264084,33036,275346,269784,5562
102學年,新北市,214,208,6,15074,14724,350,915,877,38,8178,7980,198,213641,206568,7073,44638,43502,1136
102學年,臺北市,152,142,10,10558,10034,524,1129,1061,68,4957,4679,278,123948,113515,10433,26491,24706,1785
102學年,臺中市,234,229,5,11504,11265,239,927,892,35,6584,6432,152,166752,161683,5069,35417,34618,799
102學年,臺南市,211,210,1,6774,6679,95,738,729,9,4155,4092,63,97519,95567,1952,21098,20740,358
102學年,高雄市,241,241,-,10031,9969,62,887,874,13,5897,5859,38,145049,144258,791,31208,31074,134
102學年,宜蘭縣,77,77,-,2161,2146,15,250,247,3,1217,1207,10,24969,24771,198,5383,5342,41
102學年,桃園縣,190,186,4,8897,8829,68,608,583,25,5225,5184,41,135633,134476,1157,28248,28098,150
102學年,新竹縣,85,83,2,2706,2628,78,238,235,3,1552,1506,46,36706,35487,1219,7068,6909,159
102學年,苗栗縣,121,121,-,2791,2791,-,304,304,-,1584,1584,-,32390,32390,-,6707,6707,-
102學年,彰化縣,175,175,-,5431,5431,-,423,423,-,3159,3159,-,75886,75886,-,16120,16120,-
102學年,南投縣,145,143,2,2790,2732,58,245,221,24,1565,1522,43,28607,27591,1016,6357,6057,300
102學年,雲林縣,156,154,2,3384,3323,61,355,331,24,1903,1872,31,39669,38711,958,8542,8397,145
102學年,嘉義縣,124,124,-,2524,2524,-,270,270,-,1442,1442,-,26269,26269,-,5948,5948,-
102學年,屏東縣,168,168,-,3733,3733,-,352,352,-,2190,2190,-,44667,44667,-,9807,9807,-
102學年,臺東縣,91,90,1,1491,1484,7,234,229,5,812,807,5,12444,12388,56,2608,2599,9
102學年,花蓮縣,104,103,1,1869,1813,56,253,241,12,1025,991,34,17994,17003,991,3826,3629,197
102學年,澎湖縣,40,40,-,602,602,-,22,22,-,329,329,-,4465,4465,-,995,995,-
102學年,基隆市,43,42,1,1481,1423,58,158,149,9,813,784,29,18942,18003,939,4288,4132,156
102學年,新竹市,32,30,2,1999,1937,62,186,174,12,1148,1109,39,29899,28715,1184,5887,5694,193
102學年,嘉義市,20,20,-,1147,1147,-,69,69,-,662,662,-,17458,17458,-,3880,3880,-
102學年,金門縣,19,19,-,395,395,-,52,52,-,192,192,-,3729,3729,-,758,758,-
102學年,連江縣,8,8,-,94,94,-,6,6,-,52,52,-,484,484,-,72,72,-
101學年,總計,2657,2621,36,97466,95793,1673,8322,8043,279,56391,55411,980,1373366,1340762,32604,285628,280321,5307
101學年,新北市,213,207,6,15281,14963,318,906,870,36,8448,8256,192,225234,218440,6794,46300,45231,1069
101學年,臺北市,153,143,10,10883,10352,531,1116,1044,72,5257,4979,278,130862,120334,10528,27974,26201,1773
101學年,臺中市,233,229,4,11392,11172,220,825,795,30,6794,6651,143,175643,170695,4948,36365,35544,821
101學年,臺南市,211,210,1,6871,6772,99,722,712,10,4267,4203,64,103436,101454,1982,21851,21558,293
101學年,高雄市,241,241,-,10105,10044,61,839,826,13,6116,6080,36,154182,153440,742,33071,32942,129
101學年,宜蘭縣,77,77,-,2136,2122,14,271,269,2,1259,1250,9,26615,26422,193,5611,5585,26
101學年,桃園縣,191,187,4,8853,8793,60,578,552,26,5355,5317,38,142703,141635,1068,28846,28789,57
101學年,新竹縣,85,83,2,2557,2485,72,240,229,11,1546,1502,44,37725,36537,1188,7072,6954,118
101學年,苗栗縣,121,121,-,2847,2847,-,286,286,-,1648,1648,-,34240,34240,-,6809,6809,-
101學年,彰化縣,175,175,-,5311,5311,-,380,380,-,3257,3257,-,81029,81029,-,16689,16689,-
101學年,南投縣,149,147,2,2710,2656,54,232,208,24,1607,1568,39,30774,29731,1043,6583,6247,336
101學年,雲林縣,156,154,2,3278,3218,60,354,330,24,1947,1916,31,42444,41489,955,8755,8618,137
101學年,嘉義縣,124,124,-,2534,2534,-,269,269,-,1481,1481,-,28726,28726,-,5968,5968,-
101學年,屏東縣,168,168,-,3776,3776,-,357,357,-,2257,2257,-,48116,48116,-,10430,10430,-
101學年,臺東縣,92,91,1,1463,1451,12,209,207,2,832,827,5,13203,13141,62,2819,2798,21
101學年,花蓮縣,106,105,1,1865,1808,57,258,246,12,1052,1017,35,19216,18190,1026,4037,3858,179
101學年,澎湖縣,40,40,-,596,596,-,24,24,-,338,338,-,4827,4827,-,996,996,-
101學年,基隆市,43,42,1,1455,1399,56,152,144,8,842,814,28,20364,19469,895,4691,4535,156
101學年,新竹市,32,30,2,1939,1880,59,182,173,9,1158,1120,38,30935,29755,1180,5812,5620,192
101學年,嘉義市,20,20,-,1152,1152,-,70,70,-,686,686,-,18750,18750,-,4118,4118,-
101學年,金門縣,19,19,-,367,367,-,47,47,-,192,192,-,3871,3871,-,718,718,-
101學年,連江縣,8,8,-,95,95,-,5,5,-,52,52,-,471,471,-,113,113,-
100學年,總計,2659,2623,36,98559,96887,1672,8046,7769,277,57986,57035,951,1457004,1425102,31902,271625,266725,4900
100學年,新北市,212,206,6,15841,15536,305,875,834,41,8793,8607,186,238483,231817,6666,43651,42658,993
100學年,臺北市,153,143,10,10871,10345,526,1137,1068,69,5584,5307,277,139259,128716,10543,27151,25488,1663
100學年,臺中市,234,229,5,11427,11173,254,786,750,36,6955,6812,143,185941,181081,4860,35234,34477,757
100學年,臺南市,211,210,1,6928,6833,95,610,601,9,4337,4275,62,109942,108006,1936,20979,20713,266
100學年,高雄市,241,241,-,10307,10243,64,854,840,14,6300,6264,36,164392,163689,703,30884,30749,135
100學年,宜蘭縣,77,77,-,2145,2122,23,266,264,2,1280,1272,8,28357,28177,180,5482,5456,26
100學年,桃園縣,190,187,3,8769,8721,48,537,518,19,5450,5420,30,150294,149494,800,27403,27367,36
100學年,新竹縣,86,84,2,2561,2493,68,220,207,13,1557,1516,41,39036,37941,1095,6662,6570,92
100學年,苗栗縣,121,121,-,2792,2792,-,286,286,-,1667,1667,-,36091,36091,-,6353,6353,-
100學年,彰化縣,175,175,-,5386,5386,-,342,342,-,3330,3330,-,86180,86180,-,15942,15942,-
100學年,南投縣,149,147,2,2784,2731,53,219,197,22,1657,1619,38,32932,31847,1085,6272,6011,261
100學年,雲林縣,156,154,2,3333,3280,53,351,329,22,1982,1954,28,44939,44057,882,8272,8100,172
100學年,嘉義縣,125,125,-,2548,2548,-,276,276,-,1517,1517,-,30845,30845,-,5664,5664,-
100學年,屏東縣,168,168,-,3849,3849,-,359,359,-,2337,2337,-,51910,51910,-,9794,9794,-
100學年,臺東縣,92,91,1,1492,1481,11,203,201,2,838,833,5,14099,14031,68,2655,2620,35
100學年,花蓮縣,106,105,1,1884,1823,61,250,238,12,1065,1029,36,20510,19445,1065,3973,3816,157
100學年,澎湖縣,41,41,-,624,624,-,20,20,-,348,348,-,5151,5151,-,935,935,-
100學年,基隆市,43,42,1,1502,1448,54,148,143,5,881,856,25,22230,21366,864,4368,4227,141
100學年,新竹市,32,30,2,1905,1848,57,183,172,11,1159,1123,36,31822,30667,1155,5417,5251,166
100學年,嘉義市,20,20,-,1153,1153,-,72,72,-,708,708,-,20150,20150,-,3782,3782,-
100學年,金門縣,19,19,-,360,360,-,47,47,-,189,189,-,3953,3953,-,663,663,-
100學年,連江縣,8,8,-,98,98,-,5,5,-,52,52,-,488,488,-,89,89,-
99學年,總計,2661,2622,39,99562,97897,1665,7925,7639,286,58652,57739,913,1519746,1489022,30724,288408,283574,4834
99學年,臺北市,153,143,10,11001,10475,526,1169,1101,68,5756,5482,274,145930,135446,10484,29098,27436,1662
99學年,高雄市,88,88,-,5555,5512,43,460,453,7,3383,3359,24,96112,95590,522,18448,18352,96
99學年,臺北縣,210,204,6,16113,15800,313,868,826,42,8861,8686,175,248308,242036,6272,46172,45219,953
99學年,宜蘭縣,77,77,-,2183,2171,12,267,267,-,1287,1281,6,29728,29565,163,5972,5948,24
99學年,桃園縣,190,187,3,8807,8768,39,529,510,19,5468,5442,26,155449,154827,622,28685,28652,33
99學年,新竹縣,84,82,2,2559,2482,77,217,205,12,1545,1506,39,39718,38771,947,6891,6807,84
99學年,苗栗縣,121,121,-,2772,2772,-,239,239,-,1659,1659,-,37199,37199,-,6806,6806,-
99學年,臺中縣,166,165,1,6709,6656,53,469,459,10,4136,4109,27,112540,111683,857,21296,21145,151
99學年,彰化縣,175,175,-,5419,5419,-,309,309,-,3374,3374,-,90077,90077,-,16965,16965,-
99學年,南投縣,149,147,2,2829,2773,56,200,178,22,1682,1643,39,34556,33518,1038,6755,6483,272
99學年,雲林縣,158,156,2,3404,3350,54,354,330,24,2007,1979,28,47033,46138,895,8659,8521,138
99學年,嘉義縣,127,127,-,2578,2578,-,266,266,-,1542,1542,-,32416,32416,-,6256,6256,-
99學年,臺南縣,163,163,-,4337,4337,-,408,408,-,2633,2633,-,65352,65352,-,12696,12696,-
99學年,高雄縣,153,153,-,4892,4868,24,416,408,8,3017,3006,11,75662,75465,197,14719,14680,39
99學年,屏東縣,167,167,-,3916,3916,-,339,339,-,2384,2384,-,54701,54701,-,10805,10805,-
99學年,臺東縣,92,91,1,1542,1532,10,201,196,5,853,849,4,14875,14809,66,2893,2869,24
99學年,花蓮縣,107,105,2,1928,1871,57,244,232,12,1073,1040,33,21666,20628,1038,4160,3998,162
99學年,澎湖縣,41,41,-,626,626,-,19,19,-,349,349,-,5355,5355,-,989,989,-
99學年,基隆市,43,42,1,1539,1487,52,144,141,3,911,887,24,23613,22764,849,4633,4467,166
99學年,新竹市,32,30,2,1883,1822,61,166,156,10,1147,1113,34,32409,31285,1124,5574,5415,159
99學年,臺中市,69,64,5,4673,4477,196,286,257,29,2877,2768,109,81667,77876,3791,15673,15074,599
99學年,嘉義市,20,20,-,1170,1170,-,68,68,-,724,724,-,21127,21127,-,4050,4050,-
99學年,臺南市,49,47,2,2690,2598,92,233,218,15,1747,1687,60,49714,47855,1859,9491,9219,272
99學年,金門縣,19,19,-,341,341,-,47,47,-,186,186,-,4018,4018,-,638,638,-
99學年,連江縣,8,8,-,96,96,-,7,7,-,51,51,-,521,521,-,84,84,-
98學年,總計,2658,2621,37,99155,97557,1598,7681,7402,279,59478,58599,879,1593398,1563363,30035,314200,309428,4772
98學年,臺北市,153,143,10,11137,10632,505,1195,1125,70,5930,5661,269,154548,144190,10358,31400,29767,1633
98學年,高雄市,88,88,-,5628,5580,48,471,464,7,3449,3423,26,101011,100439,572,20093,20010,83
98學年,臺北縣,209,204,5,14716,14462,254,798,754,44,8987,8832,155,259493,253480,6013,50306,49292,1014
98學年,宜蘭縣,77,77,-,2200,2183,17,270,268,2,1302,1296,6,31371,31228,143,6527,6509,18
98學年,桃園縣,189,187,2,8862,8830,32,498,486,12,5512,5491,21,161716,161197,519,30828,30797,31
98學年,新竹縣,84,82,2,2555,2492,63,217,203,14,1530,1495,35,40583,39786,797,7586,7514,72
98學年,苗栗縣,121,121,-,2780,2780,-,211,211,-,1665,1665,-,38751,38751,-,7621,7621,-
98學年,臺中縣,166,165,1,6843,6788,55,477,467,10,4202,4175,27,117890,117074,816,23393,23217,176
98學年,彰化縣,175,175,-,5477,5477,-,298,298,-,3408,3408,-,94148,94148,-,18415,18415,-
98學年,南投縣,149,147,2,2897,2836,61,191,178,13,1704,1664,40,36518,35451,1067,7197,6906,291
98學年,雲林縣,158,156,2,3406,3352,54,304,285,19,2026,1998,28,49055,48153,902,9356,9203,153
98學年,嘉義縣,127,127,-,2618,2618,-,253,253,-,1564,1564,-,34266,34266,-,6483,6483,-
98學年,臺南縣,163,163,-,4441,4441,-,371,371,-,2674,2674,-,69090,69090,-,13964,13964,-
98學年,高雄縣,153,153,-,4960,4938,22,403,395,8,3059,3047,12,80000,79784,216,16205,16156,49
98學年,屏東縣,167,167,-,3983,3983,-,326,326,-,2443,2443,-,58065,58065,-,12044,12044,-
98學年,臺東縣,92,91,1,1582,1568,14,198,190,8,859,857,2,15686,15628,58,3056,3056,-
98學年,花蓮縣,107,105,2,1937,1879,58,244,232,12,1086,1054,32,22690,21683,1007,4653,4453,200
98學年,澎湖縣,41,41,-,642,642,-,20,20,-,352,352,-,5563,5563,-,1061,1061,-
98學年,基隆市,43,42,1,1570,1516,54,143,140,3,930,906,24,25252,24329,923,5058,4871,187
98學年,新竹市,32,30,2,1868,1797,71,162,153,9,1129,1095,34,32805,31698,1107,6164,6013,151
98學年,臺中市,68,63,5,4666,4467,199,277,244,33,2926,2816,110,86086,82387,3699,17054,16486,568
98學年,嘉義市,20,20,-,1196,1196,-,66,66,-,737,737,-,22162,22162,-,4320,4320,-
98學年,臺南市,49,47,2,2753,2662,91,233,218,15,1768,1710,58,52110,50272,1838,10602,10456,146
98學年,金門縣,19,19,-,338,338,-,47,47,-,184,184,-,4001,4001,-,710,710,-
98學年,連江縣,8,8,-,100,100,-,8,8,-,52,52,-,538,538,-,104,104,-
97學年,總計,2654,2617,37,100206,98641,1565,7489,7222,267,60630,59771,859,1677439,1647522,29917,318661,313977,4684
97學年,臺北市,153,143,10,11309,10815,494,1221,1156,65,6101,5831,270,163133,152880,10253,32233,30603,1630
97學年,高雄市,88,88,-,5744,5698,46,476,468,8,3541,3515,26,106324,105780,544,20499,20432,67
97學年,臺北縣,210,204,6,14849,14593,256,779,746,33,9201,9047,154,273037,266816,6221,51887,50830,1057
97學年,宜蘭縣,77,77,-,2238,2223,15,266,261,5,1320,1314,6,33260,33129,131,6542,6528,14
97學年,桃園縣,189,187,2,8897,8870,27,530,518,12,5582,5563,19,168854,168405,449,31070,31046,24
97學年,新竹縣,84,82,2,2508,2456,52,202,192,10,1541,1510,31,41915,41228,687,7436,7375,61
97學年,苗栗縣,120,120,-,2798,2798,-,154,154,-,1685,1685,-,40450,40450,-,7699,7699,-
97學年,臺中縣,166,165,1,6870,6815,55,472,462,10,4256,4228,28,124200,123314,886,23525,23359,166
97學年,彰化縣,175,175,-,5540,5540,-,243,243,-,3462,3462,-,98803,98803,-,18152,18152,-
97學年,南投縣,150,148,2,2934,2876,58,189,176,13,1725,1686,39,38326,37225,1101,7500,7217,283
97學年,雲林縣,158,156,2,3474,3417,57,275,255,20,2049,2024,25,51066,50252,814,9198,9093,105
97學年,嘉義縣,127,127,-,2645,2645,-,257,257,-,1575,1575,-,36099,36099,-,6543,6543,-
97學年,臺南縣,163,163,-,4530,4530,-,356,356,-,2767,2767,-,73461,73461,-,14076,14076,-
97學年,高雄縣,152,152,-,5066,5030,36,368,352,16,3122,3109,13,85180,84944,236,16270,16218,52
97學年,屏東縣,166,166,-,4033,4033,-,313,313,-,2497,2497,-,61910,61910,-,12204,12204,-
97學年,臺東縣,91,91,-,1553,1553,-,189,189,-,865,865,-,16313,16313,-,3106,3106,-
97學年,花蓮縣,107,105,2,1963,1905,58,247,234,13,1105,1074,31,23969,22882,1087,4732,4566,166
97學年,澎湖縣,41,41,-,616,616,-,12,12,-,351,351,-,5832,5832,-,1018,1018,-
97學年,基隆市,43,42,1,1644,1589,55,143,140,3,958,934,24,26877,25843,1034,5520,5343,177
97學年,新竹市,31,29,2,1867,1798,69,165,155,10,1153,1119,34,34300,33206,1094,6170,6019,151
97學年,臺中市,67,62,5,4734,4527,207,282,248,34,2973,2866,107,91083,87425,3658,17359,16765,594
97學年,嘉義市,20,20,-,1195,1195,-,62,62,-,754,754,-,23318,23318,-,4378,4378,-
97學年,臺南市,49,47,2,2780,2700,80,233,218,15,1810,1758,52,55190,53468,1722,10711,10574,137
97學年,金門縣,19,19,-,323,323,-,47,47,-,185,185,-,4006,4006,-,736,736,-
97學年,連江縣,8,8,-,96,96,-,8,8,-,52,52,-,533,533,-,97,97,-
""
