學年別,縣市別,校數總計,校數公立,校數私立,教師數總計,教師數公立,教師數私立,職員數總計,職員數公立,職員數私立,學生數總計,學生數公立,學生數私立,上學年畢業生數總計,上學年畢業生數公立,上學年畢業生數私立
106學年,總計,157,50,107,47412,19523,27889,31510,13929,17581,1273894,438229,835665,304649,106993,197656
106學年,新北市,20,2,18,4844,542,4302,3290,486,2804,151475,15536,135939,35252,3470,31782
106學年,臺北市,25,12,13,10654,6049,4605,8224,4732,3492,263668,120940,142728,61061,29169,31892
106學年,桃園市,12,2,10,3891,754,3137,2175,465,1710,102983,14388,88595,25836,3834,22002
106學年,臺中市,17,5,12,6286,1762,4524,3908,1242,2666,188641,47812,140829,44511,11684,32827
106學年,臺南市,15,4,11,4752,1753,2999,2182,764,1418,124447,30532,93915,29532,7686,21846
106學年,高雄市,19,7,12,5233,2033,3200,3720,1596,2124,144540,54213,90327,35025,13621,21404
106學年,宜蘭縣,4,1,3,604,233,371,422,168,254,13546,5511,8035,3097,1269,1828
106學年,新竹縣,2,-,2,482,-,482,253,-,253,15259,-,15259,3932,-,3932
106學年,苗栗縣,4,1,3,677,288,389,402,153,249,19806,7729,12077,4709,1806,2903
106學年,彰化縣,5,1,4,1225,373,852,858,261,597,35163,8235,26928,9175,2013,7162
106學年,南投縣,2,1,1,463,268,195,275,179,96,11578,6361,5217,2753,1434,1319
106學年,雲林縣,3,2,1,875,694,181,587,483,104,25198,19903,5295,6282,4998,1284
106學年,嘉義縣,4,1,3,982,542,440,709,357,352,24088,11512,12576,5875,2977,2898
106學年,屏東縣,5,2,3,1388,737,651,783,487,296,39787,20150,19637,9555,4683,4872
106學年,臺東縣,2,2,-,256,256,-,235,235,-,5860,5860,-,1430,1430,-
106學年,花蓮縣,5,1,4,999,492,507,793,328,465,18762,10154,8608,4287,2265,2022
106學年,澎湖縣,1,1,-,123,123,-,56,56,-,3008,3008,-,669,669,-
106學年,基隆市,3,1,2,654,414,240,426,248,178,15211,8652,6559,3566,2251,1315
106學年,新竹市,5,2,3,2164,1546,618,1723,1298,425,48359,30833,17526,12956,7846,5110
106學年,嘉義市,3,1,2,711,515,196,378,280,98,18014,12399,5615,4281,3023,1258
106學年,金門縣,1,1,-,149,149,-,111,111,-,4501,4501,-,865,865,-
106學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,158,51,107,48096,19557,28539,31088,13514,17574,1309441,437680,871761,309277,107164,202113
105學年,新北市,20,2,18,4975,529,4446,3256,444,2812,157674,15449,142225,35672,3558,32114
105學年,臺北市,25,12,13,10685,6045,4640,8030,4570,3460,267043,119768,147275,61481,29013,32468
105學年,桃園市,12,2,10,3984,747,3237,2177,460,1717,106343,14380,91963,26947,3813,23134
105學年,臺中市,17,5,12,6372,1761,4611,3882,1191,2691,191224,48183,143041,45230,11653,33577
105學年,臺南市,15,4,11,4822,1778,3044,2208,766,1442,128882,30471,98411,30562,7867,22695
105學年,高雄市,19,7,12,5313,2048,3265,3642,1570,2072,148244,54354,93890,34785,13612,21173
105學年,宜蘭縣,4,1,3,621,233,388,421,168,253,14458,5487,8971,3048,1350,1698
105學年,新竹縣,2,-,2,494,-,494,235,-,235,16395,-,16395,4164,-,4164
105學年,苗栗縣,4,1,3,708,292,416,413,148,265,20832,7875,12957,4742,1759,2983
105學年,彰化縣,5,1,4,1273,377,896,835,242,593,37422,8192,29230,9550,1999,7551
105學年,南投縣,2,1,1,464,266,198,284,185,99,12191,6353,5838,2713,1390,1323
105學年,雲林縣,3,2,1,882,700,182,564,468,96,25729,19843,5886,6595,5080,1515
105學年,嘉義縣,4,1,3,983,536,447,694,345,349,24448,11535,12913,6149,3029,3120
105學年,屏東縣,5,2,3,1422,739,683,785,470,315,41174,20220,20954,9751,4787,4964
105學年,臺東縣,2,2,-,249,249,-,217,217,-,5910,5910,-,1402,1402,-
105學年,花蓮縣,5,1,4,997,492,505,818,334,484,19426,10245,9181,4303,2250,2053
105學年,澎湖縣,1,1,-,123,123,-,56,56,-,3018,3018,-,731,731,-
105學年,基隆市,3,1,2,655,415,240,374,213,161,15741,8707,7034,3570,2258,1312
105學年,新竹市,6,3,3,2220,1563,657,1700,1271,429,50315,30630,19685,12906,7818,5088
105學年,嘉義市,3,1,2,709,519,190,388,287,101,18457,12545,5912,4126,2945,1181
105學年,金門縣,1,1,-,145,145,-,109,109,-,4515,4515,-,850,850,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,158,51,107,48696,19699,28997,30656,13192,17464,1332445,435888,896557,309849,107513,202336
104學年,新北市,20,2,18,5078,542,4536,3236,314,2922,161853,15249,146604,35788,3463,32325
104學年,臺北市,25,12,13,10848,6177,4671,7820,4459,3361,267363,118104,149259,60897,29055,31842
104學年,桃園市,12,2,10,4065,754,3311,2186,468,1718,109869,14323,95546,26565,3665,22900
104學年,臺中市,17,5,12,6331,1764,4567,3812,1166,2646,192593,48554,144039,45028,12012,33016
104學年,臺南市,15,4,11,4839,1743,3096,2203,777,1426,132736,30708,102028,31189,7860,23329
104學年,高雄市,19,7,12,5385,2046,3339,3596,1555,2041,149988,54285,95703,34297,13754,20543
104學年,宜蘭縣,4,1,3,635,239,396,376,154,222,14725,5488,9237,3222,1314,1908
104學年,新竹縣,2,-,2,524,-,524,241,-,241,17525,-,17525,3860,-,3860
104學年,苗栗縣,4,1,3,721,295,426,410,146,264,21352,7894,13458,5606,1809,3797
104學年,彰化縣,5,1,4,1299,381,918,820,231,589,38990,8124,30866,10135,2059,8076
104學年,南投縣,2,1,1,463,262,201,274,177,97,12458,6139,6319,2623,1377,1246
104學年,雲林縣,3,2,1,889,698,191,554,465,89,26340,19924,6416,6500,5093,1407
104學年,嘉義縣,4,1,3,1013,543,470,688,356,332,25071,11679,13392,6043,3102,2941
104學年,屏東縣,5,2,3,1459,741,718,845,468,377,42083,20201,21882,9735,4716,5019
104學年,臺東縣,2,2,-,254,254,-,203,203,-,5963,5963,-,1366,1366,-
104學年,花蓮縣,5,1,4,1041,509,532,803,338,465,19610,10174,9436,4535,2295,2240
