學年別,縣市別,校數總計,校數公立,校數私立,教師數總計,教師數公立,教師數私立,職員數總計,職員數公立,職員數私立,班級數總計,班級數公立,班級數私立,學生數總計,學生數公立,學生數私立,上學年畢業生數總計,上學年畢業生數公立,上學年畢業生數私立
102學年,總計,344,198,146,37842,23917,13925,6760,3728,3032,9975,7328,2647,393313,279512,113801,128831,88426,40405
102學年,新北市,42,24,18,5325,3586,1739,808,440,368,1147,794,353,45365,30850,14515,14241,9267,4974
102學年,臺北市,50,28,22,6122,4372,1750,1113,719,394,1831,1459,372,72892,56566,16326,23866,17772,6094
102學年,臺中市,39,18,21,5319,2325,2994,937,343,594,1044,668,376,44086,26846,17240,14386,8777,5609
102學年,臺南市,32,16,16,3208,1676,1532,632,299,333,882,554,328,34568,20864,13704,11966,6746,5220
102學年,高雄市,34,25,9,3863,3029,834,589,403,186,1157,947,210,44844,35532,9312,15024,11278,3746
102學年,宜蘭縣,6,4,2,499,340,159,142,68,74,212,180,32,8253,6974,1279,2623,2179,444
102學年,桃園縣,26,13,13,3261,1593,1668,553,227,326,844,596,248,36466,25178,11288,11833,7957,3876
102學年,新竹縣,8,4,4,829,479,350,158,80,78,196,115,81,8068,4422,3646,2414,1349,1065
102學年,苗栗縣,12,8,4,1012,725,287,205,134,71,230,170,60,8658,6417,2241,2873,1965,908
102學年,彰化縣,13,10,3,1526,1200,326,243,182,61,433,355,78,17014,13424,3590,5374,4159,1215
102學年,南投縣,9,5,4,730,574,156,152,107,45,181,151,30,6340,5449,891,2110,1791,319
102學年,雲林縣,13,5,8,995,565,430,211,91,120,275,173,102,10303,6255,4048,3336,1991,1345
102學年,嘉義縣,6,4,2,410,288,122,80,50,30,94,52,42,3233,1691,1542,1059,541,518
102學年,屏東縣,12,8,4,1094,872,222,167,121,46,317,274,43,11154,9674,1480,3693,3043,650
102學年,臺東縣,5,4,1,233,220,13,67,65,2,138,125,13,4436,3975,461,1488,1313,175
102學年,花蓮縣,8,5,3,569,295,274,139,73,66,211,114,97,7735,3377,4358,2428,1060,1368
102學年,澎湖縣,1,1,-,105,105,-,20,20,-,36,36,-,1104,1104,-,365,365,-
102學年,基隆市,8,6,2,821,572,249,153,100,53,182,160,22,6429,5566,863,2008,1778,230
102學年,新竹市,10,6,4,1219,739,480,223,122,101,306,216,90,12353,8304,4049,4143,2713,1430
102學年,嘉義市,8,2,6,601,261,340,132,48,84,217,147,70,8679,5711,2968,3167,1948,1219
102學年,金門縣,1,1,-,68,68,-,20,20,-,30,30,-,987,987,-,334,334,-
102學年,連江縣,1,1,-,33,33,-,16,16,-,12,12,-,346,346,-,100,100,-
101學年,總計,340,194,146,37159,23328,13831,6635,3624,3011,10110,7318,2792,402689,280224,122465,128502,88187,40315
101學年,新北市,40,23,17,5076,3431,1645,765,421,344,1133,771,362,45370,30119,15251,14336,9341,4995
101學年,臺北市,50,28,22,6141,4348,1793,1108,721,387,1878,1467,411,74994,56740,18254,24008,17777,6231
101學年,臺中市,39,18,21,5254,2337,2917,924,333,591,1045,668,377,44237,26891,17346,13651,8269,5382
101學年,臺南市,33,16,17,3232,1666,1566,640,292,348,919,566,353,36190,21075,15115,11735,6883,4852
101學年,高雄市,34,25,9,3845,3017,828,582,390,192,1186,949,237,46380,35640,10740,15359,11179,4180
101學年,宜蘭縣,6,4,2,502,345,157,148,70,78,212,179,33,8338,6992,1346,2644,2224,420
101學年,桃園縣,26,13,13,3189,1539,1650,537,222,315,847,591,256,37148,25371,11777,11801,7577,4224
101學年,新竹縣,8,4,4,838,477,361,163,81,82,197,115,82,8187,4403,3784,2355,1406,949
101學年,苗栗縣,10,6,4,926,631,295,186,114,72,226,164,62,8976,6311,2665,3027,1997,1030
101學年,彰化縣,12,9,3,1337,1012,325,221,165,56,421,341,80,16881,13175,3706,5167,4026,1141
101學年,南投縣,9,5,4,718,571,147,145,103,42,193,155,38,6637,5613,1024,2465,2070,395
101學年,雲林縣,13,5,8,988,552,436,207,91,116,275,171,104,10553,6303,4250,3224,2052,1172
101學年,嘉義縣,6,4,2,399,273,126,81,50,31,93,51,42,3297,1672,1625,1063,527,536
101學年,屏東縣,12,8,4,1082,853,229,164,119,45,323,274,49,11614,9779,1835,3517,3008,509
101學年,臺東縣,5,4,1,238,225,13,66,64,2,146,131,15,4748,4168,580,1530,1381,149
101學年,花蓮縣,8,5,3,560,291,269,140,67,73,212,114,98,7962,3432,4530,2589,1142,1447
101學年,澎湖縣,1,1,-,105,105,-,20,20,-,36,36,-,1128,1128,-,380,380,-
101學年,基隆市,8,6,2,824,570,254,150,94,56,186,165,21,6807,5938,869,2142,1871,271
101學年,新竹市,10,6,4,1204,724,480,217,121,96,313,218,95,12665,8309,4356,4180,2696,1484
101學年,嘉義市,8,2,6,600,260,340,136,51,85,227,150,77,9190,5778,3412,2906,1958,948
101學年,金門縣,1,1,-,69,69,-,20,20,-,30,30,-,1023,1023,-,320,320,-
101學年,連江縣,1,1,-,32,32,-,15,15,-,12,12,-,364,364,-,103,103,-
100學年,總計,336,191,145,36407,22683,13724,6607,3593,3014,10119,7281,2838,401958,277429,124529,128967,87447,41520
100學年,新北市,39,22,17,4949,3298,1651,764,412,352,1129,761,368,45262,29769,15493,14147,9167,4980
100學年,臺北市,50,28,22,6181,4364,1817,1112,719,393,1892,1470,422,75231,56404,18827,24310,17902,6408
100學年,臺中市,38,18,20,5090,2276,2814,919,334,585,1028,657,371,43193,26225,16968,14476,7961,6515
100學年,臺南市,33,16,17,3203,1651,1552,635,295,340,924,569,355,36482,21182,15300,11837,6964,4873
100學年,高雄市,34,25,9,3698,2874,824,588,392,196,1207,948,259,47081,35166,11915,15360,11263,4097
100學年,宜蘭縣,6,4,2,493,341,152,147,70,77,210,178,32,8253,6922,1331,2546,2253,293
100學年,桃園縣,25,12,13,3065,1408,1657,521,211,310,851,577,274,36966,24566,12400,11191,6552,4639
100學年,新竹縣,8,4,4,831,476,355,160,77,83,191,115,76,7862,4381,3481,2430,1485,945
100學年,苗栗縣,10,6,4,937,623,314,190,116,74,233,167,66,9305,6373,2932,3047,2127,920
100學年,彰化縣,12,9,3,1316,994,322,221,160,61,410,332,78,16333,12726,3607,5206,4139,1067
100學年,南投縣,9,5,4,684,540,144,139,103,36,199,161,38,6959,5872,1087,2327,2162,165
100學年,雲林縣,13,5,8,959,545,414,203,89,114,268,168,100,10255,6244,4011,3304,1957,1347
100學年,嘉義縣,6,4,2,384,265,119,82,51,31,90,50,40,3278,1642,1636,979,467,512
100學年,屏東縣,12,8,4,1071,842,229,166,122,44,316,268,48,11425,9624,1801,3504,3069,435
100學年,臺東縣,5,4,1,234,222,12,63,61,2,151,137,14,4846,4286,560,1521,1393,128
100學年,花蓮縣,8,5,3,539,270,269,141,67,74,209,111,98,8055,3521,4534,2521,1123,1398
100學年,澎湖縣,1,1,-,103,103,-,21,21,-,36,36,-,1139,1139,-,404,404,-
100學年,基隆市,7,5,2,780,515,265,140,87,53,183,162,21,6737,5902,835,2246,1932,314
100學年,新竹市,10,6,4,1194,712,482,220,122,98,320,219,101,12771,8284,4487,4298,2724,1574
