學年別,縣市別,校數總計,校數公立,校數私立,教師數總計,教師數公立,教師數私立,職員數總計,職員數公立,職員數私立,班級數總計,班級數公立,班級數私立,學生數總計,學生數公立,學生數私立,上學年畢業生數總計,上學年畢業生數公立,上學年畢業生數私立
106學年,總計,511,298,213,53943,36299,17644,10880,6662,4218,20831,12403,8428,745460,417647,327813,233642,127040,106602
106學年,新北市,62,31,31,7316,4663,2653,1290,615,675,2459,1344,1115,90161,46384,43777,27382,13242,14140
106學年,臺北市,69,35,34,7827,5651,2176,1545,997,548,2873,1899,974,103697,65966,37731,32782,20248,12534
106學年,桃園市,34,18,16,4388,2331,2057,789,396,393,2016,868,1148,79009,32038,46971,24721,9695,15026
106學年,臺中市,50,27,23,6840,3748,3092,1280,672,608,2619,1264,1355,100813,43885,56928,32587,13401,19186
106學年,臺南市,47,26,21,4393,2824,1569,1009,609,400,1705,1035,670,58857,33544,25313,19075,10558,8517
106學年,高雄市,54,34,20,5975,4238,1737,1077,689,388,2421,1425,996,86409,49000,37409,26874,15131,11743
106學年,宜蘭縣,12,10,2,1088,945,143,263,215,48,409,376,33,13311,11952,1359,4169,3780,389
106學年,新竹縣,10,5,5,930,550,380,175,92,83,388,170,218,14328,6167,8161,4312,1706,2606
106學年,苗栗縣,19,11,8,1439,1071,368,325,220,105,565,341,224,17758,11512,6246,5536,3484,2052
106學年,彰化縣,24,19,5,2851,2334,517,596,443,153,1132,860,272,40910,29642,11268,13123,9220,3903
106學年,南投縣,15,10,5,1267,1033,234,324,233,91,485,380,105,15243,11550,3693,4541,3431,1110
106學年,雲林縣,21,11,10,1618,1040,578,407,220,187,594,351,243,20310,11673,8637,6688,3799,2889
106學年,嘉義縣,10,5,5,720,409,311,165,82,83,290,120,170,10276,3749,6527,3031,1097,1934
106學年,屏東縣,19,13,6,1671,1387,284,347,267,80,653,471,182,20949,14573,6376,6392,4393,1999
106學年,臺東縣,10,7,3,600,493,107,169,118,51,228,180,48,6186,4656,1530,1691,1244,447
106學年,花蓮縣,13,9,4,924,650,274,232,167,65,371,254,117,10673,6702,3971,3292,1958,1334
106學年,澎湖縣,2,2,-,206,206,-,57,57,-,93,93,-,2622,2622,-,737,737,-
106學年,基隆市,12,8,4,1062,773,289,232,164,68,382,245,137,11746,6983,4763,3713,2200,1513
106學年,新竹市,12,8,4,1420,967,453,271,184,87,533,306,227,20454,11340,9114,6315,3523,2792
106學年,嘉義市,13,6,7,1215,793,422,262,157,105,532,338,194,19333,11294,8039,6082,3594,2488
106學年,金門縣,2,2,-,159,159,-,49,49,-,70,70,-,2111,2111,-,501,501,-
106學年,連江縣,1,1,-,34,34,-,16,16,-,13,13,-,304,304,-,98,98,-
105學年,總計,506,295,211,54575,36218,18357,10969,6613,4356,21272,12401,8871,776113,421008,355105,250172,137624,112548
105學年,新北市,61,30,31,7341,4561,2780,1318,626,692,2521,1335,1186,94332,46326,48006,29037,13813,15224
105學年,臺北市,69,35,34,8030,5701,2329,1549,1003,546,2972,1910,1062,108182,66477,41705,36587,23017,13570
105學年,桃園市,33,17,16,4297,2213,2084,795,369,426,2029,861,1168,81636,31841,49795,25917,10280,15637
105學年,臺中市,48,26,22,6831,3664,3167,1283,653,630,2676,1249,1427,105226,43546,61680,34682,14858,19824
105學年,臺南市,47,26,21,4450,2827,1623,1024,604,420,1762,1044,718,61815,34058,27757,20527,11469,9058
105學年,高雄市,53,34,19,6087,4295,1792,1079,670,409,2448,1426,1022,89805,49784,40021,29128,16194,12934
105學年,宜蘭縣,12,10,2,1084,935,149,269,218,51,414,381,33,13901,12491,1410,4475,4087,388
105學年,新竹縣,10,5,5,920,527,393,173,89,84,392,163,229,14678,5929,8749,4671,1737,2934
105學年,苗栗縣,19,11,8,1489,1095,394,321,219,102,586,340,246,18386,11594,6792,5843,3705,2138
105學年,彰化縣,24,19,5,2941,2382,559,591,440,151,1163,858,305,42546,29838,12708,13809,9611,4198
105學年,南投縣,15,10,5,1273,1032,241,329,228,101,487,380,107,15643,11701,3942,4936,3931,1005
105學年,雲林縣,21,11,10,1656,1050,606,410,222,188,608,354,254,21444,11834,9610,6801,3951,2850
105學年,嘉義縣,10,5,5,733,409,324,171,83,88,294,119,175,10462,3730,6732,3429,1225,2204
105學年,屏東縣,19,13,6,1707,1406,301,351,268,83,666,471,195,22018,14956,7062,6777,4722,2055
105學年,臺東縣,10,7,3,604,493,111,166,120,46,229,180,49,6388,4734,1654,1861,1443,418
105學年,花蓮縣,13,9,4,943,661,282,252,180,72,380,259,121,11284,6937,4347,3593,2198,1395
105學年,澎湖縣,2,2,-,216,216,-,54,54,-,94,94,-,2733,2733,-,793,793,-
105學年,基隆市,12,8,4,1107,793,314,227,159,68,396,251,145,12768,7457,5311,3802,2362,1440
105學年,新竹市,12,8,4,1434,967,467,274,184,90,537,304,233,20732,11276,9456,6356,3659,2697
105學年,嘉義市,13,6,7,1237,796,441,265,156,109,536,340,196,19698,11330,8368,6507,3928,2579
105學年,金門縣,2,2,-,162,162,-,52,52,-,70,70,-,2112,2112,-,557,557,-
105學年,連江縣,1,1,-,33,33,-,16,16,-,12,12,-,324,324,-,84,84,-
104學年,總計,506,295,211,55340,36540,18800,10969,6593,4376,21450,12403,9047,792290,428876,363414,272638,142448,130190
104學年,新北市,61,30,31,7440,4596,2844,1311,630,681,2545,1305,1240,95947,46028,49919,30985,13863,17122
104學年,臺北市,69,35,34,8222,5800,2422,1549,1001,548,3042,1945,1097,112341,69320,43021,39635,23425,16210
104學年,桃園市,33,17,16,4310,2198,2112,785,363,422,2019,855,1164,82475,32210,50265,27793,11014,16779
