學年別,縣市別,總計校數計,總計校數公立,總計校數私立,總計教師數計,總計教師數公立,總計教師數私立,總計職員數計,總計職員數公立,總計職員數私立,總計班級數計,總計班級數公立,總計班級數私立,總計學生數計,總計學生數公立,總計學生數私立,總計上學年畢業生數計,總計上學年畢業生數公立,總計上學年畢業生數私立,高中進修學校校數計,高中進修學校校數公立,高中進修學校校數私立,高中進修學校教師數計,高中進修學校教師數公立,高中進修學校教師數私立,高中進修學校職員數計,高中進修學校職員數公立,高中進修學校職員數私立,高中進修學校班級數計,高中進修學校班級數公立,高中進修學校班級數私立,高中進修學校學生數計,高中進修學校學生數公立,高中進修學校學生數私立,高中進修學校上學年畢業生數計,高中進修學校上學年畢業生數公立,高中進修學校上學年畢業生數私立,職業進修學校校數計,職業進修學校校數公立,職業進修學校校數私立,職業進修學校教師數計,職業進修學校教師數公立,職業進修學校教師數私立,職業進修學校職員數計,職業進修學校職員數公立,職業進修學校職員數私立,職業進修學校班級數計,職業進修學校班級數公立,職業進修學校班級數私立,職業進修學校學生數計,職業進修學校學生數公立,職業進修學校學生數私立,職業進修學校上學年畢業生數計,職業進修學校上學年畢業生數公立,職業進修學校上學年畢業生數私立
102學年,總計,223,113,110,1003,275,728,232,78,154,2248,988,1260,66909,25335,41574,22986,8075,14911,28,19,9,...,...,...,...,...,...,119,92,27,3062,2158,904,1128,652,476,202,96,106,...,...,...,...,...,...,2129,896,1233,63847,23177,40670,21858,7423,14435
102學年,新北市,31,16,15,129,14,115,41,8,33,307,121,186,9201,3221,5980,3182,1045,2137,10,10,-,...,...,...,...,...,...,42,42,-,987,987,-,343,343,-,21,6,15,...,...,...,...,...,...,265,79,186,8214,2234,5980,2839,702,2137
102學年,臺北市,24,6,18,279,118,161,69,23,46,270,52,218,8698,1794,6904,2988,475,2513,3,-,3,...,...,...,...,...,...,14,-,14,519,-,519,252,-,252,22,6,16,...,...,...,...,...,...,256,52,204,8179,1794,6385,2736,475,2261
102學年,臺中市,22,11,11,129,17,112,23,3,20,323,126,197,10971,3436,7535,3725,1169,2556,2,1,1,...,...,...,...,...,...,6,3,3,111,53,58,29,10,19,21,10,11,...,...,...,...,...,...,317,123,194,10860,3383,7477,3696,1159,2537
102學年,臺南市,23,13,10,43,34,9,12,8,4,163,98,65,3349,1704,1645,1178,583,595,2,1,1,...,...,...,...,...,...,15,12,3,297,205,92,97,67,30,21,12,9,...,...,...,...,...,...,148,86,62,3052,1499,1553,1081,516,565
102學年,高雄市,19,7,12,142,85,57,14,5,9,228,101,127,5865,2590,3275,1864,873,991,1,1,-,...,...,...,...,...,...,8,8,-,214,214,-,102,102,-,18,6,12,...,...,...,...,...,...,220,93,127,5651,2376,3275,1762,771,991
102學年,宜蘭縣,7,7,-,7,7,-,7,7,-,55,55,-,1214,1214,-,442,442,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,7,7,-,...,...,...,...,...,...,55,55,-,1214,1214,-,442,442,-
102學年,桃園縣,17,5,12,150,-,150,26,5,21,280,57,223,9956,1590,8366,3670,546,3124,2,-,2,...,...,...,...,...,...,3,-,3,122,-,122,120,-,120,17,5,12,...,...,...,...,...,...,277,57,220,9834,1590,8244,3550,546,3004
102學年,新竹縣,6,1,5,38,-,38,3,-,3,52,6,46,1724,201,1523,583,62,521,2,1,1,...,...,...,...,...,...,4,3,1,128,101,27,31,31,-,6,1,5,...,...,...,...,...,...,48,3,45,1596,100,1496,552,31,521
102學年,苗栗縣,7,2,5,11,-,11,5,1,4,58,15,43,1554,381,1173,497,107,390,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,7,2,5,...,...,...,...,...,...,58,15,43,1554,381,1173,497,107,390
102學年,彰化縣,15,12,3,19,-,19,14,7,7,157,134,23,4875,4118,757,1517,1160,357,1,1,-,...,...,...,...,...,...,6,6,-,286,286,-,-,-,-,14,11,3,...,...,...,...,...,...,151,128,23,4589,3832,757,1517,1160,357
102學年,南投縣,7,6,1,-,-,-,3,3,-,54,50,4,1333,1210,123,402,372,30,1,1,-,...,...,...,...,...,...,3,3,-,57,57,-,14,14,-,7,6,1,...,...,...,...,...,...,51,47,4,1276,1153,123,388,358,30
102學年,雲林縣,6,4,2,13,-,13,3,3,-,29,17,12,814,425,389,244,112,132,1,1,-,...,...,...,...,...,...,3,3,-,55,55,-,17,17,-,5,3,2,...,...,...,...,...,...,26,14,12,759,370,389,227,95,132
102學年,嘉義縣,3,1,2,2,-,2,-,-,-,12,6,6,359,132,227,88,37,51,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,3,1,2,...,...,...,...,...,...,12,6,6,359,132,227,88,37,51
102學年,屏東縣,8,3,5,16,-,16,3,-,3,60,25,35,1674,554,1120,612,176,436,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,8,3,5,...,...,...,...,...,...,60,25,35,1674,554,1120,612,176,436
102學年,臺東縣,4,4,-,-,-,-,-,-,-,20,20,-,416,416,-,136,136,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,4,4,-,...,...,...,...,...,...,20,20,-,416,416,-,136,136,-
102學年,花蓮縣,6,4,2,-,-,-,5,5,-,35,26,9,810,557,253,373,187,186,1,-,1,...,...,...,...,...,...,3,-,3,86,-,86,29,-,29,5,4,1,...,...,...,...,...,...,32,26,6,724,557,167,344,187,157
102學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-
102學年,基隆市,5,3,2,3,-,3,-,-,-,31,24,7,959,684,275,415,269,146,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,5,3,2,...,...,...,...,...,...,31,24,7,959,684,275,415,269,146
102學年,新竹市,6,3,3,16,-,16,2,-,2,66,18,48,2310,559,1751,812,159,653,1,1,-,...,...,...,...,...,...,3,3,-,48,48,-,19,19,-,5,2,3,...,...,...,...,...,...,63,15,48,2262,511,1751,793,140,653
102學年,嘉義市,6,4,2,6,-,6,2,-,2,45,34,11,764,486,278,258,165,93,1,1,-,...,...,...,...,...,...,9,9,-,152,152,-,75,49,26,5,3,2,...,...,...,...,...,...,36,25,11,612,334,278,183,116,67
102學年,金門縣,1,1,-,-,-,-,-,-,-,3,3,-,63,63,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,1,1,-,...,...,...,...,...,...,3,3,-,63,63,-,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-
101學年,總計,224,109,115,1047,221,826,256,74,182,2387,1018,1369,74698,27727,46971,25581,10067,15514,28,19,9,...,...,...,...,...,...,133,98,35,3498,2328,1170,1293,699,594,203,92,111,...,...,...,...,...,...,2254,920,1334,71200,25399,45801,24288,9368,14920
101學年,新北市,31,16,15,116,1,115,45,10,35,324,123,201,10124,3410,6714,3657,1194,2463,10,10,-,...,...,...,...,...,...,44,44,-,1030,1030,-,333,333,-,21,6,15,...,...,...,...,...,...,280,79,201,9094,2380,6714,3324,861,2463
101學年,臺北市,20,2,18,228,61,167,66,12,54,272,38,234,9317,1378,7939,3114,452,2662,3,-,3,...,...,...,...,...,...,19,-,19,663,-,663,297,-,297,18,2,16,...,...,...,...,...,...,253,38,215,8654,1378,7276,2817,452,2365
101學年,臺中市,23,11,12,159,27,132,28,4,24,355,138,217,12442,4127,8315,4531,1707,2824,2,1,1,...,...,...,...,...,...,6,3,3,109,45,64,28,-,28,22,10,12,...,...,...,...,...,...,349,135,214,12333,4082,8251,4503,1707,2796
101學年,臺南市,24,13,11,39,32,7,12,8,4,174,101,73,3844,1989,1855,1296,804,492,2,1,1,...,...,...,...,...,...,17,14,3,344,253,91,108,78,30,22,12,10,...,...,...,...,...,...,157,87,70,3500,1736,1764,1188,726,462
101學年,高雄市,19,7,12,144,90,54,21,7,14,228,106,122,6127,2879,3248,1948,1079,869,1,1,-,...,...,...,...,...,...,9,9,-,271,271,-,103,103,-,18,6,12,...,...,...,...,...,...,219,97,122,5856,2608,3248,1845,976,869
101學年,宜蘭縣,7,7,-,10,10,-,6,6,-,59,59,-,1604,1604,-,479,479,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,7,7,-,...,...,...,...,...,...,59,59,-,1604,1604,-,479,479,-
101學年,桃園縣,18,5,13,206,-,206,28,5,23,310,63,247,11552,1845,9707,3955,685,3270,2,-,2,...,...,...,...,...,...,6,-,6,230,-,230,210,-,210,18,5,13,...,...,...,...,...,...,304,63,241,11322,1845,9477,3745,685,3060
101學年,新竹縣,6,1,5,40,-,40,4,-,4,55,6,49,1927,214,1713,620,77,543,1,1,-,...,...,...,...,...,...,3,3,-,110,110,-,38,38,-,6,1,5,...,...,...,...,...,...,52,3,49,1817,104,1713,582,39,543
101學年,苗栗縣,7,2,5,14,-,14,4,1,3,61,15,46,1682,431,1251,508,164,344,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,7,2,5,...,...,...,...,...,...,61,15,46,1682,431,1251,508,164,344
101學年,彰化縣,15,12,3,28,-,28,21,11,10,166,136,30,5338,4229,1109,1842,1479,363,1,1,-,...,...,...,...,...,...,6,6,-,263,263,-,-,-,-,14,11,3,...,...,...,...,...,...,160,130,30,5075,3966,1109,1842,1479,363
101學年,南投縣,7,6,1,-,-,-,3,3,-,57,52,5,1456,1336,120,487,473,14,1,1,-,...,...,...,...,...,...,3,3,-,64,64,-,27,27,-,7,6,1,...,...,...,...,...,...,54,49,5,1392,1272,120,460,446,14
101學年,雲林縣,7,4,3,11,-,11,3,3,-,33,20,13,892,450,442,321,171,150,1,1,-,...,...,...,...,...,...,3,3,-,54,54,-,22,22,-,6,3,3,...,...,...,...,...,...,30,17,13,838,396,442,299,149,150
101學年,嘉義縣,3,1,2,6,-,6,-,-,-,12,6,6,347,127,220,125,40,85,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,3,1,2,...,...,...,...,...,...,12,6,6,347,127,220,125,40,85
101學年,屏東縣,8,3,5,16,-,16,4,-,4,62,25,37,1907,601,1306,568,189,379,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,8,3,5,...,...,...,...,...,...,62,25,37,1907,601,1306,568,189,379
101學年,臺東縣,4,4,-,-,-,-,-,-,-,21,21,-,455,455,-,96,96,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,4,4,-,...,...,...,...,...,...,21,21,-,455,455,-,96,96,-
101學年,花蓮縣,7,4,3,2,-,2,8,4,4,41,28,13,985,629,356,395,199,196,1,-,1,...,...,...,...,...,...,3,-,3,89,-,89,29,-,29,6,4,2,...,...,...,...,...,...,38,28,10,896,629,267,366,199,167
101學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-
101學年,基隆市,5,3,2,3,-,3,-,-,-,36,26,10,1215,848,367,532,384,148,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,5,3,2,...,...,...,...,...,...,36,26,10,1215,848,367,532,384,148
101學年,新竹市,6,3,3,17,-,17,3,-,3,72,19,53,2600,599,2001,858,232,626,1,1,-,...,...,...,...,...,...,4,4,-,85,85,-,51,51,-,5,2,3,...,...,...,...,...,...,68,15,53,2515,514,2001,807,181,626
101學年,嘉義市,6,4,2,8,-,8,-,-,-,47,34,13,828,520,308,249,163,86,2,1,1,...,...,...,...,...,...,10,9,1,186,153,33,47,47,-,5,3,2,...,...,...,...,...,...,37,25,12,642,367,275,202,116,86
101學年,金門縣,1,1,-,-,-,-,-,-,-,2,2,-,56,56,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,1,1,-,...,...,...,...,...,...,2,2,-,56,56,-,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-
100學年,總計,225,108,117,1107,223,884,256,76,180,2515,1054,1461,82763,31700,51063,28050,10730,17320,30,19,11,...,...,...,...,...,...,137,98,39,3916,2516,1400,1449,735,714,203,91,112,...,...,...,...,...,...,2378,956,1422,78847,29184,49663,26601,9995,16606
100學年,新北市,31,16,15,124,3,121,46,10,36,348,124,224,11605,3647,7958,4004,1184,2820,10,10,-,...,...,...,...,...,...,43,43,-,1080,1080,-,325,325,-,21,6,15,...,...,...,...,...,...,305,81,224,10525,2567,7958,3679,859,2820
100學年,臺北市,20,2,18,234,60,174,66,13,53,284,40,244,9749,1451,8298,3275,435,2840,4,-,4,...,...,...,...,...,...,18,-,18,669,-,669,308,-,308,18,2,16,...,...,...,...,...,...,266,40,226,9080,1451,7629,2967,435,2532
100學年,臺中市,23,11,12,164,34,130,23,3,20,379,146,233,13880,4979,8901,4792,1771,3021,2,1,1,...,...,...,...,...,...,5,2,3,105,30,75,27,-,27,22,10,12,...,...,...,...,...,...,374,144,230,13775,4949,8826,4765,1771,2994
100學年,臺南市,25,13,12,36,29,7,12,8,4,179,106,73,4264,2366,1898,1463,842,621,2,1,1,...,...,...,...,...,...,18,15,3,342,250,92,149,117,32,23,12,11,...,...,...,...,...,...,161,91,70,3922,2116,1806,1314,725,589
100學年,高雄市,19,7,12,145,86,59,22,9,13,228,112,116,6569,3351,3218,2311,1299,1012,1,1,-,...,...,...,...,...,...,9,9,-,329,329,-,116,116,-,18,6,12,...,...,...,...,...,...,219,103,116,6240,3022,3218,2195,1183,1012
100學年,宜蘭縣,6,6,-,11,11,-,6,6,-,60,60,-,1884,1884,-,516,516,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,6,6,-,...,...,...,...,...,...,60,60,-,1884,1884,-,516,516,-
100學年,桃園縣,19,5,14,231,-,231,32,5,27,331,64,267,13041,2206,10835,4266,738,3528,3,-,3,...,...,...,...,...,...,11,-,11,447,-,447,231,-,231,18,5,13,...,...,...,...,...,...,320,64,256,12594,2206,10388,4035,738,3297
100學年,新竹縣,6,1,5,52,-,52,4,-,4,59,6,53,2082,230,1852,812,74,738,1,1,-,...,...,...,...,...,...,3,3,-,113,113,-,128,34,94,6,1,5,...,...,...,...,...,...,56,3,53,1969,117,1852,684,40,644
100學年,苗栗縣,7,2,5,14,-,14,4,1,3,65,15,50,1750,452,1298,597,174,423,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,7,2,5,...,...,...,...,...,...,65,15,50,1750,452,1298,597,174,423
100學年,彰化縣,15,12,3,36,-,36,22,11,11,175,140,35,5838,4680,1158,2006,1515,491,1,1,-,...,...,...,...,...,...,6,6,-,308,308,-,-,-,-,14,11,3,...,...,...,...,...,...,169,134,35,5530,4372,1158,2006,1515,491
100學年,南投縣,7,6,1,-,-,-,3,3,-,58,55,3,1618,1536,82,586,555,31,1,1,-,...,...,...,...,...,...,3,3,-,77,77,-,26,26,-,7,6,1,...,...,...,...,...,...,55,52,3,1541,1459,82,560,529,31
100學年,雲林縣,7,4,3,10,-,10,3,3,-,35,21,14,1011,538,473,363,188,175,1,1,-,...,...,...,...,...,...,3,3,-,61,61,-,17,17,-,6,3,3,...,...,...,...,...,...,32,18,14,950,477,473,346,171,175
100學年,嘉義縣,3,1,2,2,-,2,-,-,-,13,6,7,353,137,216,82,58,24,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,3,1,2,...,...,...,...,...,...,13,6,7,353,137,216,82,58,24
100學年,屏東縣,8,3,5,16,-,16,3,-,3,66,25,41,2120,678,1442,638,256,382,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,8,3,5,...,...,...,...,...,...,66,25,41,2120,678,1442,638,256,382
100學年,臺東縣,4,4,-,-,-,-,-,-,-,21,21,-,475,475,-,125,125,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,4,4,-,...,...,...,...,...,...,21,21,-,475,475,-,125,125,-
100學年,花蓮縣,7,4,3,2,-,2,7,4,3,48,31,17,1320,793,527,406,256,150,1,-,1,...,...,...,...,...,...,3,-,3,88,-,88,22,-,22,6,4,2,...,...,...,...,...,...,45,31,14,1232,793,439,384,256,128
100學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-
100學年,基隆市,5,3,2,3,-,3,-,-,-,43,29,14,1559,1046,513,541,346,195,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,5,3,2,...,...,...,...,...,...,43,29,14,1559,1046,513,541,346,195
100學年,新竹市,6,3,3,18,-,18,3,-,3,79,20,59,2792,683,2109,958,211,747,1,1,-,...,...,...,...,...,...,5,5,-,119,119,-,40,40,-,5,2,3,...,...,...,...,...,...,74,15,59,2673,564,2109,918,171,747
100學年,嘉義市,6,4,2,9,-,9,-,-,-,43,32,11,819,534,285,309,187,122,2,1,1,...,...,...,...,...,...,10,9,1,178,149,29,60,60,-,5,3,2,...,...,...,...,...,...,33,23,10,641,385,256,249,127,122
100學年,金門縣,1,1,-,-,-,-,-,-,-,1,1,-,34,34,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,1,1,-,...,...,...,...,...,...,1,1,-,34,34,-,-,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-
99學年,總計,223,106,117,1170,223,947,265,75,190,2595,1078,1517,87494,34002,53492,28846,11069,17777,31,19,12,...,...,...,...,...,...,146,98,48,4235,2565,1670,1287,760,527,202,90,112,...,...,...,...,...,...,2449,980,1469,83259,31437,51822,27559,10309,17250
99學年,臺北市,20,2,18,248,60,188,77,16,61,293,41,252,10567,1573,8994,3435,518,2917,4,-,4,...,...,...,...,...,...,22,-,22,742,-,742,299,-,299,18,2,16,...,...,...,...,...,...,271,41,230,9825,1573,8252,3136,518,2618
99學年,高雄市,11,5,6,126,84,42,20,9,11,160,83,77,4674,2575,2099,1776,955,821,1,1,-,...,...,...,...,...,...,9,9,-,335,335,-,106,106,-,10,4,6,...,...,...,...,...,...,151,74,77,4339,2240,2099,1670,849,821
99學年,臺北縣,31,16,15,136,-,136,43,6,37,363,122,241,12449,3772,8677,4151,1139,3012,10,10,-,...,...,...,...,...,...,43,43,-,1112,1112,-,335,335,-,21,6,15,...,...,...,...,...,...,320,79,241,11337,2660,8677,3816,804,3012
99學年,宜蘭縣,6,6,-,13,13,-,6,6,-,63,63,-,2025,2025,-,590,590,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,6,6,-,...,...,...,...,...,...,63,63,-,2025,2025,-,590,590,-
99學年,桃園縣,19,5,14,240,-,240,32,6,26,337,64,273,13377,2229,11148,4489,817,3672,3,-,3,...,...,...,...,...,...,13,-,13,565,-,565,139,-,139,18,5,13,...,...,...,...,...,...,324,64,260,12812,2229,10583,4350,817,3533
99學年,新竹縣,6,1,5,50,-,50,3,-,3,65,6,59,2260,227,2033,839,77,762,2,1,1,...,...,...,...,...,...,6,3,3,207,112,95,37,37,-,6,1,5,...,...,...,...,...,...,59,3,56,2053,115,1938,802,40,762
99學年,苗栗縣,7,2,5,16,-,16,4,1,3,66,15,51,1747,503,1244,670,150,520,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,7,2,5,...,...,...,...,...,...,66,15,51,1747,503,1244,670,150,520
99學年,臺中縣,14,6,8,96,-,96,11,-,11,206,68,138,7519,2305,5214,2273,702,1571,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,14,6,8,...,...,...,...,...,...,206,68,138,7519,2305,5214,2273,702,1571
99學年,彰化縣,15,12,3,46,-,46,20,9,11,185,147,38,6362,5013,1349,2094,1560,534,1,1,-,...,...,...,...,...,...,6,6,-,250,250,-,-,-,-,14,11,3,...,...,...,...,...,...,179,141,38,6112,4763,1349,2094,1560,534
99學年,南投縣,7,6,1,-,-,-,3,3,-,58,55,3,1824,1728,96,588,552,36,1,1,-,...,...,...,...,...,...,3,3,-,92,92,-,35,35,-,7,6,1,...,...,...,...,...,...,55,52,3,1732,1636,96,553,517,36
99學年,雲林縣,7,4,3,9,-,9,3,3,-,37,22,15,1061,590,471,347,189,158,1,1,-,...,...,...,...,...,...,3,3,-,62,62,-,23,23,-,6,3,3,...,...,...,...,...,...,34,19,15,999,528,471,324,166,158
99學年,嘉義縣,3,1,2,2,-,2,-,-,-,12,6,6,340,156,184,65,47,18,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,3,1,2,...,...,...,...,...,...,12,6,6,340,156,184,65,47,18
