學年別,縣市別,校數總計,校數公立,校數私立,教師數總計,教師數公立,教師數私立,職員數總計,職員數公立,職員數私立,班級數總計,班級數公立,班級數私立,學生數總計,學生數公立,學生數私立,上學年畢業生數總計,上學年畢業生數公立,上學年畢業生數私立
102學年,總計,155,92,63,17045,11986,5059,4063,2608,1455,8881,3703,5178,360206,135447,224759,111933,41318,70615
102學年,新北市,16,5,11,1850,829,1021,443,166,277,1057,289,768,44726,10722,34004,13721,3199,10522
102學年,臺北市,17,7,10,2125,1400,725,441,255,186,1100,465,635,44166,16917,27249,14031,5304,8727
102學年,臺中市,9,8,1,1372,1290,82,304,273,31,1254,397,857,56207,15127,41080,16936,4769,12167
102學年,臺南市,16,10,6,1508,1157,351,383,277,106,708,336,372,26718,11951,14767,8182,3585,4597
102學年,高雄市,18,8,10,2316,1237,1079,513,244,269,1051,363,688,42723,13950,28773,13705,4366,9339
102學年,宜蘭縣,5,5,-,585,585,-,133,133,-,144,144,-,5356,5356,-,1648,1648,-
102學年,桃園縣,7,4,3,838,516,322,200,108,92,801,184,617,36175,7147,29028,10842,1917,8925
102學年,新竹縣,1,-,1,63,-,63,14,-,14,142,30,112,5553,1005,4548,2006,310,1696
102學年,苗栗縣,7,3,4,473,313,160,139,83,56,247,128,119,8976,4815,4161,2769,1409,1360
102學年,彰化縣,11,9,2,1381,1126,255,336,239,97,536,311,225,22435,11948,10487,7414,3778,3636
102學年,南投縣,6,5,1,591,486,105,142,114,28,233,174,59,8471,6059,2412,2435,1824,611
102學年,雲林縣,7,5,2,682,475,207,171,120,51,273,148,125,10198,5450,4748,2981,1691,1290
102學年,嘉義縣,4,1,3,350,108,242,104,29,75,146,53,93,5904,1895,4009,1995,582,1413
102學年,屏東縣,8,5,3,672,549,123,188,137,51,290,151,139,10519,5284,5235,3266,1579,1687
102學年,臺東縣,4,3,1,348,280,68,84,55,29,71,43,28,1982,1032,950,545,287,258
102學年,花蓮縣,5,4,1,425,380,45,121,94,27,147,120,27,4497,3768,729,1425,1171,254
102學年,澎湖縣,1,1,-,112,112,-,37,37,-,56,56,-,1749,1749,-,480,480,-
102學年,基隆市,4,2,2,370,285,85,80,57,23,197,82,115,7217,2922,4295,2613,943,1670
