學年別,縣市別,總計學生數計,總計學生數男,總計學生數女,總計1年級計,總計1年級男,總計1年級女,總計2年級計,總計2年級男,總計2年級女,總計3年級計,總計3年級男,總計3年級女,總計延修生計,總計延修生男,總計延修生女,總計上學年畢業生數計,總計上學年畢業生數男,總計上學年畢業生數女,國立學生數計,國立學生數男,國立學生數女,國立1年級計,國立1年級男,國立1年級女,國立2年級計,國立2年級男,國立2年級女,國立3年級計,國立3年級男,國立3年級女,國立延修生計,國立延修生男,國立延修生女,國立上學年畢業生數計,國立上學年畢業生數男,國立上學年畢業生數女,直轄市立學生數計,直轄市立學生數男,直轄市立學生數女,直轄市立1年級計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級計,直轄市立3年級男,直轄市立3年級女,直轄市立延修生計,直轄市立延修生男,直轄市立延修生女,直轄市立上學年畢業生數計,直轄市立上學年畢業生數男,直轄市立上學年畢業生數女,縣市立學生數計,縣市立學生數男,縣市立學生數女,縣市立1年級計,縣市立1年級男,縣市立1年級女,縣市立2年級計,縣市立2年級男,縣市立2年級女,縣市立3年級計,縣市立3年級男,縣市立3年級女,縣市立延修生計,縣市立延修生男,縣市立延修生女,縣市立上學年畢業生數計,縣市立上學年畢業生數男,縣市立上學年畢業生數女,私立學生數計,私立學生數男,私立學生數女,私立1年級計,私立1年級男,私立1年級女,私立2年級計,私立2年級男,私立2年級女,私立3年級計,私立3年級男,私立3年級女,私立延修生計,私立延修生男,私立延修生女,私立上學年畢業生數計,私立上學年畢業生數男,私立上學年畢業生數女
106學年,總計,41605,24544,17061,13576,8389,5187,13768,8001,5767,14261,8154,6107,-,-,-,14549,8345,6204,9698,6183,3515,3714,2523,1191,2973,1856,1117,3011,1804,1207,-,-,-,2911,1762,1149,6240,4067,2173,2256,1552,704,2044,1311,733,1940,1204,736,-,-,-,1980,1184,796,297,174,123,145,92,53,114,69,45,38,13,25,-,-,-,26,14,12,25370,14120,11250,7461,4222,3239,8637,4765,3872,9272,5133,4139,-,-,-,9632,5385,4247
106學年,新北市,5336,2858,2478,1764,991,773,1806,929,877,1766,938,828,-,-,-,1897,978,919,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2289,1432,857,804,526,278,775,477,298,710,429,281,-,-,-,758,442,316,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3047,1426,1621,960,465,495,1031,452,579,1056,509,547,-,-,-,1139,536,603
106學年,臺北市,5448,2728,2720,1435,702,733,1886,946,940,2127,1080,1047,-,-,-,2246,1161,1085,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1196,805,391,428,305,123,384,251,133,384,249,135,-,-,-,463,298,165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4252,1923,2329,1007,397,610,1502,695,807,1743,831,912,-,-,-,1783,863,920
106學年,桃園市,5965,3773,2192,1828,1236,592,1969,1204,765,2168,1333,835,-,-,-,2238,1419,819,873,661,212,382,319,63,255,173,82,236,169,67,-,-,-,305,201,104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5092,3112,1980,1446,917,529,1714,1031,683,1932,1164,768,-,-,-,1933,1218,715
106學年,臺中市,6211,3952,2259,2021,1333,688,2070,1299,771,2120,1320,800,-,-,-,2248,1335,913,367,192,175,124,64,60,121,66,55,122,62,60,-,-,-,149,76,73,1825,1297,528,690,522,168,592,417,175,543,358,185,-,-,-,442,277,165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4019,2463,1556,1207,747,460,1357,816,541,1455,900,555,-,-,-,1657,982,675
106學年,臺南市,2540,1518,1022,890,536,354,833,493,340,817,489,328,-,-,-,811,466,345,1089,671,418,407,264,143,327,209,118,355,198,157,-,-,-,293,168,125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1451,847,604,483,272,211,506,284,222,462,291,171,-,-,-,518,298,220
106學年,高雄市,3556,1983,1573,1207,719,488,1111,607,504,1238,657,581,-,-,-,1266,696,570,574,313,261,236,145,91,170,79,91,168,89,79,-,-,-,168,101,67,930,533,397,334,199,135,293,166,127,303,168,135,-,-,-,317,167,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2052,1137,915,637,375,262,648,362,286,767,400,367,-,-,-,781,428,353
106學年,宜蘭縣,529,314,215,225,144,81,152,87,65,152,83,69,-,-,-,155,89,66,515,312,203,225,144,81,152,87,65,138,81,57,-,-,-,155,89,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,2,12,-,-,-,-,-,-,14,2,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,新竹縣,1241,774,467,347,215,132,461,303,158,433,256,177,-,-,-,399,236,163,146,77,69,58,31,27,43,26,17,45,20,25,-,-,-,43,17,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1095,697,398,289,184,105,418,277,141,388,236,152,-,-,-,356,219,137
106學年,苗栗縣,934,458,476,320,157,163,289,134,155,325,167,158,-,-,-,374,191,183,231,99,132,97,45,52,65,22,43,69,32,37,-,-,-,77,29,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,703,359,344,223,112,111,224,112,112,256,135,121,-,-,-,297,162,135
