學年別,年齡別,總計計,總計男,總計女,1年級計,1年級男,1年級女,2年級計,2年級男,2年級女,3年級計,3年級男,3年級女,延修生計,延修生男,延修生女
106學年,總計,41605,24544,17061,13576,8389,5187,13768,8001,5767,14261,8154,6107,-,-,-
106學年,未滿14歲,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-
106學年,14至未滿15歲,96,70,26,96,70,26,-,-,-,-,-,-,-,-,-
106學年,15至未滿16歲,5782,3658,2124,5725,3638,2087,37,14,23,20,6,14,-,-,-
106學年,16至未滿17歲,9211,5747,3464,2682,1773,909,6443,3943,2500,86,31,55,-,-,-
106學年,17至未滿18歲,11349,6947,4402,1433,966,467,2785,1749,1036,7131,4232,2899,-,-,-
106學年,18至未滿19歲,4367,2700,1667,670,433,237,1232,746,486,2465,1521,944,-,-,-
106學年,19至未滿20歲,2310,1395,915,434,282,152,628,377,251,1248,736,512,-,-,-
106學年,20至未滿21歲,1453,847,606,332,211,121,425,234,191,696,402,294,-,-,-
106學年,21至未滿22歲,868,530,338,190,130,60,276,163,113,402,237,165,-,-,-
106學年,22歲以上,6168,2649,3519,2013,885,1128,1942,775,1167,2213,989,1224,-,-,-
105學年,總計,47321,27919,19402,16418,9997,6421,15464,8996,6468,15439,8926,6513,-,-,-
105學年,未滿14歲,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-
105學年,14至未滿15歲,55,26,29,55,26,29,-,-,-,-,-,-,-,-,-
105學年,15至未滿16歲,8162,5087,3075,8083,5051,3032,79,36,43,-,-,-,-,-,-
105學年,16至未滿17歲,10614,6481,4133,2813,1867,946,7730,4575,3155,71,39,32,-,-,-
105學年,17至未滿18歲,11106,6766,4340,1355,910,445,2530,1607,923,7221,4249,2972,-,-,-
105學年,18至未滿19歲,5014,3176,1838,763,498,265,1422,879,543,2829,1799,1030,-,-,-
105學年,19至未滿20歲,2921,1810,1111,541,335,206,821,486,335,1559,989,570,-,-,-
105學年,20至未滿21歲,1643,1023,620,377,246,131,457,281,176,809,496,313,-,-,-
105學年,21至未滿22歲,898,516,382,227,140,87,248,143,105,423,233,190,-,-,-
105學年,22歲以上,6907,3034,3873,2203,924,1279,2177,989,1188,2527,1121,1406,-,-,-
104學年,總計,52349,30997,21352,17861,10875,6986,16919,9932,6987,17569,10190,7379,-,-,-
104學年,未滿14歲,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,14至未滿15歲,39,22,17,39,22,17,-,-,-,-,-,-,-,-,-
104學年,15至未滿16歲,8653,5332,3321,8626,5316,3310,26,15,11,1,1,-,-,-,-
104學年,16至未滿17歲,10349,6371,3978,3072,2042,1030,7247,4308,2939,30,21,9,-,-,-
104學年,17至未滿18歲,12986,7852,5134,1670,1096,574,3446,2143,1303,7870,4613,3257,-,-,-
104學年,18至未滿19歲,6855,4262,2593,968,623,345,1946,1276,670,3941,2363,1578,-,-,-
104學年,19至未滿20歲,3605,2309,1296,586,367,219,1036,657,379,1983,1285,698,-,-,-
104學年,20至未滿21歲,1760,1053,707,358,221,137,503,291,212,899,541,358,-,-,-
104學年,21至未滿22歲,961,552,409,215,127,88,337,194,143,409,231,178,-,-,-
104學年,22歲以上,7141,3244,3897,2327,1061,1266,2378,1048,1330,2436,1135,1301,-,-,-
103學年,總計,58933,34787,24146,19657,12020,7637,19271,11353,7918,20005,11414,8591,-,-,-
103學年,未滿14歲,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-
103學年,14至未滿15歲,40,24,16,39,23,16,1,1,-,-,-,-,-,-,-
103學年,15至未滿16歲,9326,5801,3525,9278,5770,3508,37,23,14,11,8,3,-,-,-
103學年,16至未滿17歲,12440,7572,4868,3359,2213,1146,9060,5345,3715,21,14,7,-,-,-
103學年,17至未滿18歲,15877,9471,6406,1966,1319,647,3966,2467,1499,9945,5685,4260,-,-,-
103學年,18至未滿19歲,7168,4491,2677,1125,732,393,2049,1335,714,3994,2424,1570,-,-,-
103學年,19至未滿20歲,3470,2151,1319,610,369,241,968,600,368,1892,1182,710,-,-,-
103學年,20至未滿21歲,1750,1059,691,425,274,151,470,274,196,855,511,344,-,-,-
103學年,21至未滿22歲,1055,638,417,284,172,112,323,204,119,448,262,186,-,-,-
103學年,22歲以上,7806,3579,4227,2570,1147,1423,2397,1104,1293,2839,1328,1511,-,-,-
102學年,總計,66909,39294,27615,22329,13726,8603,21874,12633,9241,22681,12919,9762,25,16,9
102學年,未滿14歲,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-
102學年,14至未滿15歲,38,21,17,38,21,17,-,-,-,-,-,-,-,-,-
102學年,15至未滿16歲,10737,6592,4145,10710,6578,4132,27,14,13,-,-,-,-,-,-
102學年,16至未滿17歲,15190,9038,6152,4175,2740,1435,10903,6245,4658,112,53,59,-,-,-
102學年,17至未滿18歲,18222,10961,7261,2290,1571,719,4185,2568,1617,11747,6822,4925,-,-,-
102學年,18至未滿19歲,7176,4511,2665,1120,753,367,2105,1367,738,3951,2391,1560,-,-,-
102學年,19至未滿20歲,3443,2146,1297,607,375,232,962,590,372,1864,1174,690,10,7,3
102學年,20至未滿21歲,1958,1179,779,440,290,150,511,292,219,998,589,409,9,8,1
