學年別,縣市別,總計計,總計1年級,總計2年級,總計3年級,國立計,國立1年級,國立2年級,國立3年級,直轄市立計,直轄市立1年級,直轄市立2年級,直轄市立3年級,縣市立計,縣市立1年級,縣市立2年級,縣市立3年級,私立計,私立1年級,私立2年級,私立3年級
106學年,總計,1650,517,557,576,499,159,168,172,287,90,97,100,14,5,5,4,850,263,287,300
106學年,新北市,204,62,68,74,-,-,-,-,104,31,36,37,-,-,-,-,100,31,32,37
106學年,臺北市,181,51,62,68,-,-,-,-,47,14,16,17,-,-,-,-,134,37,46,51
106學年,桃園市,196,61,66,69,42,14,14,14,-,-,-,-,-,-,-,-,154,47,52,55
106學年,臺中市,237,77,80,80,18,6,6,6,84,28,28,28,-,-,-,-,135,43,46,46
106學年,臺南市,127,40,44,43,74,23,25,26,-,-,-,-,-,-,-,-,53,17,19,17
106學年,高雄市,172,58,56,58,31,10,10,11,52,17,17,18,-,-,-,-,89,31,29,29
106學年,宜蘭縣,31,10,10,11,30,10,10,10,-,-,-,-,1,-,-,1,-,-,-,-
106學年,新竹縣,39,11,14,14,6,2,2,2,-,-,-,-,-,-,-,-,33,9,12,12
106學年,苗栗縣,43,13,15,15,15,5,5,5,-,-,-,-,-,-,-,-,28,8,10,10
106學年,彰化縣,131,44,44,43,108,34,37,37,-,-,-,-,10,4,4,2,13,6,3,4
106學年,南投縣,38,12,12,14,37,12,12,13,-,-,-,-,-,-,-,-,1,-,-,1
106學年,雲林縣,22,7,8,7,9,3,3,3,-,-,-,-,-,-,-,-,13,4,5,4
106學年,嘉義縣,16,6,5,5,6,2,2,2,-,-,-,-,-,-,-,-,10,4,3,3
106學年,屏東縣,52,18,18,16,25,9,9,7,-,-,-,-,-,-,-,-,27,9,9,9
106學年,臺東縣,15,4,5,6,15,4,5,6,-,-,-,-,-,-,-,-,-,-,-,-
106學年,花蓮縣,32,9,11,12,23,6,8,9,-,-,-,-,-,-,-,-,9,3,3,3
106學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106學年,基隆市,21,6,7,8,17,5,6,6,-,-,-,-,-,-,-,-,4,1,1,2
106學年,新竹市,56,16,20,20,15,5,5,5,-,-,-,-,3,1,1,1,38,10,14,14
106學年,嘉義市,35,11,12,12,26,8,9,9,-,-,-,-,-,-,-,-,9,3,3,3
106學年,金門縣,2,1,-,1,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
106學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,總計,1788,564,577,647,607,196,199,212,224,70,73,81,12,4,4,4,945,294,301,350
105學年,新北市,223,68,74,81,-,-,-,-,111,36,37,38,-,-,-,-,112,32,37,43
105學年,臺北市,217,63,68,86,-,-,-,-,55,16,17,22,-,-,-,-,162,47,51,64
105學年,桃園市,212,67,69,76,46,15,14,17,-,-,-,-,-,-,-,-,166,52,55,59
105學年,臺中市,254,81,81,92,99,33,33,33,3,1,1,1,-,-,-,-,152,47,47,58
105學年,臺南市,136,44,43,49,79,25,26,28,-,-,-,-,-,-,-,-,57,19,17,21
105學年,高雄市,181,56,57,68,32,10,11,11,55,17,18,20,-,-,-,-,94,29,28,37
105學年,宜蘭縣,33,10,11,12,32,10,10,12,-,-,-,-,1,-,1,-,-,-,-,-
105學年,新竹縣,44,14,14,16,6,2,2,2,-,-,-,-,-,-,-,-,38,12,12,14
105學年,苗栗縣,52,17,17,18,15,5,5,5,-,-,-,-,-,-,-,-,37,12,12,13
105學年,彰化縣,134,46,43,45,114,37,37,40,-,-,-,-,7,3,2,2,13,6,4,3
105學年,南投縣,39,12,14,13,37,12,13,12,-,-,-,-,-,-,-,-,2,-,1,1
105學年,雲林縣,24,8,7,9,10,3,3,4,-,-,-,-,1,-,-,1,13,5,4,4
105學年,嘉義縣,15,5,5,5,6,2,2,2,-,-,-,-,-,-,-,-,9,3,3,3
105學年,屏東縣,52,18,16,18,25,9,7,9,-,-,-,-,-,-,-,-,27,9,9,9
105學年,臺東縣,17,5,6,6,17,5,6,6,-,-,-,-,-,-,-,-,-,-,-,-
105學年,花蓮縣,34,11,12,11,25,8,9,8,-,-,-,-,-,-,-,-,9,3,3,3
105學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,基隆市,24,7,8,9,19,6,6,7,-,-,-,-,-,-,-,-,5,1,2,2
105學年,新竹市,58,20,19,19,15,5,5,5,-,-,-,-,3,1,1,1,40,14,13,13
105學年,嘉義市,37,12,12,13,28,9,9,10,-,-,-,-,-,-,-,-,9,3,3,3
105學年,金門縣,2,-,1,1,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,1923,589,650,684,642,204,215,223,242,73,81,88,6,2,2,2,1033,310,352,371
104學年,新北市,247,77,82,88,-,-,-,-,114,37,38,39,-,-,-,-,133,40,44,49
104學年,臺北市,252,69,85,98,2,-,-,2,66,17,22,27,-,-,-,-,184,52,63,69
104學年,桃園市,226,70,76,80,47,15,17,15,-,-,-,-,-,-,-,-,179,55,59,65
104學年,臺中市,266,81,92,93,101,33,33,35,3,1,1,1,-,-,-,-,162,47,58,57
104學年,臺南市,142,43,49,50,85,26,28,31,-,-,-,-,-,-,-,-,57,17,21,19
104學年,高雄市,201,59,69,73,33,11,11,11,59,18,20,21,-,-,-,-,109,30,38,41
104學年,宜蘭縣,37,11,12,14,36,10,12,14,-,-,-,-,1,1,-,-,-,-,-,-
104學年,新竹縣,46,15,16,15,6,2,2,2,-,-,-,-,-,-,-,-,40,13,14,13
104學年,苗栗縣,53,17,18,18,15,5,5,5,-,-,-,-,-,-,-,-,38,12,13,13
104學年,彰化縣,135,45,45,45,123,40,42,41,-,-,-,-,-,-,-,-,12,5,3,4
104學年,南投縣,44,15,14,15,41,14,13,14,-,-,-,-,-,-,-,-,3,1,1,1
104學年,雲林縣,26,7,10,9,11,3,4,4,-,-,-,-,2,-,1,1,13,4,5,4
104學年,嘉義縣,14,5,5,4,6,2,2,2,-,-,-,-,-,-,-,-,8,3,3,2
104學年,屏東縣,54,16,18,20,25,7,9,9,-,-,-,-,-,-,-,-,29,9,9,11
104學年,臺東縣,18,6,6,6,18,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-
104學年,花蓮縣,34,12,11,11,25,9,8,8,-,-,-,-,-,-,-,-,9,3,3,3
104學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,基隆市,27,8,9,10,20,6,7,7,-,-,-,-,-,-,-,-,7,2,2,3
104學年,新竹市,59,20,19,20,15,5,5,5,-,-,-,-,3,1,1,1,41,14,13,14
104學年,嘉義市,39,12,13,14,30,9,10,11,-,-,-,-,-,-,-,-,9,3,3,3
104學年,金門縣,3,1,1,1,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
104學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,2092,669,695,728,697,225,229,243,240,81,89,70,7,2,2,3,1148,361,375,412
103學年,新北市,273,84,90,99,-,-,-,-,116,38,39,39,-,-,-,-,157,46,51,60
103學年,臺北市,270,88,98,84,5,-,2,3,57,22,27,8,-,-,-,-,208,66,69,73
103學年,臺中市,296,94,94,108,112,35,36,41,3,1,1,1,-,-,-,-,181,58,57,66
103學年,臺南市,157,50,51,56,92,28,31,33,-,-,-,-,-,-,-,-,65,22,20,23
103學年,高雄市,218,70,75,73,33,11,11,11,64,20,22,22,-,-,-,-,121,39,42,40
103學年,宜蘭縣,48,15,14,19,47,15,14,18,-,-,-,-,1,-,-,1,-,-,-,-
103學年,桃園縣,247,77,82,88,52,18,17,17,-,-,-,-,-,-,-,-,195,59,65,71
103學年,新竹縣,48,16,15,17,6,2,2,2,-,-,-,-,-,-,-,-,42,14,13,15
103學年,苗栗縣,56,19,19,18,15,5,5,5,-,-,-,-,-,-,-,-,41,14,14,13
103學年,彰化縣,147,49,47,51,132,45,43,44,-,-,-,-,-,-,-,-,15,4,4,7
103學年,南投縣,49,15,16,18,45,14,15,16,-,-,-,-,-,-,-,-,4,1,1,2
103學年,雲林縣,29,10,9,10,13,4,4,5,-,-,-,-,3,1,1,1,13,5,4,4
103學年,嘉義縣,13,5,4,4,6,2,2,2,-,-,-,-,-,-,-,-,7,3,2,2
103學年,屏東縣,54,18,19,17,25,9,9,7,-,-,-,-,-,-,-,-,29,9,10,10
103學年,臺東縣,18,6,6,6,18,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-
103學年,花蓮縣,34,11,11,12,25,8,8,9,-,-,-,-,-,-,-,-,9,3,3,3
103學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,基隆市,27,9,10,8,20,7,7,6,-,-,-,-,-,-,-,-,7,2,3,2
103學年,新竹市,62,19,20,23,15,5,5,5,-,-,-,-,3,1,1,1,44,13,14,17
103學年,嘉義市,43,13,14,16,33,10,11,12,-,-,-,-,-,-,-,-,10,3,3,4
103學年,金門縣,3,1,1,1,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
103學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,2248,710,739,799,745,236,248,261,235,90,70,75,8,2,3,3,1260,382,418,460
102學年,新北市,307,95,100,112,-,-,-,-,121,40,39,42,-,-,-,-,186,55,61,70
102學年,臺北市,270,97,85,88,9,2,3,4,43,27,8,8,-,-,-,-,218,68,74,76
