學年別,縣市別,附設國小總計,附設國小國立,附設國小直轄市立,附設國小縣市立,附設國小私立,附設國中總計,附設國中國立,附設國中直轄市立,附設國中縣市立,附設國中私立
106學年,總計,26,4,1,1,20,212,12,56,31,113
106學年,新北市,3,-,-,-,3,36,1,18,-,17
106學年,臺北市,2,1,-,-,1,28,3,11,-,14
106學年,桃園市,3,-,1,-,2,11,-,3,-,8
106學年,臺中市,3,-,-,-,3,26,1,10,-,15
106學年,臺南市,2,1,-,-,1,18,1,4,-,13
106學年,高雄市,6,1,-,-,5,22,3,10,-,9
106學年,宜蘭縣,2,-,-,1,1,4,-,-,2,2
106學年,新竹縣,-,-,-,-,-,6,-,-,2,4
106學年,苗栗縣,-,-,-,-,-,8,1,-,4,3
106學年,彰化縣,-,-,-,-,-,8,-,-,5,3
106學年,南投縣,1,-,-,-,1,4,-,-,1,3
106學年,雲林縣,-,-,-,-,-,8,-,-,3,5
106學年,嘉義縣,-,-,-,-,-,4,-,-,2,2
106學年,屏東縣,-,-,-,-,-,6,-,-,4,2
106學年,臺東縣,1,-,-,-,1,4,1,-,1,2
106學年,花蓮縣,1,-,-,-,1,2,-,-,-,2
106學年,澎湖縣,-,-,-,-,-,-,-,-,-,-
106學年,基隆市,1,-,-,-,1,6,-,-,4,2
106學年,新竹市,1,1,-,-,-,7,1,-,3,3
106學年,嘉義市,-,-,-,-,-,4,-,-,-,4
106學年,金門縣,-,-,-,-,-,-,-,-,-,-
106學年,連江縣,-,-,-,-,-,-,-,-,-,-
105學年,總計,23,4,1,1,17,207,12,53,31,111
105學年,新北市,3,-,-,-,3,35,1,17,-,17
105學年,臺北市,2,1,-,-,1,27,3,11,-,13
105學年,桃園市,2,-,1,-,1,10,-,2,-,8
105學年,臺中市,2,-,-,-,2,25,1,9,-,15
105學年,臺南市,2,1,-,-,1,18,1,4,-,13
105學年,高雄市,5,1,-,-,4,21,3,10,-,8
105學年,宜蘭縣,2,-,-,1,1,4,-,-,2,2
105學年,新竹縣,-,-,-,-,-,6,-,-,2,4
105學年,苗栗縣,-,-,-,-,-,8,1,-,4,3
105學年,彰化縣,-,-,-,-,-,8,-,-,5,3
105學年,南投縣,1,-,-,-,1,4,-,-,1,3
105學年,雲林縣,-,-,-,-,-,8,-,-,3,5
105學年,嘉義縣,-,-,-,-,-,4,-,-,2,2
105學年,屏東縣,-,-,-,-,-,6,-,-,4,2
105學年,臺東縣,1,-,-,-,1,4,1,-,1,2
105學年,花蓮縣,1,-,-,-,1,2,-,-,-,2
105學年,澎湖縣,-,-,-,-,-,-,-,-,-,-
105學年,基隆市,1,-,-,-,1,6,-,-,4,2
105學年,新竹市,1,1,-,-,-,7,1,-,3,3
105學年,嘉義市,-,-,-,-,-,4,-,-,-,4
105學年,金門縣,-,-,-,-,-,-,-,-,-,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-
104學年,總計,23,4,1,1,17,206,11,53,31,111
104學年,新北市,3,-,-,-,3,35,1,17,-,17
104學年,臺北市,2,1,-,-,1,27,3,11,-,13
