學年別,縣市別,總計計,總計男,總計女,1年級計,1年級男,1年級女,2年級計,2年級男,2年級女,3年級計,3年級男,3年級女,4年級計,4年級男,4年級女,延修生計,延修生男,延修生女
106學年,總計,745460,400490,344970,236574,128790,107784,252415,134701,117714,255295,136121,119174,86,33,53,1090,845,245
106學年,新北市,90161,47467,42694,28543,15243,13300,30366,15754,14612,30834,16208,14626,86,33,53,332,229,103
106學年,臺北市,103697,53995,49702,32347,17151,15196,35129,18031,17098,36051,18669,17382,-,-,-,170,144,26
106學年,桃園市,79009,42854,36155,25597,14110,11487,26841,14495,12346,26556,14236,12320,-,-,-,15,13,2
106學年,臺中市,100813,53600,47213,32004,17161,14843,34276,18136,16140,34377,18174,16203,-,-,-,156,129,27
106學年,臺南市,58857,32207,26650,18017,9947,8070,20116,11005,9111,20653,11192,9461,-,-,-,71,63,8
106學年,高雄市,86409,47231,39178,27395,15133,12262,29160,15840,13320,29829,16243,13586,-,-,-,25,15,10
106學年,宜蘭縣,13311,7403,5908,4344,2441,1903,4474,2448,2026,4471,2499,1972,-,-,-,22,15,7
106學年,新竹縣,14328,8127,6201,4550,2676,1874,4914,2722,2192,4853,2721,2132,-,-,-,11,8,3
106學年,苗栗縣,17758,9353,8405,5715,3062,2653,6018,3095,2923,5977,3153,2824,-,-,-,48,43,5
106學年,彰化縣,40910,22413,18497,13240,7395,5845,13781,7573,6208,13863,7426,6437,-,-,-,26,19,7
106學年,南投縣,15243,8048,7195,5024,2714,2310,5026,2643,2383,5132,2651,2481,-,-,-,61,40,21
106學年,雲林縣,20310,11450,8860,6242,3545,2697,6953,3949,3004,7091,3936,3155,-,-,-,24,20,4
106學年,嘉義縣,10276,6292,3984,3290,1971,1319,3459,2151,1308,3515,2160,1355,-,-,-,12,10,2
106學年,屏東縣,20949,11773,9176,6574,3739,2835,7021,3903,3118,7338,4116,3222,-,-,-,16,15,1
106學年,臺東縣,6186,3496,2690,2085,1192,893,2051,1143,908,2006,1124,882,-,-,-,44,37,7
106學年,花蓮縣,10673,5776,4897,3497,1900,1597,3550,1930,1620,3611,1931,1680,-,-,-,15,15,-
106學年,澎湖縣,2622,1423,1199,823,442,381,920,507,413,869,466,403,-,-,-,10,8,2
106學年,基隆市,11746,6192,5554,3509,1848,1661,4011,2142,1869,4226,2202,2024,-,-,-,-,-,-
106學年,新竹市,20454,10543,9911,6811,3599,3212,6949,3555,3394,6679,3382,3297,-,-,-,15,7,8
106學年,嘉義市,19333,9526,9807,6198,3098,3100,6587,3228,3359,6534,3187,3347,-,-,-,14,13,1
106學年,金門縣,2111,1144,967,674,368,306,726,405,321,708,369,339,-,-,-,3,2,1
106學年,連江縣,304,177,127,95,55,40,87,46,41,122,76,46,-,-,-,-,-,-
105學年,總計,776113,416708,359405,265823,143665,122158,262143,140517,121626,246917,131615,115302,133,54,79,1097,857,240
105學年,新北市,94332,49636,44696,32418,17013,15405,31834,16817,15017,29744,15594,14150,133,54,79,203,158,45
